Orthogroup	Arabidopsis_thaliana_rna_prot	Brassica_napus_rna_prot
OG0003782	NM_111803.4.p1	XM_013868659.3.p1, XM_048744779.1.p1
OG0003782	NM_120375.4.p1	XM_013812859.3.p1, XM_013850799.3.p1
OG0003783	NM_111868.3.p1	XM_013880651.3.p1
OG0003783	NM_129726.4.p1	XM_013892370.3.p1, XM_048754444.1.p1, XM_013792437.3.p1
OG0003784	NM_113163.4.p1	XM_013786511.3.p1
OG0003785	NM_113229.4.p1, NM_180297.4.p1	XM_013797614.3.p1, XM_048762252.1.p1, XM_013797615.3.p1, XM_048762253.1.p1, XM_048736886.1.p1, XM_048746250.1.p1
OG0003786	NM_114288.4.p1	XM_048734809.1.p1
OG0003787	NM_115259.5.p1	XM_048761056.1.p1, XM_013819937.2.p1, XM_048764620.1.p1, XM_013887106.3.p1
OG0003788	NM_115454.3.p1	XM_022718401.2.p1, XM_013792555.3.p1, XM_013821995.3.p1, XM_013800477.3.p1, XM_013808011.3.p1
OG0003789	NM_120267.3.p1	XM_048746686.1.p1
OG0003789	NM_115495.4.p1	XM_013807971.3.p1
OG0003790	NM_116212.3.p1	XM_013796814.3.p1
OG0003791	NM_116345.4.p1	XM_013805098.3.p1, XM_048769521.1.p1, XM_048756325.1.p1, XM_013862981.3.p1, XM_013879859.3.p1, XM_013828886.3.p1
OG0003792	NM_116736.2.p1	XM_013816458.3.p1
OG0003792	NM_116593.4.p1	XM_013875983.3.p1
OG0003793	NM_117597.5.p1	XM_013847447.3.p1, XM_013799249.3.p1, XM_048765934.1.p1, XM_048773650.1.p1
OG0003794	NM_118749.4.p1	XM_013815568.3.p1, XM_013842539.3.p1
OG0003794	NM_119112.3.p1, NM_179138.3.p1	XM_048781341.1.p1, XM_013841507.3.p1, XM_048764517.1.p1, XM_013826183.3.p1
OG0003795	NM_118907.4.p1	XM_013816161.3.p1, XM_013882749.3.p1, XM_013847781.3.p1
OG0003795	NM_124734.3.p1	XM_013811338.3.p1
OG0003796	NM_118986.3.p1	XM_048737720.1.p1, XM_013852843.3.p1, XM_013882781.3.p1, XM_013851903.3.p1
OG0003796	NM_128944.4.p1	XM_013889070.3.p1, XM_013863895.3.p1
OG0003796	NM_179302.3.p1	XM_013786700.3.p1, XM_013893068.3.p1
OG0003797	NM_119578.4.p1	XM_013877672.3.p1, XM_048763344.1.p1, XM_013882945.3.p1, XM_048738854.1.p1, XM_048750387.1.p1, XM_013836956.3.p1, XM_013879784.3.p1
OG0003798	NM_119811.3.p1	XM_048778318.1.p1, XM_013893963.3.p1
OG0003799	NM_120063.6.p1	XM_013880116.3.p1
OG0003799	NM_127706.9.p1	XM_013805516.3.p1, XM_048752828.1.p1, XM_048752827.1.p1
OG0003800	NM_120995.2.p1	XM_048746751.1.p1, XM_048746752.1.p1
OG0003801	NM_121113.4.p1	XM_013803683.3.p1, XM_048746350.1.p1, XM_048746345.1.p1, XM_013819887.3.p1, XM_013791771.3.p1, XM_048761960.1.p1, XM_013791773.3.p1, XM_013849663.3.p1, XM_013870963.3.p1
OG0003802	NM_121326.2.p1	XM_013812493.3.p1, XM_022710117.2.p1
OG0003803	NM_122966.3.p1	XM_048776616.1.p1, XM_013881312.3.p1, XM_048777337.1.p1, XM_048753276.1.p1
OG0003804	NM_123199.3.p1, NM_180773.3.p1	XM_013886321.3.p1, XM_013870154.3.p1
OG0003805	NM_123384.3.p1	XM_013892234.3.p1, XM_013809035.3.p1, XM_013887816.3.p1, XM_013831507.3.p1
OG0003806	NM_123411.4.p1	XM_048777476.1.p1
OG0003807	NM_123432.4.p1	XM_013861626.3.p1, XM_013887865.3.p1, XM_048777485.1.p1, XM_013852909.3.p1
OG0003808	NM_123928.4.p1	XM_013826286.3.p1, XM_013815263.3.p1
OG0003809	NM_123970.6.p1	XM_013848216.3.p1, XM_013821714.3.p1, XM_013822473.3.p1, XM_013877332.3.p1, XM_048762366.1.p1
OG0003810	NM_124178.3.p1	XM_013788811.3.p1
OG0003811	NM_124854.4.p1	XM_048751500.1.p1, XM_048747167.1.p1, XM_013831035.3.p1, XM_013786826.3.p1, XM_013785247.3.p1
OG0003812	NM_124882.4.p1, NM_180862.1.p1	XM_013786836.3.p1, XM_048752337.1.p1
OG0003813	NM_125158.1.p1	XM_013860143.3.p1
OG0003813	NM_127423.4.p1	XM_013826124.3.p1, XM_013885509.3.p1, XM_013814317.3.p1, XM_013812483.3.p1, XM_022712655.2.p1
OG0003814	NM_180893.2.p1, NM_125348.4.p1	XM_013806320.3.p1, XM_013806319.3.p1, XM_022710722.2.p1, XM_013806318.3.p1, XM_022710721.2.p1, XM_048743003.1.p1, XM_048746659.1.p1, XM_013889078.3.p1
OG0003815	NM_180929.4.p1, NM_125784.3.p1	XM_013787573.3.p1, XM_013787733.3.p1, XM_048739493.1.p1, XM_013847652.3.p1
OG0003816	NM_125826.5.p1	XM_013805838.3.p1, XM_013797325.3.p1, XM_013787714.3.p1, XM_013867368.3.p1
OG0003817	NM_126282.3.p1	XM_013836449.3.p1, XM_013869250.3.p1, XM_013851763.3.p1
OG0003818	NM_126919.5.p1	XM_013805955.3.p1, XM_048739584.1.p1, XM_013851732.3.p1, XM_013851731.3.p1
OG0003819	NM_127164.3.p1	XM_013831123.3.p1
OG0003820	NM_127503.3.p1	XM_013822455.3.p1, NM_001316272.1.p1, NM_001315923.1.p1
OG0003821	NM_127909.2.p1, NM_179710.3.p1	XM_048777664.1.p1, XM_013888207.3.p1, XM_013808649.3.p1, XM_013856120.3.p1
OG0003822	NM_128222.6.p1	XM_048777740.1.p1, XM_048777737.1.p1
OG0003823	NM_128408.3.p1	XM_048752758.1.p1, XM_048752759.1.p1, XM_048752760.1.p1, XM_048775898.1.p1
OG0003824	NM_129417.2.p1	XM_013879214.3.p1, XM_013850134.3.p1, XM_013892797.3.p1, XM_013850198.3.p1
OG0003825	NM_129967.4.p1	XM_013879301.3.p1, XM_013828036.3.p1, XM_013869958.3.p1, XM_022718537.2.p1
OG0003826	NM_130279.3.p1	XM_013879427.3.p1
OG0003827	NM_179759.3.p1	XM_013867435.3.p1
OG0003828	NM_180141.2.p1	XM_013879438.3.p1, XM_013878001.3.p1
OG0003829	NM_180150.2.p1	XM_013877115.3.p1, XM_013833130.3.p1
OG0003830	NM_180906.2.p1	XM_013822784.3.p1, XM_013886386.3.p1, XM_013805630.3.p1, XM_013822175.3.p1
OG0003840	NM_105716.4.p1, NM_001036184.1.p1	XM_048761305.1.p1, XM_048761306.1.p1, XM_013858958.2.p1, XM_013858959.3.p1
OG0003841	NM_001334718.1.p1, NM_106278.5.p1, NM_001334717.1.p1, NM_001036208.5.p1	XM_013862356.3.p1, XM_013843152.3.p1
OG0003842	NM_127831.3.p1, NM_001335808.1.p1, NM_001036319.2.p1	XM_013888151.3.p1
OG0003842	NM_001342460.1.p1	XM_013801125.3.p1, XM_022700004.2.p1, XM_013849363.3.p1
OG0003843	NM_001036406.3.p1	XM_048780682.1.p1, XM_013836521.3.p1
OG0003844	NM_001036512.2.p1, NM_001203755.1.p1, NM_178992.4.p1	XM_013847077.3.p1, XM_013815627.3.p1, XM_013785079.3.p1, XM_013827858.3.p1
OG0003845	NM_001036653.2.p1	XM_013887206.3.p1
OG0003845	NM_124859.4.p1	XM_013806010.3.p1, XM_048751484.1.p1, XM_013786828.3.p1, XM_048752341.1.p1
OG0003846	NM_001333277.1.p1, NM_103650.5.p1, NM_001084218.1.p1	XM_048780597.1.p1, XM_048780596.1.p1, XM_013843780.3.p1
OG0003847	NM_128200.5.p1, NM_001084494.1.p1	XM_013797811.3.p1, XM_013871428.3.p1
OG0003848	NM_180065.3.p1	XM_013832538.3.p1, XM_022712423.2.p1
OG0003848	NM_001084845.2.p1, NM_115826.3.p1	XM_048741288.1.p1, XM_022707568.2.p1
OG0003849	NM_111468.5.p1	XM_022714611.2.p1, XM_013842779.3.p1, XM_013842778.3.p1, XM_048759419.1.p1, XM_048759420.1.p1
OG0003849	NM_001085156.2.p1, NM_180540.3.p1, NM_203107.3.p1	XM_013822704.3.p1, XM_013822571.3.p1, XM_022687695.2.p1, XM_022706810.2.p1
OG0003850	NM_123125.4.p1, NM_001085206.1.p1	XM_013848374.3.p1
OG0003850	NM_001335072.1.p1, NM_126227.3.p1, NM_201665.2.p1	XM_013829339.3.p1
OG0003851	NM_001085285.2.p1	XM_013805193.3.p1, XM_013804305.3.p1, XM_022701120.2.p1, XM_013830602.3.p1, XM_048747215.1.p1
OG0003852	NM_001331842.1.p1, NM_001331843.1.p1, NM_100828.4.p1, NM_001123784.1.p1	XM_013860915.3.p1, XM_022691568.2.p1, XM_013860916.3.p1, XM_048741868.1.p1, XM_048765411.1.p1, XM_013858472.3.p1, XM_048765409.1.p1, XM_048765408.1.p1, XM_013858471.3.p1, XM_022720603.2.p1, XM_013785537.3.p1, XM_013841114.3.p1
OG0003853	NM_001123968.1.p1, NM_103580.5.p1, NM_123667.4.p1	XM_013789536.3.p1, XM_013856772.3.p1, XM_048747554.1.p1
OG0003854	NM_001343312.1.p1, NM_001125751.1.p1, NM_121406.5.p1, NM_001343313.1.p1	XM_048769203.1.p1, XM_013821749.3.p1, XM_013871707.3.p1
OG0003855	NM_001161018.1.p1, NM_001335194.1.p1	XM_013867714.3.p1, XM_013796371.3.p1
OG0003856	NM_114012.4.p1	XM_048744236.1.p1, XM_048735487.1.p1, XM_048757178.1.p1, XR_007326020.1.p1, XM_048749209.1.p1, XM_048751197.1.p1, XM_022696988.2.p1, XM_022711325.2.p1, XM_048764116.1.p1
OG0003856	NM_001344084.1.p1, NM_001161039.1.p1, NM_001161038.1.p1	XM_013789884.2.p1, XM_048767717.1.p1, XM_048743611.1.p1, XM_048743602.1.p1, XM_048749725.1.p1, XM_048756057.1.p1, XM_013848751.1.p1, XM_048743741.1.p1, XM_013813600.2.p1, XM_048763889.1.p1, XM_013824305.1.p1, XM_048748864.1.p1, XM_048782064.1.p1, XM_013809929.1.p1, XM_048759615.1.p1, XM_048740485.1.p1, XM_048755763.1.p1, XM_013890297.1.p1
OG0003857	NM_127448.2.p1, NM_179652.2.p1	XM_013876215.3.p1, XM_048737197.1.p1, XM_022688584.2.p1, XM_022712063.2.p1
OG0003857	NM_125119.4.p1, NM_001161311.1.p1	XM_048761864.1.p1
OG0003858	NM_202204.3.p1, NM_001198179.2.p1, NM_102638.4.p1, NM_001332823.1.p1, NM_102637.4.p1	XM_013870761.3.p1, XM_022690704.2.p1, XM_013810481.3.p1, XM_048766060.1.p1
OG0003859	NM_179908.3.p1, NM_001202751.1.p1	XM_048773212.1.p1
OG0003860	NM_001202820.1.p1, NM_130091.2.p1	XM_013836411.3.p1, XM_013892713.3.p1
OG0003861	NM_001203142.1.p1, NM_202687.3.p1, NM_001339566.1.p1	XM_048762847.1.p1, XM_048762849.1.p1, XM_048776765.1.p1, XM_013890355.3.p1, XM_013850140.3.p1
OG0003862	NM_001203377.1.p1, NM_001343302.1.p1	XM_013872012.3.p1, XM_048742322.1.p1, XM_013812421.3.p1
OG0003863	NM_124202.3.p1	XM_048771550.1.p1, XM_022703373.2.p1, XM_013791939.3.p1, XM_022705397.2.p1
OG0003863	NM_001203777.2.p1, NM_126457.3.p1	XM_013806333.3.p1
OG0003864	NM_001204045.1.p1, NM_120150.6.p1	XM_022694350.2.p1, XM_048777756.1.p1, XM_048773693.1.p1, XR_007328392.1.p1, XM_013852237.3.p1
OG0003865	NM_106293.4.p1	XM_013862398.3.p1, XM_013862397.3.p1, XM_022704486.2.p1, XM_048761490.1.p1, XM_013821309.3.p1, XM_013862426.3.p1, XM_048761489.1.p1, XM_013865695.3.p1
OG0003865	NM_001332472.1.p1	XM_048756753.1.p1, XM_048781523.1.p1, XM_013857127.3.p1, XM_013891394.3.p1
OG0003866	NM_001332567.1.p1	XM_013870569.3.p1, XM_048777270.1.p1
OG0003867	NM_001332880.1.p1, NM_102747.3.p1	XM_013852901.3.p1, XM_048740625.1.p1, XM_013799619.3.p1, XM_022699817.2.p1
OG0003867	NM_117944.5.p1, NM_001341275.1.p1	XM_048738729.1.p1, XM_013813363.3.p1, XM_013885861.3.p1
OG0003868	NM_001332926.1.p1, NM_102812.3.p1, NM_001332925.1.p1, NM_001332923.1.p1, NM_001332922.1.p1	XM_013806970.3.p1, XM_048757061.1.p1
OG0003869	NM_001333131.1.p1, NM_001333132.1.p1, NM_001333133.1.p1, NM_103214.5.p1, NM_103215.5.p1	XM_048749161.1.p1, XM_013784427.3.p1, XM_013858480.3.p1
OG0003869	NM_001333240.1.p1, NM_001333241.1.p1, NM_103581.5.p1, NM_001333239.1.p1	XM_013868787.3.p1
OG0003870	NM_103466.5.p1, NM_001333208.1.p1, NM_001333209.1.p1	XM_048737660.1.p1
OG0003871	NM_001338194.1.p1	XM_013847509.3.p1
OG0003871	NM_001333543.1.p1, NM_001333542.1.p1, NM_001333541.1.p1	XM_013847024.3.p1, XM_013847023.3.p1, XM_048760467.1.p1, XM_013784901.3.p1, XM_048780965.1.p1, XM_022710853.2.p1
OG0003872	NM_001333684.1.p1, NM_100771.4.p1	XM_013856139.3.p1
OG0003872	NM_111477.4.p1	XM_048780109.1.p1, XM_013838207.3.p1
OG0003873	NM_180242.2.p1, NM_112144.3.p1, NM_180243.2.p1	XM_013817762.3.p1, XM_048744639.1.p1, XM_013830954.3.p1, XM_013841320.3.p1
OG0003873	NM_001333752.1.p1, NM_104474.3.p1	XM_013856696.3.p1
OG0003874	NM_102060.5.p1, NM_001333845.1.p1	XM_048766508.1.p1, XM_013866684.3.p1
OG0003874	NM_123646.4.p1	XM_013888929.3.p1, XM_022695320.2.p1
OG0003875	NM_104950.4.p1, NM_001334051.1.p1	XM_022692446.2.p1
OG0003876	NM_105439.3.p1, NM_001334322.1.p1, NM_001334321.1.p1	XM_013896441.3.p1, XM_048735994.1.p1, XM_013796817.3.p1, XM_048735926.1.p1, XM_022705150.2.p1, XM_013877755.3.p1, XM_013877756.3.p1, XM_048735925.1.p1
OG0003877	NM_127231.2.p1, NM_001335492.1.p1, NM_001335490.1.p1, NM_001335491.1.p1	XM_013800396.3.p1, XM_013791285.3.p1
OG0003878	NM_001336471.1.p1, NM_001336472.1.p1, NM_128941.3.p1, NM_001336473.1.p1	XM_013863716.3.p1
OG0003879	NM_129450.3.p1, NM_001336749.1.p1, NM_001336747.1.p1, NM_001336748.1.p1	XM_013850549.3.p1, XM_013885140.3.p1, XM_048778616.1.p1
OG0003880	NM_117529.3.p1, NM_111108.4.p1, NM_001337404.1.p1	XM_013880232.3.p1, XM_013822945.3.p1, XM_048758314.1.p1, XM_013791830.3.p1
OG0003881	NM_001337406.1.p1, NM_111109.4.p1	XM_048758313.1.p1, XM_048777288.1.p1
OG0003882	NM_001337478.1.p1	XM_048772788.1.p1, XM_022714862.2.p1, XM_013857452.3.p1, XM_048758671.1.p1
OG0003882	NM_001343521.1.p1, NM_001343520.1.p1, NM_121776.5.p1	XM_048749085.1.p1, XM_048749292.1.p1, XM_048742227.1.p1
OG0003883	NM_117505.4.p1	XM_048772185.1.p1
OG0003883	NM_121903.4.p1, NM_001343578.1.p1	XM_048769021.1.p1, XM_013811946.3.p1
OG0003883	NM_001337641.1.p1, NM_111496.5.p1	XM_048780105.1.p1, XM_048780104.1.p1, XM_048759414.1.p1
OG0003884	NM_111618.3.p1, NM_001337711.1.p1	XM_013829193.3.p1, XM_022716280.2.p1, XM_048750155.1.p1, XM_048773809.1.p1, XM_013895117.3.p1, XM_022702576.2.p1
OG0003885	NM_001337827.1.p1, NM_202539.2.p1, NM_111790.4.p1	XM_013868691.3.p1, XM_048755472.1.p1, XM_022719862.2.p1, XM_013894920.3.p1
OG0003886	NM_112075.3.p1, NM_001337992.1.p1, NM_001337991.1.p1	XM_013792764.3.p1
OG0003886	NM_121389.3.p1	XM_013824448.3.p1
OG0003887	NM_112881.5.p1, NM_001338426.1.p1	XM_013792630.3.p1, XM_022719150.2.p1, XM_022703327.2.p1
OG0003888	NM_001338499.1.p1, NM_202618.3.p1	XM_013837844.3.p1, XM_013837845.3.p1, XM_013893863.3.p1, XM_048779313.1.p1, XM_013846562.3.p1, XM_048776545.1.p1, XM_013829576.3.p1
OG0003889	NM_100350.4.p1	XM_013841497.3.p1, XM_048755538.1.p1, XM_048757733.1.p1, XM_048757734.1.p1
OG0003889	NM_001338700.1.p1	XM_013801593.3.p1, XM_013858886.3.p1
OG0003890	NM_113396.6.p1, NM_001338710.1.p1, NM_001338714.1.p1	XR_007326494.1.p1, XR_007326495.1.p1, XM_048737358.1.p1, XM_013876234.3.p1
OG0003891	NM_113473.3.p1, NM_001338764.1.p1	XM_022687915.2.p1, XM_013849693.3.p1
OG0003891	NM_101198.4.p1, NM_202086.1.p1	XM_013801890.3.p1, XM_013855526.3.p1, XM_013855525.2.p1, XM_013875647.3.p1
OG0003892	NM_125366.5.p1	XM_013806306.3.p1
OG0003892	NM_114487.4.p1, NM_001339235.1.p1	XM_048746627.1.p1, XM_048750229.1.p1, XM_013877212.3.p1, XM_013826657.3.p1
OG0003893	NM_001340119.1.p1, NM_116034.5.p1	XM_048760265.1.p1, XM_013808449.3.p1, XM_013856094.3.p1
OG0003894	NM_116279.5.p1, NM_001340258.1.p1	XM_048739158.1.p1, XM_048769494.1.p1
OG0003895	NM_118241.3.p1, NM_001340545.1.p1, NM_116760.2.p1, NM_001340544.1.p1	XM_013788980.3.p1, XR_007328490.1.p1, XM_048768261.1.p1, XM_048768260.1.p1
OG0003896	NM_128788.3.p1	XM_013820372.3.p1
OG0003896	NM_179058.1.p1, NM_117609.3.p1, NM_001340999.1.p1, NM_001340998.1.p1	XM_013800248.3.p1, XM_048765820.1.p1
OG0003897	NM_001341313.1.p1, NM_001341315.1.p1, NM_001341314.1.p1	XM_013872522.3.p1, XM_022708988.2.p1, XM_013863994.3.p1, XM_013863995.3.p1
OG0003898	NM_001342083.1.p1, NM_001342088.1.p1, NM_001342084.1.p1, NM_001342085.1.p1, NM_001342090.1.p1	XM_013864926.2.p1, XM_022696093.2.p1, XM_013814369.3.p1, XM_013861304.3.p1
OG0003899	NM_001342981.1.p1, NM_120893.3.p1	XM_022693726.2.p1, XM_048742506.1.p1, XM_048767171.1.p1
OG0003900	NM_001343120.1.p1, NM_121090.4.p1	XM_048770277.1.p1, XM_048742426.1.p1, XM_048742427.1.p1, XM_048769352.1.p1
OG0003900	NM_125951.4.p1	XM_013872701.3.p1, XM_013846360.3.p1, XM_013823039.3.p1
OG0003901	NM_001343586.1.p1, NM_121912.3.p1	XM_048743153.1.p1, XM_013828029.3.p1, XM_013826594.3.p1, XM_013887506.3.p1
OG0003901	NM_100208.4.p1	XM_013843597.3.p1
OG0003902	NM_121945.3.p1, NM_001343597.1.p1	XM_013866485.3.p1, XM_013820590.3.p1, XM_013807741.3.p1
OG0003903	NM_001343760.1.p1, NM_122182.3.p1, NM_001343759.1.p1	XM_013860574.3.p1, XM_013826746.3.p1, XM_013826747.3.p1, XM_022700204.2.p1, XM_048746562.1.p1
OG0003903	NM_001344101.1.p1, NM_122912.4.p1	XM_013816508.3.p1
OG0003904	NM_122200.4.p1, NM_001343782.1.p1	XM_013826654.3.p1, XM_013811707.3.p1, XM_013826730.3.p1
OG0003904	NM_179782.4.p1	XM_013796346.3.p1, XM_013888495.3.p1, XM_013864672.3.p1
OG0003905	NM_001344019.1.p1, NM_122644.5.p1	XM_048773354.1.p1, XM_048748006.1.p1, XM_048735190.1.p1, XM_048764276.1.p1, XM_013877540.3.p1, XM_022692265.2.p1
OG0003906	NM_122932.5.p1, NM_001344103.1.p1	XM_048754813.1.p1, XM_048754811.1.p1, XM_013887807.3.p1
OG0003907	NM_001344326.1.p1	XM_048777475.1.p1, XM_013831597.3.p1
OG0003908	NM_001345249.1.p1	XM_048742931.1.p1, XM_048742932.1.p1, XM_013839937.3.p1
OG0003909	NM_125450.4.p1, NM_001345424.1.p1	XM_048743031.1.p1, XM_013805225.3.p1, XM_013805226.3.p1
OG0003910	NM_100320.4.p1, NM_179257.2.p1	XM_048743407.1.p1, XM_013811032.3.p1, XM_048757725.1.p1, XM_022691522.2.p1, XM_022691523.2.p1
OG0003911	NM_100423.3.p1	XM_022693153.2.p1, XM_013810240.3.p1, XM_048757794.1.p1, XM_048759468.1.p1, XM_048759464.1.p1, XM_048776739.1.p1, XM_048762505.1.p1, XM_048762506.1.p1, XR_007326065.1.p1, XM_048762507.1.p1, XM_048776740.1.p1, XR_007326066.1.p1, XM_048762504.1.p1, XR_007326067.1.p1, XR_007318522.1.p1, XR_007318523.1.p1, XR_007318521.1.p1, XM_048745852.1.p1
OG0003912	NM_128571.3.p1	XM_048753957.1.p1, XM_048780853.1.p1, XM_048774622.1.p1, XM_048754322.1.p1
OG0003912	NM_100577.4.p1	XM_013809082.3.p1, XM_013841683.3.p1
OG0003913	NM_128448.4.p1	XM_013792243.3.p1, XM_048754491.1.p1
OG0003913	NM_100636.3.p1	XM_013802110.3.p1, XM_048765651.1.p1, XM_013856593.3.p1, XM_048757873.1.p1
OG0003914	NM_119007.3.p1	XM_048781812.1.p1
OG0003914	NM_100732.3.p1	XM_013802198.3.p1, XM_013823400.3.p1
OG0003915	NM_104609.4.p1	XM_013816770.3.p1, XM_013889266.3.p1, XM_013877684.3.p1
OG0003915	NM_100868.3.p1	XM_013860967.3.p1, XM_022714204.2.p1
OG0003916	NM_100909.4.p1	XM_013802304.3.p1, XM_013895340.3.p1
OG0003916	NM_104665.2.p1	XM_013875840.3.p1, XM_013797724.3.p1
OG0003916	NM_114663.3.p1	XM_022687393.2.p1, XM_013829836.3.p1, XM_013852915.3.p1, XM_013816562.3.p1, XM_013866210.2.p1, XM_013886768.3.p1
OG0003917	NM_101078.3.p1	XM_013799835.3.p1, XM_013822432.3.p1
OG0003918	NM_126347.3.p1	XM_013858531.3.p1, XM_048744127.1.p1, XM_013879272.3.p1, XM_013804869.3.p1, XM_013848532.3.p1
OG0003918	NM_101294.3.p1	XM_022708675.2.p1, XM_013785827.3.p1
OG0003918	NM_101739.3.p1	XM_022690316.2.p1
OG0003919	NM_101338.4.p1	XM_013856962.3.p1, XM_022708374.2.p1, XM_013875532.3.p1
OG0003919	NM_126252.4.p1	XM_013872358.3.p1
OG0003920	NM_101603.3.p1	XM_048741655.1.p1, XM_013827519.3.p1
OG0003920	NM_105911.5.p1	XM_013887882.3.p1
OG0003921	NM_127184.3.p1	XM_048739601.1.p1, XM_013850833.3.p1
OG0003921	NM_119616.3.p1	XM_013875329.3.p1
OG0003921	NM_101800.3.p1	XM_013809197.3.p1, XM_048765123.1.p1, XM_013786436.3.p1, XM_013842285.3.p1
OG0003922	NM_101823.4.p1	XM_013856994.3.p1
OG0003922	NM_123753.3.p1	XM_013806293.3.p1, XM_048767546.1.p1, XM_013893707.3.p1, XM_013848129.3.p1
OG0003923	NM_101916.4.p1	XM_022687328.2.p1, XM_048738077.1.p1
OG0003923	NM_106286.4.p1	XM_013862440.3.p1, XM_048735773.1.p1, XM_022688982.2.p1, XM_013865709.3.p1
OG0003924	NM_106400.3.p1	XM_013794579.3.p1, XM_048753838.1.p1
OG0003924	NM_102024.4.p1	XM_013791398.3.p1, XM_013840239.3.p1, XM_048736774.1.p1, XM_013788362.3.p1, XM_013872836.3.p1
OG0003925	NM_201860.2.p1, NM_102570.4.p1	XM_048740127.1.p1, XM_013807038.3.p1, XM_048736648.1.p1, XM_013829956.3.p1, XM_013801510.3.p1, XM_013829851.3.p1
OG0003926	NM_102612.4.p1	XM_013801483.3.p1, XM_013829954.3.p1, XM_048740112.1.p1, XM_013836966.3.p1
OG0003927	NM_102668.4.p1	XM_013799644.3.p1, XM_013804220.3.p1, XM_013840999.3.p1
OG0003927	NM_180689.3.p1	XM_048753290.1.p1, XM_013808212.3.p1
OG0003928	NM_102672.4.p1	XM_022714787.2.p1, XM_013807166.3.p1, XM_013838052.3.p1
OG0003929	NM_102780.3.p1	XM_013801352.3.p1, XM_013884075.3.p1, XM_013807009.3.p1, XM_013851034.3.p1
OG0003930	NM_102993.4.p1, NM_129076.4.p1	XM_048778482.1.p1, XM_022711970.2.p1, XM_048780626.1.p1, XM_013800619.3.p1
OG0003931	NM_103245.3.p1	XM_013859379.3.p1
OG0003932	NM_103492.5.p1	XM_022715177.2.p1, XM_013840118.3.p1
OG0003933	NM_104032.5.p1	XM_013784940.2.p1, XM_013846924.3.p1, XM_013881163.3.p1, XM_013829583.3.p1
OG0003934	NM_104034.5.p1	XM_048774118.1.p1, XM_013893596.3.p1, XM_013871394.3.p1
OG0003934	NM_113008.5.p1	XM_013784982.3.p1, XM_013784968.3.p1, XM_013817040.3.p1, XM_013829585.3.p1, XM_022719551.2.p1, XM_048774360.1.p1
OG0003935	NM_104457.5.p1	XM_013793948.3.p1, XM_048751512.1.p1
OG0003936	NM_106096.4.p1	XM_048736238.1.p1
OG0003937	NM_129533.4.p1	XM_048775759.1.p1, XM_013892870.3.p1, XM_022713382.2.p1
OG0003937	NM_120687.5.p1	XM_013859722.2.p1, XM_048767246.1.p1
OG0003937	NM_106375.2.p1	XR_007325345.1.p1
OG0003938	NM_106421.5.p1	XM_048736347.1.p1, XM_013793230.3.p1, XM_013809024.3.p1
OG0003939	NM_203136.1.p1, NM_123473.4.p1	XM_013887917.3.p1, XM_013843712.3.p1, XM_013843713.3.p1, XM_013792344.3.p1
OG0003939	NM_111070.4.p1	XM_013834408.3.p1
OG0003940	NM_111102.2.p1	XM_048746042.1.p1, XR_007338199.1.p1, XM_048776204.1.p1, XM_013880230.2.p1
OG0003940	NM_113418.5.p1	XM_013871826.3.p1, XM_013833785.3.p1, XM_048776605.1.p1
OG0003941	NM_111522.3.p1	XM_013837898.3.p1, XM_013895214.3.p1
OG0003941	NM_111521.3.p1	XM_013822064.3.p1, XM_048770214.1.p1, XM_048776305.1.p1, XM_022709711.2.p1
OG0003942	NM_148341.5.p2	XM_013894095.3.p1, XM_013842111.3.p1, XM_048738827.1.p1, XM_013835002.3.p1, XM_013885585.3.p1, XM_013797906.3.p1, XM_013882720.3.p1, XM_013848407.3.p1
OG0003943	NM_111645.3.p1	XM_013868661.3.p1, XM_013895141.3.p1, XM_013842925.3.p1, XM_022703548.2.p1
OG0003944	NM_111647.5.p1	XM_022699450.2.p1, XM_048758584.1.p1, XM_013895147.3.p1, XM_013837707.2.p1
OG0003945	NM_111766.3.p1	XM_013829123.3.p1, XM_013880605.3.p1, XM_013829124.3.p1, XM_022719872.2.p1, XM_048759324.1.p1
OG0003946	NM_111940.3.p1	XM_048759272.1.p1
OG0003946	NM_129592.4.p1	XM_013889483.3.p1, XM_013835250.3.p1, XM_013892611.3.p1, XM_048753410.1.p1
OG0003947	NM_128276.3.p1	XM_013796277.3.p1, XM_013877099.3.p1
OG0003947	NM_112001.4.p1	XM_048746693.1.p1, XM_013809676.3.p1, XM_013826386.3.p1, XM_013853162.3.p1, XM_013894636.3.p1, XM_022689131.2.p1, XM_013817786.3.p1, XR_002658530.2.p1
OG0003948	NM_112009.4.p1	XM_013791059.3.p1, XM_013892046.3.p1
OG0003949	NM_119494.4.p1	XM_013879717.3.p1, XM_013808758.3.p1, XM_013846689.3.p1, XM_013800799.3.p1
OG0003949	NM_112811.3.p1	XM_013893882.3.p1, XM_048756873.1.p1
OG0003950	NM_112812.4.p1, NM_202610.2.p1, NM_112820.3.p1	XM_013834415.3.p1, XM_022713693.2.p1
OG0003951	NM_113409.4.p1	XM_013876249.3.p1
OG0003951	NM_117377.3.p1, NM_117378.2.p1	XM_013796506.2.p1, XM_013840764.3.p1, XM_013796507.3.p1, XM_013840789.2.p1
OG0003952	NM_122076.3.p1	XM_048767403.1.p1, XM_013866489.2.p1
