Orthogroup	Arabidopsis_thaliana_rna_prot	Hordeum_vulgare_rna_prot
OG0004679	NM_113564.4.p1	XM_045125296.1.p1, XM_045105653.1.p1
OG0004680	NM_113613.5.p1	XM_045122244.1.p1
OG0004681	NM_148063.3.p1, NM_113806.3.p1	XM_045112381.1.p1, XM_045123641.1.p1
OG0004682	NM_113981.6.p1, NM_123232.3.p1	XM_045115768.1.p1
OG0004683	NM_114522.4.p1	XM_045122460.1.p1, XM_045121818.1.p1
OG0004684	NM_115084.4.p1	XM_045122831.1.p1, XM_045121710.1.p1
OG0004685	NM_180073.4.p1, NM_115850.4.p1	XM_045103471.1.p1
OG0004686	NM_130069.3.p1, NM_115917.5.p1	XM_045104765.1.p1
OG0004687	NM_116484.3.p1, NM_116137.3.p1	XM_045125894.1.p1
OG0004688	NM_116206.3.p1	XM_045094782.1.p1, XM_045094783.1.p1, XM_045122664.1.p1, XM_045091379.1.p1
OG0004689	NM_116239.4.p1, NM_180105.2.p1	XM_045123258.1.p1, XM_045104565.1.p1
OG0004690	NM_116386.4.p1	XM_045104197.1.p1, XM_045101290.1.p1, XM_045101288.1.p1
OG0004691	NM_116449.3.p1, NM_123231.4.p1	XM_045123143.1.p1, XM_045127760.1.p1
OG0004692	NM_116923.4.p1	XM_045108894.1.p1
OG0004693	NM_116938.4.p1	XM_045096799.1.p1, XM_045110450.1.p1
OG0004694	NM_117197.4.p1, NM_179098.3.p1, NM_118488.6.p1	XM_045120480.1.p1
OG0004695	NM_117276.3.p1, NM_118669.3.p1	XM_045126264.1.p1
OG0004696	NM_129134.4.p1, NM_117740.5.p1	XM_045091929.1.p1
OG0004698	NM_118152.2.p1	XM_045126871.1.p1, XM_045096203.1.p1
OG0004699	NM_118697.4.p1, NM_179113.2.p1	XM_045129580.1.p1, XM_045105355.1.p1
OG0004700	NM_119281.2.p1, NM_128001.2.p1	XM_045095763.1.p1, XM_045114589.1.p1
OG0004701	NM_127208.2.p1, NM_119640.3.p1, NM_120048.1.p1	XM_045123035.1.p1, XM_045121603.1.p1
OG0004703	NM_119810.3.p1	XM_045116088.1.p1, XM_045116713.1.p1, XM_045116712.1.p1
OG0004704	NM_119962.2.p1	XM_045111019.1.p1
OG0004705	NM_127682.4.p1, NM_120033.5.p1	XM_045103358.1.p1
OG0004706	NM_120319.4.p1	XM_045111154.1.p1
OG0004708	NM_120367.4.p1	XM_045114459.1.p1, XM_045098930.1.p1
OG0004709	NM_120406.5.p1	XM_045091097.1.p1
OG0004710	NM_120407.6.p1, NM_180218.2.p1	XM_045095147.1.p1, XM_045112543.1.p1
OG0004711	NM_120456.1.p1, NM_120424.4.p1	XM_045127464.1.p1, XM_045115736.1.p1
OG0004712	NM_203004.1.p1, NM_120618.5.p1	XM_045125898.1.p1
OG0004713	NM_120751.4.p1	XM_045092884.1.p1, XM_045097031.1.p1
OG0004714	NM_121372.3.p1	XM_045125910.1.p1
OG0004715	NM_121980.4.p1	XM_045128419.1.p1
OG0004716	NM_122564.5.p1	XM_045126196.1.p1, XM_045129961.1.p1, XM_045129960.1.p1
OG0004717	NM_123587.5.p1	XM_045099622.1.p1, XM_045099621.1.p1
OG0004718	NM_124107.1.p1	XM_045126410.1.p1
OG0004719	NM_124129.4.p1	XM_045105129.1.p1, XM_045093764.1.p1
OG0004720	NM_124462.4.p1	XM_045125973.1.p1
OG0004721	NM_124958.3.p1	XM_045108201.1.p1
OG0004722	NM_124963.5.p1	XM_045095283.1.p1
OG0004723	NM_125455.4.p1	XM_045109577.1.p1, XM_045109576.1.p1
OG0004724	NM_125531.4.p1	XM_045095084.1.p1
OG0004725	NM_125676.5.p1	XM_045118563.1.p1, XM_045118562.1.p1, XM_045108503.1.p1
OG0004726	NM_125979.1.p1	XM_045128097.1.p1
OG0004727	NM_126278.3.p1, NM_179330.4.p1	XM_045115701.1.p1
OG0004728	NM_126417.3.p1	XM_045112578.1.p1
OG0004729	NM_127591.6.p1	XM_045125583.1.p1, XM_045126995.1.p1, XM_045126991.1.p1
OG0004730	NM_148407.3.p1, NM_127855.3.p1	XM_045095755.1.p1
OG0004731	NM_128172.4.p1	XM_045129426.1.p1, XM_045120267.1.p1
OG0004732	NM_129010.4.p1	XM_045097698.1.p1, XM_045097697.1.p1, XM_045092398.1.p1
OG0004733	NM_129123.3.p1	XM_045116085.1.p1
OG0004734	NM_129578.4.p1	XM_045116181.1.p1, XM_045116183.1.p1, XM_045100975.1.p1
OG0004735	NM_129893.3.p1	XM_045111053.1.p1
OG0004736	NM_147236.3.p1	XM_045117666.1.p1, XM_045098203.1.p1, XM_045098204.1.p1
OG0004758	NM_128723.3.p1, NM_001035811.2.p1	XM_045110293.1.p1
OG0004759	NM_001036154.2.p1	XM_045100604.1.p1
OG0004760	NM_101099.5.p1, NM_104951.4.p1, NM_001036543.2.p1, NM_117310.4.p1	XM_045099710.1.p1, XM_045111389.1.p1
OG0004761	NM_180807.2.p1, NM_001036940.1.p1	XR_006617938.1.p1, XM_045107033.1.p1, XM_045119639.1.p1
OG0004762	NM_001123742.1.p1, NM_001083978.2.p1	XM_045111444.1.p1, XR_006622396.1.p1
OG0004763	NM_117128.3.p1, NM_001340679.1.p1, NM_001084177.2.p1	XM_045108164.1.p1, XM_045108163.1.p1
OG0004764	NM_105834.4.p1, NM_001084341.2.p1	XM_045120954.1.p1
OG0004765	NM_111668.4.p1, NM_001337748.1.p1, NM_001084654.2.p1	XM_045114969.1.p1
OG0004766	NM_101766.3.p1, NM_001084828.3.p1, NM_001198102.1.p1	XM_045125932.1.p1, XM_045121381.1.p1
OG0004767	NM_001084849.2.p1	XM_045109442.1.p1
OG0004768	NM_117577.4.p1, NM_001084922.2.p1, NM_001203805.2.p1, NM_180294.2.p1, NM_180293.1.p1	XM_045108340.1.p1, XM_045111954.1.p1
OG0004770	NM_001085031.1.p1, NM_179174.3.p1, NM_119789.2.p1, NM_127366.4.p1	XM_045103348.1.p1, XM_045106726.1.p1
OG0004771	NM_001343793.1.p1, NM_180731.3.p1, NM_001085146.2.p1	XM_045097170.1.p1, XM_045104115.1.p1
OG0004772	NM_001203559.1.p1, NM_124197.3.p1, NM_001344764.1.p1, NM_001085265.2.p1	XM_045092968.1.p1, XM_045110888.1.p1
OG0004773	NM_001085290.2.p1	XM_045119824.1.p1, XM_045119825.1.p1
OG0004774	NM_001123736.1.p1, NM_001123735.2.p1, NM_116341.4.p1, NM_130193.3.p1	XM_045113726.1.p1
OG0004775	NM_001123885.2.p1	XM_045112573.1.p1
OG0004777	NM_117040.4.p1, NM_001160745.1.p1, NM_127757.3.p1, NM_001335777.1.p1, NM_001124885.1.p1, NM_102121.3.p1	XM_045120943.1.p1, XM_045125200.1.p1
OG0004778	NM_001125574.2.p1, NM_001341707.1.p1, NM_001341708.1.p1	XM_045110969.1.p1, XM_045110970.1.p1
OG0004779	NM_114870.4.p1, NM_114869.1.p1, NM_120636.4.p1, NM_001125703.2.p1, NM_126124.4.p1, NM_001345818.1.p1, NM_001345817.1.p1	XM_045112295.1.p1
OG0004780	NM_001125708.1.p1, NM_001125709.1.p1, NM_120758.4.p1	XM_045111978.1.p1, XM_045111977.1.p1
OG0004781	NM_001202928.1.p1, NM_202547.4.p1, NM_001337904.1.p1, NM_001161131.1.p1, NM_180226.3.p1, NM_202546.4.p1	XM_045125666.1.p1
OG0004783	NM_001334664.1.p1, NM_101747.3.p1, NM_001332378.1.p1, NM_001198101.1.p1	XM_045128669.1.p1
OG0004785	NM_119239.3.p1, NM_001342046.1.p1, NM_119238.5.p1, NM_127981.4.p1, NM_001202658.1.p1	XM_045095443.1.p1, XM_045100788.1.p1, XM_045100781.1.p1
OG0004786	NM_129021.2.p1, NM_001202747.2.p1	XM_045120311.1.p1
OG0004787	NM_001202898.2.p1, NM_121867.4.p1	XM_045118778.1.p1, XM_045109142.1.p1
OG0004788	NM_114212.5.p1, NM_001203078.1.p1, NM_122098.5.p1	XM_045112267.1.p1
OG0004789	NM_001203595.1.p1, NM_001345001.1.p1	XM_045099585.1.p1
OG0004790	NM_124913.4.p1, NM_124912.5.p1, NM_001203615.1.p1	XM_045114788.1.p1, XM_045112957.1.p1, XM_045103184.1.p1
OG0004791	NM_001345551.1.p1, NM_001345552.1.p1, NM_001345550.1.p1, NM_001203668.2.p1	XM_045129859.1.p1, XM_045129860.1.p1
OG0004792	NM_120962.3.p1, NM_001203681.1.p1, NM_125783.4.p1	XR_006622588.1.p1, XR_006622587.1.p1, XR_006622589.1.p1, XR_006622594.1.p1, XR_006622593.1.p1, XR_006622590.1.p1, XM_045112828.1.p1, XR_006622586.1.p1, XR_006622591.1.p1, XM_045109778.1.p1, XM_045097126.1.p1
OG0004793	NM_001203845.2.p1	XM_045101397.1.p1
OG0004794	NM_001204012.2.p1, NM_119865.4.p1	XM_045101193.1.p1
OG0004795	NM_128783.5.p1, NM_001331543.1.p1, NM_001331539.1.p1, NM_001331541.1.p1	XM_045111683.1.p1
OG0004796	NM_001331790.1.p1, NM_100755.3.p1	XM_045122906.1.p1, XM_045092246.1.p1, XM_045094020.1.p1
OG0004797	NM_001331994.1.p1, NM_104856.4.p1, NM_118245.1.p1, NM_118244.4.p1	XM_045104317.1.p1, XM_045121375.1.p1
OG0004798	NM_001332220.1.p1	XM_045097958.1.p1, XM_045097957.1.p1
OG0004800	NM_001332379.1.p1	XM_045129515.1.p1, XM_045109825.1.p1, XM_045109826.1.p1
OG0004801	NM_001332907.1.p1, NM_001332906.1.p1, NM_001332908.1.p1, NM_102791.5.p1	XM_045102977.1.p1, XM_045110075.1.p1
OG0004802	NM_001333092.1.p1	XM_045106419.1.p1, XM_045112781.1.p1
OG0004803	NM_112300.4.p1, NM_001333602.1.p1, NM_001333603.1.p1	XM_045106334.1.p1
OG0004804	NM_001334131.1.p1, NM_180639.1.p1, NM_001334133.1.p1, NM_202356.1.p1	XM_045094846.1.p1
OG0004805	NM_105415.3.p1, NM_001334300.1.p1	XM_045122296.1.p1, XM_045110351.1.p1
OG0004807	NM_001334740.1.p1, NM_001334741.1.p1, NM_202429.2.p1	XM_045110596.1.p1, XM_045110597.1.p1
OG0004808	NM_106606.2.p1, NM_202450.2.p1, NM_202449.2.p1, NM_001334894.1.p1	XM_045104514.1.p1
OG0004809	NM_001335308.1.p1, NM_126666.4.p1, NM_001343297.1.p1	XM_045125142.1.p1
OG0004810	NM_103506.1.p1, NM_123588.4.p1, NM_123589.4.p1, NM_001335381.1.p1, NM_001335380.1.p1	XM_045124598.1.p1
OG0004811	NM_179822.4.p1, NM_001336283.1.p1	XM_045115576.1.p1
OG0004812	NM_001336608.1.p1, NM_129229.4.p1	XM_045100390.1.p1
OG0004813	NM_129432.3.p1, NM_001336725.1.p1	XM_045123602.1.p1
OG0004814	NM_001340005.1.p1, NM_001337072.1.p1, NM_129972.4.p1	XM_045124516.1.p1, XM_045124515.1.p1
OG0004815	NM_001337229.1.p1, NM_001337228.1.p1, NM_001337230.1.p1, NM_180135.3.p1	XM_045115337.1.p1, XM_045094551.1.p1
OG0004816	NM_201983.2.p1, NM_130356.5.p1, NM_001337283.1.p1	XM_045113531.1.p1, XM_045113532.1.p1, XM_045125631.1.p1
OG0004817	NM_111113.4.p1, NM_180172.2.p1, NM_001337410.1.p1, NM_001337409.1.p1, NM_121598.4.p1	XM_045123790.1.p1
OG0004818	NM_111213.3.p1, NM_001337470.1.p1	XM_045110968.1.p1, XM_045110967.1.p1
OG0004819	NM_001337546.1.p1, NM_111361.4.p1	XM_045120484.1.p1, XM_045120444.1.p1, XM_045120467.1.p1
OG0004820	NM_001337584.1.p1, NM_111416.3.p1, NM_122647.3.p1	XM_045108962.1.p1, XM_045108971.1.p1
OG0004821	NM_112344.5.p1, NM_001338138.1.p1, NM_104223.6.p1, NM_202288.3.p1	XM_045121024.1.p1
OG0004822	NM_001338511.1.p1, NM_104044.3.p1	XM_045102000.1.p1, XM_045104095.1.p1, XM_045095454.1.p1
OG0004823	NM_001339131.1.p1, NM_001339129.1.p1, NM_119416.8.p1	XM_045124594.1.p1
OG0004824	NM_001339583.1.p1, NM_001339584.1.p1, NM_115132.3.p1, NM_180354.2.p1	XM_045094107.1.p1, XM_045114132.1.p1, XM_045114131.1.p1
OG0004825	NM_001339729.1.p1, NM_125972.5.p1	XM_045108204.1.p1
OG0004826	NM_001339872.1.p1, NM_001339874.1.p1, NM_001339873.1.p1, NM_115607.4.p1, NM_001339871.1.p1, NM_129743.4.p1	XM_045109332.1.p1
OG0004827	NM_129760.5.p1, NM_001339904.1.p1	XM_045126364.1.p1
OG0004828	NM_116459.4.p1, NM_001340369.1.p1, NM_202772.2.p1	XM_045125599.1.p1
OG0004829	NM_001340423.1.p1, NM_001340424.1.p1	XM_045093782.1.p1
OG0004830	NM_001340948.1.p1	XM_045098011.1.p1, XM_045098010.1.p1, XM_045119674.1.p1
OG0004831	NM_001342010.1.p1, NM_001342011.1.p1	XM_045096970.1.p1
OG0004832	NM_116221.1.p1, NM_100085.4.p1	XM_045115344.1.p1
OG0004833	NM_001342652.1.p1	XR_006630519.1.p1
OG0004834	NM_120403.3.p1, NM_001342693.1.p1	XM_045121336.1.p1
OG0004835	NM_001342854.1.p1, NM_001342852.1.p1	XM_045119937.1.p1, XM_045119935.1.p1
OG0004837	NM_001343294.1.p1, NM_180484.3.p1, NM_121383.4.p1, NM_001343295.1.p1	XM_045100582.1.p1
OG0004838	NM_001344290.1.p1, NM_001344292.1.p1, NM_001344291.1.p1, NM_001344293.1.p1, NM_121547.2.p1, NM_001343400.1.p1	XM_045126540.1.p1
OG0004839	NM_120489.4.p1, NM_001343428.1.p1, NM_001343430.1.p1	XM_045129390.1.p1, XM_045129391.1.p1
OG0004840	NM_001343910.1.p1, NM_122424.4.p1	XM_045106517.1.p1, XM_045106515.1.p1
OG0004841	NM_001344231.1.p1, NM_001344232.1.p1, NM_123181.4.p1, NM_105357.2.p1	XM_045118668.1.p1, XM_045116009.1.p1
OG0004842	NM_001344713.1.p1, NM_124095.4.p1	XM_045111662.1.p1
OG0004843	NM_001345631.1.p1, NM_180936.2.p1, NM_125843.3.p1	XM_045097587.1.p1
OG0004844	NM_148184.3.p1, NM_100005.3.p1	XM_045094416.1.p1, XM_045101860.1.p1
OG0004845	NM_101692.2.p1	XM_045099860.1.p1
OG0004846	NM_101865.4.p1	XM_045100954.1.p1, XM_045109293.1.p1
OG0004847	NM_102146.3.p1, NM_105782.3.p1	XM_045129258.1.p1
OG0004848	NM_102414.4.p1	XM_045109132.1.p1
OG0004849	NM_129013.3.p1, NM_102751.5.p1	XM_045128697.1.p1, XM_045090969.1.p1
OG0004850	NM_102762.5.p1, NM_127367.3.p1	XM_045109007.1.p1, XM_045109006.1.p1, XM_045109008.1.p1
OG0004852	NM_103495.4.p1	XM_045091008.1.p1, XM_045124761.1.p1
OG0004853	NM_128183.4.p1, NM_179448.4.p1, NM_103623.5.p1	XM_045125406.1.p1
OG0004854	NM_112967.4.p1, NM_103992.3.p1	XM_045097104.1.p1
OG0004855	NM_104700.5.p1	XM_045124414.1.p1
OG0004856	NM_104906.2.p1	XM_045104743.1.p1
OG0004857	NM_104920.3.p1	XM_045097847.1.p1, XM_045103594.1.p1
OG0004858	NM_105087.2.p1	XM_045120468.1.p1
OG0004859	NM_105838.5.p1	XM_045124695.1.p1
OG0004861	NM_129396.4.p1, NM_111720.4.p1	XM_045121627.1.p1
OG0004862	NM_111944.4.p1, NM_120634.4.p1	XM_045121801.1.p1, XM_045121902.1.p1
OG0004864	NM_112035.4.p1	XM_045123977.1.p1, XM_045123989.1.p1, XM_045123996.1.p1, XM_045123983.1.p1
OG0004865	NM_112064.5.p1	XM_045100562.1.p1
OG0004867	NM_112490.4.p1	XM_045104323.1.p1
OG0004869	NM_113167.5.p1	XM_045092808.1.p1
OG0004870	NM_117538.2.p1, NM_113200.3.p1	XM_045128738.1.p1, XM_045129529.1.p1
OG0004871	NM_113321.5.p1	XM_045106060.1.p1, XM_045101805.1.p1
OG0004872	NM_113338.5.p1	XM_045096196.1.p1
OG0004873	NM_114730.3.p1, NM_125750.6.p1	XM_045122243.1.p1
OG0004874	NM_122373.3.p1, NM_114816.4.p1	XM_045110483.1.p1, XM_045118603.1.p1
OG0004875	NM_115027.2.p1	XM_045113434.1.p1, XM_045113433.1.p1, XM_045127767.1.p1
OG0004876	NM_115110.3.p1	XM_045112685.1.p1
OG0004878	NM_115547.3.p1, NM_129666.5.p1	XM_045116472.1.p1, XM_045090889.1.p1
OG0004880	NM_115852.4.p1, NM_129966.4.p1	XM_045126274.1.p1, XM_045126273.1.p1, XM_045108767.1.p1
OG0004881	NM_115900.4.p1	XM_045121449.1.p1
OG0004882	NM_116174.4.p1	XM_045111137.1.p1
OG0004883	NM_116290.4.p1	XM_045090087.1.p1
OG0004884	NM_116546.3.p1	XM_045095793.1.p1
OG0004885	NM_118336.5.p1, NM_116659.5.p1	XM_045110861.1.p1
OG0004886	NM_128656.3.p1, NM_116887.3.p1	XM_045123960.1.p1
OG0004887	NM_117133.5.p1	XM_045115586.1.p1
OG0004888	NM_117277.3.p1	XM_045093800.1.p1, XM_045098721.1.p1
OG0004889	NM_117304.3.p1	XM_045103632.1.p1, XM_045104295.1.p1
OG0004890	NM_129132.2.p1, NM_117746.4.p1	XM_045114390.1.p1
OG0004892	NM_118513.3.p1	XM_045120445.1.p1, XM_045120442.1.p1
OG0004893	NM_119018.3.p1	XM_045111184.1.p1
OG0004894	NM_119504.4.p1	XM_045091933.1.p1, XM_045126693.1.p1, XM_045126147.1.p1
OG0004895	NM_126123.5.p1, NM_119853.4.p1	XM_045100044.1.p1
OG0004897	NM_120271.4.p1	XR_006610151.1.p1
OG0004898	NM_120282.4.p1	XM_045122644.1.p1
OG0004899	NM_120471.4.p1, NM_180430.2.p1	XM_045095102.1.p1, XM_045095101.1.p1, XM_045095096.1.p1, XM_045095098.1.p1
OG0004900	NM_120574.5.p1	XM_045121471.1.p1
OG0004901	NM_125914.5.p1, NM_121047.2.p1	XM_045097011.1.p1
OG0004902	NM_121374.4.p1	XM_045127198.1.p1
OG0004903	NM_121770.4.p1	XM_045097558.1.p1
OG0004904	NM_121978.4.p1	XM_045113465.1.p1, XM_045113466.1.p1, XM_045123410.1.p1
OG0004905	NM_122195.4.p1	XM_045099410.1.p1
OG0004906	NM_122629.3.p1	XM_045095627.1.p1, XM_045126641.1.p1, XM_045126640.1.p1
OG0004907	NM_126480.2.p1, NM_122978.2.p1	XM_045118984.1.p1
OG0004908	NM_123425.5.p1	XM_045122687.1.p1, XM_045122686.1.p1, XM_045122684.1.p1, XM_045122685.1.p1, XM_045122688.1.p1
OG0004909	NM_124360.4.p1	XM_045122033.1.p1, XM_045118949.1.p1
OG0004910	NM_124467.2.p1	XM_045120648.1.p1, XM_045120647.1.p1, XM_045119675.1.p1, XM_045121124.1.p1
OG0004911	NM_124630.5.p1	XM_045111468.1.p1
OG0004912	NM_125131.2.p1	XM_045097498.1.p1, XM_045093026.1.p1
OG0004913	NM_125142.4.p1	XR_006612006.1.p1, XM_045099581.1.p1
OG0004914	NM_125184.3.p1	XM_045103732.1.p1
OG0004915	NM_125538.3.p1	XM_045127368.1.p1, XM_045127369.1.p1
OG0004916	NM_126022.4.p1	XM_045124410.1.p1
OG0004917	NM_126467.4.p1	XM_045093588.1.p2, XM_045093589.1.p1, XM_045093586.1.p1, XM_045093587.1.p1
OG0004918	NM_127281.2.p1	XM_045112046.1.p1, XR_006622453.1.p1, XR_006622452.1.p1, XM_045112045.1.p1, XM_045097845.1.p1
OG0004919	NM_127396.3.p1	XM_045094420.1.p1, XM_045092089.1.p1
OG0004920	NM_129188.4.p1	XM_045102965.1.p1, XM_045096919.1.p1
OG0004921	NM_129441.5.p1	XM_045129427.1.p1
OG0004922	NM_129503.4.p1	XM_045122305.1.p1, XM_045121848.1.p1
OG0004923	NM_129669.4.p1	XM_045105002.1.p1
OG0004925	NM_129804.4.p1	XM_045097174.1.p1, XM_045123828.1.p2
OG0004926	NM_130259.2.p1	XM_045115514.1.p1
OG0004927	NM_148342.8.p1	XM_045120077.1.p1, XM_045120078.1.p1, XM_045124250.1.p1
OG0004928	NM_148433.3.p1	XM_045122363.1.p1, XM_045110257.1.p1, XM_045110256.1.p1
OG0004929	NM_179028.2.p1	XM_045111608.1.p1, XM_045106396.1.p1, XM_045123369.1.p1
OG0004930	NM_179667.3.p1	XM_045095386.1.p1
OG0004931	NM_179786.2.p1	XM_045106415.1.p1
OG0004932	NM_179833.2.p1	XM_045126261.1.p1
OG0004933	NM_179887.3.p1	XM_045127183.1.p1
OG0004956	NM_115334.4.p1, NM_001035783.3.p1, NM_001339696.1.p1	XM_045125993.1.p1
OG0004957	NM_001333540.1.p1, NM_104115.8.p1, NM_001036097.2.p1, NM_001124001.2.p1, NM_118976.4.p1	XM_045115809.1.p1
OG0004958	NM_127677.3.p1, NM_001202638.2.p1, NM_001036305.1.p1	XM_045097696.1.p1
OG0004959	NM_001036378.3.p1, NM_128685.3.p1	XM_045101702.1.p1
OG0004960	NM_110986.4.p1, NR_140814.1.p1, NM_001036609.1.p1, NM_118240.4.p1	XM_045109579.1.p1, XM_045109580.1.p1
OG0004961	NM_001036882.1.p1, NM_001344057.1.p1	XM_045089802.1.p1
OG0004963	NM_106738.2.p1, NM_001084076.1.p1, NM_001198078.1.p1	XM_045102569.1.p1
OG0004966	NM_001335265.1.p1, NM_001335264.1.p1, NM_001084411.2.p1, NM_001335266.1.p1, NM_126516.3.p1	XM_045126678.1.p1
OG0004967	NM_001084570.1.p1, NM_001161097.1.p1, NM_201934.3.p1	XM_045103260.1.p1
OG0004968	NM_124769.5.p1, NM_001345072.1.p1, NM_180855.2.p1, NM_001084689.2.p1	XM_045121394.1.p1
OG0004969	NM_001085291.3.p1, NM_001203629.1.p1	XM_045112221.1.p1
OG0004970	NM_001123901.2.p1, NM_102624.4.p1, NM_001332819.1.p1	XM_045122127.1.p1, XM_045122130.1.p1
OG0004971	NM_001125406.1.p1, NM_116027.5.p1	XM_045127312.1.p1
OG0004972	NM_001125805.1.p1, NM_122512.4.p1	XM_045121578.1.p1
OG0004973	NM_001126002.2.p1, NM_001345503.1.p1, NM_125585.2.p1, NM_001345506.1.p1, NM_001345504.1.p1	XM_045094976.1.p1
OG0004974	NM_117845.4.p1, NM_001160775.1.p1, NM_124113.5.p1	XM_045128819.1.p1
OG0004975	NM_001336867.1.p1, NM_001161094.2.p1	XM_045121520.1.p1
OG0004976	NM_103431.7.p1, NM_001198218.1.p1	XM_045127079.1.p1
OG0004977	NM_001198447.1.p1, NM_105852.3.p1, NM_117026.5.p1	XM_045123947.1.p1, XR_006631493.1.p1
OG0004978	NM_106514.4.p1, NM_001198500.1.p1, NM_106515.4.p1, NM_106513.5.p1, NM_179569.4.p1	XM_045123700.1.p1, XM_045123691.1.p1
OG0004979	NM_127307.4.p1, NM_001202613.1.p1, NM_119715.3.p1	XM_045128452.1.p1, XM_045109864.1.p1
OG0004980	NM_001202648.1.p1, NM_127826.5.p1	XM_045127419.1.p1, XM_045127418.1.p1
OG0004981	NM_001202764.1.p1, NM_179942.4.p1	XM_045126310.1.p1
OG0004982	NM_001203300.2.p1, NM_120639.2.p1	XM_045108237.1.p1
OG0004983	NM_001203357.2.p1	XM_045126948.1.p1
OG0004984	NM_121948.2.p1, NM_001203410.1.p1, NM_001343602.1.p1, NM_001343601.1.p1, NM_121269.3.p1	XM_045118258.1.p1
OG0004985	NM_001203455.1.p1, NM_122368.4.p1	XM_045114560.1.p1, XM_045106263.1.p1
OG0004986	NM_001203456.1.p1, NM_001343883.1.p1, NM_122370.2.p1	XM_045104407.1.p1
OG0004987	NM_179221.2.p1, NM_118655.4.p1, NM_001203586.2.p1, NM_124524.2.p1	XM_045109861.1.p1
OG0004988	NM_001203945.1.p1, NM_119215.4.p1, NM_127968.3.p1	XM_045097406.1.p1
OG0004989	NM_100842.4.p1, NM_001331846.1.p1	XM_045127650.1.p1, XM_045094368.1.p1
OG0004990	NM_001332126.1.p1, NM_001332125.1.p1, NM_101323.3.p1	XM_045120907.1.p1, XM_045120255.1.p1
OG0004991	NM_001335086.1.p1, NM_101330.5.p1, NM_001332129.1.p1	XM_045095750.1.p1
OG0004993	NM_103158.3.p1, NM_001333098.1.p1	XM_045124724.1.p1
OG0004994	NM_001333916.1.p1, NM_104763.3.p1	XM_045118933.1.p1, XM_045110574.1.p1
OG0004995	NM_001334327.1.p1, NM_105450.4.p1	XM_045117220.1.p1
OG0004996	NM_001334483.1.p1, NM_105769.5.p1	XM_045120377.1.p1
OG0004997	NM_001334607.1.p1, NM_106044.6.p1	XM_045123831.1.p1
OG0004999	NM_001334899.1.p1, NM_001334898.1.p1, NM_001334897.1.p1, NM_001334896.1.p1, NM_106611.3.p1	XM_045111776.1.p1, XM_045125729.1.p1
OG0005000	NM_001334903.1.p1, NM_001334904.1.p1, NM_001334902.1.p1, NM_001334900.1.p1, NM_001334905.1.p1, NM_106612.4.p1, NM_101488.2.p1	XM_045101757.1.p1
OG0005001	NM_106731.3.p1, NM_001335016.1.p1, NM_101464.4.p1	XM_045105396.1.p1
OG0005002	NM_001335203.1.p1	XM_045089788.1.p1, XM_045089787.1.p1
OG0005003	NM_203087.4.p1, NM_001335293.1.p1, NM_001335291.1.p1, NM_001335289.1.p1, NM_001335290.1.p1, NM_126614.3.p1	XM_045100297.1.p1, XM_045094924.1.p1
OG0005004	NM_127117.3.p1, NM_001335456.1.p1	XM_045129620.1.p1, XM_045129622.1.p1
OG0005005	NM_127193.2.p1, NM_001335476.1.p1	XM_045128303.1.p1, XM_045109145.1.p1
OG0005006	NM_001335548.1.p1, NM_127297.5.p1, NM_119711.4.p1	XM_045103527.1.p1, XM_045095169.1.p1
OG0005007	NM_127674.5.p1, NM_001335564.1.p1, NM_127339.3.p1	XM_045099959.1.p1, XM_045099957.1.p1
OG0005008	NM_001336302.1.p1, NM_128631.4.p1, NM_180151.4.p1	XM_045117844.1.p1
OG0005009	NM_001336368.1.p1, NM_128764.4.p1	XM_045129381.1.p1, XM_045109906.1.p1
OG0005010	NM_001336430.1.p1, NM_001336425.1.p1, NM_001336427.1.p1, NM_001336426.1.p1, NM_001336429.1.p1, NM_001336431.1.p1, NM_001336428.1.p1	XM_045111174.1.p1
OG0005011	NM_001337252.1.p1, NM_001337253.1.p1, NM_180139.4.p1	XM_045125029.1.p1
OG0005012	NM_001337291.1.p1, NM_001337290.1.p1	XR_006630765.1.p1
OG0005013	NM_121649.6.p1, NM_001337434.1.p1, NM_111146.4.p1	XM_045109531.1.p1, XM_045119176.1.p1
OG0005014	NM_001337523.1.p1, NM_001337520.1.p1, NM_001337521.1.p1, NM_001337522.1.p1, NM_001337519.1.p1, NM_111241.4.p1, NR_141025.1.p1, NR_141027.1.p1, NM_001343525.1.p1	XM_045128645.1.p1
OG0005015	NM_001337883.1.p1, NM_180224.4.p1	XM_045104171.1.p1, XM_045104172.1.p1
OG0005016	NM_001337960.1.p1, NM_112023.2.p1	XM_045129747.1.p1, XM_045129749.1.p1, XM_045129746.1.p1, XM_045129745.1.p1, XM_045092932.1.p1, XM_045110338.1.p1
OG0005018	NM_103840.3.p1, NM_001338380.1.p1, NM_001338379.1.p1, NM_001338378.1.p1	XM_045129023.1.p1
OG0005019	NM_001339221.1.p1	XM_045092979.1.p1
OG0005020	NM_114489.5.p1, NM_001339237.1.p1, NM_001339238.1.p1, NM_001339239.1.p1, NM_001339240.1.p1, NM_001339241.1.p1	XM_045127593.1.p1
OG0005021	NM_001339278.1.p1, NM_114554.4.p1	XM_045113864.1.p1
OG0005022	NM_001339491.1.p1, NM_114974.4.p1	XM_045126211.1.p1
OG0005023	NM_001339618.1.p1	XM_045111257.1.p1
