Orthogroup	Arabidopsis_thaliana_rna_prot	Coffea_arabica_rna_prot
OG0002847	NM_105308.2.p1, NM_105310.4.p1, NM_104541.4.p1	XM_027223738.1.p1, XM_027217432.1.p1
OG0002848	NM_104882.5.p1, NM_127711.4.p1	XM_027235741.1.p1
OG0002850	NM_111071.3.p1	XM_027262240.1.p1
OG0002851	NM_120617.3.p1, NM_111935.6.p1	XM_027254884.1.p1, XM_027254886.1.p1, XM_027254882.1.p1
OG0002852	NM_112164.3.p1	XM_027271775.1.p1, XM_027271776.1.p1
OG0002853	NM_121317.3.p1	XM_027239532.1.p1, XM_027242440.1.p1
OG0002854	NM_122169.3.p1, NM_114340.4.p1, NM_128342.3.p1	XM_027250791.1.p1
OG0002855	NM_119780.3.p1, NM_127358.6.p1, NM_114978.3.p1	XM_027208280.1.p1
OG0002856	NM_115874.6.p1, NM_130006.3.p1	XM_027257840.1.p1
OG0002856	NM_115660.2.p1, NM_129778.3.p1	XM_027212274.1.p1, XM_027216455.1.p1
OG0002857	NM_128169.5.p1	XM_027228049.1.p1, XM_027226817.1.p1
OG0002857	NM_125080.2.p1, NM_118746.4.p1	XM_027211505.1.p1
OG0002858	NM_203200.1.p1, NM_124682.5.p1, NM_118919.3.p1	XM_027247751.1.p1, XM_027254256.1.p1
OG0002859	NM_119718.6.p1	XM_027217963.1.p1
OG0002860	NM_125528.2.p1	XM_027267785.1.p1
OG0002860	NM_127720.2.p1, NM_120071.2.p1	XM_027259857.1.p1
OG0002861	NM_120421.3.p1	XR_003449696.1.p1
OG0002862	NM_120862.4.p1, NM_125522.4.p1	XM_027266634.1.p1
OG0002863	NM_129292.4.p1, NM_121359.5.p1	XM_027255300.1.p1
OG0002864	NM_121440.3.p1	XM_027246194.1.p1
OG0002865	NM_121524.5.p1, NM_123348.2.p1	XM_027219536.1.p1, XM_027241107.1.p1
OG0002866	NM_121532.4.p1	XM_027218806.1.p1
OG0002867	NM_121988.6.p1	XM_027205562.1.p1, XM_027205489.1.p1, XM_027217156.1.p1
OG0002868	NM_122276.3.p1	XM_027224542.1.p1
OG0002869	NM_122963.4.p1	XM_027238781.1.p1, XM_027238782.1.p1
OG0002870	NM_179983.4.p1	XM_027233478.1.p1
OG0002870	NM_129281.5.p1	XM_027216761.1.p1
OG0002871	NM_129494.2.p1	XM_027245556.1.p1
OG0002872	NM_129431.2.p1	XM_027227128.1.p1, XM_027225674.1.p1
OG0002873	NM_130060.4.p1	XM_027250736.1.p1, XM_027250735.1.p1, XM_027250734.1.p1, XM_027257131.1.p1
OG0002874	NM_179286.2.p1	XM_027258686.1.p1, XM_027258685.1.p1, XM_027251775.1.p1
OG0002875	NM_179890.4.p1	XM_027249524.1.p1, XM_027249522.1.p1, XM_027249526.1.p1, XM_027249529.1.p1
OG0002887	NM_001035584.2.p1, NM_111712.6.p1	XM_027212456.1.p1, XM_027212455.1.p1
OG0002888	NM_001344352.1.p1, NM_123441.3.p1, NM_001035703.3.p1	XM_027246167.1.p1, XM_027246169.1.p1, XM_027246168.1.p1
OG0002889	NM_113646.4.p1, NM_001035704.2.p1	XM_027219874.1.p1, XM_027246175.1.p1
OG0002889	NM_121435.2.p1	XM_027242774.1.p1
OG0002890	NM_102974.5.p1, NM_001036050.2.p1	XM_027224918.1.p1
OG0002891	NM_129074.3.p1, NM_001036581.1.p1, NM_117898.5.p1, NM_124045.5.p1	XM_027227437.1.p1, XR_003451516.1.p1
OG0002892	NM_203201.3.p1, NM_001036988.2.p1, NM_001345029.1.p1	XM_027247744.1.p1, XM_027254245.1.p1, XM_027254246.1.p1
OG0002893	NM_001084235.1.p1, NM_104112.4.p1	XM_027270520.1.p1, XM_027266868.1.p1, XR_003460281.1.p1
OG0002895	NM_114428.4.p1, NM_001084776.2.p1, NM_203237.1.p1, NM_125416.4.p1	XM_027227398.1.p1
OG0002896	NM_103620.4.p1	XM_027237508.1.p1
OG0002896	NM_001085339.1.p1, NM_126049.4.p1	XM_027218744.1.p1
OG0002897	NM_001123825.1.p1, NM_101521.3.p1	XM_027208733.1.p1, XM_027208731.1.p1
OG0002898	NM_113753.5.p1	XM_027219288.1.p1
OG0002898	NM_102263.3.p1, NM_105677.3.p1, NM_001124104.1.p1	XM_027239772.1.p1
OG0002899	NM_001124934.1.p1, NM_128443.4.p1	XM_027231314.1.p1
OG0002900	NM_001160955.2.p1, NM_001332760.1.p1, NM_001332761.1.p1, NM_102506.5.p1, NM_102276.7.p1, NM_001332644.1.p1	XR_003454532.1.p1, XM_027242690.1.p1
OG0002901	NM_120187.3.p1, NM_148698.3.p1, NM_001161127.2.p1	XM_027213025.1.p1
OG0002902	NM_180288.2.p1, NM_001161160.2.p1, NM_001332497.1.p1, NM_101988.5.p1, NM_001332498.1.p1	XM_027237352.1.p1, XM_027237350.1.p1, XM_027234931.1.p1, XM_027234932.1.p1
OG0002903	NM_103274.4.p1	XM_027237029.1.p1
OG0002903	NM_121060.4.p1, NM_121061.3.p1, NM_125901.4.p1, NM_001161326.2.p1	XM_027223648.1.p1, XM_027223649.1.p1
OG0002904	NM_126259.4.p1	XM_027244390.1.p1, XM_027241650.1.p1, XM_027241648.1.p1
OG0002905	NM_001332590.1.p1, NM_001198140.1.p1, NM_102159.3.p1, NM_105758.4.p1	XM_027244663.1.p1, XM_027244664.1.p1, XM_027241831.1.p1, XM_027241830.1.p1
OG0002906	NM_128911.3.p1, NM_001202738.1.p1, NM_102572.3.p1	XM_027243733.1.p1, XM_027240975.1.p1
OG0002907	NM_001202911.1.p1, NM_202522.1.p1	XM_027208580.1.p1, XM_027208583.1.p1, XM_027208578.1.p1
OG0002907	NM_117737.5.p1	XM_027231595.1.p1, XM_027231593.1.p1, XM_027231597.1.p1, XM_027231591.1.p1
OG0002908	NM_179952.3.p1, NM_115227.5.p1, NM_001203152.1.p1	XM_027215615.1.p1
OG0002910	NM_179318.3.p1	XM_027230179.1.p1
OG0002910	NM_001203921.1.p1, NM_118820.7.p1	XM_027209143.1.p1
OG0002911	NM_001203937.2.p1, NM_115352.4.p1, NM_129480.3.p1	XM_027233009.1.p1, XM_027230562.1.p1
OG0002912	NM_127723.3.p1, NM_001335757.1.p1, NM_001204031.2.p1, NM_120075.5.p1	XM_027256418.1.p1, XM_027249912.1.p1
OG0002913	NM_100059.3.p1, NM_001331304.1.p1	XM_027259351.1.p1
OG0002914	NM_118199.1.p1, NM_118153.4.p1, NM_001341424.1.p1, NM_001331399.1.p1	XM_027270408.1.p1, XM_027270409.1.p1
OG0002915	NM_127428.2.p1, NM_001335603.1.p1	XM_027260367.1.p1
OG0002915	NM_100298.3.p1, NM_001331466.1.p1	XM_027265269.1.p1
OG0002916	NM_001331651.1.p1, NM_001331653.1.p1, NM_001331645.1.p1, NM_001331649.1.p1, NM_001331662.1.p1, NM_001331656.1.p1, NM_001331655.1.p1, NM_001331660.1.p1, NM_001331658.1.p1	XM_027261475.1.p1, XM_027261476.1.p1, XM_027261477.1.p1, XM_027261474.1.p1, XM_027261463.1.p1, XM_027261464.1.p1, XM_027261462.1.p1, XM_027261465.1.p1
OG0002917	NM_179275.4.p1, NM_202055.4.p1, NM_203005.2.p1, NM_001331733.1.p1, NM_001332853.1.p1, NM_102681.4.p1, NM_001332855.1.p1, NM_180623.2.p1, NM_001331730.1.p1, NM_001331732.1.p1, NM_001331731.1.p1, NM_100652.5.p1	XM_027248514.1.p1, XM_027248515.1.p1
OG0002918	NM_001331933.1.p1, NM_001333921.1.p1, NM_104767.4.p1	XM_027243886.1.p1
OG0002919	NM_001332089.1.p1, NM_001336084.1.p1	XM_027255447.1.p1, XM_027255446.1.p1, XM_027255455.1.p1, XM_027255448.1.p1, XM_027255439.1.p1, XM_027255438.1.p1, XM_027255450.1.p1, XM_027255440.1.p1, XM_027255454.1.p1, XM_027248903.1.p1, XM_027248896.1.p1, XM_027248895.1.p1, XM_027248902.1.p1, XM_027248897.1.p1
OG0002920	NM_001332140.1.p1, NM_001332141.1.p1, NM_126209.3.p1, NM_001335064.1.p1	XM_027244542.1.p1
OG0002921	NM_001332354.1.p1, NM_202129.3.p1	XM_027233355.1.p1, XM_027233357.1.p1, XM_027229871.1.p1, XM_027229870.1.p1
OG0002922	NM_001337835.1.p1, NM_001332479.1.p1, NM_001332481.1.p1, NM_001332477.1.p1, NM_101945.4.p1, NM_001332478.1.p1	XR_003453274.1.p1, XM_027235747.1.p1, XR_003453275.1.p1
OG0002923	NM_125790.6.p1	XM_027258230.1.p1
OG0002923	NM_001332520.1.p1, NM_102008.5.p1, NM_001334773.1.p1	XM_027238426.1.p1
OG0002924	NM_001333360.1.p1	XM_027223466.1.p1, XM_027223467.1.p1
OG0002925	NM_112390.5.p1, NM_001333580.1.p1, NM_202285.2.p1, NM_104194.4.p1	XM_027207907.1.p1, XM_027205283.1.p1
OG0002927	NM_120330.7.p1	XM_027215522.1.p1
OG0002928	NM_202341.2.p1, NM_001334022.1.p1, NM_104905.6.p1	XM_027231109.1.p1, XM_027233125.1.p1, XM_027233126.1.p1, XM_027231103.1.p1, XM_027233124.1.p1, XM_027231105.1.p1, XM_027231108.1.p1, XM_027231107.1.p1, XM_027231106.1.p1
OG0002929	NM_001336576.1.p1, NM_001336577.1.p1, NM_129147.4.p1	XM_027211417.1.p1, XR_003449081.1.p1
OG0002930	NM_001339586.1.p1, NM_115135.3.p1, NM_001339588.1.p1, NM_001339587.1.p1, NM_201883.1.p1, NM_001336588.1.p1	XM_027217283.1.p1
OG0002931	NM_116209.3.p1	XM_027258169.1.p1
OG0002931	NM_129714.4.p1, NM_001336920.1.p1, NM_001336921.1.p1	XM_027214723.1.p1
OG0002932	NM_130331.4.p1, NM_001337269.1.p1, NM_001337270.1.p1, NM_001340180.1.p1, NM_116151.4.p1	XM_027243010.1.p1
OG0002933	NM_121594.2.p1, NM_001343426.1.p1, NM_001337408.1.p1	XM_027226436.1.p1, XM_027222298.1.p1, XM_027218256.1.p1, XM_027218255.1.p1, XM_027222573.1.p1, XM_027222574.1.p1
OG0002934	NM_118666.3.p1	XM_027248114.1.p1, XR_003457274.1.p1
OG0002934	NM_001337989.1.p1, NM_112068.9.p1	XM_027252033.1.p1, XM_027252032.1.p1
OG0002935	NM_112648.3.p1, NM_001338303.1.p1	XM_027270365.1.p1, XR_003460844.1.p1, XR_003460849.1.p1, XR_003460846.1.p1, XR_003460848.1.p1, XR_003460847.1.p1, XR_003460850.1.p1, XM_027270367.1.p1, XR_003460845.1.p1, XM_027270366.1.p1
OG0002936	NM_001338403.1.p1	XM_027250243.1.p1, XM_027250245.1.p1
OG0002937	NM_001338491.1.p1, NM_001338492.1.p1, NM_180286.1.p1, NM_112972.4.p1	XM_027221346.1.p1
OG0002938	NM_123336.6.p1, NM_001338753.1.p1	XM_027234896.1.p1, XM_027234898.1.p1, XM_027229001.1.p1, XM_027225564.1.p1
OG0002939	NM_202638.2.p1, NM_180303.4.p1, NM_001338815.1.p1, NM_113578.4.p1	XM_027246049.1.p1
OG0002940	NM_001339965.1.p1, NM_001339963.1.p1, NM_115794.4.p1, NM_202730.3.p1, NM_202729.1.p1, NM_001339960.1.p1, NM_115793.5.p1	XM_027261444.1.p1
OG0002941	NM_001340195.1.p1, NM_202753.2.p1	XM_027240436.1.p1
OG0002941	NM_113173.3.p1	XM_027265525.1.p1, XM_027265523.1.p1, XM_027265524.1.p1
OG0002942	NM_120241.4.p1, NM_116219.5.p1, NM_001340224.1.p1, NM_001340223.1.p1	XM_027210206.1.p1, XM_027210207.1.p1
OG0002943	NM_001340966.1.p1, NM_001340965.1.p1	XM_027261062.1.p1, XM_027264217.1.p1, XM_027264218.1.p1, XM_027261063.1.p1
OG0002944	NM_179066.3.p1, NM_001341131.1.p1, NM_001341130.1.p1	XM_027258776.1.p1, XM_027258772.1.p1, XM_027258782.1.p1, XM_027258775.1.p1, XM_027258780.1.p1, XM_027258774.1.p1, XM_027258777.1.p1, XM_027258773.1.p1, XM_027258778.1.p1, XM_027258781.1.p1, XM_027251842.1.p1, XM_027251840.1.p1, XM_027251837.1.p1, XM_027251838.1.p1, XM_027251841.1.p1, XM_027251836.1.p1, XM_027251839.1.p1
OG0002945	NM_001341214.1.p1, NM_001341215.1.p1	XM_027225233.1.p1
OG0002946	NM_001341743.1.p1, NM_124577.4.p1, NM_001344972.1.p1	XM_027254603.1.p1
OG0002947	NM_001341764.1.p1, NM_118709.4.p1	XM_027214989.1.p1, XR_003449630.1.p1
OG0002948	NM_001342047.1.p1, NM_127988.6.p1	XM_027212098.1.p1, XM_027216631.1.p1, XM_027211575.1.p1
OG0002949	NM_001342117.1.p1, NM_119332.4.p1	XM_027227313.1.p1
OG0002950	NM_001342210.1.p1, NM_001342209.1.p1, NM_119482.4.p1	XM_027235761.1.p1, XM_027238152.1.p1
OG0002951	NM_120204.3.p1, NM_202991.2.p1, NM_001342580.1.p1	XM_027211246.1.p1, XM_027211247.1.p1, XM_027215598.1.p1, XM_027215597.1.p1
OG0002952	NM_121164.5.p1, NM_001343175.1.p1	XM_027227362.1.p1
OG0002953	NM_001343248.1.p1, NM_203044.4.p1	XM_027227882.1.p1, XM_027209466.1.p1
OG0002954	NM_122655.4.p1, NM_001344034.1.p1, NM_001344036.1.p1, NM_001344033.1.p1	XM_027251965.1.p1
OG0002955	NM_123287.4.p1, NM_001344286.1.p1	XM_027218976.1.p1, XM_027218977.1.p1, XM_027218973.1.p1, XM_027218980.1.p1
OG0002956	NM_124892.4.p1, NM_001345107.1.p1, NM_001345110.1.p1, NM_001345112.1.p1, NM_001345113.1.p1	XM_027205742.1.p1
OG0002957	NM_001345188.1.p1, NM_125008.5.p1	XM_027205828.1.p1
OG0002958	NM_001345225.1.p1, NM_125078.2.p1	XM_027210908.1.p1
OG0002959	NM_125505.4.p1, NM_001345443.1.p1, NM_125502.5.p1	XM_027266051.1.p1, XM_027269521.1.p1, XM_027268474.1.p1, XM_027266055.1.p1, XM_027266052.1.p1
OG0002960	NM_001345592.1.p1, NM_114710.3.p1	XM_027266169.1.p1
OG0002961	NM_126106.3.p1, NM_001345810.1.p1, NM_114893.3.p1	XM_027237482.1.p1, XM_027218224.1.p1
OG0002962	NM_100238.4.p1	XM_027205670.1.p1, XM_027205674.1.p1, XM_027205689.1.p1, XM_027205690.1.p1, XM_027205672.1.p1, XM_027205673.1.p1, XM_027205676.1.p1, XM_027205684.1.p1, XM_027205680.1.p1, XM_027205687.1.p1, XM_027205686.1.p1, XM_027205679.1.p1, XM_027205688.1.p1, XM_027205681.1.p1, XM_027207727.1.p1, XM_027207734.1.p1, XM_027207741.1.p1, XM_027207737.1.p1, XM_027207735.1.p1, XM_027207733.1.p1, XM_027207738.1.p1, XM_027207730.1.p1, XM_027207729.1.p1, XM_027207728.1.p1, XM_027207731.1.p1
OG0002963	NM_100465.4.p1	XM_027261357.1.p1, XM_027263583.1.p1
OG0002964	NM_100948.3.p1	XM_027234840.1.p1
OG0002964	NM_114840.4.p1, NM_125988.2.p1	XM_027219055.1.p1
OG0002965	NM_100970.4.p1	XM_027257380.1.p1
OG0002967	NM_104680.3.p1, NM_101389.3.p1	XM_027270219.1.p1, XM_027270197.1.p1
OG0002968	NM_106028.4.p1, NM_101666.3.p1	XM_027270940.1.p1
OG0002969	NM_104957.5.p1	XM_027226235.1.p1, XM_027229364.1.p1
OG0002969	NM_106013.5.p1, NM_101686.5.p1	XM_027268888.1.p1, XM_027268889.1.p1
OG0002970	NM_124683.1.p1	XM_027259764.1.p1, XM_027252817.1.p1
OG0002970	NM_126099.1.p1, NM_101737.2.p1, NM_106108.1.p1	XM_027266530.1.p1
OG0002971	NM_101787.3.p1	XM_027235091.1.p1, XM_027237504.1.p1
OG0002972	NM_101886.4.p1	XM_027239650.1.p1
OG0002973	NM_102469.5.p1	XM_027239958.1.p1, XM_027242736.1.p1
OG0002974	NM_123839.4.p1, NM_102828.4.p1	XM_027233313.1.p1, XM_027229959.1.p1, XM_027231227.1.p1, XM_027231226.1.p1
OG0002975	NM_119799.4.p1	XM_027219130.1.p1
OG0002976	NM_103602.3.p1	XM_027234993.1.p1
OG0002977	NM_123672.4.p1, NM_103612.3.p1	XM_027236353.1.p1, XM_027266491.1.p1
OG0002978	NM_103946.3.p1, NM_112922.3.p1	XM_027208506.1.p1
OG0002979	NM_112926.5.p1, NR_143580.1.p1, NM_103948.3.p1	XM_027208405.1.p1
OG0002981	NM_104168.2.p1	XM_027205211.1.p1
OG0002983	NM_105826.4.p1	XM_027236987.1.p1, XM_027236988.1.p1, XM_027233980.1.p1, XM_027234874.1.p1, XM_027234755.1.p1, XM_027258328.1.p1
OG0002984	NM_105856.7.p1	XM_027237584.1.p1
OG0002985	NM_105937.4.p1	XM_027270097.1.p1
OG0002985	NM_125089.4.p1	XM_027210553.1.p1
OG0002986	NM_127333.5.p1, NM_114990.5.p1	XM_027217812.1.p1
OG0002986	NM_106235.5.p1	XM_027217814.1.p1
OG0002988	NM_111502.5.p1	XM_027265397.1.p1, XM_027262359.1.p1
OG0002989	NM_112071.3.p1	XM_027248760.1.p1
OG0002989	NM_111789.7.p1	XM_027213963.1.p1
OG0002990	NM_113359.4.p1	XM_027209355.1.p1, XM_027266592.1.p1, XM_027209354.1.p1
OG0002991	NM_113504.3.p1	XM_027246360.1.p1, XM_027244368.1.p1
OG0002992	NM_113705.4.p1	XM_027255950.1.p1, XM_027249434.1.p1, XM_027249435.1.p1, XM_027251484.1.p1, XR_003458803.1.p1, XM_027258415.1.p1
OG0002993	NM_114706.5.p1	XM_027225180.1.p1, XM_027225171.1.p1, XM_027225202.1.p1, XM_027225211.1.p1, XM_027225225.1.p1, XM_027263795.1.p1, XM_027263796.1.p1, XM_027261574.1.p1
OG0002994	NM_115033.4.p1	XM_027209804.1.p1
OG0002995	NM_129355.2.p1, NM_115270.5.p1	XM_027213084.1.p1
OG0002996	NM_128391.3.p1	XM_027230081.1.p1
OG0002996	NM_115337.3.p1	XM_027249172.1.p1
OG0002998	NM_115402.4.p1	XM_027255199.1.p1
OG0002999	NM_116163.4.p1	XM_027242264.1.p1
OG0003000	NM_117051.3.p1	XM_027238950.1.p1
OG0003001	NM_117539.2.p1	XM_027268042.1.p1, XR_003460455.1.p1, XR_003460452.1.p1, XR_003460454.1.p1, XR_003460456.1.p1
OG0003002	NM_127715.4.p1, NM_120069.5.p1	XM_027256377.1.p1
OG0003002	NM_117715.3.p1	XM_027235684.1.p1
OG0003003	NM_118532.4.p1, NM_118533.4.p1, NM_118531.6.p1	XM_027262619.1.p1, XM_027263991.1.p1, XM_027261334.1.p1, XM_027225095.1.p1
OG0003004	NM_119254.3.p1	XM_027213359.1.p1
OG0003005	NM_119383.4.p1	XM_027243853.1.p1, XM_027240957.1.p1, XM_027243742.1.p1, XM_027228168.1.p1
OG0003006	NM_119527.4.p1	XM_027256908.1.p1, XR_003458558.1.p1, XM_027250306.1.p1, XR_003457533.1.p1
OG0003007	NM_120781.3.p1	XM_027218904.1.p1
OG0003007	NM_120121.3.p1, NM_127768.3.p1	XM_027222399.1.p1
OG0003008	NM_124038.4.p1	XR_003448256.1.p1
OG0003009	NM_124463.4.p1	XM_027267139.1.p1
OG0003010	NM_124539.4.p1	XM_027252341.1.p1, XM_027252013.1.p1, XM_027254644.1.p1
OG0003011	NM_125828.3.p1	XM_027233387.1.p1, XM_027233391.1.p1, XM_027233383.1.p1, XM_027233392.1.p1, XM_027233386.1.p1, XM_027233396.1.p1, XM_027233385.1.p1, XM_027233393.1.p1, XM_027231420.1.p1, XR_003452517.1.p1, XR_003452494.1.p1, XR_003452516.1.p1, XR_003452513.1.p1, XR_003452499.1.p1, XR_003452509.1.p1, XR_003452510.1.p1, XR_003452501.1.p1, XR_003452514.1.p1, XR_003452502.1.p1, XR_003452512.1.p1
OG0003012	NM_126612.3.p1	XM_027234141.1.p1, XM_027212236.1.p1
OG0003013	NM_128336.3.p1	XM_027228382.1.p1
OG0003013	NM_129204.3.p1	XM_027210734.1.p1
OG0003014	NM_179868.3.p1, NM_128845.4.p1	XM_027251011.1.p1
OG0003015	NR_139744.1.p1	XM_027239726.1.p1, XM_027240793.1.p1, XM_027241847.1.p1
OG0003031	NM_126337.4.p1, NM_001035880.3.p1, NM_001335147.1.p1, NM_101302.3.p1, NM_001084065.3.p1	XM_027240758.1.p1, XM_027240759.1.p1
OG0003032	NM_001331902.1.p1, NM_001035942.5.p1	XM_027240029.1.p1
OG0003033	NM_001342009.1.p1, NM_001036659.2.p1, NM_001036658.3.p1	XM_027217221.1.p1
OG0003034	NM_001336834.1.p1	XM_027248459.1.p1
OG0003035	NM_001036893.2.p1, NM_122989.4.p1	XM_027254009.1.p1
OG0003036	NM_001331761.1.p1, NM_001331764.1.p1, NM_001331762.1.p1, NM_001331763.1.p1, NM_001084018.3.p1	XM_027255591.1.p1, XM_027249039.1.p1, XM_027228544.1.p1
OG0003037	NM_106531.3.p1, NM_106530.3.p1	XM_027209111.1.p1, XM_027271372.1.p1, XM_027208186.1.p1, XM_027271153.1.p1
OG0003037	NM_001084080.1.p1, NM_106533.3.p1, NM_106534.2.p1	XM_027219072.1.p1
OG0003039	NM_001334588.1.p1, NM_001334587.1.p1, NM_001334589.1.p1, NM_001124121.2.p1, NM_001084349.2.p1	XM_027267524.1.p1
OG0003040	NM_202377.1.p1, NM_102358.4.p1, NM_001084740.1.p1, NM_113492.4.p1	XM_027241169.1.p1, XM_027244316.1.p1
OG0003041	NM_001343797.1.p1, NM_001125792.1.p1, NM_203094.2.p1	XM_027234189.1.p1
OG0003043	NM_119667.3.p1, NM_127225.3.p1, NM_001160820.1.p1	XM_027246937.1.p1
OG0003044	NM_001334736.1.p1, NM_106312.4.p1, NM_001198122.2.p1, NM_101959.2.p1	XM_027235482.1.p1, XR_003453243.1.p1, XM_027235479.1.p1
OG0003045	NM_001198249.1.p1, NM_103808.2.p1	XM_027218700.1.p1, XM_027218702.1.p1, XM_027218701.1.p1, XM_027218707.1.p1, XM_027221863.1.p1, XM_027221873.1.p1
OG0003046	NM_001344473.1.p1, NM_001203529.1.p1, NM_123679.4.p1	XM_027234820.1.p1
OG0003047	NM_001203838.1.p1, NM_118014.4.p1, NM_123934.4.p1, NM_102706.3.p1, NM_102707.5.p1, NM_001332867.1.p1	XM_027256224.1.p1, XM_027249855.1.p1, XM_027256221.1.p1
OG0003048	NM_001203842.2.p1, NM_001341339.1.p1, NM_118064.2.p1	XM_027222114.1.p1, XM_027222014.1.p1, XM_027222214.1.p1, XM_027222274.1.p1, XM_027222106.1.p1, XM_027222090.1.p1, XM_027222229.1.p1, XM_027222048.1.p1, XM_027222065.1.p1, XM_027222207.1.p1, XM_027222021.1.p1, XM_027222198.1.p1, XM_027222296.1.p1, XM_027222223.1.p1, XM_027222033.1.p1, XM_027222183.1.p1, XM_027222268.1.p1, XM_027222098.1.p1, XM_027222311.1.p1, XM_027222136.1.p1, XM_027222121.1.p1, XM_027222237.1.p1, XM_027222075.1.p1
OG0003049	NM_001203869.2.p1	XM_027232520.1.p1
OG0003049	NM_124903.3.p1	XM_027271152.1.p1
OG0003050	NM_001341679.1.p1, NM_001203893.1.p1, NM_118583.4.p1	XM_027263224.1.p1, XM_027263225.1.p1, XM_027263223.1.p1
OG0003051	NM_119632.4.p1, NM_001203984.1.p1	XM_027234807.1.p1, XM_027256356.1.p1
OG0003052	NM_001342452.1.p1, NM_001342453.1.p1, NM_001204017.1.p1, NM_119931.3.p1, NM_119994.2.p1, NM_001342454.1.p1	XM_027222920.1.p1, XM_027222921.1.p1
OG0003053	NM_105470.3.p1, NM_120018.4.p1, NM_001342506.1.p1, NM_001342505.1.p1, NM_001204026.2.p1	XM_027258197.1.p1
OG0003054	NM_001331627.1.p1, NM_001331626.1.p1	XM_027209039.1.p1, XM_027209036.1.p1, XM_027209038.1.p1
OG0003055	NM_121441.3.p1	XM_027246196.1.p1
OG0003055	NM_100579.3.p1, NM_001331677.1.p1	XM_027234881.1.p1, XM_027256061.1.p1
OG0003056	NM_001331878.1.p1, NM_001333829.1.p1	XM_027235918.1.p1
OG0003057	NM_105933.3.p1, NM_001332308.1.p1, NM_001332310.1.p1	XM_027213032.1.p1
OG0003058	NM_001332340.1.p1, NM_001332341.1.p1, NM_148472.3.p1	XM_027269342.1.p1
OG0003059	NM_203027.2.p1, NM_120966.4.p1	XM_027220835.1.p1, XM_027220836.1.p1
OG0003060	NM_103323.3.p1, NM_102052.3.p1, NM_001332533.1.p1	XM_027257372.1.p1, XM_027257373.1.p1
OG0003061	NM_103898.5.p1, NM_001333420.1.p1	XM_027236399.1.p1, XM_027236400.1.p1, XM_027236397.1.p1, XM_027236401.1.p1, XM_027239149.1.p1
OG0003064	NM_001334959.1.p1, NM_101407.4.p1	XM_027269048.1.p1
OG0003065	NM_001335302.1.p1, NM_001335301.1.p1	XM_027215751.1.p1
OG0003066	NM_001335941.1.p1, NM_119308.3.p1	XM_027228412.1.p1
OG0003067	NM_001337473.1.p1, NM_111221.2.p1, NM_001337472.1.p1	XM_027256097.1.p1
OG0003068	NM_111252.5.p1, NM_001337489.1.p1	XM_027236186.1.p1, XM_027237975.1.p1
OG0003069	NM_001337513.1.p1, NM_111306.4.p1, NM_121854.3.p1	XM_027233049.1.p1
OG0003069	NM_100290.3.p1, NM_123762.4.p1	XM_027238412.1.p1
OG0003070	NM_001338002.1.p1, NM_112094.7.p1	XM_027248700.1.p1, XM_027248706.1.p1, XM_027255245.1.p1, XM_027255243.1.p1, XM_027255247.1.p1, XM_027255242.1.p1, XM_027255240.1.p1
OG0003071	NM_001338042.1.p1, NM_112175.3.p1, NM_112174.4.p1	XM_027206140.1.p1
OG0003072	NM_113036.1.p1, NM_001338594.1.p1, NM_113164.1.p1, NM_106413.1.p1, NM_116707.1.p1, NM_111709.1.p1, NM_111878.1.p1	XM_027262869.1.p1
OG0003073	NM_114379.3.p1, NM_001339193.1.p1, NM_180327.2.p1	XM_027229733.1.p1, XM_027229724.1.p1
OG0003074	NM_101986.2.p1	XM_027226476.1.p1, XM_027233897.1.p1
OG0003075	NM_001339597.1.p1, NM_001339596.1.p1	XM_027251104.1.p1, XM_027251107.1.p1, XM_027251105.1.p1, XM_027257974.1.p1, XM_027257967.1.p1, XM_027257973.1.p1, XM_027257971.1.p1, XM_027257970.1.p1, XM_027257966.1.p1
OG0003076	NM_001340222.1.p1, NM_111543.4.p1, NM_001340221.1.p1, NM_202512.2.p1	XM_027262783.1.p1, XM_027262777.1.p1
OG0003077	NM_120275.6.p1, NM_001342636.1.p1, NM_102744.3.p1	XM_027214390.1.p1
OG0003077	NM_128605.3.p1	XM_027257003.1.p1, XM_027256994.1.p1, XM_027256988.1.p1, XM_027256980.1.p1, XM_027235808.1.p1, XM_027235803.1.p1, XM_027235796.1.p1, XM_027235787.1.p1
OG0003078	NM_001342729.1.p1, NM_120458.3.p1, NM_001342730.1.p1	XM_027216591.1.p1, XM_027216590.1.p1
OG0003079	NM_001343210.1.p1, NM_121208.6.p1, NM_119446.3.p1	XM_027223900.1.p1
OG0003080	NM_001343909.1.p1, NM_122414.3.p1	XM_027229665.1.p1, XM_027229664.1.p1, XM_027229663.1.p1
OG0003081	NM_001343915.1.p1	XM_027223844.1.p1, XM_027223846.1.p1, XM_027227231.1.p1
OG0003082	NM_001344474.1.p1, NM_123680.4.p1	XM_027234875.1.p1
OG0003082	NM_119549.3.p1, NM_127050.3.p1	XM_027250270.1.p1
OG0003083	NM_179633.4.p1, NM_001345730.1.p1, NM_125995.2.p1	XM_027219402.1.p1, XM_027222888.1.p1
OG0003084	NM_104346.3.p1	XR_003458882.1.p1
OG0003085	NM_100282.4.p1	XM_027238760.1.p1, XM_027238751.1.p1
