Orthogroup	Arabidopsis_thaliana_rna_prot	Glycine_max_rna_prot
OG0002980	NM_112519.4.p1, NM_104079.4.p1	XM_006595054.4.p1, XM_006595055.4.p1, XM_003542037.5.p1, XM_003546545.5.p1, XM_041017201.1.p1, XM_003531595.5.p1
OG0002981	NM_104168.2.p1	XM_003540403.5.p1, XM_006595377.3.p1, NM_001249220.2.p1
OG0002981	NM_202331.2.p1	XM_003528391.3.p1, XM_006597353.3.p1, XM_014766352.2.p1
OG0002983	NM_105826.4.p1	XM_003556112.5.p1, XM_014768822.3.p1, NM_001255840.2.p1, XM_003536365.4.p1
OG0002984	NM_105856.7.p1	XM_003556143.3.p1, XM_003536341.5.p1
OG0002985	NM_105937.4.p1	XM_003529775.4.p1, XM_003546708.5.p1, NM_001317435.1.p1
OG0002985	NM_125089.4.p1	XM_003534885.4.p1, XM_003547442.4.p1
OG0002986	NM_127333.5.p1, NM_114990.5.p1	XM_003537602.5.p1, XM_003517116.5.p1
OG0002986	NM_106235.5.p1	XM_026126416.2.p1
OG0002987	NM_106385.3.p1	XM_006581528.4.p1, XM_006581531.4.p1, XM_006581529.4.p1, XM_014776350.3.p1, XM_014776351.3.p1, XM_006581532.4.p1
OG0002988	NM_111502.5.p1	XM_041009973.1.p1, XM_014768140.3.p1, XM_006597496.4.p1, XM_006597493.4.p1, XM_006597491.4.p1, XM_006597492.4.p1, XM_006594382.4.p1, XM_014765732.2.p1, XM_006594383.4.p1, XM_026125071.2.p1, XM_003542855.5.p1, XM_041011268.1.p1, XR_415313.4.p1, XM_003529550.5.p1, XR_005892411.1.p1
OG0002989	NM_112071.3.p1	XM_003556497.5.p1, XM_003536733.5.p1
OG0002989	NM_111789.7.p1	XM_003553482.4.p1, XM_003520584.5.p1
OG0002990	NM_113359.4.p1	XM_003528864.5.p1, XM_006583310.4.p1, NM_001367211.1.p1, NM_001367210.1.p1, NM_001367203.1.p1, NM_001367191.1.p1, NM_001248590.2.p1, XM_003530453.5.p1, XM_003528865.5.p1
OG0002991	NM_113504.3.p1	XM_006604033.4.p1, XM_006579631.4.p1, XM_014775526.3.p1, XM_003524112.5.p1, XM_003532664.5.p1
OG0002992	NM_113705.4.p1	NM_001249099.2.p1, NM_001248934.2.p1
OG0002993	NM_114706.5.p1	XM_003522377.5.p1, XM_014774813.3.p1
OG0002994	NM_115033.4.p1	XM_003521986.5.p1, XM_003516352.4.p1
OG0002995	NM_129355.2.p1, NM_115270.5.p1	XM_003516278.5.p1, XM_014773617.3.p1
OG0002996	NM_128391.3.p1	XM_041007176.1.p1, XM_006592640.4.p1, XM_003541944.5.p1
OG0002996	NM_115337.3.p1	XM_006589361.3.p1
OG0002997	NM_115393.3.p1	XM_006605762.4.p1, XM_003555765.5.p1, NM_001317704.1.p1
OG0002999	NM_116163.4.p1	XM_003536233.5.p1, XR_416203.4.p1, NM_001358243.1.p1, XR_413134.3.p1, XR_001387588.2.p1, XR_005890646.1.p1, NM_001358246.1.p1, NM_001358245.1.p1
OG0003000	NM_117051.3.p1	XM_003548044.5.p1, NM_001255221.3.p1, NM_001255327.2.p1
OG0003001	NM_117539.2.p1	XM_014772658.3.p1
OG0003002	NM_127715.4.p1, NM_120069.5.p1	XM_003540939.5.p1, XM_003538960.5.p1
OG0003002	NM_117715.3.p1	XM_003523636.5.p1, NM_001254521.1.p1, XM_003545003.4.p1, NM_001354161.1.p1
OG0003004	NM_119254.3.p1	XM_041018120.1.p1, XR_005892547.1.p1, XR_005892548.1.p1, XR_005892546.1.p1, XM_003516749.5.p1, XM_041018118.1.p1, XR_005892545.1.p1, XM_041018134.1.p1, XM_041018124.1.p1, XR_005892457.1.p1, XM_006586212.4.p1, XM_014779521.3.p1
OG0003005	NM_119383.4.p1	XM_003549234.5.p1, XM_003545422.5.p1, XM_003527744.5.p1, XM_003523641.5.p1
OG0003006	NM_119527.4.p1	XM_003545717.4.p1, NM_001254961.3.p1
OG0003007	NM_120781.3.p1	XM_003545767.3.p1
OG0003007	NM_120121.3.p1, NM_127768.3.p1	XM_006581675.4.p1
OG0003008	NM_124038.4.p1	XM_014773619.3.p1, XM_006576510.4.p1, XM_006576509.4.p1, XM_014773620.3.p1
OG0003010	NM_124539.4.p1	XM_006606335.3.p1, XM_003536146.4.p1
OG0003011	NM_125828.3.p1	XM_003518445.4.p1
OG0003012	NM_126612.3.p1	NM_001255145.2.p1, XM_026124533.2.p1, XM_003537728.4.p1, XM_003532206.5.p1, XM_006602393.4.p1
OG0003013	NM_128336.3.p1	XM_041008477.1.p1, XM_041008476.1.p1, XM_041008478.1.p1, NM_001254558.2.p1, NM_001317433.2.p1, XM_003539763.4.p1
OG0003013	NM_129204.3.p1	XM_006576192.4.p1, XM_041012641.1.p1
OG0003014	NM_179868.3.p1, NM_128845.4.p1	XM_003531374.4.p1, XM_006598184.4.p1
OG0003015	NR_139744.1.p1	XM_041013117.1.p1, XM_006605421.4.p1, XM_003528490.5.p1, XM_003556607.5.p1, XM_006605420.4.p1, XM_014772750.3.p1
OG0003031	NM_126337.4.p1, NM_001035880.3.p1, NM_001335147.1.p1, NM_101302.3.p1, NM_001084065.3.p1	XM_003519717.5.p1, XM_006574486.4.p1, XM_006573038.4.p1, XM_006573039.4.p1, XM_026126787.2.p1, XM_006602245.4.p1, XM_006585952.4.p1
OG0003032	NM_001331902.1.p1, NM_001035942.5.p1	XM_014772744.3.p1, XR_001386961.3.p1, XM_006573021.4.p1, XM_026124549.2.p1
OG0003033	NM_001036659.2.p1, NM_001036658.3.p1	XM_014770152.3.p1, NM_001254502.2.p1
OG0003034	NM_001336834.1.p1	NM_001249580.2.p1, NM_001248537.3.p1, XM_006580923.4.p1, NM_001253309.1.p1, NM_001358347.1.p1, XR_005888174.1.p1, NM_001254013.2.p1, NM_001253076.1.p1
OG0003035	NM_001036893.2.p1, NM_122989.4.p1	XM_006585806.4.p1, XM_003547797.5.p1
OG0003036	NM_001331761.1.p1, NM_001331764.1.p1, NM_001331762.1.p1, NM_001331763.1.p1, NM_001084018.3.p1	XM_003556237.5.p1, XM_003536257.4.p1, XM_014766030.2.p1, XM_041007568.1.p1, XM_041007569.1.p1, XM_003547506.1.p1, XM_003539757.5.p1
OG0003037	NM_001084080.1.p1, NM_106533.3.p1, NM_106534.2.p1	XM_003543164.5.p1
OG0003038	NM_001084288.2.p1, NM_104908.4.p1	XM_003549689.5.p1, XM_003529596.5.p1
OG0003039	NM_001334588.1.p1, NM_001334587.1.p1, NM_001334589.1.p1, NM_001124121.2.p1, NM_001084349.2.p1	XM_003548233.5.p1, XM_006599612.4.p1, XM_003534023.5.p1, XM_006587350.4.p1
OG0003040	NM_202377.1.p1, NM_102358.4.p1, NM_001084740.1.p1, NM_113492.4.p1	XM_041016948.1.p1, XM_014774062.3.p1, XM_006573174.4.p1, XM_006585789.4.p1, XM_006585788.4.p1, XM_006605836.4.p1, XR_005889166.1.p1, XM_003536637.5.p1
OG0003041	NM_001343797.1.p1, NM_001125792.1.p1, NM_203094.2.p1	XM_003556548.5.p1, XM_041005243.1.p1
OG0003042	NM_118104.5.p1, NM_001341376.1.p1, NM_001160782.3.p1, NM_001341375.1.p1	XM_003529384.5.p1, XM_003556300.5.p1, XM_003556296.4.p1, XM_003556626.5.p1, NM_001255241.2.p1
OG0003043	NM_119667.3.p1, NM_127225.3.p1, NM_001160820.1.p1	XM_006592006.3.p1, XM_006590793.4.p1, XM_003523447.5.p1
OG0003045	NM_001198249.1.p1, NM_103808.2.p1	XM_003523191.5.p1, XM_014776454.3.p1, XM_006581691.4.p1, XR_005892003.1.p1, XR_414081.4.p1, XM_006578739.4.p1, XM_041016506.1.p1, XM_041016504.1.p1, XM_041016505.1.p1
OG0003046	NM_001344473.1.p1, NM_001203529.1.p1, NM_123679.4.p1	XM_006601206.4.p1, XM_006595924.3.p1, XM_006581197.4.p1, XM_006581196.4.p1, XM_041014799.1.p1
OG0003047	NM_001203838.1.p1, NM_118014.4.p1, NM_123934.4.p1, NM_102706.3.p1, NM_102707.5.p1, NM_001332867.1.p1	XM_003546009.4.p1, NM_001255424.3.p1
OG0003048	NM_001203842.2.p1, NM_001341339.1.p1, NM_118064.2.p1	XM_003548481.4.p1
OG0003049	NM_001203869.2.p1	XM_003534740.5.p1, NM_001248546.2.p1
OG0003049	NM_124903.3.p1	XM_006586041.4.p1, XM_003551718.5.p1
OG0003050	NM_001341679.1.p1, NM_001203893.1.p1, NM_118583.4.p1	XM_041008935.1.p1, XM_041008936.1.p1, XM_006596315.4.p1, XM_041008933.1.p1, XM_026125456.2.p1, XM_041008934.1.p1, XM_026125458.2.p1, XM_014768842.3.p1, XM_014768837.3.p1, XM_041008149.1.p1
OG0003051	NM_119632.4.p1, NM_001203984.1.p1	XM_041015986.1.p1, XM_041014731.1.p1, XM_003522817.5.p1, NM_001255584.2.p1, XM_003537796.5.p1
OG0003052	NM_001342452.1.p1, NM_001342453.1.p1, NM_001204017.1.p1, NM_119931.3.p1, NM_119994.2.p1, NM_001342454.1.p1	XM_006572785.4.p1, NM_001255920.2.p1, XM_006590214.3.p1, XM_006590213.3.p1, XM_006590212.4.p1, NM_001254625.2.p1
OG0003053	NM_105470.3.p1, NM_120018.4.p1, NM_001342506.1.p1, NM_001342505.1.p1, NM_001204026.2.p1	XM_003537666.4.p1, XM_006592009.4.p1, XM_003540847.5.p1, XM_006592010.4.p1
OG0003054	NM_001331627.1.p1, NM_001331626.1.p1	XM_003539954.5.p1, XM_003527287.5.p1
OG0003055	NM_121441.3.p1	XM_003553838.5.p1, XM_006599004.4.p1
OG0003055	NM_100579.3.p1, NM_001331677.1.p1	XM_003544852.5.p1, XM_006596376.4.p1, NM_001255713.2.p1
OG0003056	NM_116885.4.p1	NM_001369307.1.p1
OG0003056	NM_001331878.1.p1, NM_001333829.1.p1	XM_041009266.1.p1, XM_003549318.5.p1, XM_006601189.4.p1
OG0003057	NM_105933.3.p1, NM_001332308.1.p1, NM_001332310.1.p1	XM_006582937.4.p1, XM_003529658.5.p1, NM_001250815.1.p1
OG0003058	NM_001332340.1.p1, NM_001332341.1.p1, NM_148472.3.p1	XM_006586574.4.p1, XM_041004776.1.p1, NM_001249363.2.p1
OG0003059	NM_001332502.1.p1, NM_001332503.1.p1, NM_001332499.1.p1, NM_001332501.1.p1, NM_001332500.1.p1	XM_003526615.5.p1, XM_003523363.4.p1
OG0003059	NM_203027.2.p1, NM_120966.4.p1	XM_003523176.5.p1
OG0003060	NM_103323.3.p1, NM_102052.3.p1, NM_001332533.1.p1	XM_041018280.1.p1, XR_005892603.1.p1, XM_003540114.5.p1
OG0003061	NM_103898.5.p1, NM_001333420.1.p1	XM_006583438.4.p1, XM_006576618.4.p1
OG0003064	NM_001334959.1.p1, NM_101407.4.p1	NM_001250603.2.p1
OG0003065	NM_112250.3.p1	XM_003529787.5.p1, XM_006598768.4.p1, XM_003547671.5.p1
OG0003065	NM_001335302.1.p1, NM_001335301.1.p1	XM_003551083.5.p1, XM_014765434.3.p1, XM_041008039.1.p1, XM_003534897.4.p1, XM_003547454.5.p1
OG0003066	NM_001335941.1.p1, NM_119308.3.p1	XM_006585602.4.p1, XM_006582927.4.p1, XM_003550082.5.p1, XM_003544604.5.p1, XM_003522622.5.p1, XM_003526411.5.p1
OG0003067	NM_121763.2.p1, NM_001337473.1.p1, NM_111221.2.p1, NM_001337472.1.p1	XM_026126116.2.p1, XR_418869.4.p1, XM_006599361.4.p1, XR_005889055.1.p1, XR_418866.4.p1
OG0003068	NM_111252.5.p1, NM_001337489.1.p1	XM_006581621.4.p1, XM_006581622.4.p1, XM_014776410.3.p1, XM_003522482.5.p1, XM_006578810.4.p1
OG0003069	NM_001337513.1.p1, NM_111306.4.p1, NM_121854.3.p1	XM_003536086.5.p1, XM_003556433.5.p1
OG0003069	NM_100290.3.p1, NM_123762.4.p1	XM_041006785.1.p1, XM_014775983.1.p1, XM_003538611.5.p1
OG0003070	NM_001338002.1.p1, NM_112094.7.p1	XM_041013201.1.p1, XM_006605768.4.p1, XM_014763440.3.p1, XM_006602969.4.p1, XM_014770918.3.p1, XM_026125116.2.p1
OG0003071	NM_001338042.1.p1, NM_112175.3.p1, NM_112174.4.p1	XM_041012096.1.p1, XM_041012095.1.p1, XM_003530774.5.p1
OG0003073	NM_114379.3.p1, NM_001339193.1.p1, NM_180327.2.p1	XR_005890429.1.p1, XM_006605577.4.p1, XM_006605578.4.p1, XM_041013592.1.p1, XM_041013595.1.p1, XM_041013594.1.p1, XM_003555609.5.p1
OG0003074	NM_001339574.1.p1	XM_026123978.2.p1, XM_026127303.2.p1, XM_003554421.3.p1
OG0003074	NM_101986.2.p1	XM_003527923.5.p1, XM_003522505.5.p1
OG0003075	NM_001339597.1.p1, NM_001339596.1.p1	XM_014766933.3.p1, XM_003544384.5.p1
OG0003077	NM_120275.6.p1, NM_001342636.1.p1, NM_102744.3.p1	XM_003552286.5.p1, NM_001255571.1.p1
OG0003077	NM_128605.3.p1	XM_041006799.1.p1, XM_014770929.2.p1
OG0003078	NM_001342729.1.p1, NM_120458.3.p1, NM_001342730.1.p1	XM_006588750.4.p1, XM_003535231.5.p1
OG0003079	NM_001343210.1.p1, NM_121208.6.p1, NM_119446.3.p1	XM_003523710.5.p1
OG0003080	NM_001343909.1.p1, NM_122414.3.p1	XM_003550164.4.p1, XM_003544543.5.p1
OG0003081	NM_001343915.1.p1	XM_006600653.3.p1, XM_006600652.3.p1, XM_041011142.1.p1
OG0003082	NM_001344474.1.p1, NM_123680.4.p1	XM_003519919.4.p1
OG0003082	NM_119549.3.p1, NM_127050.3.p1	XM_003555935.5.p1, NM_001255095.2.p1
OG0003083	NM_179633.4.p1, NM_001345730.1.p1, NM_125995.2.p1	XM_014775542.3.p1, XM_041006652.1.p1, XM_003537643.5.p1, XM_003533357.5.p1
OG0003084	NM_104346.3.p1	XM_026127453.2.p1, XM_026124122.2.p1, XM_026124121.2.p1
OG0003084	NM_100220.8.p1	XM_003521177.4.p1, XM_006604349.4.p1
OG0003085	NM_100282.4.p1	XM_006576889.4.p1, XM_003521255.5.p1, XR_005890777.1.p1, XR_001387548.3.p1, XR_001387549.3.p1, XM_006604440.3.p1, XM_003553454.5.p1, XR_005889916.1.p1
OG0003086	NM_123708.3.p1, NM_100316.3.p1	XM_026124919.2.p1, XM_014771506.3.p1, XM_014772581.3.p1, XM_003536798.3.p1, XM_003535392.5.p1, XM_003555462.5.p1
OG0003087	NM_100372.5.p1	NM_001252991.2.p1, XM_003531639.4.p1
OG0003088	NM_100763.5.p1, NM_123522.4.p1	XM_006573727.2.p1, XM_003538642.5.p1
OG0003089	NM_100903.4.p1, NM_104654.5.p1	XM_003549807.5.p1, XM_041011251.1.p1, XM_003529651.4.p1, XR_001389302.2.p1
OG0003090	NM_105685.4.p1, NM_102260.4.p1, NM_104689.4.p1	XM_003519748.5.p1, XM_003517814.4.p1, XM_006602302.4.p1, XM_003530615.4.p1
OG0003091	NM_102348.4.p1	XM_006605846.4.p1, XM_003555864.5.p1
OG0003092	NM_104468.3.p1	XM_006602078.3.p1, XM_003551417.4.p1, XM_003532122.5.p1
OG0003092	NM_125344.3.p1	XM_003543472.5.p1, NM_001317485.2.p1, XM_003546961.3.p1
OG0003093	NM_105510.4.p1	NM_001317689.2.p1, XM_003555865.5.p1, XM_003535086.5.p1, XM_003532467.5.p1, XM_003524319.5.p1, XM_003533312.5.p1, XM_003529974.4.p1
OG0003094	NM_105609.4.p1, NM_202385.2.p1	XM_041013145.1.p1, XM_003529417.5.p1, XM_003518699.5.p1, XM_003516248.5.p1
OG0003095	NM_105812.2.p1	XM_003535622.5.p1, XM_014763385.3.p1, XM_006605948.4.p1
OG0003096	NM_105843.3.p1	XM_006574704.4.p1, XM_003519916.5.p1, XM_006574703.4.p1, XM_041010528.1.p1
OG0003096	NM_118565.2.p1	XM_026124670.1.p1
OG0003097	NM_106473.6.p1	XM_003527853.5.p1, XM_006578256.4.p1, XM_006578257.3.p1, XM_006596283.4.p1, XM_003544162.4.p1, XM_006596284.4.p1, XM_041007928.1.p1
OG0003098	NM_124379.2.p1	XM_003523030.5.p1, XM_003526975.5.p1, XM_003525287.5.p1, XM_003549582.5.p1
OG0003098	NM_111015.3.p1	XM_006603752.4.p1, XM_003542648.5.p1
OG0003099	NM_111487.3.p1	XM_003547192.5.p1, XM_003541582.4.p1
OG0003100	NM_111620.3.p1	NM_001254056.1.p1
OG0003101	NM_111678.3.p1	XM_026127530.2.p1, XM_006589370.4.p1
OG0003101	NM_129136.5.p1	XM_003547968.5.p1
OG0003102	NM_112208.5.p1	XM_003519133.5.p1, XM_003544175.3.p1
OG0003103	NM_112366.4.p1	XM_003541919.5.p1, XM_003539426.5.p1, XR_005887624.1.p1
OG0003104	NM_112713.4.p1	XM_003525188.4.p1, XM_014775902.2.p1, XM_006584812.4.p1, XM_006584811.4.p1, XM_014778689.3.p1, XM_003529973.3.p1
OG0003105	NM_113351.3.p1	XM_041005021.1.p1, XM_006587444.4.p1, XM_026123811.2.p1, XM_041005020.1.p1, XM_006583335.4.p1, XM_041017923.1.p1, XM_006584783.4.p1, XM_006584782.4.p1, XM_041017924.1.p1, XM_041017922.1.p1, XM_014775891.3.p1, XM_014775888.3.p1, XM_014775890.3.p1, XM_006580394.4.p1, XM_006580397.4.p1
OG0003106	NM_114378.3.p1, NM_125469.3.p1	XM_003539731.5.p1, XM_041007024.1.p1
OG0003107	NM_114740.3.p1	XM_003530280.5.p1
OG0003108	NM_180232.2.p1, NM_180231.3.p1, NM_115707.3.p1, NM_180386.3.p1	XM_003518972.5.p1
OG0003109	NM_115883.4.p1, NM_130024.4.p1	XM_006584147.1.p1, XM_006576619.4.p1, XM_006587734.2.p1, XM_006603512.3.p1
OG0003110	NM_117970.3.p1	XM_003547117.5.p1, XM_006594495.4.p1, XM_041008321.1.p1, XM_003528436.5.p1, XM_003542654.5.p1
OG0003111	NM_118231.4.p1	XM_026129602.2.p1
OG0003112	NM_118287.5.p1	XM_041008327.1.p1, XM_014765813.3.p1, XM_041008328.1.p1, XR_001384200.3.p1, XM_014765812.3.p1, XM_003545845.5.p1, XM_006597357.4.p1, XM_006597358.4.p1, XM_006583747.4.p1, XM_003529263.5.p1, XM_003542715.4.p1
OG0003113	NM_118860.5.p1, NM_124831.3.p1	XM_003543231.5.p1, XM_003540002.5.p1, XM_041016661.1.p1
OG0003114	NM_119132.3.p1	XM_006581121.4.p1
OG0003115	NM_119730.3.p1	XM_003547851.5.p1, XM_003519986.5.p1, XM_003537630.5.p1
OG0003115	NM_119692.3.p1, NM_127267.3.p1	XM_003544670.5.p1
OG0003116	NM_119839.6.p1	XM_003537515.5.p1, XM_003517200.5.p1
OG0003117	NM_126094.4.p1, NM_127916.3.p1, NM_119873.2.p1	XM_003518035.5.p1, XM_041010878.1.p1, XM_003547964.5.p1, XM_003547962.5.p1
OG0003118	NM_119905.2.p1	XM_003527590.4.p1
OG0003119	NM_127696.4.p1, NM_120051.6.p1	XM_003532394.5.p1, XM_003532395.5.p1, XM_006580557.4.p1, XM_041015638.1.p1
OG0003120	NM_120077.4.p1, NM_127724.7.p1	XM_003522850.4.p1, XM_003527116.5.p1, XM_041016218.1.p1, XM_003540956.3.p1, XM_003537812.5.p1
OG0003121	NM_129309.4.p1, NM_120332.4.p1	XM_003521289.5.p1, XM_003554278.5.p1, XM_006588386.4.p1, XM_003542413.5.p1
OG0003122	NM_120921.5.p1	XM_003535351.5.p1, XM_003555496.5.p1, XM_003548228.5.p1, XM_041010648.1.p1, XM_041004839.1.p1
OG0003123	NM_125851.3.p1, NM_121004.2.p1	XM_006584929.4.p1, XM_006579947.4.p1, XM_041015442.1.p1
OG0003124	NM_121281.3.p1	XR_412974.3.p1, XM_003516677.4.p1, XM_003540570.5.p1, XM_014763926.3.p1
OG0003124	NM_201930.1.p1, NM_180020.4.p1	XM_006576735.4.p1, XM_006604276.4.p1
OG0003125	NM_121373.4.p1	XM_014764312.3.p1, XM_003534344.4.p1, XM_003535793.5.p1, XM_006598212.3.p1, XM_003546851.5.p1, XM_006598210.4.p1
OG0003127	NM_123234.2.p1	XM_041008239.1.p1, XR_005887926.1.p1, XR_005887925.1.p1, XM_006594338.4.p1, XM_041009700.1.p1, XR_005888663.1.p1
OG0003129	NM_127470.4.p1	NM_001248223.1.p1, XM_003527424.5.p1, XM_014765972.3.p1, XM_026124726.2.p1, XM_006592767.4.p1, XM_014765032.3.p1
OG0003130	NM_128319.4.p1	XM_014766023.3.p1, XM_003540192.5.p1, XM_003539774.5.p1
OG0003131	NM_129194.4.p1	XM_006577000.4.p1
OG0003132	NM_129837.4.p1	XM_026124913.2.p1, XM_003545994.4.p1, XM_003531216.5.p1, XM_003524920.5.p1, NM_001254397.1.p1, NM_001317476.2.p1, NM_001254507.2.p1
OG0003133	NM_130339.3.p1	XM_006588353.4.p1, XM_014763640.3.p1, XM_014762528.3.p1, XM_006574401.3.p1, NM_001249789.2.p1
OG0003134	NM_179741.2.p1	XM_026126500.2.p1, XM_003544624.4.p1, XM_014766935.3.p1
OG0003135	NR_138784.1.p1	XM_006585424.4.p1, XM_003547482.5.p1
OG0003144	NM_128281.2.p1, NM_001036353.1.p1	XM_003539104.5.p1, XM_003540769.5.p1, XM_003541911.5.p1, XM_006592715.4.p1
OG0003145	NM_001161066.1.p1, NM_001036361.2.p1, NM_001336173.1.p1, NM_001336172.1.p1	XM_003547460.5.p1, XM_006597241.4.p1
OG0003146	NM_001084039.1.p1, NM_001331923.1.p1	XR_001386011.3.p1, XM_006602337.4.p1
OG0003147	NM_129511.3.p1, NM_001084554.2.p1	XM_006602976.4.p1, NM_001248567.1.p1, NM_001249925.2.p1, XM_003552648.4.p1
OG0003148	NM_001125014.2.p1, NM_001084562.3.p1, NM_001336842.1.p1, NM_001339787.1.p1, NM_001339786.1.p1, NM_115490.5.p1	XM_041010802.1.p1, XM_006598955.4.p1, XM_006598961.4.p1, XM_014768930.3.p1, XM_014768934.3.p1, XM_041010798.1.p1, XM_014768936.3.p1, XM_041010803.1.p1, XM_041010800.1.p1, XM_006604086.4.p1, XM_006581836.4.p1, XM_006578599.4.p1, XM_041012442.1.p1, XM_003527971.5.p1
OG0003149	NM_001337027.1.p1, NM_001084579.2.p1, NM_129902.3.p1	XR_005888717.1.p1, XR_418243.4.p1, XR_001385060.3.p1, XM_006597156.4.p1, XR_005888718.1.p1, XR_001385061.3.p1, XM_041008522.1.p1, XM_006592079.4.p1, XM_006590869.4.p1
OG0003150	NM_001336006.1.p1, NM_128123.3.p1, NM_001084754.2.p1, NM_001343188.1.p1, NM_001343190.1.p1, NM_001343189.1.p1, NM_001343187.1.p1, NM_121181.4.p1, NM_001343931.1.p1, NM_001343933.1.p1, NM_001343932.1.p1, NM_122463.3.p1, NM_001343934.1.p1, NM_203104.2.p1	XM_003526388.4.p1, XM_003523657.5.p1
OG0003151	NM_101130.3.p1, NM_001084964.1.p1, NM_118430.5.p1, NM_001203877.1.p1	XM_003534539.5.p1, XM_003552317.5.p1
OG0003152	NM_122478.4.p1, NM_001085153.2.p1	XM_014776249.3.p1, XM_006581368.4.p1, XM_006581371.4.p1, XM_006581369.4.p1, XM_041016345.1.p1, XM_003526432.5.p1, XM_041014538.1.p1, NM_001254996.3.p1, XM_003526433.5.p1
OG0003153	NM_001085258.1.p1, NM_001344740.1.p1, NM_124141.4.p1	NM_001249696.2.p1, XM_041016821.1.p1, XM_041010896.1.p1, NM_001252750.2.p1
OG0003153	NM_102046.5.p1	XM_003556542.5.p1
OG0003154	NM_122470.3.p1	XM_003523680.5.p1, XM_003527771.5.p1
OG0003154	NM_001333536.1.p1, NM_001123997.1.p1	XM_003542053.5.p1, NM_001358564.1.p1
OG0003155	NM_111689.5.p1	XM_041014618.1.p1, XM_041014619.1.p1, XM_003539171.4.p1
OG0003155	NM_001339844.1.p1, NM_115580.5.p1, NM_001125027.2.p1	XM_014773740.3.p1
OG0003156	NM_001160999.1.p1, NM_105429.2.p1	XM_006600291.4.p1, XM_041011031.1.p1, XM_006583966.4.p1, XM_006584378.1.p1
OG0003157	NM_001197985.2.p1	XM_041004991.1.p1, XM_041004992.1.p1, XM_041004989.1.p1, XM_041004988.1.p1, XM_041004985.1.p1, XM_041004986.1.p1, XM_041004987.1.p1
OG0003158	NM_001198337.1.p1	XM_041017446.1.p1, XM_003528678.5.p1, XM_041007151.1.p1, XM_003540083.4.p1, XM_003548253.4.p1
OG0003159	NM_111008.3.p1	XM_003553894.4.p1, XM_003553889.5.p1, XM_003543354.5.p1
OG0003160	NM_179557.4.p1, NM_001198471.1.p1	XM_006593247.3.p1, NM_001349198.1.p1
OG0003161	NM_001202636.1.p1, NM_001202637.1.p1, NM_127668.4.p1	XM_003537760.5.p1, XM_003540824.5.p1, XM_003526921.4.p1
OG0003161	NM_001332437.1.p1, NM_101862.5.p1	XM_003550381.5.p1, XM_003544980.5.p1
OG0003162	NM_001202861.1.p1, NM_001337360.1.p1, NM_111047.4.p1	XM_006604076.3.p1, XM_014771825.2.p1, XM_006598976.3.p1, XM_006604025.4.p1
OG0003163	NM_001202937.1.p1, NM_112036.4.p1, NM_001342895.1.p1, NM_001342894.1.p1, NM_001342892.1.p1, NM_001342891.1.p1	XM_014767817.3.p1, XM_006575131.4.p1, XM_041014064.1.p1, XM_003520497.5.p1, XM_003554176.4.p1
OG0003164	NM_001203285.1.p1	XM_041007084.1.p1, XM_006591819.4.p1, XM_014763507.3.p1, XM_006590259.4.p1, NM_001370891.1.p1, NM_001370890.1.p1, XM_003517478.5.p1, XM_006590380.4.p1, XM_006590381.4.p1
OG0003165	NM_001203492.2.p1, NM_001344102.1.p1	XM_014777964.3.p1, XM_041017028.1.p1, XM_014777965.2.p1, XM_041017029.1.p1, XM_041018156.1.p1, XM_003517198.4.p1, XM_014763683.3.p1
OG0003166	NM_117998.4.p1, NM_123939.3.p1, NM_001203547.1.p1	XM_003547133.5.p1, XM_006594473.4.p1
OG0003167	NM_001203557.1.p1	XM_006587920.1.p1, XM_006597554.4.p1, XM_003529633.5.p1, XM_003546157.5.p1, XM_006586721.4.p1, XM_006586722.4.p1, XM_006600093.4.p1, NM_001250252.2.p1
OG0003168	NM_116340.4.p1, NM_001203721.1.p1, NM_001340300.1.p1	XM_003516670.5.p1, XM_003538155.5.p1, XM_003521752.5.p1, XM_003554710.5.p1, XM_003528755.5.p1, XR_001389126.3.p1, XM_003548465.5.p1
OG0003169	NM_001340582.1.p1, NM_001203761.1.p1	XM_003526592.5.p1, XM_003526591.5.p1, XM_003523386.5.p1
OG0003170	NM_100459.2.p1, NM_001331582.1.p1, NM_001331583.1.p1	XM_006606533.4.p1, XM_006606535.4.p1, XM_041013500.1.p1, XM_014772827.3.p1, XM_026124266.2.p1
OG0003171	NM_179343.2.p1, NM_001332198.1.p1, NM_101470.3.p1, NM_106739.4.p1	XM_006584824.4.p1, XM_006584822.4.p1, XM_006580362.3.p1, XM_014775908.2.p1, XM_006580360.3.p1
OG0003172	NM_122077.4.p1	NM_001289205.2.p1, XM_003542322.5.p1, NM_001254355.1.p1, XM_003546467.4.p1
OG0003173	NM_117232.5.p1, NM_001332643.1.p1, NM_102270.5.p1, NM_121213.3.p1, NM_001343213.1.p1	XM_003552958.5.p1, XM_003530483.5.p1
OG0003174	NM_001332667.1.p1, NM_102312.3.p1	XM_003519949.5.p1
OG0003175	NM_103160.5.p1, NM_001333101.1.p1	XM_003556158.5.p1, NM_001250770.2.p1, NM_001248688.2.p1
