Orthogroup	Arabidopsis_thaliana_rna_prot	Vitis_vinifera_rna_prot
OG0005506	NM_121010.3.p1, NM_125853.3.p1, NM_001345643.1.p1	XM_002264147.5.p1
OG0005508	NM_100356.4.p1	XM_059736984.1.p1, XM_059736982.1.p1, XM_059736979.1.p1, XM_059736981.1.p1, XM_059736980.1.p1
OG0005510	NM_101505.3.p1, NM_106584.3.p1	XM_002265170.1.p1, XM_002265989.5.p1, XM_002265209.5.p1
OG0005511	NM_101517.4.p1	XM_002266093.5.p1
OG0005512	NM_101708.3.p1, NM_106063.3.p1	XM_002268906.5.p1
OG0005513	NM_202958.1.p1, NM_119701.4.p1	XM_010647397.3.p1
OG0005514	NM_102035.2.p1, NM_106409.4.p1	XM_002285814.5.p1
OG0005515	NM_102095.3.p1	XM_010666047.3.p1
OG0005516	NM_102418.4.p1	NM_001281232.1.p1, XM_010651196.3.p1
OG0005518	NM_102839.5.p1, NM_118120.5.p1, NM_123846.4.p1	XM_003633155.4.p1
OG0005519	NM_103074.3.p1, NM_117082.3.p1	XM_002269505.5.p1
OG0005520	NM_104170.3.p1	XM_002284745.5.p1
OG0005520	NM_179672.4.p1	XM_010663008.1.p1, XM_019223611.2.p1, XM_010658872.3.p1
OG0005521	NM_104236.5.p1	XR_786971.3.p1, XM_010658809.3.p1, XM_002279085.4.p1, XM_010658808.3.p1, XM_002270104.5.p1
OG0005523	NM_105418.2.p1	XM_002265115.5.p1
OG0005524	NM_105563.5.p1	XM_010655919.3.p1
OG0005525	NM_105827.3.p1, NM_202397.2.p1	XM_002265076.5.p1
OG0005526	NM_106392.4.p1	XM_002282666.4.p1
OG0005527	NM_106586.4.p1	XM_010646785.3.p1, XM_002265520.5.p1
OG0005528	NM_122594.3.p1, NM_111378.4.p1	XM_010661659.3.p1
OG0005529	NM_111575.3.p1	XM_059736762.1.p1, XM_059736758.1.p1
OG0005530	NM_111701.4.p1	XM_002266389.5.p1
OG0005531	NM_120224.4.p1, NM_111727.6.p1	XM_002280294.5.p1
OG0005532	NM_120536.5.p1, NM_111891.7.p1	XM_010660387.3.p1, XM_059741469.1.p1
OG0005533	NM_124774.3.p1	XM_059735617.1.p1
OG0005534	NM_112476.3.p1	XM_010658026.3.p1, XM_002284557.5.p1
OG0005535	NM_112488.4.p1	XM_002279082.4.p1, XM_002284333.4.p1
OG0005536	NM_112917.5.p1	XM_002266713.4.p1
OG0005537	NM_113000.6.p1	XM_002271850.4.p1
OG0005538	NM_113082.4.p1	XM_002280490.4.p1
OG0005539	NM_117407.3.p1, NM_113355.2.p1, NM_117983.6.p1	XM_002281256.5.p1
OG0005540	NM_114399.5.p1	XM_002284981.5.p1
OG0005541	NM_114409.3.p1	XM_002268346.4.p1
OG0005542	NM_114937.3.p1	XM_059736390.1.p1
OG0005543	NM_115209.4.p1	XM_010655187.3.p1, XM_010655188.3.p1
OG0005544	NM_115390.3.p1, NM_129506.2.p1	XM_059737446.1.p1, XM_002284187.5.p1
OG0005545	NM_115453.3.p1	XM_002271986.5.p1
OG0005546	NM_115534.3.p1, NM_129680.4.p1	XM_002282519.4.p1
OG0005547	NM_115546.4.p1	XM_010666373.3.p1
OG0005548	NM_115653.4.p1	XM_059739269.1.p1, XM_002275189.5.p1
OG0005549	NM_115742.1.p1	XM_002279835.4.p1
OG0005550	NM_116762.1.p1, NM_116765.1.p1, NM_116764.1.p1, NM_116763.1.p1	XM_002264996.4.p1, XM_002270097.4.p1
OG0005551	NM_116961.5.p1	XM_002285756.5.p1
OG0005552	NM_117076.3.p1, NM_117427.3.p1	XM_002274167.4.p1
OG0005553	NM_117079.4.p1	XM_002274593.5.p1, XM_002271753.4.p1
OG0005554	NM_202817.2.p1, NM_117517.4.p1	XM_002285148.5.p1
OG0005555	NM_117805.3.p1	XM_059733986.1.p1, XM_059733988.1.p1
OG0005556	NM_117937.5.p1	XM_019222774.2.p1
OG0005557	NM_117959.1.p1	XR_002030962.2.p1, XR_002030961.2.p1, XR_002030963.2.p1
OG0005558	NM_125154.4.p1, NM_119181.3.p1	XM_002266823.5.p1
OG0005559	NM_119508.4.p1, NM_120977.3.p1	XM_002274543.5.p1
OG0005560	NM_119516.6.p1, NM_119515.3.p1	XM_002264923.4.p1, XR_009467155.1.p1
OG0005561	NM_119796.4.p1, NM_119797.4.p1, NM_119795.5.p1	XM_002267651.5.p1
OG0005562	NM_119836.3.p1	XM_010650877.3.p1, XM_010650878.3.p1
OG0005563	NM_120068.5.p1, NM_127713.4.p1	XM_010649384.3.p1
OG0005564	NM_120250.4.p1	XM_019221878.2.p1
OG0005565	NM_120532.3.p1	XM_002262610.4.p1
OG0005566	NM_120816.3.p1, NM_125573.4.p1	XM_002277630.5.p1
OG0005567	NM_120930.5.p1	XM_059738780.1.p1
OG0005568	NM_125909.2.p1, NM_121050.2.p1	XM_002262623.4.p1
OG0005569	NM_121125.3.p1	XM_002283257.5.p1
OG0005570	NM_121188.3.p1	XM_002284137.5.p1
OG0005571	NM_121470.3.p1	XM_002276928.4.p1, XR_002031857.2.p1, XR_787625.3.p1
OG0005572	NM_121583.4.p1	XM_010662265.3.p1
OG0005573	NM_121692.2.p1	XM_010663461.3.p1, XM_010663463.3.p1
OG0005574	NM_121987.3.p1	XM_002285684.4.p1
OG0005575	NM_122348.3.p1	XM_002273621.4.p1
OG0005576	NM_123289.3.p1, NM_123292.2.p1, NM_123288.3.p1	XM_002267068.4.p1
OG0005577	NM_123330.3.p1	XM_002265222.4.p1, XM_019221994.2.p1
OG0005578	NM_123506.3.p1	XM_059742093.1.p1, XM_002279194.5.p1
OG0005579	NM_123583.4.p1	XM_003634316.4.p1
OG0005580	NM_203166.2.p1, NM_124033.4.p1	XM_002281261.4.p1
OG0005581	NM_124273.5.p1	XM_003631918.3.p1
OG0005582	NM_124317.4.p1	XM_002276937.4.p1
OG0005583	NM_124330.4.p1	XR_009465540.1.p1, XR_009465541.1.p1, XM_059736402.1.p1, XR_009465543.1.p1, XM_059736400.1.p1, XR_009465537.1.p1
OG0005585	NM_124468.3.p1	XM_002263546.4.p1, XM_002280692.4.p1
OG0005586	NM_124641.2.p1	XM_059739378.1.p1
OG0005587	NM_125019.5.p1	XM_002283726.4.p1, XM_059737308.1.p1
OG0005588	NM_125264.3.p1	XM_002279199.5.p1
OG0005589	NM_125472.3.p1	XM_010653502.3.p1
OG0005590	NM_125693.3.p1	XM_059737023.1.p1
OG0005591	NM_125858.4.p1	XM_010651083.3.p1
OG0005592	NM_126073.3.p1	XM_002267203.5.p1, XM_010650855.3.p1
OG0005593	NM_127140.3.p1	XM_002281863.4.p1, XM_002281867.4.p1
OG0005594	NM_127516.4.p1	XM_002282361.5.p1
OG0005595	NM_127563.6.p1	XM_010657981.3.p1
OG0005596	NM_127910.3.p1	XM_010649530.3.p1, XM_010654332.3.p1
OG0005597	NM_128093.3.p1, NM_148389.3.p1	XM_002282599.5.p1
OG0005598	NM_128156.3.p1	XM_002278725.5.p1
OG0005599	NM_179743.2.p1, NM_128175.3.p1	XM_002279050.5.p1
OG0005600	NM_128230.3.p1	XM_002281599.5.p1
OG0005601	NM_128392.4.p1	XM_003632508.4.p1
OG0005602	NM_128512.4.p1	XM_002280540.5.p1
OG0005603	NM_128746.3.p1	XM_002276089.5.p1
OG0005604	NM_129182.6.p1	XM_002264233.4.p1
OG0005605	NM_129278.4.p1	XM_002281606.4.p1
OG0005606	NM_129413.4.p1	XM_010659868.3.p1, XM_002272732.4.p1
OG0005607	NM_129641.4.p1	XM_010664586.3.p1, XM_059733583.1.p1, XM_010664585.3.p1, XM_010664591.3.p1, XM_059733584.1.p1, XM_002276410.5.p1, XM_010664579.3.p1
OG0005608	NM_129701.4.p1	XM_003632682.4.p1, XM_003632683.4.p1, XM_003632681.4.p1
OG0005609	NM_129797.3.p1, NR_140752.1.p1, NR_140753.1.p1	XM_002279260.4.p1
OG0005610	NM_130127.2.p1	NM_001281182.1.p1
OG0005611	NM_130301.5.p1	XM_002277383.4.p1, XM_059737903.1.p1
OG0005612	NM_148434.4.p1	XM_010652833.3.p1, XM_010652834.3.p1, XM_059737427.1.p1
OG0005613	NM_179460.2.p1	XM_002282624.5.p1
OG0005614	NM_179796.2.p1	XM_019224451.1.p1, XM_002274323.5.p1
OG0005615	NM_180695.3.p1	XM_002278885.4.p1, XM_059739147.1.p1, XM_010655880.3.p1
OG0005616	NM_202604.3.p1	XM_010645857.3.p1, XM_010645856.3.p1, XM_059735389.1.p1
OG0005640	NM_001035642.2.p1, NM_001338316.1.p1, NM_112676.3.p1	XM_002282812.4.p1
OG0005641	NM_001035794.1.p1, NM_001339769.1.p1, NM_001339770.1.p1, NM_115471.3.p1	XM_002278115.5.p1
OG0005642	NM_100658.4.p1, NM_202056.2.p1, NM_001035912.1.p1	XM_010666126.3.p1, XM_010663484.2.p1
OG0005643	NM_001198016.1.p1, NM_100782.5.p1, NM_001035931.2.p1	XM_059742650.1.p1, XM_010661338.3.p1, XM_002279415.4.p1
OG0005644	NM_001036051.4.p1	XM_059740168.1.p1
OG0005645	NM_001198241.2.p1, NM_001036077.1.p1, NM_103741.6.p1, NM_001084704.1.p1	XM_002267245.5.p1
OG0005646	NM_001036347.2.p1, NM_128216.3.p1, NM_001036348.2.p1	XM_002265436.5.p1, XM_059740585.1.p1
OG0005647	NM_118216.4.p1, NM_001036606.1.p1, NM_123799.3.p1	XM_059739990.1.p1
OG0005648	NM_001036785.3.p1, NM_001343070.1.p1, NM_121019.5.p1	XM_002276796.5.p1
OG0005649	NM_001332960.1.p1, NM_001332957.1.p1, NM_001332958.1.p1, NM_001332959.1.p1, NM_001332956.1.p1, NM_001084170.2.p1	XR_784705.3.p1
OG0005650	NM_103783.2.p1, NM_001084221.1.p1, NM_101400.4.p1	XM_002264123.4.p1
OG0005651	NM_001335747.1.p1, NM_001084465.1.p1, NM_001335749.1.p1, NM_001335748.1.p1, NM_127710.4.p1	XM_010649380.3.p1
OG0005652	NM_101567.3.p1, NM_129795.4.p1, NM_001084572.3.p1	XM_010663746.3.p1
OG0005653	NM_001084738.2.p1, NM_113440.4.p1, NM_001338747.1.p1, NM_001338748.1.p1, NM_001338746.1.p1	XM_010659697.3.p1
OG0005654	NM_001085013.2.p1	XM_019219363.2.p1, XM_059736200.1.p1, XM_059736199.1.p1, XM_059736201.1.p1
OG0005655	NM_001085122.3.p1, NM_001343420.1.p1	XM_010662256.3.p1, XM_002281947.5.p1, XM_019225016.2.p1
OG0005656	NM_123190.3.p1, NM_203131.3.p1, NM_121619.4.p1, NM_001085124.3.p1	XM_010662113.3.p1
OG0005657	NM_121448.4.p1	XM_002271063.5.p1
OG0005658	NM_001336928.1.p1, NM_001336929.1.p1, NM_001125031.1.p1	XM_059739335.1.p1, XM_003632635.4.p1, XM_002284376.5.p1
OG0005659	NM_001125246.1.p1, NM_113653.4.p1, NM_123430.2.p1, NM_001344348.1.p1	XM_002268487.4.p1
OG0005660	NM_001161045.2.p1, NM_001335431.1.p1, NM_127032.2.p1	XM_059735952.1.p1, XM_010649609.3.p1
OG0005661	NM_001161108.1.p1, NM_130049.1.p1	XM_002273874.5.p1
OG0005662	NM_001198182.1.p1, NM_102662.3.p1	XM_003632966.4.p1, XM_010657232.3.p1
OG0005663	NM_104899.3.p1, NM_001198364.1.p1, NM_116699.3.p1, NM_118320.3.p1	XM_003632895.3.p1
OG0005664	NM_106690.6.p1, NM_001198519.1.p1	XM_002284846.5.p1
OG0005665	NM_120231.4.p1, NM_111728.5.p1, NM_001202790.1.p1, NM_129568.3.p1	XM_002279798.4.p1
OG0005666	NM_180019.3.p1, NM_001202798.1.p1, NM_201929.2.p1	XM_010647395.2.p1, XM_002267997.4.p1, XM_002276474.5.p1
OG0005667	NM_180394.2.p1, NM_001203210.1.p1	XM_002270425.4.p1
OG0005668	NM_116159.4.p1, NM_001340185.1.p1, NM_001203236.2.p1	XM_002267696.5.p1
OG0005669	NM_001203769.2.p1, NM_001340693.1.p1, NM_117161.4.p1, NM_001340692.1.p1	XM_002265210.4.p1
OG0005670	NM_001344556.1.p1, NM_123820.3.p1, NM_001203852.1.p1, NM_118162.3.p1, NM_001341438.1.p1	XM_010657555.3.p1
OG0005671	NM_001203873.2.p1, NM_001341559.1.p1	XM_010663820.3.p1
OG0005672	NM_117171.4.p1, NM_118522.3.p1, NM_001203888.1.p1	XM_010661003.3.p1
OG0005673	NM_179135.4.p1, NM_001203934.1.p1	XM_019221089.2.p1, XM_059737990.1.p1
OG0005674	NM_119489.4.p1, NM_001203972.1.p1	XM_019216702.2.p1, XM_019216703.2.p1
OG0005675	NM_119709.1.p1, NM_001203995.1.p1	NM_001280981.1.p1
OG0005676	NM_001331786.1.p1	XM_010661650.3.p1
OG0005677	NM_101059.3.p1, NM_001332008.1.p1, NM_001332009.1.p1	XM_002283399.4.p1
OG0005678	NM_001332384.1.p1	XM_010664845.3.p1
OG0005678	NM_001344323.1.p1, NM_123402.5.p1	XM_002273682.5.p1
OG0005679	NM_001332399.1.p1, NM_001332400.1.p1, NM_101819.6.p1	XM_002281122.4.p1
OG0005680	NM_001332586.1.p1, NM_001332588.1.p1, NM_001332587.1.p1, NM_102157.4.p1	XM_002280730.5.p1
OG0005681	NM_102458.2.p1, NM_001332736.1.p1	XM_019220868.1.p1, XM_002276405.4.p1, XM_059740589.1.p1, XM_059740584.1.p1, XM_019220867.1.p1, XM_003631230.4.p1, XM_059740591.1.p1, XM_010653951.3.p1
OG0005682	NM_102752.4.p1, NM_001332881.1.p1	XM_002277669.5.p1, XM_010657376.3.p1
OG0005683	NM_001332884.1.p1, NM_102766.6.p1, NM_001332883.1.p1	XM_010657131.3.p1, XM_010657132.3.p1
OG0005684	NM_001332955.1.p1	XM_010646497.3.p1
OG0005685	NM_001333100.1.p1, NM_001333099.1.p1, NM_103159.4.p1	XM_010648412.3.p1
OG0005686	NM_116987.5.p1, NM_103240.3.p1, NM_001333157.1.p1	XM_010667090.3.p1, XM_002271354.5.p1
OG0005687	NM_001333237.1.p1	XM_002285813.5.p1
OG0005688	NM_001333744.1.p1	XM_002264346.4.p1
OG0005689	NM_105160.3.p1, NM_001334181.1.p1	XM_010663744.3.p1, XM_019226046.2.p1
OG0005690	NM_001335402.1.p1, NM_125804.4.p1	XM_010659305.3.p1
OG0005691	NM_001335493.1.p1	XM_002279457.4.p1
OG0005692	NM_118985.3.p1, NM_127620.4.p1, NM_201759.3.p1, NM_001335699.1.p1	XM_010658697.3.p1
OG0005693	NM_001335771.1.p1	XM_002280460.4.p1
OG0005694	NM_201805.1.p1, NM_179739.4.p1, NM_001336021.1.p1	XM_019219572.2.p1, XR_002029973.2.p1, XM_002272993.4.p1
OG0005695	NM_001336485.1.p1, NM_128960.3.p1, NM_201866.2.p1	XM_010657196.3.p1, XR_009466703.1.p1
OG0005696	NM_001337167.1.p1	XM_002276209.5.p1
OG0005697	NM_111209.3.p1, NM_001337469.1.p1	XM_002271787.5.p1
OG0005698	NM_111320.6.p1, NM_001337529.1.p1	XM_002266572.5.p1
OG0005699	NM_001337691.1.p1, NM_111589.5.p1	XM_059738015.1.p1, XM_059738014.1.p1
OG0005700	NM_001337692.1.p1, NM_111593.3.p1	XM_002272442.4.p1, XM_010652037.2.p1
OG0005701	NM_001337732.1.p1, NM_111654.4.p1	XM_010650422.3.p1, XM_010650420.3.p1, XM_002285399.5.p1
OG0005702	NM_001338420.1.p1, NM_180285.4.p1, NM_112872.3.p1	XM_010656104.3.p1
OG0005703	NM_001338478.1.p1	XM_002280215.4.p1
OG0005704	NM_112979.4.p1, NM_001338493.1.p1, NM_001338494.1.p1	XM_002285477.5.p1
OG0005705	NM_001338570.1.p1, NM_113112.4.p1	XM_002265102.4.p1
OG0005706	NM_001339404.1.p1, NM_001339405.1.p1, NM_124716.3.p1	XM_002278025.5.p1
OG0005707	NM_001345822.1.p1, NM_001345824.1.p1, NM_001345823.1.p1, NM_148168.4.p1, NM_001339448.1.p1, NM_001339447.1.p1	XM_002284206.5.p1
OG0005708	NM_001339479.1.p1, NM_114926.4.p1	XM_002267151.5.p1
OG0005709	NM_115075.3.p1, NM_001339558.1.p1, NM_001339557.1.p1	XM_059740323.1.p1, XR_009466805.1.p1
OG0005710	NM_001339642.1.p1, NM_115252.3.p1	XM_002275795.4.p1, XR_002029970.2.p1
OG0005711	NM_001339825.1.p1	XM_002278807.4.p1
OG0005712	NM_116222.4.p1, NM_001340226.1.p1	XM_002275593.5.p1
OG0005713	NM_001340385.1.p1, NM_001340384.1.p1	XM_059736779.1.p1, XM_002267238.4.p1
OG0005714	NM_001341465.1.p1, NM_118211.5.p1	XM_019222695.2.p1, XM_002264104.5.p1
OG0005715	NM_117261.6.p1, NM_001341565.1.p1	XM_002282147.5.p1
OG0005716	NM_001341660.1.p1, NM_118560.4.p1	XM_010659605.3.p1, XM_019223559.2.p1
OG0005717	NM_001341726.1.p1	XM_002263124.5.p1, XM_010664097.3.p1
OG0005718	NM_001342095.1.p1, NM_001342094.1.p1	XM_010650543.3.p1, XM_059736303.1.p1
OG0005719	NM_001342174.1.p1, NM_001342173.1.p1	XM_010650204.3.p1
OG0005720	NM_119476.7.p1, NM_001342204.1.p1, NM_114195.4.p1	NM_001281162.1.p1
OG0005721	NM_119655.4.p1, NM_001342311.1.p1, NM_119656.3.p1	XM_002285437.4.p1
OG0005722	NM_001342474.1.p1	XR_009466223.1.p1
OG0005723	NM_001342480.1.p1, NM_001342481.1.p1	XM_010662112.3.p1
OG0005724	NM_120132.4.p1, NM_001342548.1.p1	XM_059738695.1.p1, XR_009466257.1.p1
OG0005725	NM_001342647.1.p1, NM_120292.2.p1	XM_003632623.4.p1
OG0005726	NM_120712.4.p1, NM_001342875.1.p1, NM_111995.3.p1	NM_001281184.1.p1, XM_010655436.3.p1
OG0005727	NM_001342902.1.p1	XM_002275468.4.p1, XM_002275483.4.p1, XM_002275604.5.p1, XM_002279784.4.p1, XM_002280271.5.p1, XM_010667150.3.p1
OG0005728	NM_121400.4.p1	XM_002275696.3.p1
OG0005728	NM_001343267.1.p1, NM_121334.3.p1	XM_010658957.3.p1
OG0005729	NM_001343373.1.p1, NM_121489.2.p1, NM_001343376.1.p1	XM_002271410.5.p1
OG0005730	NM_111217.3.p1, NM_121757.4.p1, NM_001343505.1.p1	XM_002267054.5.p1
OG0005731	NM_001343868.1.p1, NM_122334.3.p1, NM_001343864.1.p1	XM_059733555.1.p1
OG0005732	NM_001344154.1.p1, NM_001344155.1.p1	XM_002278482.5.p1
OG0005733	NM_001344328.1.p1, NM_001344329.1.p1, NM_001344331.1.p1	XM_010662564.2.p1, XM_002274826.5.p1
OG0005734	NM_001344594.1.p1, NM_123885.5.p1	XM_002271537.4.p1, XM_010647064.3.p1, XM_059740385.1.p1, XM_010647063.3.p1
OG0005735	NM_001344854.1.p1, NM_124352.4.p1, NM_001344852.1.p1, NM_001344853.1.p1, NM_124351.4.p1	XM_010659590.3.p1, XM_002266687.5.p1
OG0005736	NM_001345044.1.p1, NM_124700.3.p1	XM_002267709.4.p1
OG0005737	NM_001345334.1.p1, NM_001345333.1.p1, NM_203234.1.p1, NM_125295.4.p1	XM_002280117.5.p1
OG0005739	NM_100060.3.p1	XM_059743160.1.p1, XM_059743161.1.p1, XM_059743162.1.p1
OG0005740	NM_115896.3.p1, NM_100091.3.p1	XM_002273435.5.p1
OG0005741	NM_116526.4.p1, NM_100216.3.p1	XM_002274242.4.p1
OG0005742	NM_100226.3.p1, NM_116535.2.p1	XM_002272006.5.p1
OG0005744	NM_100876.4.p1	XM_002285506.2.p1, XM_002274807.5.p1
OG0005745	NM_100901.3.p1	XM_002267937.4.p1, XM_019223673.2.p1
OG0005746	NM_100976.3.p1	XM_059740531.1.p1, XM_059740530.1.p1
OG0005747	NM_116642.4.p1, NM_101072.4.p1	XM_002269898.5.p1
OG0005748	NM_101496.3.p1, NM_106601.4.p1	XM_002263227.4.p1, XM_059735566.1.p1
OG0005749	NM_202118.2.p1, NM_101549.5.p1	XM_003632862.4.p1
OG0005750	NM_101644.3.p1, NM_105978.4.p1	XM_002262942.4.p1
OG0005751	NM_101703.4.p1, NM_106051.4.p1	XM_002274551.4.p1
OG0005752	NM_101716.7.p1	XM_002262822.4.p1
OG0005753	NM_101882.2.p1, NM_106256.1.p1	XM_010665827.3.p1, XM_010648347.3.p1
OG0005754	NM_179372.3.p1, NM_102251.2.p1	XM_010654861.3.p1
OG0005755	NM_102674.4.p1	XM_059741177.1.p1, XM_019222704.2.p1
OG0005756	NM_103847.5.p1	XM_019219095.2.p1, XM_002284977.5.p1, XM_019219096.2.p1
OG0005757	NM_112815.4.p1, NM_103858.5.p1	XM_002285209.5.p1
OG0005758	NM_103864.2.p1	XM_002282333.4.p1
OG0005759	NM_118840.5.p1, NM_103969.3.p1	XM_010646119.3.p1
OG0005760	NM_112259.5.p1, NM_104291.8.p1	XM_059739419.1.p1, XM_002273760.4.p1
OG0005761	NM_104422.2.p1	XM_002275932.4.p1
OG0005762	NM_104520.3.p1	XM_002282292.4.p1
OG0005763	NM_104723.2.p1	XM_010665925.3.p1, XM_059734616.1.p1
OG0005764	NM_105132.2.p1	XM_010657092.3.p1, XM_010657091.3.p1
OG0005765	NM_105239.6.p1, NM_119875.4.p1	XM_002285165.5.p1
OG0005766	NM_105348.1.p1, NM_117154.4.p1	XM_002263661.4.p1
OG0005767	NM_105445.2.p1, NM_113518.3.p1	XM_002271350.5.p1, XM_002282081.4.p1
OG0005768	NM_112721.2.p1	XM_059733944.1.p1
OG0005769	NM_106052.3.p1	XM_059734062.1.p1, XR_009464557.1.p1
OG0005770	NM_112451.4.p1, NM_106661.3.p1	XM_002266546.4.p1
OG0005771	NM_111001.2.p1, NM_121498.3.p1	XM_019224744.2.p1, XM_010662677.3.p1
OG0005772	NM_111127.2.p1, NM_111126.4.p1	XM_002284044.5.p1
OG0005773	NM_111183.4.p1, NM_121722.4.p1	XR_009464506.1.p1, XM_010663834.3.p1
OG0005774	NM_111184.5.p1	XM_002274891.5.p1, XM_010663836.3.p1
OG0005775	NM_111318.5.p1	XM_002266679.5.p1
OG0005776	NM_111478.4.p1, NM_121930.5.p1	XM_059736839.1.p1
OG0005777	NM_111634.6.p1	XM_059738313.1.p1
OG0005778	NM_111674.3.p1	XM_002275673.4.p1, XM_059741559.1.p1
OG0005779	NM_111698.4.p1, NM_111697.3.p1	XM_010654817.3.p1
OG0005780	NM_111999.4.p1	XM_059738923.1.p1, XM_002264623.5.p1
OG0005781	NM_112186.6.p1	XM_059737303.1.p1, XM_002285738.5.p1
OG0005782	NM_112362.4.p1	XM_002285352.3.p1
OG0005783	NM_112578.5.p1	XM_002277617.3.p1
OG0005784	NM_112775.4.p1	XR_002029823.2.p1, XM_002284626.5.p1
OG0005785	NM_113202.2.p1	XM_002279967.5.p1
OG0005786	NM_113356.4.p1	XM_003633078.4.p1
OG0005787	NM_113443.4.p1	XM_002271021.5.p1
OG0005788	NM_113545.4.p1	XM_002282289.4.p1
OG0005789	NM_114191.4.p1	XM_002274155.4.p1
OG0005791	NM_125394.5.p1, NM_114450.3.p1	XM_002281659.4.p1
OG0005792	NM_114976.4.p1, NR_143223.1.p1	XM_002269805.5.p1
OG0005793	NM_115442.2.p1, NM_129558.3.p1	XM_002268484.5.p1
OG0005794	NM_115614.3.p1, NM_129751.2.p1	XM_010655492.3.p1
OG0005795	NM_115621.5.p1	XM_002283331.4.p1
OG0005796	NM_115676.2.p1	XM_059735148.1.p1, XM_019217270.2.p1, XM_019217471.2.p1, XM_002270381.5.p1, XM_010658486.3.p1
OG0005797	NM_129840.5.p1, NM_115737.3.p1, NM_115736.2.p1	XM_002284028.5.p1
OG0005798	NM_180393.1.p1, NM_180392.1.p1, NM_115860.4.p1, NM_129979.3.p1	XM_002272694.4.p1
OG0005799	NM_115878.3.p1, NM_130016.4.p1	XM_002265163.4.p1
OG0005800	NM_116559.3.p1	XM_002281538.5.p1
OG0005801	NM_116791.3.p1	XM_010648842.3.p1
OG0005802	NM_116983.3.p1	XM_059734698.1.p1, XM_059734697.1.p1
OG0005803	NM_117230.4.p1	XM_010662518.3.p1, XM_019225196.2.p1, XM_010662520.3.p1
OG0005804	NM_117293.2.p1	XM_002267775.5.p1
OG0005805	NM_117294.2.p1	XM_059743373.1.p1, XM_059743377.1.p1, XM_059743384.1.p1, XM_010663908.3.p1
OG0005807	NM_127956.2.p1, NM_119149.1.p1, NM_119150.1.p1, NM_117361.1.p1	XM_002265511.4.p1
OG0005808	NM_117452.5.p1	XM_002268960.4.p1, XM_002269636.4.p1
OG0005809	NM_117808.3.p1	XM_059734002.1.p1, XR_009464548.1.p1, XM_059734005.1.p1
OG0005810	NM_118133.3.p1, NM_123837.3.p1	XM_019221174.2.p1, XM_002265155.5.p1
OG0005811	NM_124688.5.p1, NM_124689.1.p1, NM_118915.6.p1	XM_059733917.1.p1, XM_010665489.3.p1, XM_059733922.1.p1, XM_002284362.5.p1, XM_059733916.1.p1, XM_059733919.1.p1, XM_059733918.1.p1
OG0005812	NM_202901.2.p1, NM_118970.6.p1	XM_059741225.1.p1
OG0005813	NM_118972.5.p1, NM_127632.3.p1	XM_002273736.5.p1, XM_059741032.1.p1, XM_010658668.3.p1, XM_010658667.3.p1
OG0005814	NM_119045.5.p1	XM_002284247.4.p1
OG0005816	NM_119366.4.p1	XM_059736278.1.p1, XM_002285458.5.p1
OG0005817	NM_119425.5.p1	XM_002284121.4.p1
OG0005818	NM_124507.5.p1, NM_119491.1.p1	XM_002271298.5.p1
OG0005819	NM_119500.6.p1	XM_002280579.4.p1
OG0005820	NM_119550.3.p1	XM_002263058.4.p1, XM_059735943.1.p1, XM_002262916.5.p1
OG0005821	NM_119610.4.p1	XM_003631597.4.p1
OG0005822	NM_120005.4.p1	XM_010647673.3.p1, XM_002282276.4.p1, XM_002285873.4.p1
OG0005823	NM_120026.5.p1	XM_010648691.2.p1
OG0005824	NM_120131.2.p1	XM_002281181.4.p1
OG0005825	NM_120302.3.p1	XM_010655958.3.p1
OG0005826	NM_122583.1.p1, NM_120718.4.p1	XM_002274903.5.p1
OG0005827	NM_125572.3.p1, NM_120817.3.p1	XM_059734217.1.p1, XM_059734216.1.p1, XM_002278181.4.p1
OG0005828	NM_121124.4.p1	XM_002262866.3.p1, XM_002262920.5.p1
OG0005829	NM_121210.4.p1	XM_010657563.3.p1, XM_010657574.3.p1
OG0005830	NM_121251.4.p1	XM_002276362.4.p1, XM_010655177.3.p1
OG0005831	NM_121310.4.p1	XM_002285499.4.p1, XM_059737365.1.p1, XM_059737364.1.p1, XM_059737363.1.p1
OG0005832	NM_121319.5.p1	XM_002265040.5.p1
OG0005833	NM_121676.4.p1	XM_002266070.5.p1
OG0005834	NM_121691.4.p1	XM_010661039.3.p1
OG0005835	NM_121981.5.p1	XM_002285686.4.p1, XM_059739385.1.p1, XM_002281564.5.p1
OG0005836	NM_122042.4.p1	XM_002262842.3.p1
OG0005837	NM_122491.3.p1	XM_010666311.3.p1
OG0005838	NM_122943.3.p1	XM_019226431.2.p1
OG0005839	NM_123570.4.p1	XM_002265007.4.p1, XM_059742562.1.p1, XM_002266352.3.p1
OG0005840	NM_124161.3.p1	XM_002269021.5.p1
OG0005841	NM_124481.4.p1	XM_002284670.4.p1
OG0005842	NM_124589.3.p1	XM_059743449.1.p1, XM_002274666.4.p1
OG0005843	NM_124686.3.p1	XM_010664577.3.p1, XM_002276683.5.p1
OG0005844	NM_124690.3.p1	XM_010664685.3.p1, XM_002265958.4.p1
OG0005845	NM_124858.4.p1	NM_001397821.1.p1
OG0005846	NM_125325.3.p1	XM_002281125.3.p1
OG0005847	NM_125781.4.p1	NM_001280986.1.p1
