Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_lycopersicum_rna_prot
OG0002806	NM_001337264.1.p1, NM_130312.4.p1, NM_116122.4.p1, NM_001331349.1.p1, NM_116442.3.p1	XM_004240526.4.p1, XM_004229354.3.p1
OG0002807	NM_001332390.1.p1	XM_010322067.3.p1, XM_026030861.1.p1
OG0002808	NM_001334434.1.p1, NM_105678.4.p1, NM_202389.4.p1, NM_001334435.1.p1, NM_102262.3.p1	XM_010321192.3.p1, XM_010321195.3.p1
OG0002809	NM_127433.4.p1, NM_001335611.1.p1, NM_203006.3.p1	XM_004236199.4.p1, XM_010320701.3.p1, XM_004250678.4.p1
OG0002810	NM_001335709.1.p1, NM_127651.4.p1, NM_201768.2.p1	XM_004243280.3.p1
OG0002811	NM_001336118.1.p1, NM_179771.3.p1	XM_026028250.1.p1, XM_026028251.1.p1, XM_010314500.3.p1
OG0002812	NM_115256.4.p1, NM_001336678.1.p1, NM_129346.2.p1	XM_004246346.4.p1, XM_026027993.1.p1, XM_010313991.3.p1
OG0002813	NM_001336763.1.p1, NM_129487.6.p1, NM_001339716.1.p1, NM_115364.3.p1	XM_004239707.4.p1
OG0002814	NM_001336950.1.p1, NM_129770.4.p1	XM_004234760.4.p1, XM_026029868.1.p1, XM_026029866.1.p1, XM_026029864.1.p1
OG0002815	NM_111156.3.p1, NM_001337439.1.p1, NM_001337440.1.p1	XM_004241011.4.p1, XM_004228599.4.p1
OG0002816	NM_001337706.1.p1, NM_001337707.1.p1, NM_001337710.1.p1, NM_001337705.1.p1, NM_111615.4.p1	XM_004237594.4.p1, XM_004237595.4.p1, XM_004246990.4.p1
OG0002817	NM_111673.5.p1, NM_001337752.1.p1	XM_004244905.4.p1
OG0002818	NM_001338055.1.p1, NM_202573.3.p1, NM_112202.5.p1	XM_010317935.3.p1
OG0002819	NM_001339000.1.p1, NM_001339001.1.p1, NM_001338998.1.p1, NM_113822.3.p1, NM_001338999.1.p1	XR_003247244.1.p1, XM_004241783.4.p1
OG0002820	NM_120722.4.p1, NM_112002.3.p1, NM_179922.2.p1, NM_001339573.1.p1	XM_004228632.4.p1, XM_026033108.1.p1
OG0002821	NM_148090.2.p1, NM_118085.4.p1, NM_001341365.1.p1	XM_019212241.2.p1
OG0002821	NM_120764.2.p1, NM_001342910.1.p1	XM_026029876.1.p1, XM_026029875.1.p1, XM_010319611.3.p1
OG0002822	NM_001343711.1.p1, NM_001343712.1.p1, NM_001343707.1.p1, NM_001343710.1.p1, NM_001342202.1.p1, NM_119472.4.p1	XM_026032658.1.p1, XM_004244985.4.p1
OG0002823	NM_119680.6.p1, NM_001342327.1.p1	XM_010317097.3.p1, XM_004231018.4.p1
OG0002824	NM_001343048.1.p1, NM_001343049.1.p1	XM_010322820.3.p1, XM_010322819.3.p1
OG0002824	NM_118650.4.p1	XM_019213829.2.p1
OG0002825	NM_203097.2.p1, NM_001343830.1.p1, NM_122292.4.p1	XM_004234353.4.p1
OG0002826	NM_001344110.1.p1, NM_122947.4.p1	XM_010325707.3.p1
OG0002827	NM_125723.3.p1, NM_123436.3.p1, NM_001344349.1.p1	XM_004236276.2.p1
OG0002828	NM_001344491.1.p1, NM_001344493.1.p1	XM_004247602.4.p1
OG0002829	NM_118629.3.p1, NM_001344909.1.p1, NM_124456.4.p1, NM_001344908.1.p1	XM_026028984.1.p1, XM_004235225.4.p1
OG0002830	NM_124840.3.p1, NM_001345091.1.p1, NM_001345092.1.p1	XM_010326034.3.p1, NM_001310325.1.p1
OG0002831	NM_116260.4.p1, NM_100042.4.p1, NM_130160.3.p1	XM_004229886.4.p1
OG0002831	NM_105048.3.p1	XM_004245545.4.p1
OG0002833	NM_111476.2.p1, NM_121931.4.p1	XM_010323959.3.p1
OG0002833	NM_100199.2.p1, NM_116515.4.p1	XM_026032857.1.p1, XM_004240594.4.p1
OG0002834	NM_111307.5.p1	XM_004239640.4.p1, XM_004242723.4.p1
OG0002834	NM_126924.3.p1, NM_128892.3.p1, NM_100333.2.p1	XM_004234003.4.p1, XM_004252972.3.p1, XM_004247743.4.p1
OG0002835	NM_128429.3.p1, NM_100650.4.p1	XM_004251264.4.p1, XM_004251265.4.p1
OG0002836	NM_111390.2.p1, NM_100766.3.p1	XM_004248773.4.p1, XM_004230115.4.p1
OG0002837	NM_104563.4.p1, NM_104579.4.p1, NM_100841.4.p1, NM_100831.4.p1	XM_004249246.4.p1, XM_004249138.4.p1
OG0002838	NM_104622.3.p1, NM_100888.4.p1	XM_010317725.3.p1
OG0002839	NM_101529.5.p1, NM_106553.5.p1	XM_004232595.4.p1, XM_004231556.4.p1
OG0002840	NM_102576.2.p1, NM_202197.2.p1, NM_179881.4.p1	XM_004241597.4.p1, XM_004235793.4.p1, XM_010320362.3.p1
OG0002842	NM_102887.5.p1	XM_004228478.4.p1, XM_019213923.2.p1
OG0002843	NM_105814.4.p1	XM_004250666.4.p1
OG0002843	NM_103095.4.p1	XM_004250758.4.p1
OG0002844	NM_103469.4.p1, NM_104840.5.p1	NM_001247068.1.p1, XM_010316185.3.p1
OG0002845	NM_202279.4.p1, NM_104141.5.p1	XM_010320482.3.p1, XM_004235943.4.p1
OG0002846	NM_104191.5.p1	XM_004251812.4.p1
OG0002847	NM_105308.2.p1, NM_105310.4.p1, NM_104541.4.p1	XM_004249622.3.p1, NM_001279063.2.p1, XM_004249620.3.p1, NM_001247488.1.p1
OG0002848	NM_104882.5.p1, NM_127711.4.p1	XM_004243095.4.p1, XM_004238268.4.p1
OG0002850	NM_111071.3.p1	XM_004252997.4.p1, XM_010315686.3.p1, XM_019215090.2.p1
OG0002851	NM_120617.3.p1, NM_111935.6.p1	XM_019214276.2.p1, XM_004240804.4.p1
OG0002852	NM_112164.3.p1	XM_010328905.3.p1
OG0002853	NM_113610.2.p1, NM_123470.4.p1	XM_004231713.4.p1
OG0002854	NM_122169.3.p1, NM_114340.4.p1, NM_128342.3.p1	XM_004241256.4.p1, XM_004250968.4.p1
OG0002855	NM_119780.3.p1, NM_127358.6.p1, NM_114978.3.p1	NM_001247186.2.p1, XM_004244125.4.p1, XM_004251440.4.p1
OG0002856	NM_115874.6.p1, NM_130006.3.p1	XM_004229304.4.p1
OG0002857	NM_128169.5.p1	XM_004245049.4.p1
OG0002857	NM_125080.2.p1, NM_118746.4.p1	XM_004243711.4.p1, XM_010322781.3.p1
OG0002858	NM_203200.1.p1, NM_124682.5.p1, NM_118919.3.p1	XM_004234926.4.p1
OG0002859	NM_119718.6.p1	XM_010316592.3.p1, XM_026029219.1.p1
OG0002860	NM_125528.2.p1	XM_026030318.1.p1
OG0002860	NM_127720.2.p1, NM_120071.2.p1	XM_004248647.4.p1, XM_004230830.4.p1
OG0002861	NM_120421.3.p1	XM_004246574.4.p1, XM_010327665.3.p1, XM_010327664.3.p1
OG0002862	NM_120862.4.p1, NM_125522.4.p1	XM_026030118.1.p1
OG0002863	NM_129292.4.p1, NM_121359.5.p1	XM_010320965.3.p1
OG0002864	NM_121440.3.p1	XM_004231777.4.p1
OG0002865	NM_121524.5.p1, NM_123348.2.p1	XM_004228350.4.p1, XM_010321146.3.p1, XM_004238736.4.p1
OG0002866	NM_121532.4.p1	XM_010318806.3.p1
OG0002867	NM_121988.6.p1	XM_010317690.3.p1, XM_010317687.3.p1, XM_010317689.3.p1, XM_010317686.3.p1, XM_010317688.3.p1
OG0002868	NM_122276.3.p1	XM_026032368.1.p1
OG0002869	NM_122963.4.p1	XM_004243068.4.p1, XM_026031922.1.p1, XM_026031921.1.p1, XM_004238188.4.p1
OG0002870	NM_179983.4.p1	XM_004237484.4.p1
OG0002870	NM_129281.5.p1	XM_004246661.4.p1
OG0002871	NM_129494.2.p1	XM_010323063.3.p1
OG0002871	NM_129293.4.p1	XM_004249784.4.p1
OG0002872	NM_129431.2.p1	XM_010326267.3.p1, XM_004245811.4.p1
OG0002873	NM_130060.4.p1	XM_010314495.3.p1
OG0002874	NM_179286.2.p1	XM_004231015.4.p1, XM_026028890.1.p1, XM_010317093.3.p1, XM_004237328.4.p1
OG0002875	NM_179890.4.p1	XM_010319137.2.p1, XR_002027244.2.p1, XM_019212757.2.p1
OG0002887	NM_001035584.2.p1, NM_111712.6.p1	XM_004246249.4.p1
OG0002888	NM_001344352.1.p1, NM_123441.3.p1, NM_001035703.3.p1	XM_004231755.2.p1
OG0002889	NM_113646.4.p1, NM_001035704.2.p1	XM_004231761.4.p1, XM_004233959.4.p1
OG0002889	NM_121435.2.p1	XM_004239127.4.p1
OG0002890	NM_102974.5.p1, NM_001036050.2.p1	XM_019215278.2.p1, XM_004245824.4.p1
OG0002891	NM_129074.3.p1, NM_001036581.1.p1, NM_117898.5.p1, NM_124045.5.p1	XM_004244344.4.p1, XM_004245848.4.p1
OG0002892	NM_203201.3.p1, NM_001036988.2.p1, NM_001345029.1.p1	XM_004234930.4.p1, XM_004234929.4.p1
OG0002893	NM_001084235.1.p1, NM_104112.4.p1	XM_004235662.4.p1
OG0002895	NM_114428.4.p1, NM_001084776.2.p1, NM_203237.1.p1, NM_125416.4.p1	XM_004241219.4.p1
OG0002896	NM_103620.4.p1	XM_004238235.4.p1
OG0002896	NM_001085339.1.p1, NM_126049.4.p1	NM_001310120.1.p1, XM_004232376.4.p1
OG0002897	NM_001123825.1.p1, NM_101521.3.p1	XR_738225.3.p1, XM_004249092.3.p1
OG0002898	NM_113753.5.p1	XM_004232210.4.p1
OG0002898	NM_102263.3.p1, NM_105677.3.p1, NM_001124104.1.p1	XM_004238685.4.p1
OG0002899	NM_001124934.1.p1, NM_128443.4.p1	NM_001278994.2.p1, NM_001279022.1.p1
OG0002900	NM_001160955.2.p1, NM_001332760.1.p1, NM_001332761.1.p1, NM_102506.5.p1, NM_102276.7.p1, NM_001332644.1.p1	XM_010322717.3.p1, XM_010322719.3.p1
OG0002901	NM_120187.3.p1, NM_148698.3.p1, NM_001161127.2.p1	XM_004246315.4.p1
OG0002902	NM_180288.2.p1, NM_001161160.2.p1, NM_001332497.1.p1, NM_101988.5.p1, NM_001332498.1.p1	XM_004237698.4.p1
OG0002903	NM_103274.4.p1	NM_001247175.2.p1
OG0002903	NM_121060.4.p1, NM_121061.3.p1, NM_125901.4.p1, NM_001161326.2.p1	XM_004240190.3.p1, NM_001247172.2.p1
OG0002904	NM_001198066.1.p1, NM_101333.5.p1	XM_010320825.3.p1, XR_003246440.1.p1, XR_003246439.1.p1, XM_026030663.1.p1, XM_026030662.1.p1
OG0002904	NM_126259.4.p1	NM_001247769.3.p1
OG0002905	NM_001332590.1.p1, NM_001198140.1.p1, NM_102159.3.p1, NM_105758.4.p1	XM_004236941.4.p1
OG0002906	NM_128911.3.p1, NM_001202738.1.p1, NM_102572.3.p1	XM_026029722.1.p1
OG0002907	NM_001202911.1.p1, NM_202522.1.p1	XM_004243518.4.p1
OG0002907	NM_117737.5.p1	XM_004239768.4.p1, XM_010323090.3.p1
OG0002908	NM_179952.3.p1, NM_115227.5.p1, NM_001203152.1.p1	XM_004249600.4.p1, NM_001347951.1.p1, XM_004246416.4.p1
OG0002909	NM_001203405.1.p1, NM_121905.3.p1, NM_111494.3.p1, NM_001337640.1.p1	XM_004229412.3.p1
OG0002910	NM_179318.3.p1	XM_019212354.2.p1, XM_004232644.4.p1
OG0002910	NM_001203921.1.p1, NM_118820.7.p1	XM_004248286.4.p1
OG0002911	NM_001203937.2.p1, NM_115352.4.p1, NM_129480.3.p1	XM_004239628.4.p1, XM_010323020.3.p1, XM_010323019.3.p1
OG0002912	NM_127723.3.p1, NM_001335757.1.p1, NM_001204031.2.p1, NM_120075.5.p1	XM_004230844.4.p1, XM_010317012.3.p1
OG0002913	NM_100059.3.p1, NM_001331304.1.p1	XM_010323228.3.p1, XM_010323226.3.p1
OG0002914	NM_118199.1.p1, NM_118153.4.p1, NM_001341424.1.p1, NM_001331399.1.p1	XM_010320283.3.p1, XM_026030197.1.p1
OG0002915	NM_100298.3.p1, NM_001331466.1.p1	XM_004239761.4.p1, XM_004239762.4.p1, XM_004229202.4.p1, XM_004252860.4.p1, XM_004239763.4.p1
OG0002916	NM_001331651.1.p1, NM_001331653.1.p1, NM_001331645.1.p1, NM_001331649.1.p1, NM_001331662.1.p1, NM_001331656.1.p1, NM_001331655.1.p1, NM_001331660.1.p1, NM_001331658.1.p1	XM_019212355.2.p1, XM_004232626.4.p1
OG0002917	NM_179275.4.p1, NM_202055.4.p1, NM_203005.2.p1, NM_001331733.1.p1, NM_001332853.1.p1, NM_102681.4.p1, NM_001332855.1.p1, NM_180623.2.p1, NM_001331730.1.p1, NM_001331732.1.p1, NM_001331731.1.p1, NM_100652.5.p1	XM_019212292.2.p1, XM_004233010.3.p1, XM_019214518.2.p1, XM_010323886.3.p1
OG0002918	NM_001331933.1.p1, NM_001333921.1.p1, NM_104767.4.p1	XM_010321061.3.p1
OG0002919	NM_001332089.1.p1, NM_001336084.1.p1	XM_010322600.3.p1
OG0002920	NM_001332140.1.p1, NM_001332141.1.p1, NM_126209.3.p1, NM_001335064.1.p1	XM_004235040.4.p1, XM_004238779.4.p1, XM_010322399.3.p1
OG0002921	NM_001332354.1.p1, NM_202129.3.p1	XM_026031752.1.p1, XM_004241144.4.p1
OG0002922	NM_001337835.1.p1, NM_001332479.1.p1, NM_001332481.1.p1, NM_001332477.1.p1, NM_101945.4.p1, NM_001332478.1.p1	XM_010316437.3.p1, XM_010316436.3.p1
OG0002923	NM_125790.6.p1	XM_004229119.4.p1
OG0002923	NM_001332520.1.p1, NM_102008.5.p1, NM_001334773.1.p1	XM_004237315.4.p1
OG0002924	NM_001333360.1.p1	XM_010314167.3.p1
OG0002925	NM_112390.5.p1, NM_001333580.1.p1, NM_202285.2.p1, NM_104194.4.p1	XM_004243319.3.p1
OG0002927	NM_001333821.1.p1	XR_002027514.2.p1, XM_019213329.2.p1
OG0002927	NM_120330.7.p1	XM_026032875.1.p1
OG0002928	NM_202341.2.p1, NM_001334022.1.p1, NM_104905.6.p1	XM_004232652.4.p1, XR_002026853.2.p1
OG0002929	NM_001336576.1.p1, NM_001336577.1.p1, NM_129147.4.p1	XM_010317502.3.p1, XM_004228581.4.p1, XM_026027738.1.p1
OG0002930	NM_001339586.1.p1, NM_115135.3.p1, NM_001339588.1.p1, NM_001339587.1.p1, NM_201883.1.p1, NM_001336588.1.p1	XM_004249401.4.p1, XM_026032727.1.p1, XM_026032726.1.p1, XM_010327621.3.p1
OG0002931	NM_116209.3.p1	NM_001257980.1.p1
OG0002931	NM_129714.4.p1, NM_001336920.1.p1, NM_001336921.1.p1	NM_001257979.1.p1, NM_001257978.1.p1
OG0002932	NM_130331.4.p1, NM_001337269.1.p1, NM_001337270.1.p1, NM_001340180.1.p1, NM_116151.4.p1	XM_010328274.3.p1
OG0002933	NM_121594.2.p1, NM_001343426.1.p1, NM_001337408.1.p1	XM_004232058.4.p1, XM_004232059.4.p1, XM_004233357.4.p1, XM_004234647.4.p1
OG0002934	NM_118666.3.p1	XM_004234117.4.p1
OG0002934	NM_001337989.1.p1, NM_112068.9.p1	XM_004229766.4.p1
OG0002935	NM_112648.3.p1, NM_001338303.1.p1	XM_004235348.4.p1
OG0002936	NM_001338403.1.p1	NM_001321771.1.p1
OG0002937	NM_001338491.1.p1, NM_001338492.1.p1, NM_180286.1.p1, NM_112972.4.p1	NM_001319221.1.p1
OG0002938	NM_123336.6.p1, NM_001338753.1.p1	NM_001308010.1.p1, XM_004242408.4.p1, XM_004246193.3.p1
OG0002939	NM_202638.2.p1, NM_180303.4.p1, NM_001338815.1.p1, NM_113578.4.p1	XM_004229550.4.p1
OG0002940	NM_001339965.1.p1, NM_001339963.1.p1, NM_115794.4.p1, NM_202730.3.p1, NM_202729.1.p1, NM_001339960.1.p1, NM_115793.5.p1	XM_004241342.4.p1
OG0002941	NM_001340195.1.p1, NM_202753.2.p1	XM_010328087.3.p1, XM_004247140.4.p1
OG0002941	NM_113173.3.p1	XM_019215453.2.p1
OG0002942	NM_120241.4.p1, NM_116219.5.p1, NM_001340224.1.p1, NM_001340223.1.p1	XM_010317511.3.p1
OG0002943	NM_001340966.1.p1, NM_001340965.1.p1	XM_004247545.4.p1
OG0002944	NM_179066.3.p1, NM_001341131.1.p1, NM_001341130.1.p1	XM_010315506.3.p1
OG0002945	NM_001341214.1.p1, NM_001341215.1.p1	XM_010327188.3.p1
OG0002946	NM_001341743.1.p1, NM_124577.4.p1, NM_001344972.1.p1	XM_004234297.4.p1
OG0002947	NM_001341764.1.p1, NM_118709.4.p1	XM_010324933.3.p1
OG0002948	NM_001342047.1.p1, NM_127988.6.p1	XM_026028574.1.p1, XM_004251708.4.p1, XM_004242529.4.p1
OG0002949	NM_001342117.1.p1, NM_119332.4.p1	XM_004244483.4.p1
OG0002950	NM_001342210.1.p1, NM_001342209.1.p1, NM_119482.4.p1	XM_004233596.4.p1
OG0002951	NM_120204.3.p1, NM_202991.2.p1, NM_001342580.1.p1	NM_001324478.1.p1
OG0002952	NM_121164.5.p1, NM_001343175.1.p1	NM_001247891.2.p1
OG0002953	NM_001343248.1.p1, NM_203044.4.p1	XM_026028103.1.p1, XR_738617.3.p1, XM_010314971.3.p1, XM_004228468.4.p1
OG0002954	NM_122655.4.p1, NM_001344034.1.p1, NM_001344036.1.p1, NM_001344033.1.p1	XM_004230192.4.p1
OG0002955	NM_123287.4.p1, NM_001344286.1.p1	XM_004232123.4.p1
OG0002956	NM_124892.4.p1, NM_001345107.1.p1, NM_001345110.1.p1, NM_001345112.1.p1, NM_001345113.1.p1	XM_010328874.3.p1, XM_004248245.4.p1
OG0002957	NM_001345188.1.p1, NM_125008.5.p1	XM_010325921.3.p1
OG0002958	NM_001345225.1.p1, NM_125078.2.p1	XM_010325751.3.p1, XM_004251625.4.p1
OG0002959	NM_125505.4.p1, NM_001345443.1.p1, NM_125502.5.p1	XM_019213068.2.p1, XM_026030103.1.p1, XM_019214157.2.p1
OG0002960	NM_001345592.1.p1, NM_114710.3.p1	XM_004236505.4.p1, XM_004236284.4.p1, XM_004236285.4.p1
OG0002960	NM_111056.3.p1	XM_004233539.4.p1
OG0002961	NM_126106.3.p1, NM_001345810.1.p1, NM_114893.3.p1	XM_004238098.4.p1, XM_004233580.4.p1
OG0002962	NM_100238.4.p1	XM_010328756.3.p1, XM_004248422.4.p1, XM_010328757.3.p1
OG0002963	NM_100465.4.p1	XM_004239792.3.p1, XM_026031261.1.p1, XM_004247943.4.p1
OG0002964	NM_100948.3.p1	XM_004238024.4.p1, XM_004242906.2.p1
OG0002964	NM_114840.4.p1, NM_125988.2.p1	XM_004231890.3.p1, XM_004234664.4.p1
OG0002965	NM_100970.4.p1	XM_004250384.4.p1, XM_004241796.4.p1, XM_004248800.4.p1, XM_004230426.4.p1
OG0002967	NM_104680.3.p1, NM_101389.3.p1	XM_004235598.4.p1
OG0002968	NM_106028.4.p1, NM_101666.3.p1	XM_004245540.4.p1
OG0002969	NM_104957.5.p1	XM_004244527.4.p1, XM_026032415.1.p1, XM_004245676.4.p1, XM_004245677.4.p1
OG0002969	NM_106013.5.p1, NM_101686.5.p1	XM_004235773.3.p1
OG0002970	NM_124683.1.p1	XM_010319815.3.p1
OG0002970	NM_126099.1.p1, NM_101737.2.p1, NM_106108.1.p1	XM_019212733.2.p1
OG0002971	NM_101787.3.p1	XM_004238170.4.p1
OG0002973	NM_102469.5.p1	XM_004228355.4.p1, XM_010325241.3.p1, XM_004238713.4.p1
OG0002974	NM_123839.4.p1, NM_102828.4.p1	XM_004232577.4.p1, XM_026028924.1.p1
OG0002975	NM_119799.4.p1	NM_001247388.3.p1
OG0002975	NM_103587.3.p1	XM_004238563.4.p1
OG0002976	NM_103602.3.p1	XM_004238096.4.p1
OG0002977	NM_123672.4.p1, NM_103612.3.p1	XM_004238081.4.p1, NM_001247395.2.p1
OG0002978	NM_103946.3.p1, NM_112922.3.p1	XM_004248326.4.p1, NM_001252115.2.p1
OG0002979	NM_112926.5.p1, NR_143580.1.p1, NM_103948.3.p1	XM_004244074.4.p1, XM_004251412.4.p1
OG0002981	NM_104168.2.p1	XM_004244317.2.p1
OG0002981	NM_202331.2.p1	XM_004233778.4.p1
OG0002983	NM_105826.4.p1	NM_001347483.1.p1, NM_001347482.1.p1
OG0002984	NM_105856.7.p1	XM_004241781.4.p1, XM_004250357.4.p1
OG0002985	NM_105937.4.p1	XM_010320192.3.p1
OG0002985	NM_125089.4.p1	XM_010325723.2.p1
OG0002986	NM_127333.5.p1, NM_114990.5.p1	XM_004234479.4.p1, XM_004232462.4.p1
OG0002986	NM_106235.5.p1	XM_019211554.2.p1, XM_026029811.1.p1
OG0002988	NM_111502.5.p1	XM_004229423.4.p1
OG0002989	NM_112071.3.p1	XM_004239715.4.p1
OG0002989	NM_111789.7.p1	XM_019210827.2.p1, XM_004249470.4.p1
OG0002990	NM_113359.4.p1	XM_004251553.4.p1
OG0002991	NM_113504.3.p1	XM_010318763.3.p1, XM_004233259.4.p1, XM_004231753.4.p1, NM_001346901.1.p1
OG0002992	NM_113705.4.p1	NM_001329537.1.p1, XM_019214837.2.p1
OG0002993	NM_114706.5.p1	XM_010315196.3.p1, XM_004253198.4.p1
OG0002994	NM_115033.4.p1	XM_004246251.4.p1, XM_019215650.2.p1
OG0002995	NM_129355.2.p1, NM_115270.5.p1	XM_004246313.4.p1, XM_010313994.3.p1, XM_004249770.4.p1
OG0002996	NM_128391.3.p1	XM_004251096.4.p1, XM_010324098.3.p1
OG0002996	NM_115337.3.p1	XM_019213522.2.p1
OG0002997	NM_115393.3.p1	XM_004239727.3.p1
OG0002998	NM_115402.4.p1	XM_004236698.3.p1
OG0002999	NM_116163.4.p1	NM_001247744.2.p1
OG0003000	NM_117051.3.p1	XM_004252520.4.p1, XM_004237783.4.p1
OG0003001	NM_117539.2.p1	XM_004241485.4.p1
OG0003002	NM_127715.4.p1, NM_120069.5.p1	XM_004230880.4.p1
OG0003002	NM_117715.3.p1	NM_001328680.1.p1
OG0003003	NM_118532.4.p1, NM_118533.4.p1, NM_118531.6.p1	XM_004245448.4.p1, XM_004245450.4.p1
OG0003004	NM_119254.3.p1	XM_026032016.1.p1
OG0003005	NM_119383.4.p1	XM_004244974.4.p1
OG0003006	NM_119527.4.p1	XM_004230614.4.p1
OG0003007	NM_120781.3.p1	XM_019215003.2.p1
OG0003007	NM_120121.3.p1, NM_127768.3.p1	XM_004239955.4.p1, XM_004237395.4.p1
OG0003008	NM_124038.4.p1	XM_010325376.3.p1, XM_010325374.3.p1, XM_010325377.3.p1, XM_004232290.4.p1
OG0003009	NM_124463.4.p1	XM_010322809.3.p1, XM_004235317.4.p1, XM_019214444.2.p1
OG0003010	NM_124539.4.p1	XM_004251203.4.p1, XM_004234113.4.p1
OG0003011	NM_125828.3.p1	XM_019215322.2.p1, XM_026032388.1.p1, XM_010327260.3.p1, XM_019215323.2.p1, XM_019215324.2.p1, XM_019215325.2.p1
OG0003012	NM_126612.3.p1	XM_010317647.2.p1, XM_004249121.4.p1
OG0003013	NM_128336.3.p1	XM_004241260.4.p1, XM_004250973.4.p1
OG0003013	NM_129204.3.p1	XM_004246847.3.p1
OG0003014	NM_179868.3.p1, NM_128845.4.p1	XM_004229309.4.p1
OG0003015	NR_139744.1.p1	XM_004238680.4.p1, XM_004246620.4.p1
OG0003031	NM_126337.4.p1, NM_001035880.3.p1, NM_001335147.1.p1, NM_101302.3.p1, NM_001084065.3.p1	XM_026030436.1.p1, XM_010322368.3.p1
OG0003033	NM_001342009.1.p1, NM_001036659.2.p1, NM_001036658.3.p1	XM_010324927.3.p1
OG0003034	NM_001336834.1.p1	XM_010323150.3.p1, NM_001247760.1.p1
OG0003034	NM_001036760.1.p1, NM_120623.3.p1, NM_111939.3.p1	XM_026027804.1.p1
OG0003035	NM_001036893.2.p1, NM_122989.4.p1	XM_004235226.4.p1
OG0003036	NM_001331761.1.p1, NM_001331764.1.p1, NM_001331762.1.p1, NM_001331763.1.p1, NM_001084018.3.p1	XM_004250960.4.p1
OG0003037	NM_001084080.1.p1, NM_106533.3.p1, NM_106534.2.p1	XM_004244227.4.p1, XM_004244228.4.p1
OG0003038	NM_001084288.2.p1, NM_104908.4.p1	XM_004234422.4.p1
OG0003039	NM_001334588.1.p1, NM_001334587.1.p1, NM_001334589.1.p1, NM_001124121.2.p1, NM_001084349.2.p1	XM_004234273.4.p1, XM_004234274.4.p1
OG0003040	NM_202377.1.p1, NM_102358.4.p1, NM_001084740.1.p1, NM_113492.4.p1	XM_004236950.4.p1, XM_004238887.3.p1
OG0003041	NM_001343797.1.p1, NM_001125792.1.p1, NM_203094.2.p1	XM_019211085.2.p1
OG0003042	NM_118104.5.p1, NM_001341376.1.p1, NM_001160782.3.p1, NM_001341375.1.p1	XM_004233183.4.p1
OG0003043	NM_119667.3.p1, NM_127225.3.p1, NM_001160820.1.p1	XM_010317078.3.p1, XM_004248609.4.p1, XM_019215852.1.p1
OG0003044	NM_001334736.1.p1, NM_106312.4.p1, NM_001198122.2.p1, NM_101959.2.p1	XM_026030910.1.p1
OG0003045	NM_001198249.1.p1, NM_103808.2.p1	XM_004249838.4.p1, XM_010314165.3.p1
OG0003046	NM_001344473.1.p1, NM_001203529.1.p1, NM_123679.4.p1	XM_004238052.4.p1
OG0003047	NM_001203838.1.p1, NM_118014.4.p1, NM_123934.4.p1, NM_102706.3.p1, NM_102707.5.p1, NM_001332867.1.p1	XM_004232942.4.p1, XM_004234020.4.p1, XM_004232954.3.p1
OG0003048	NM_001203842.2.p1, NM_001341339.1.p1, NM_118064.2.p1	XM_004249857.4.p1, XM_010314180.3.p1
OG0003049	NM_001203869.2.p1	XM_004236622.4.p1
OG0003049	NM_124903.3.p1	XM_004251885.4.p1
OG0003050	NM_001341679.1.p1, NM_001203893.1.p1, NM_118583.4.p1	XM_004237956.4.p1, XM_004252671.4.p1
OG0003051	NM_119632.4.p1, NM_001203984.1.p1	XM_004243096.4.p1, NM_001322987.1.p1
OG0003052	NM_001342452.1.p1, NM_001342453.1.p1, NM_001204017.1.p1, NM_119931.3.p1, NM_119994.2.p1, NM_001342454.1.p1	XM_004231888.4.p1, XM_004234598.4.p1
OG0003053	NM_105470.3.p1, NM_120018.4.p1, NM_001342506.1.p1, NM_001342505.1.p1, NM_001204026.2.p1	XM_004244408.4.p1
OG0003054	NM_001331627.1.p1, NM_001331626.1.p1	XM_004248150.4.p1, XM_004243220.4.p1
OG0003055	NM_121441.3.p1	XM_004231779.4.p1
OG0003056	NM_001331878.1.p1, NM_001333829.1.p1	XM_004252683.4.p1, XM_004238006.4.p1
OG0003057	NM_105933.3.p1, NM_001332308.1.p1, NM_001332310.1.p1	XM_004243696.4.p1
OG0003058	NM_001332340.1.p1, NM_001332341.1.p1, NM_148472.3.p1	XM_010324207.3.p1
OG0003059	NM_203027.2.p1, NM_120966.4.p1	XM_004239585.4.p1
OG0003060	NM_103323.3.p1, NM_102052.3.p1, NM_001332533.1.p1	XM_004230433.4.p1
OG0003061	NM_103898.5.p1, NM_001333420.1.p1	XM_004250359.4.p1, XR_003244276.1.p1, XM_019211190.2.p1
OG0003064	NM_001334959.1.p1, NM_101407.4.p1	XM_004235990.4.p1, XM_004252438.4.p1
OG0003065	NM_001335302.1.p1, NM_001335301.1.p1	XM_004243669.4.p1
OG0003066	NM_001335941.1.p1, NM_119308.3.p1	XM_004244435.4.p1
OG0003067	NM_121763.2.p1, NM_001337473.1.p1, NM_111221.2.p1, NM_001337472.1.p1	XM_004232767.4.p1
OG0003068	NM_111252.5.p1, NM_001337489.1.p1	XM_004242002.4.p1
OG0003069	NM_001337513.1.p1, NM_111306.4.p1, NM_121854.3.p1	XM_004237468.4.p1, XM_004239636.4.p1
