Orthogroup	Arabidopsis_thaliana_rna_prot	Zea_mays_rna_prot
OG0004967	NM_001084570.1.p1, NM_001161097.1.p1, NM_201934.3.p1	NM_001154896.2.p1
OG0004968	NM_124769.5.p1, NM_001345072.1.p1, NM_180855.2.p1, NM_001084689.2.p1	XM_020542072.2.p1, NM_001152548.1.p1, NM_001149142.2.p1, XM_008674327.3.p1
OG0004969	NM_001085291.3.p1, NM_001203629.1.p1	XM_008660666.3.p1, XM_008660668.2.p1, NM_001176286.1.p1, XM_008658618.3.p1, XM_020542763.3.p1
OG0004970	NM_001123901.2.p1, NM_102624.4.p1, NM_001332819.1.p1	XM_008656463.4.p1, NM_001149638.2.p1
OG0004971	NM_001125406.1.p1, NM_116027.5.p1	XM_008656107.4.p1, NM_001138140.1.p1
OG0004972	NM_001125805.1.p1, NM_122512.4.p1	XM_020553285.2.p1, XM_035967955.1.p1, XM_020553287.2.p1
OG0004973	NM_001126002.2.p1, NM_001345503.1.p1, NM_125585.2.p1, NM_001345506.1.p1, NM_001345504.1.p1	XM_020548007.3.p1, NM_001111688.2.p1, NM_001254887.2.p1, XM_035963083.1.p1
OG0004974	NM_117845.4.p1, NM_001160775.1.p1, NM_124113.5.p1	XM_008665847.3.p1
OG0004975	NM_001336867.1.p1, NM_001161094.2.p1	NM_001174427.1.p1
OG0004976	NM_103431.7.p1, NM_001198218.1.p1	XR_559503.4.p1, XM_008662287.3.p1, XM_035959726.1.p1
OG0004977	NM_001198447.1.p1, NM_105852.3.p1, NM_117026.5.p1	NM_001155956.1.p1
OG0004978	NM_106514.4.p1, NM_001198500.1.p1, NM_106515.4.p1, NM_106513.5.p1, NM_179569.4.p1	NM_001365847.1.p1
OG0004979	NM_127307.4.p1, NM_001202613.1.p1, NM_119715.3.p1	NM_001148833.1.p1, NM_001361391.1.p1, XM_008654786.4.p1, XR_556346.3.p1
OG0004980	NM_001202648.1.p1, NM_127826.5.p1	XM_008651804.4.p1
OG0004981	NM_001202764.1.p1, NM_179942.4.p1	XM_020537479.2.p1, XM_008655091.3.p1, XM_020553472.2.p1, XM_035958886.1.p1, XM_008660627.4.p1, NM_001361965.1.p1
OG0004982	NM_001203300.2.p1, NM_120639.2.p1	XM_008655311.4.p1, XM_020540901.3.p1
OG0004983	NM_001203357.2.p1	XM_020544809.3.p1, XM_035962898.1.p1, XM_035962899.1.p1, XM_035962896.1.p1, XM_020545340.3.p1, XM_020545330.3.p1
OG0004984	NM_121948.2.p1, NM_001203410.1.p1, NM_001343602.1.p1, NM_001343601.1.p1, NM_121269.3.p1	NM_001155092.1.p1
OG0004985	NM_001203455.1.p1, NM_122368.4.p1	XM_008663125.4.p1, XM_008663126.4.p1, XM_008680046.4.p1
OG0004986	NM_001203456.1.p1, NM_001343883.1.p1, NM_122370.2.p1	XM_008672076.4.p1, XM_020552042.1.p1
OG0004987	NM_179221.2.p1, NM_118655.4.p1, NM_001203586.2.p1, NM_124524.2.p1	XR_561750.4.p1, XR_004855972.1.p1, XR_004855973.1.p1, NM_001157731.1.p1, XM_008654863.3.p1
OG0004988	NM_001203945.1.p1, NM_119215.4.p1, NM_127968.3.p1	NM_001138462.2.p1, XR_566511.3.p1
OG0004989	NM_100842.4.p1, NM_001331846.1.p1	NM_001156983.2.p1
OG0004990	NM_001332126.1.p1, NM_001332125.1.p1, NM_101323.3.p1	NM_001155390.1.p1, NM_001138392.2.p1
OG0004991	NM_001335086.1.p1, NM_101330.5.p1, NM_001332129.1.p1	NM_001146943.1.p1
OG0004993	NM_103158.3.p1, NM_001333098.1.p1	XM_035964884.1.p1, XM_035964885.1.p1, XM_008670049.4.p1, NM_001361457.1.p1
OG0004994	NM_001333916.1.p1, NM_104763.3.p1	NM_001360123.1.p1, NM_001176218.1.p1, XM_008657908.4.p1
OG0004995	NM_001334327.1.p1, NM_105450.4.p1	NM_001138665.1.p1
OG0004996	NM_001334483.1.p1, NM_105769.5.p1	NM_001158377.1.p1
OG0004997	NM_001334607.1.p1, NM_106044.6.p1	XM_008651641.3.p1
OG0004998	NM_106163.3.p1, NM_001334674.1.p1, NM_101790.4.p1	NM_001177112.1.p1, NM_001150629.2.p1
OG0004999	NM_001334899.1.p1, NM_001334898.1.p1, NM_001334897.1.p1, NM_001334896.1.p1, NM_106611.3.p1	NM_001137546.1.p1, XM_035959204.1.p1
OG0005000	NM_001334903.1.p1, NM_001334904.1.p1, NM_001334902.1.p1, NM_001334900.1.p1, NM_001334905.1.p1, NM_106612.4.p1, NM_101488.2.p1	NM_001158559.2.p1, NM_001360109.1.p1
OG0005001	NM_106731.3.p1, NM_001335016.1.p1, NM_101464.4.p1	XM_008682933.3.p1, XM_008682932.2.p1
OG0005002	NM_001335203.1.p1	XM_035959389.1.p1, XM_008649194.3.p1, NM_001138873.1.p1
OG0005003	NM_203087.4.p1, NM_001335293.1.p1, NM_001335291.1.p1, NM_001335289.1.p1, NM_001335290.1.p1, NM_126614.3.p1	XM_035967868.1.p1, XM_035967867.1.p1, NM_001150022.2.p1, XM_008683401.3.p1
OG0005004	NM_127117.3.p1, NM_001335456.1.p1	XM_008663486.4.p1, NM_001149732.1.p1
OG0005005	NM_127193.2.p1, NM_001335476.1.p1	XM_008678792.3.p1, XM_008678789.2.p1, XM_008664668.4.p1, XM_035963407.1.p1
OG0005006	NM_001335548.1.p1, NM_127297.5.p1, NM_119711.4.p1	NM_001147157.1.p1, NM_001156943.1.p1, NM_001156641.2.p1
OG0005007	NM_127674.5.p1, NM_001335564.1.p1, NM_127339.3.p1	NM_001159218.2.p1
OG0005008	NM_001336302.1.p1, NM_128631.4.p1, NM_180151.4.p1	XM_008651410.3.p1, XM_008651407.4.p1, XM_008651411.3.p1
OG0005009	NM_001336368.1.p1, NM_128764.4.p1	XR_561518.4.p1, XM_008667365.4.p1, NM_001147961.1.p1
OG0005010	NM_001336430.1.p1, NM_001336425.1.p1, NM_001336427.1.p1, NM_001336426.1.p1, NM_001336429.1.p1, NM_001336431.1.p1, NM_001336428.1.p1	NM_001360496.1.p1
OG0005011	NM_001337252.1.p1, NM_001337253.1.p1, NM_180139.4.p1	XM_035968078.1.p1, XM_035968076.1.p1, XM_035968079.1.p1
OG0005012	NM_001337291.1.p1, NM_001337290.1.p1	XM_035966234.1.p1, XM_020550233.3.p1, XR_002268022.3.p1, XR_002268021.3.p1, XM_020550232.2.p1, XM_020550234.2.p1, XR_004857162.1.p1
OG0005013	NM_121649.6.p1, NM_001337434.1.p1, NM_111146.4.p1	NM_001111567.1.p1, NM_001196899.1.p1, XM_008651422.4.p1
OG0005014	NM_001337523.1.p1, NM_001337520.1.p1, NM_001337521.1.p1, NM_001337522.1.p1, NM_001337519.1.p1, NM_111241.4.p1, NR_141025.1.p1, NR_141027.1.p1, NM_001343525.1.p1	NM_001149647.1.p1
OG0005015	NM_001337883.1.p1, NM_180224.4.p1	XM_008645917.4.p1, XM_008645916.3.p1, XM_035958764.1.p1, NM_001176648.1.p1
OG0005016	NM_001337960.1.p1, NM_112023.2.p1	XM_035960401.1.p1, XM_035960400.1.p1, XM_008652758.2.p1, XM_023300464.2.p1, XM_035960402.1.p1, NM_001365280.1.p1, XM_035960398.1.p1, XM_023300463.1.p1
OG0005018	NM_103840.3.p1, NM_001338380.1.p1, NM_001338379.1.p1, NM_001338378.1.p1	XM_035966886.1.p1, XM_035966887.1.p1, XR_004857566.1.p1, XM_035966885.1.p1, NM_001368104.1.p1, XM_035966889.1.p1, NM_001153954.1.p1
OG0005019	NM_001339221.1.p1	XM_008658319.4.p1, NM_001359316.1.p1
OG0005020	NM_114489.5.p1, NM_001339237.1.p1, NM_001339238.1.p1, NM_001339239.1.p1, NM_001339240.1.p1, NM_001339241.1.p1	NM_001155815.2.p1
OG0005021	NM_001339278.1.p1, NM_114554.4.p1	NM_001149959.1.p1
OG0005022	NM_001339491.1.p1, NM_114974.4.p1	XM_008660173.4.p1, XM_008660174.4.p1, NM_001150583.1.p1, NM_001138606.1.p1
OG0005023	NM_001339618.1.p1	XM_035962969.1.p1, NM_001360468.1.p1, XM_008663412.4.p1
OG0005024	NM_001339648.1.p1	XM_008651308.4.p2
OG0005025	NM_202716.3.p1, NM_001339749.1.p1, NM_001339750.1.p1, NM_001339748.1.p1	NM_001176396.2.p1
OG0005026	NM_001339958.1.p1, NM_115792.3.p1	XM_008674422.4.p1, NM_001151636.1.p1
OG0005027	NM_001339993.1.p1, NM_115828.5.p1	NM_001359419.1.p1, NM_001147987.1.p1, XM_020540361.2.p1
OG0005028	NM_117175.3.p1, NM_001340700.1.p1, NM_105114.3.p1	XM_008657561.4.p1, NM_001301479.1.p1, NM_001174702.1.p1, XM_008656959.2.p1
OG0005029	NM_117414.4.p1, NM_001340859.1.p1	NM_001366016.1.p1
OG0005030	NM_001340899.1.p1, NM_117480.4.p1	XR_555006.3.p1, XM_008651432.3.p1
OG0005031	NM_001341096.1.p1	XM_008659601.3.p1
OG0005032	NM_001341384.1.p1, NM_001341381.1.p1, NM_001341382.1.p1, NM_001341383.1.p1, NM_118117.4.p1, NM_001341385.1.p1	XM_023300274.2.p1, NM_001154189.2.p1
OG0005033	NM_179146.2.p1, NM_001342050.1.p1, NM_119248.3.p1	NM_001151907.1.p1
OG0005034	NM_001342138.1.p1, NM_119388.5.p1	XM_035966957.1.p1, XM_020551601.2.p1, XM_020552866.2.p1, XM_020552867.2.p1
OG0005035	NM_122502.3.p1, NM_119449.2.p1, NM_001342188.1.p1	XM_035966951.1.p1, XM_008659294.2.p1, NM_001158122.2.p1, XM_008647414.3.p1
OG0005036	NM_001342255.1.p1, NM_001342256.1.p1, NM_001342258.1.p1, NM_001342257.1.p1, NM_001342259.1.p1	XM_020549898.1.p1, XM_023301917.2.p1, XM_020549893.2.p1
OG0005037	NM_001342728.1.p1	NM_001368321.1.p1
OG0005038	NM_001343235.1.p1	XM_008651368.4.p1, XM_008657978.2.p1, XM_008676287.3.p1
OG0005039	NM_001343480.1.p1, NM_121713.3.p1	XM_008659932.2.p1
OG0005040	NM_001343703.1.p1, NM_147881.4.p1	XM_008658452.4.p1
OG0005041	NM_122263.3.p1, NM_001343817.1.p1, NM_001343816.1.p1	XM_020551132.2.p1, NM_001112519.1.p1
OG0005042	NM_121630.4.p1, NM_111132.3.p1, NM_001344143.1.p1	NM_001150791.2.p1, NM_001174935.2.p1, NM_001138016.2.p1, NM_001150848.1.p1, NM_001151049.2.p1
OG0005044	NM_001344264.1.p1, NM_123233.4.p1, NM_001344263.1.p1	NM_001138661.2.p1, NR_161296.1.p1, XM_020553070.2.p1
OG0005045	NM_001344344.1.p1, NM_180777.3.p1, NM_123422.4.p1, NM_113658.3.p1	NM_001156385.1.p1, NM_001143228.1.p1, XM_008652761.3.p1
OG0005046	NM_117875.4.p1, NM_001344706.1.p1, NM_124077.5.p1	XM_008669436.4.p1, NM_001147754.1.p1
OG0005048	NM_124387.3.p1, NM_001344871.1.p1	NM_001149564.2.p1, XM_008651475.4.p1
OG0005048	NM_125871.5.p1, NM_103468.4.p1	XM_008665944.4.p1, NM_001367151.1.p1
OG0005049	NM_124669.3.p1, NM_001345015.1.p1	NM_001360461.1.p1
OG0005050	NM_124908.4.p1, NM_001345121.1.p1, NM_118806.6.p1	XM_008670287.4.p1
OG0005051	NM_125237.4.p1, NM_001345304.1.p1	XM_008662017.4.p1, XM_035962695.1.p1, XM_008662019.4.p1
OG0005052	NM_180449.1.p1, NM_120725.3.p1, NM_100017.3.p1	NM_001152893.1.p1
OG0005053	NM_100359.3.p1, NM_128832.5.p1	NM_001360596.1.p1, NM_001353406.1.p1, XM_008665353.2.p1, XM_008670688.3.p1
OG0005054	NM_128726.1.p1, NM_100460.1.p1	NM_001174971.1.p1
OG0005055	NM_128576.3.p1, NM_100571.3.p1	XM_008656419.4.p1, NM_001373984.1.p1
OG0005056	NM_100595.6.p1	XM_008673788.2.p1, NM_001148676.1.p1, NM_001136700.2.p1, XM_008670230.2.p1
OG0005057	NM_111528.2.p1, NM_100802.5.p1	NM_001158477.2.p1
OG0005058	NM_100808.3.p1	XM_023300737.2.p1, XM_008656322.3.p1, NM_001152382.1.p1
OG0005059	NM_100853.4.p1	XR_563474.4.p1, NR_158751.1.p1
OG0005060	NM_100931.3.p1, NM_104709.3.p1	XM_008680337.4.p1, NM_001154481.1.p1
OG0005061	NM_101005.4.p1	NM_001361339.1.p1, XM_023300269.2.p1, XM_023300270.2.p1
OG0005062	NM_101138.4.p1	NM_001143527.1.p1, XR_002749730.2.p1, XM_020540240.1.p1, XM_008652776.3.p1
OG0005064	NM_101348.4.p1	XM_008646018.3.p1
OG0005065	NM_101678.3.p1, NM_106023.3.p1, NM_202411.1.p1	NM_001165666.1.p1, XM_008645669.3.p1, XM_035968121.1.p1
OG0005066	NM_101756.3.p1, NM_106141.3.p1	XM_020547389.3.p1
OG0005068	NM_106411.4.p1, NM_179366.1.p1, NM_102036.4.p1	NM_001156703.1.p1, NM_001176432.1.p1
OG0005069	NM_202165.1.p1, NM_202166.2.p1, NM_102185.4.p1	XM_008664031.3.p1, NM_001176992.1.p1
OG0005070	NM_105704.2.p1, NM_102226.3.p1, NM_102225.1.p1	NM_001196566.2.p1
OG0005071	NM_105524.3.p1, NM_102356.4.p1	NM_001323540.1.p1, XM_008670233.3.p1
OG0005072	NM_102494.4.p1	XM_035966084.1.p1, NR_158574.1.p1, XR_004549249.2.p1, NR_158579.1.p1
OG0005073	NM_102842.3.p1	XM_020538437.3.p1
OG0005074	NM_102870.3.p1	NM_001176907.1.p1
OG0005075	NM_102939.4.p1	NM_001156726.1.p1, NM_001137962.1.p1
OG0005076	NM_102952.4.p1	NM_001136864.1.p1, XM_008663092.4.p1
OG0005077	NM_103023.4.p1	NM_001347904.1.p1, NM_001372008.1.p1
OG0005078	NM_103073.3.p1, NM_117084.3.p1, NM_117083.3.p1	NM_001137936.1.p1
OG0005079	NM_103761.6.p1, NM_126175.4.p1	XM_008675571.3.p1
OG0005080	NM_103975.4.p1, NM_112948.3.p1, NM_148376.2.p1, NM_118842.4.p1	NM_001112292.1.p1, XM_008670434.4.p1
OG0005081	NM_104024.3.p1, NM_113003.5.p1, NM_104028.5.p1	NM_001153829.2.p1
OG0005082	NM_104051.5.p1	XM_008677282.3.p1, XM_008656849.3.p1, NM_001157719.1.p1
OG0005083	NM_104224.2.p1	NM_001147484.1.p1
OG0005084	NM_104408.5.p1	NM_001359438.1.p1
OG0005085	NM_105147.4.p1	NM_001348730.1.p1, XM_023302169.2.p1, XM_008678654.2.p1, XM_008663688.4.p1, NM_001371811.1.p1, NM_001174913.1.p1
OG0005086	NM_105245.3.p1, NM_123059.3.p1	XM_008680635.3.p1, XM_008665178.4.p1, XM_008670880.4.p1, XM_008670881.4.p1
OG0005087	NM_105344.4.p1, NM_123171.4.p1	NM_001156635.2.p1, XM_008657793.4.p1
OG0005088	NM_105408.4.p1	NM_001159074.1.p1
OG0005089	NM_106390.3.p1	NM_001176093.1.p1
OG0005090	NM_111012.4.p1	NM_001351843.1.p1
OG0005091	NM_113682.4.p1, NM_123406.3.p1, NM_111023.3.p1	NM_001153513.2.p1
OG0005092	NM_121586.3.p1, NM_111099.5.p1	NM_001353444.1.p1, XM_008667422.3.p1
OG0005093	NM_111495.4.p1	NM_001371900.1.p1
OG0005094	NM_111505.4.p1, NM_121895.4.p1	XM_023302430.2.p1, XM_035967831.1.p1, NM_001155850.1.p1, XM_035959611.1.p1
OG0005095	NM_112103.3.p1	XM_020541923.3.p1, NM_001359485.1.p1, XM_035961313.1.p1, XM_035965973.1.p1, NM_001175582.1.p1, XM_020549872.3.p1
OG0005096	NM_112106.4.p1	NM_001360478.1.p1, NM_001352261.1.p1, NM_001138202.1.p1, NM_001165731.1.p1, XM_008656923.4.p1, XM_008651763.3.p1
OG0005098	NM_112710.2.p1	NM_001152513.1.p1, NM_001157413.1.p1
OG0005099	NM_112748.4.p1	XM_035963202.1.p1, NM_001301502.1.p1, XR_561722.2.p1, XM_008669712.2.p1
OG0005102	NM_114518.4.p1	NM_001361280.1.p1, NM_001349642.1.p1, NM_001363251.1.p1
OG0005104	NM_115037.8.p1	NM_001148071.1.p1, NM_001374049.1.p1
OG0005105	NM_115528.3.p1	XR_565003.3.p1, XR_004857685.1.p1, XR_565005.3.p1
OG0005106	NM_115767.3.p1, NM_129863.3.p1	NM_001323613.1.p1, NM_001279546.1.p1, NM_001329439.1.p1
OG0005108	NM_180116.2.p1, NM_116022.5.p1	XM_008666462.3.p1, XM_020546702.3.p1
OG0005109	NM_116502.4.p1	XM_008678906.4.p1, NM_001152863.1.p1, XM_008678905.3.p1, XM_008670297.4.p1, NM_001154372.2.p1
OG0005110	NM_116884.4.p1	NM_001279733.2.p1, NM_001111861.2.p1, XM_020547748.3.p1, NM_001156179.1.p1
OG0005111	NM_117176.3.p1	NM_001353440.1.p1, XM_035959448.1.p1, XM_035959449.1.p1, XM_008651623.4.p1, XM_020546167.3.p1, XM_020546168.3.p1
OG0005112	NM_118404.5.p1, NM_117281.3.p1, NM_118403.2.p1	NM_001155226.1.p1
OG0005113	NM_117677.7.p1	XM_035967054.1.p1, NM_001176355.1.p1, XM_008648169.4.p1, XM_008648167.2.p1
OG0005114	NM_117747.7.p1	XM_020548589.2.p1, NM_001370621.1.p1
OG0005115	NM_117857.3.p1	XM_020553457.2.p1, NM_001174440.1.p1, NM_001359598.1.p1, XM_008663734.4.p1
OG0005116	NM_117889.4.p1	XM_008663371.4.p1, NM_001147762.1.p1, NM_001367181.1.p1, XM_020553150.3.p1, XM_008683183.3.p1
OG0005117	NM_118037.7.p1	XM_035959826.1.p1
OG0005118	NM_180805.4.p1, NM_123902.3.p1, NM_118043.2.p1	NM_001176331.1.p1
OG0005119	NM_118515.4.p1	XM_008657170.3.p1, XM_008657171.4.p1, NM_001196836.1.p1
OG0005120	NM_118602.4.p1	XM_008647664.2.p1, XM_020548831.1.p1
OG0005121	NM_118615.3.p1	NM_001155520.2.p1, NM_001155215.2.p1
OG0005122	NM_119035.3.p1, NM_179136.3.p1	NM_001150261.1.p1
OG0005123	NM_119463.5.p1	XM_020546704.2.p1, XR_002266394.2.p1, XM_008647428.3.p1
OG0005124	NM_127342.4.p1, NM_119771.4.p1	XM_008655194.4.p1
OG0005125	NM_119790.3.p1	NM_001148006.1.p1
OG0005126	NM_119807.2.p1	XM_008674350.3.p1, XM_008674349.4.p1
OG0005127	NM_202988.4.p1, NM_120125.2.p1	NM_001154099.2.p1
OG0005128	NM_120422.4.p1	NM_001358826.1.p1
OG0005129	NM_120472.3.p1	XM_020551544.3.p1, XM_020551542.3.p1, XR_004857588.1.p1, XR_004857589.1.p1, XM_020551543.3.p1, NM_001154927.2.p1, NM_001157754.2.p1
OG0005130	NM_120583.6.p1	NM_001111491.1.p1, NM_001371890.1.p1
OG0005131	NM_121248.5.p1	NM_001158385.2.p1, NM_001151760.2.p1, XM_008680330.3.p1
OG0005132	NM_121276.3.p1	XM_008657433.2.p1, XM_023300799.2.p1, XM_008675454.3.p1
OG0005133	NM_121979.4.p1	NM_001366116.1.p1, NM_001361036.1.p1, NM_001153820.2.p1
OG0005134	NM_122138.3.p1	NM_001137053.1.p1, XM_008683180.4.p1
OG0005135	NM_122237.4.p1	NM_001366879.1.p1, NM_001111401.2.p1
OG0005136	NM_123012.6.p1	XM_020544287.2.p1, XM_008660524.4.p1
OG0005137	NM_123804.4.p1	XM_008645456.4.p1, NM_001155501.2.p1, XM_035968029.1.p1, NM_001174548.1.p1
OG0005138	NM_123897.4.p1	NM_001305873.1.p1, XM_008651373.2.p1
OG0005139	NM_124010.3.p1	XM_008666491.4.p1, XM_008666493.4.p1
OG0005140	NM_203177.2.p1, NM_124219.5.p1	XM_008653183.3.p1, XM_008653178.3.p1, XM_008653182.4.p1, XM_008653180.2.p1, NM_001154122.2.p1
OG0005141	NM_124420.3.p1	XR_002267812.3.p1, NM_001360650.1.p1, XM_008658708.4.p1, NM_001176256.2.p1, NM_001154397.2.p1
OG0005142	NM_124600.3.p1	XR_564959.3.p1, NM_001156059.1.p1
OG0005144	NM_124819.3.p1	XM_008679176.3.p1, XM_008679178.3.p1
OG0005145	NM_125462.4.p1	XM_008666852.3.p1, XM_035964502.1.p1, NM_001309221.1.p1, NM_001329573.1.p1
OG0005146	NM_125824.4.p1, NM_125825.3.p1	NM_001111398.2.p1, XR_002266995.2.p1, NM_001111399.2.p1
OG0005147	NM_125846.3.p1	NM_001174540.1.p1, NM_001372328.1.p1
OG0005148	NM_125981.4.p1	XM_008645930.3.p1, XR_552452.3.p1
OG0005149	NM_128084.3.p1, NM_126891.4.p1	XM_008645288.4.p1
OG0005151	NM_128398.4.p1	XM_008646017.4.p1, NM_001196961.1.p1, XM_008670216.4.p1, NM_001148672.1.p1
OG0005152	NM_128683.4.p1	XM_008661075.4.p1
OG0005153	NM_128855.4.p1	NM_001152363.1.p1, XM_008678860.4.p1, XM_020551486.3.p1, NM_001159010.1.p1
OG0005154	NM_129469.2.p1	NM_001148534.1.p1
OG0005155	NM_130089.4.p1	NM_001150899.2.p1, XM_020545201.2.p1
OG0005156	NM_130130.4.p1	XM_035967661.1.p1, XM_035967660.1.p1, NM_001291686.1.p1
OG0005157	NM_148232.3.p1	XR_002269032.2.p1, XM_020552500.3.p1, NM_001153214.1.p1, XM_008663624.4.p1
OG0005158	NM_179157.3.p1	XR_004858214.1.p1, XR_004858215.1.p1, XM_008645682.4.p1, XR_552437.3.p1, XM_008666630.4.p1, XM_008666629.4.p1
OG0005159	NM_179360.1.p1	NM_001147274.1.p1, XM_020538830.3.p1, XM_035962002.1.p1
OG0005160	NM_179706.2.p1	NM_001320477.1.p1
OG0005161	NM_179963.3.p1	XM_020540386.3.p1, XR_002748529.2.p1
OG0005162	NM_180780.2.p1	NM_001370575.1.p1
OG0005163	NM_202670.3.p1, NM_202671.3.p1	NM_001137960.2.p1
OG0005179	NM_148568.1.p1, NM_112649.3.p1, NM_001338304.1.p1, NM_001035641.2.p1	XM_008660428.4.p1
OG0005180	NM_001339821.1.p1, NM_001339820.1.p1, NM_001084835.2.p1, NM_001035798.2.p1, NM_001339819.1.p1	XM_035958827.1.p1, NM_001351771.1.p1
OG0005181	NM_001036091.3.p1, NM_001333465.1.p1	XM_008679895.1.p1, NM_001156939.1.p1, XM_008682790.3.p1, NM_001137455.1.p1, XM_023302406.2.p1
OG0005182	NM_001036635.1.p1, NM_124543.3.p1	NM_001175002.1.p1
OG0005183	NM_001036674.2.p1, NM_001125607.1.p1, NM_119127.4.p1, NM_118740.3.p1, NM_202890.2.p1, NM_179115.2.p1	XM_020543500.3.p1, NM_001359457.1.p1
OG0005184	NM_001343590.1.p1, NM_001036823.1.p1, NM_121919.3.p1	NM_001196760.1.p1
OG0005185	NM_116452.4.p1, NM_122580.4.p1, NM_001343989.1.p1, NM_001036873.2.p1, NM_111445.5.p1	XM_035967642.1.p1, XM_008682732.3.p1, NM_001137755.2.p1
OG0005186	NM_123454.3.p1, NM_001036913.2.p1, NM_113631.4.p1	XM_008660777.2.p1, NM_001197007.1.p1
OG0005187	NM_124986.3.p1, NM_001037003.2.p1, NM_118787.6.p1	XM_008654629.3.p1, XM_008672050.4.p1, XM_008681296.3.p1
OG0005188	NM_125207.5.p1, NM_001037017.3.p1, NM_001037016.2.p1	NM_001365364.1.p1, XM_020544268.2.p1
OG0005189	NM_001084007.2.p1	NM_001351710.1.p1
OG0005190	NM_001332631.1.p1, NM_001084123.1.p1, NM_102250.5.p1	XM_023301670.2.p1, XM_008671932.4.p1
OG0005192	NM_001084364.2.p1, NR_139663.1.p1, NM_001332465.1.p1, NM_101930.4.p1, NM_001332466.1.p1	XM_008664325.4.p1, XM_008675994.4.p1, XM_035967086.1.p1
OG0005194	NM_116308.4.p1, NM_001331250.1.p1, NM_001123732.2.p1	NM_001322493.1.p1
OG0005195	NM_116962.4.p1, NM_103198.3.p1, NM_001123940.1.p1	NM_001112332.1.p1, NM_001112295.2.p1
OG0005196	NM_101889.2.p1, NM_001124134.2.p1	NM_001136920.2.p1, XM_008670805.4.p1
OG0005197	NM_001332258.1.p1, NM_001124147.1.p1, NM_106541.4.p1	XM_020551002.2.p1, XM_008676059.3.p1, XM_008676058.2.p1, XM_020550508.3.p1, XM_020550280.3.p1, XM_020550281.3.p1, XM_035966287.1.p1, XM_020550282.2.p1, XM_035966288.1.p1, XM_035966289.1.p1
OG0005199	NM_104237.4.p1, NM_001125154.5.p1, NM_112319.4.p1	XM_020552865.1.p1
OG0005200	NM_001340628.1.p1, NM_001340629.1.p1, NM_001125488.2.p1	NM_001361393.1.p1, XM_008653377.3.p1, XM_008653378.2.p1, XR_004851255.1.p1, XR_555472.2.p1, XR_002263320.1.p1
OG0005201	NM_001161275.1.p1, NM_001125838.2.p1, NM_001125839.2.p1, NM_001344098.1.p1	XM_023300302.2.p1, XM_023300303.2.p1, XM_023300304.2.p1, NM_001354171.1.p1, XM_020539207.2.p1, XM_020539205.3.p1
OG0005202	NM_117589.6.p1, NM_001160762.2.p1, NM_001338573.1.p1	XM_008667466.3.p1
OG0005203	NM_001160938.1.p1, NM_148569.5.p1, NM_112698.4.p1, NM_202603.1.p1	XM_020540883.3.p1, NM_001148378.3.p1, XM_008669342.3.p1
OG0005204	NM_001160985.2.p1	XM_008669454.3.p1, NM_001150713.2.p1, NM_001310031.1.p1
OG0005205	NM_124727.3.p1, NM_001161125.2.p1	XM_020549847.2.p1, XM_008647239.3.p1
OG0005206	NM_001161268.2.p1, NM_180546.3.p1, NM_001343977.1.p1, NM_001343976.1.p1, NM_001343978.1.p1	NM_001319697.1.p1, XM_035959856.1.p1
OG0005207	NM_001198096.1.p1	XM_020547061.3.p1
OG0005209	NM_179846.4.p1, NM_001202723.1.p1, NM_001336357.1.p1	NM_001146985.1.p1
OG0005211	NM_115017.6.p1, NM_001203126.1.p1	XM_020539591.3.p1, XM_020539592.2.p1, XM_020541984.3.p1, NM_001149308.2.p1
OG0005212	NM_001203164.2.p1	XM_008669944.4.p1
OG0005214	NM_114748.3.p1, NM_001203592.2.p1, NM_124603.4.p1	XM_035963930.1.p1, NM_001155856.1.p1
OG0005215	NM_148336.4.p1, NM_001203809.1.p1, NM_117667.9.p1	XM_020553133.3.p1, NM_001143642.1.p1, XM_035967771.1.p1, XM_008647599.4.p1, XM_008647600.3.p1, XM_008647601.3.p1, XM_008647596.4.p1, XM_020538568.3.p1, XM_020538567.2.p1
OG0005216	NM_118006.2.p1, NM_001203836.1.p1, NM_118007.5.p1	NM_001159071.1.p1
OG0005217	NM_001203974.1.p1	NM_001136585.1.p1, XM_035962096.1.p1, XM_023302304.1.p1, XM_008681956.3.p1
OG0005218	NM_119570.4.p1, NM_001203979.1.p1, NM_001335846.1.p1, NM_179709.3.p1	XM_035962060.1.p1, XM_035962061.1.p1, NM_001139043.2.p1
OG0005219	NM_202052.2.p1, NM_001331721.1.p1, NM_001331722.1.p1, NM_100643.4.p1	NM_001158216.2.p1, XM_023302514.2.p1
OG0005220	NM_001331941.1.p1, NM_100966.3.p1	XM_020550597.2.p1, XM_008677281.3.p1, XM_035966518.1.p1, XM_020550596.2.p1, XM_008677279.3.p1, XM_035966516.1.p1
OG0005221	NM_001332407.1.p1, NM_001332408.1.p1	NM_001149583.2.p1
OG0005223	NM_001332530.1.p1, NM_102032.4.p1	XR_552410.4.p1, XR_002269428.3.p1, XM_008645359.4.p1, XR_552411.4.p1, XR_004858193.1.p1, XM_035967984.1.p1, XR_002269429.3.p1
OG0005224	NM_001332600.1.p1	NM_001156022.1.p1, XM_008653250.3.p1
OG0005225	NM_001332942.1.p1, NM_102845.5.p1, NM_129054.4.p1	NM_001176144.2.p1, XM_008669606.4.p1, NM_001279567.1.p1
