Orthogroup	Arabidopsis_thaliana_rna_prot	Quercus_robur_rna_prot
OG0004572	NM_001125924.2.p1, NM_001161297.1.p1, NM_124199.5.p1	XM_050423915.1.p1, XM_050423914.1.p1, XM_050423916.1.p1
OG0004573	NM_202538.3.p1, NM_111775.4.p1, NM_001161129.2.p1, NM_001337816.1.p1	XM_050386646.1.p1
OG0004574	NM_001337879.1.p1, NM_180223.4.p1, NM_001161130.1.p1, NM_111883.5.p1, NM_111884.2.p1	XM_050394032.1.p1
OG0004575	NM_103919.5.p1, NM_001338431.1.p1, NM_112886.4.p1, NM_001161156.2.p1	XM_050419973.1.p1
OG0004576	NM_125391.3.p1, NM_001161317.2.p1	XM_050421332.1.p1
OG0004577	NM_001197960.2.p1	XM_050426287.1.p1
OG0004578	NM_103319.3.p1, NM_001198215.2.p1, NM_117957.5.p1	XM_050394717.1.p1
OG0004579	NM_103649.4.p1, NM_001198234.2.p1	XM_050411377.1.p1
OG0004580	NM_001333597.1.p1, NM_001198283.1.p1, NM_179472.3.p1	XM_050402337.1.p1
OG0004581	NM_104354.4.p1, NM_202300.2.p1, NM_001198299.1.p1	XM_050418542.1.p1, XM_050418541.1.p1, XM_050418545.1.p1
OG0004582	NM_001336126.1.p1, NM_001202693.1.p1	XM_050420680.1.p1, XM_050420676.1.p1, XM_050420678.1.p1, XM_050420683.1.p1, XM_050420677.1.p1
OG0004583	NM_001202728.1.p1, NM_100394.4.p1	XM_050426759.1.p1, XR_007654244.1.p1
OG0004584	NM_001332962.1.p1, NM_001336565.1.p1, NM_001202755.2.p1	XM_050411111.1.p1, XM_050411110.1.p1
OG0004585	NM_130113.3.p1, NM_180096.2.p1, NM_001202818.1.p1	XM_050393900.1.p1
OG0004586	NM_001337868.1.p1, NM_180666.4.p1, NM_180667.4.p1, NM_001202925.1.p1, NM_111865.7.p1, NM_120499.4.p1	XM_050389772.1.p1
OG0004587	NM_001338418.1.p1, NM_001338417.1.p1, NM_001203007.2.p1	XM_050419914.1.p1, XM_050419916.1.p1
OG0004588	NM_001339664.1.p1, NM_180685.3.p1, NM_001203157.1.p1	XM_050426820.1.p1
OG0004589	NM_001203356.1.p1, NM_121109.3.p1, NM_001343133.1.p1	XM_050409014.1.p1, XM_050409013.1.p1
OG0004590	NM_001203530.1.p1, NM_123697.1.p1, NM_001203532.2.p1, NM_001344479.1.p1	XM_050383379.1.p1
OG0004591	NM_124260.3.p1, NM_001203567.1.p1	XM_050422793.1.p1
OG0004592	NM_104511.4.p1	XM_050417856.1.p1
OG0004592	NM_124312.3.p1, NM_001203570.1.p1	XM_050383886.1.p1, XM_050415987.1.p1
OG0004593	NM_114982.3.p1, NM_126021.4.p1, NM_001203703.1.p1, NM_126020.2.p1	XM_050436434.1.p1
OG0004594	NM_117266.4.p1, NM_001203773.1.p1, NM_118418.4.p1, NM_001341564.1.p1	XM_050407858.1.p1
OG0004595	NM_127995.3.p1, NM_119258.4.p1, NM_001203948.1.p1	XM_050409424.1.p1
OG0004596	NM_100378.5.p1, NM_001331511.1.p1, NM_001331510.1.p1, NM_001331512.1.p1, NM_001331509.1.p1, NM_001336416.1.p1	XM_050391940.1.p1, XM_050391938.1.p1
OG0004597	NM_117581.5.p1, NM_001331545.1.p1, NM_001331544.1.p1, NM_100415.5.p1	XM_050384554.1.p1
OG0004598	NM_202342.3.p1, NM_148618.5.p1, NM_001334027.1.p1, NM_001332011.1.p1, NM_101066.5.p1	XM_050390008.1.p1, XM_050432511.1.p1
OG0004599	NM_147237.4.p1, NM_001335185.1.p1, NM_001335187.1.p1, NM_101251.5.p1, NM_001332092.1.p1	XM_050421468.1.p1
OG0004600	NM_102040.3.p1, NM_001332532.1.p1, NM_106415.3.p1	XM_050395374.1.p1
OG0004601	NM_103750.4.p1, NM_001333342.1.p1, NM_112673.3.p1, NM_001338314.1.p1	XM_050399502.1.p1
OG0004602	NM_104549.2.p1, NM_001333796.1.p1	XM_050417451.1.p1, XM_050417450.1.p1, XM_050383652.1.p1
OG0004603	NM_001333838.1.p1	XM_050397016.1.p1
OG0004604	NM_104650.4.p1, NM_001333856.1.p1, NM_001333855.1.p1, NM_105064.4.p1	XM_050409084.1.p1, XM_050409083.1.p1
OG0004605	NM_105378.4.p1, NM_001334271.1.p1	XM_050413833.1.p1
OG0004606	NM_001334619.1.p1, NM_001334617.1.p1, NM_001334618.1.p1, NM_106056.5.p1	XM_050408427.1.p1, XM_050408426.1.p1
OG0004607	NM_001334710.1.p1	XM_050411856.1.p1, XM_050411857.1.p1, XM_050411854.1.p1, XM_050411855.1.p1
OG0004608	NM_001334791.1.p1, NM_106419.2.p1, NM_001334790.1.p1	XM_050395418.1.p1, XM_050406789.1.p1
OG0004609	NM_101500.4.p1, NM_001334884.1.p1, NM_001334883.1.p1, NM_106598.4.p1	XM_050422788.1.p1, XM_050422787.1.p1
OG0004610	NM_106642.5.p1, NM_001334936.1.p1	XM_050430292.1.p1
OG0004611	NM_127218.4.p1, NM_001335485.1.p1, NM_119661.3.p1	XM_050407132.1.p1
OG0004612	NM_120143.4.p1, NM_127790.4.p1, NM_001335785.1.p1, NM_121055.4.p1	XM_050385850.1.p1
OG0004613	NM_001335921.1.p1, NM_127976.5.p1, NM_202914.1.p1, NM_119232.3.p1	XM_050416423.1.p1
OG0004614	NM_001336073.1.p1, NM_001336074.1.p1, NM_128211.4.p1	XR_007650860.1.p1
OG0004615	NM_128642.2.p1, NM_001336306.1.p1	XM_050392906.1.p1, XM_050392915.1.p1, XM_050392889.1.p1, XM_050392893.1.p1, XM_050392888.1.p1, XM_050392894.1.p1, XM_050392895.1.p1, XM_050392891.1.p1
OG0004616	NM_128948.4.p1, NM_001336476.1.p1, NM_123966.3.p1	XM_050434817.1.p1
OG0004618	NM_129388.3.p1, NM_001336695.1.p1	XM_050388075.1.p1
OG0004619	NM_001337129.1.p1, NM_001337127.1.p1, NM_130102.5.p1	XM_050393952.1.p1, XM_050393950.1.p1, XM_050393951.1.p1
OG0004620	NM_111011.4.p1, NM_001337339.1.p1, NM_121483.3.p1	XM_050415321.1.p1
OG0004621	NM_001337596.1.p1	XM_050417824.1.p1
OG0004622	NM_001337683.1.p1	XM_050384079.1.p1, XM_050384077.1.p1
OG0004623	NM_111597.3.p1, NM_001337695.1.p1, NM_124245.5.p1	XM_050396802.1.p1
OG0004624	NM_001338490.1.p1, NM_112956.6.p1	XM_050391273.1.p1
OG0004625	NM_113343.3.p1, NM_001338679.1.p1, NM_117410.7.p1	XM_050415802.1.p1, XM_050415804.1.p1
OG0004626	NM_113623.4.p1, NM_001338853.1.p1, NM_001338852.1.p1	XM_050414832.1.p1
OG0004627	NM_105182.5.p1, NM_001339132.1.p1	XM_050413671.1.p1
OG0004628	NM_148852.2.p1, NM_001339359.1.p1	XM_050399668.1.p1, XM_050399670.1.p1, XM_050399667.1.p1
OG0004629	NM_001339439.1.p1, NM_114835.5.p1, NM_125980.2.p1	XM_050436028.1.p1
OG0004630	NM_001339628.1.p1, NM_115232.3.p1	XM_050386683.1.p1, XM_050386682.1.p1, XM_050386679.1.p1, XM_050386681.1.p1
OG0004631	NM_116479.4.p1, NM_001340379.1.p1, NM_001340378.1.p1, NM_001340380.1.p1	XM_050408482.1.p1
OG0004632	NM_001340561.1.p1, NM_178994.5.p1	XR_007651955.1.p1, XR_007651957.1.p1, XR_007651956.1.p1, XM_050416780.1.p1, XM_050416781.1.p1
OG0004633	NM_117251.3.p1, NM_001340735.1.p1	XM_050411203.1.p1
OG0004634	NM_001341662.1.p1, NM_179102.5.p1	XM_050402801.1.p1, XR_007651994.1.p1
OG0004635	NM_119672.4.p1, NM_120019.3.p2, NM_001342507.1.p2	XM_050405118.1.p1
OG0004636	NM_001342555.1.p1, NM_001342557.1.p1, NM_001342556.1.p1, NM_120146.4.p1	XM_050385838.1.p1, XM_050385837.1.p1, XM_050385840.1.p1, XM_050384831.1.p1
OG0004637	NM_115573.4.p1, NM_120486.7.p1, NM_001342744.1.p1	XM_050389589.1.p1
OG0004638	NM_121139.1.p1, NM_001343145.1.p1, NM_180474.2.p1, NM_001343144.1.p1	XM_050401142.1.p1
OG0004639	NM_001343327.1.p1, NM_121427.8.p1	XM_050414891.1.p1, XM_050420339.1.p1
OG0004640	NM_147880.3.p1, NM_001343713.1.p1	XM_050412196.1.p1, XM_050412197.1.p1, XM_050412195.1.p1, XM_050412194.1.p1, XM_050412193.1.p1, XM_050412198.1.p1
OG0004641	NM_180570.2.p1, NM_001344087.1.p1	XM_050383722.1.p1
OG0004642	NM_001344345.1.p1, NM_123424.2.p1, NM_113657.4.p1	XM_050415027.1.p1, XM_050415029.1.p1, XR_007651669.1.p1, XM_050415026.1.p1, XM_050415028.1.p1
OG0004643	NM_113616.3.p1, NM_001344377.1.p1, NM_001344378.1.p1	XM_050414779.1.p1
OG0004644	NM_128625.4.p1	XM_050399886.1.p1, XM_050399891.1.p1, XM_050399888.1.p1
OG0004644	NM_001344768.1.p1, NM_124212.4.p1	XM_050396238.1.p1, XR_007646588.1.p1
OG0004645	NM_001344862.1.p1, NM_001344863.1.p1	XM_050416955.1.p1, XM_050416959.1.p1, XM_050416966.1.p1, XM_050416963.1.p1, XM_050416962.1.p1
OG0004646	NM_001345220.1.p1, NM_001345218.1.p1, NM_001345221.1.p1, NM_001345219.1.p1	XM_050414277.1.p1, XM_050414280.1.p1, XM_050414274.1.p1, XM_050414275.1.p1, XM_050414278.1.p1, XM_050414279.1.p1
OG0004647	NM_001345470.1.p1, NM_125526.5.p1	XM_050426508.1.p1, XM_050419524.1.p1
OG0004648	NM_001345478.1.p1, NM_125546.3.p1, NM_001345479.1.p1, NM_203244.2.p1	XR_007647124.1.p1, XM_050398495.1.p1
OG0004649	NM_001345706.1.p1, NM_001345709.1.p1, NM_001345713.1.p1, NM_001345708.1.p1, NM_001345704.1.p1, NM_001345711.1.p1, NM_001345707.1.p1, NM_001345712.1.p1	XM_050436094.1.p1, XM_050436090.1.p1, XM_050436095.1.p1
OG0004650	NM_100053.4.p1	XM_050393688.1.p1
OG0004651	NM_100129.4.p1	XM_050409856.1.p1
OG0004652	NM_116598.3.p1, NM_100252.3.p1, NM_118974.2.p1, NM_118973.4.p1	XM_050392353.1.p1
OG0004653	NM_100369.5.p1	XM_050383064.1.p1
OG0004654	NM_100418.3.p1	XM_050384592.1.p1, XM_050384591.1.p1
OG0004655	NM_100422.3.p1	XM_050384623.1.p1
OG0004657	NM_100694.5.p1, NM_128345.4.p1	XM_050425677.1.p1
OG0004658	NM_100701.3.p1	XM_050424740.1.p1
OG0004659	NM_100977.2.p1	XM_050416731.1.p1
OG0004660	NM_101582.3.p1	XM_050431855.1.p1
OG0004661	NM_101780.4.p1, NM_180716.3.p1	XM_050406171.1.p1
OG0004662	NM_106305.3.p1, NM_101948.3.p1	XM_050412070.1.p1
OG0004663	NM_106393.5.p1, NM_102021.3.p1	XM_050395177.1.p1
OG0004664	NM_102282.4.p1	XM_050402730.1.p1, XM_050420363.1.p1
OG0004665	NM_179899.1.p1, NM_102716.4.p1	XM_050431552.1.p1
OG0004666	NM_129025.4.p1, NM_102785.5.p1	XM_050431983.1.p1, XM_050431982.1.p1
OG0004667	NM_103725.3.p1	XM_050383618.1.p1, XM_050383619.1.p1
OG0004668	NM_104397.5.p1, NM_104396.3.p1, NM_121993.4.p1	XM_050423025.1.p1
OG0004669	NM_121613.3.p1, NM_105534.4.p1	XM_050406186.1.p1, XM_050385379.1.p1
OG0004670	NM_106169.4.p1	XM_050411423.1.p1, XM_050411422.1.p1, XM_050411420.1.p1, XM_050411425.1.p1, XM_050411419.1.p1
OG0004671	NM_106715.5.p1	XM_050404415.1.p1, XM_050430804.1.p1, XM_050430802.1.p1
OG0004672	NM_111279.5.p1, NM_121833.7.p1	XM_050388867.1.p1
OG0004674	NM_120345.3.p1, NM_111532.3.p1	XM_050383771.1.p1
OG0004675	NM_111573.5.p1, NM_124279.5.p1	XM_050384087.1.p1
OG0004676	NM_111614.2.p1, NM_113430.2.p1	XM_050396525.1.p1
OG0004677	NM_111903.3.p1	XM_050425213.1.p1, XM_050388796.1.p1, XM_050388798.1.p1
OG0004678	NM_180255.3.p1, NM_112351.4.p1	XM_050391770.1.p1
OG0004679	NM_113564.4.p1	XM_050411674.1.p1
OG0004680	NM_113613.5.p1	XM_050414755.1.p1
OG0004681	NM_148063.3.p1, NM_113806.3.p1	XM_050415569.1.p1
OG0004682	NM_113981.6.p1, NM_123232.3.p1	XM_050413959.1.p1, XM_050413954.1.p1, XM_050413955.1.p1, XM_050432286.1.p1
OG0004683	NM_114522.4.p1	XM_050434975.1.p1
OG0004684	NM_115084.4.p1	XM_050426032.1.p1
OG0004685	NM_180073.4.p1, NM_115850.4.p1	XM_050400100.1.p1
OG0004686	NM_130069.3.p1, NM_115917.5.p1	XM_050426295.1.p1
OG0004688	NM_116206.3.p1	XR_007644551.1.p1, XM_050411133.1.p1
OG0004689	NM_116239.4.p1, NM_180105.2.p1	XM_050393922.1.p1
OG0004690	NM_116386.4.p1	XM_050414004.1.p1
OG0004691	NM_116449.3.p1, NM_123231.4.p1	XM_050410116.1.p1
OG0004692	NM_116923.4.p1	XR_007649650.1.p1, XR_007649649.1.p1, XM_050410815.1.p1
OG0004693	NM_116938.4.p1	XM_050409292.1.p1
OG0004694	NM_117197.4.p1, NM_179098.3.p1, NM_118488.6.p1	XM_050413195.1.p1, XM_050398423.1.p1
OG0004695	NM_117276.3.p1	XM_050409432.1.p1
OG0004695	NM_118669.3.p1	XR_007649417.1.p1, XM_050409819.1.p1
OG0004696	NM_129134.4.p1, NM_117740.5.p1	XM_050432338.1.p1
OG0004697	NM_117807.3.p1	XM_050409267.1.p1, XM_050409265.1.p1
OG0004698	NM_118152.2.p1	XM_050408378.1.p1, XM_050408377.1.p1, XM_050397091.1.p1, XM_050397092.1.p1
OG0004699	NM_118697.4.p1, NM_179113.2.p1	XM_050422184.1.p1, XM_050408005.1.p1, XM_050422167.1.p1, XM_050422172.1.p1
OG0004700	NM_119281.2.p1, NM_128001.2.p1	XM_050408593.1.p1, XM_050433577.1.p1
OG0004701	NM_127208.2.p1, NM_119640.3.p1	XM_050404405.1.p1
OG0004702	NM_127293.3.p1, NM_119707.4.p1	XM_050405981.1.p1
OG0004703	NM_119810.3.p1	XM_050436208.1.p1, XM_050435324.1.p1
OG0004704	NM_119962.2.p1	XM_050396444.1.p1
OG0004705	NM_127682.4.p1, NM_120033.5.p1	XM_050405991.1.p1
OG0004706	NM_120319.4.p1	XM_050384406.1.p1, XM_050384404.1.p1, XM_050405746.1.p1, XM_050405747.1.p1, XM_050405749.1.p1, XM_050405748.1.p1
OG0004707	NM_120355.3.p1	XM_050386830.1.p1
OG0004708	NM_120367.4.p1	XM_050410185.1.p1, XM_050408225.1.p1, XM_050410378.1.p1, XM_050409901.1.p1
OG0004709	NM_120406.5.p1	XR_007644849.1.p1
OG0004710	NM_120407.6.p1, NM_180218.2.p1	XM_050387110.1.p1
OG0004711	NM_120456.1.p1, NM_120424.4.p1	XM_050387247.1.p1
OG0004712	NM_203004.1.p1, NM_120618.5.p1	XM_050394912.1.p1, XR_007646258.1.p1, XM_050394911.1.p1, XR_007646259.1.p1, XR_007646260.1.p1
OG0004713	NM_120751.4.p1	XM_050388676.1.p1
OG0004714	NM_121372.3.p1	XM_050427775.1.p1
OG0004715	NM_121980.4.p1	XM_050389147.1.p1
OG0004716	NM_122564.5.p1	XR_007652261.1.p1, XR_007652262.1.p1, XR_007652259.1.p1
OG0004717	NM_123587.5.p1	XM_050411877.1.p1
OG0004718	NM_124107.1.p1	XM_050396301.1.p1, XM_050396300.1.p1, XM_050396302.1.p1, XM_050396297.1.p1, XM_050396305.1.p1, XM_050396306.1.p1, XM_050396299.1.p1, XM_050396304.1.p1, XM_050396295.1.p1
OG0004719	NM_124129.4.p1	XM_050432359.1.p1
OG0004720	NM_124462.4.p1	XM_050394228.1.p1
OG0004721	NM_124958.3.p1	XM_050390503.1.p1
OG0004722	NM_124963.5.p1	XM_050390502.1.p1, XM_050390489.1.p1
OG0004723	NM_125455.4.p1	XM_050405576.1.p1, XM_050399662.1.p1
OG0004724	NM_125531.4.p1	XM_050399501.1.p1
OG0004725	NM_125676.5.p1	XM_050399575.1.p1
OG0004726	NM_125979.1.p1	XM_050392302.1.p1, XM_050392301.1.p1
OG0004727	NM_126278.3.p1, NM_179330.4.p1	XM_050419814.1.p1
OG0004728	NM_126417.3.p1	XM_050421574.1.p1
OG0004729	NM_127591.6.p1	XM_050396000.1.p1, XM_050395999.1.p1
OG0004730	NM_148407.3.p1, NM_127855.3.p1	XM_050435999.1.p1
OG0004731	NM_128172.4.p1	XM_050408026.1.p1
OG0004732	NM_129010.4.p1	XM_050414658.1.p1
OG0004733	NM_129123.3.p1	XM_050411085.1.p1
OG0004734	NM_129578.4.p1	XM_050394846.1.p1
OG0004735	NM_129893.3.p1	XM_050402795.1.p1
OG0004736	NM_147236.3.p1	XM_050421151.1.p1, XM_050421150.1.p1
OG0004758	NM_128723.3.p1, NM_001035811.2.p1	XM_050402458.1.p1
OG0004759	NM_001036154.2.p1	XM_050413036.1.p1, XM_050413034.1.p1
OG0004760	NM_101099.5.p1, NM_104951.4.p1, NM_001036543.2.p1, NM_117310.4.p1	XM_050410921.1.p1
OG0004761	NM_180807.2.p1, NM_001036940.1.p1	XM_050421471.1.p1, XM_050431122.1.p1
OG0004762	NM_001123742.1.p1, NM_001083978.2.p1	XM_050426585.1.p1
OG0004763	NM_117128.3.p1, NM_001340679.1.p1, NM_001084177.2.p1	XM_050412867.1.p1
OG0004764	NM_105834.4.p1, NM_001084341.2.p1	XM_050413348.1.p1
OG0004765	NM_111668.4.p1, NM_001337748.1.p1, NM_001084654.2.p1	XM_050391909.1.p1, XM_050391908.1.p1
OG0004766	NM_101766.3.p1, NM_001084828.3.p1, NM_001198102.1.p1	XM_050394815.1.p1
OG0004767	NM_001084849.2.p1	XM_050426665.1.p1
OG0004768	NM_117577.4.p1, NM_001084922.2.p1, NM_001203805.2.p1, NM_180294.2.p1, NM_180293.1.p1	XM_050384590.1.p1
OG0004769	NM_119673.5.p1, NM_001085024.2.p1	XM_050411766.1.p1, XM_050406138.1.p1
OG0004770	NM_001085031.1.p1, NM_179174.3.p1, NM_119789.2.p1, NM_127366.4.p1	XM_050391295.1.p1, XM_050436353.1.p1
OG0004772	NM_001203559.1.p1, NM_124197.3.p1, NM_001344764.1.p1, NM_001085265.2.p1	XM_050423875.1.p1
OG0004773	NM_001085290.2.p1	XM_050408853.1.p1, XM_050408852.1.p1
OG0004774	NM_001123736.1.p1, NM_001123735.2.p1, NM_116341.4.p1, NM_130193.3.p1	XM_050424232.1.p1
OG0004775	NM_001123885.2.p1	XM_050421252.1.p1, XM_050409255.1.p1
OG0004776	NM_001335141.1.p1, NM_116319.1.p1, NM_102745.1.p1, NM_001340259.1.p1, NM_001124779.1.p1, NM_126241.1.p1, NM_001124778.1.p1	XR_007649392.1.p1, XR_007649389.1.p1, XR_007649391.1.p1, XM_050420442.1.p1
OG0004777	NM_117040.4.p1, NM_001160745.1.p1	XM_050413336.1.p1
OG0004778	NM_001125574.2.p1, NM_001341707.1.p1, NM_001341708.1.p1	XM_050401361.1.p1, XM_050401364.1.p1
OG0004779	NM_114870.4.p1, NM_114869.1.p1, NM_120636.4.p1, NM_001125703.2.p1, NM_126124.4.p1, NM_001345818.1.p1, NM_001345817.1.p1	XM_050409268.1.p1
OG0004780	NM_001125708.1.p1, NM_001125709.1.p1, NM_120758.4.p1	XM_050388701.1.p1
OG0004781	NM_001202928.1.p1, NM_202547.4.p1, NM_001337904.1.p1, NM_001161131.1.p1, NM_180226.3.p1, NM_202546.4.p1	XM_050394959.1.p1
OG0004782	NM_116145.4.p1, NM_001161214.2.p1	XM_050388947.1.p1, XM_050388948.1.p1, XM_050388946.1.p1
OG0004783	NM_001334664.1.p1, NM_101747.3.p1, NM_001332378.1.p1, NM_001198101.1.p1	XM_050402748.1.p1
OG0004784	NM_105742.5.p1, NM_001198437.1.p1	XM_050419498.1.p1
OG0004785	NM_119239.3.p1, NM_001342046.1.p1, NM_119238.5.p1, NM_127981.4.p1, NM_001202658.1.p1	XM_050416333.1.p1
OG0004786	NM_129021.2.p1, NM_001202747.2.p1	XM_050431940.1.p1
OG0004787	NM_001202898.2.p1, NM_121867.4.p1	XM_050384200.1.p1
OG0004789	NM_001203595.1.p1, NM_001345001.1.p1	XM_050416039.1.p1, XM_050416038.1.p1
OG0004790	NM_124913.4.p1, NM_124912.5.p1, NM_001203615.1.p1	XM_050390733.1.p1
OG0004791	NM_001345551.1.p1, NM_001345552.1.p1, NM_001345550.1.p1, NM_001203668.2.p1	XM_050402688.1.p1, XM_050402687.1.p1, XM_050402691.1.p1, XM_050402692.1.p1, XM_050402694.1.p1
OG0004792	NM_120962.3.p1, NM_001203681.1.p1, NM_125783.4.p1	XM_050401329.1.p1
OG0004793	NM_001203845.2.p1	XM_050407093.1.p1
OG0004794	NM_001204012.2.p1, NM_119865.4.p1	XM_050435746.1.p1
OG0004795	NM_128783.5.p1, NM_001331543.1.p1, NM_001331539.1.p1, NM_001331541.1.p1	XM_050424113.1.p1
OG0004796	NM_001331790.1.p1, NM_100755.3.p1	XM_050389015.1.p1
OG0004797	NM_001331994.1.p1, NM_104856.4.p1, NM_118245.1.p1, NM_118244.4.p1	XM_050432854.1.p1
OG0004798	NM_001332220.1.p1	XM_050422834.1.p1
OG0004799	NM_001332342.1.p1, NM_101698.3.p1, NM_106043.3.p1	XM_050402323.1.p1
OG0004800	NM_001332379.1.p1	XM_050402388.1.p1
OG0004801	NM_001332907.1.p1, NM_001332906.1.p1, NM_001332908.1.p1, NM_102791.5.p1	XM_050432002.1.p1
OG0004802	NM_001333092.1.p1	XM_050413271.1.p1
OG0004803	NM_112300.4.p1, NM_001333602.1.p1, NM_001333603.1.p1	XM_050423654.1.p1, XM_050423650.1.p1, XM_050423652.1.p1
OG0004804	NM_001334131.1.p1, NM_180639.1.p1, NM_001334133.1.p1, NM_202356.1.p1	XM_050385739.1.p1, XM_050385737.1.p1, XM_050385738.1.p1
OG0004805	NM_105415.3.p1, NM_001334300.1.p1	XM_050420289.1.p1
OG0004807	NM_001334740.1.p1, NM_001334741.1.p1, NM_202429.2.p1	XM_050413397.1.p1, XM_050413392.1.p1, XM_050413395.1.p1, XM_050413393.1.p1
OG0004808	NM_106606.2.p1, NM_202450.2.p1, NM_202449.2.p1, NM_001334894.1.p1	XM_050422578.1.p1
OG0004809	NM_001343297.1.p1	XM_050414615.1.p1, XM_050420048.1.p1
OG0004810	NM_103506.1.p1, NM_123588.4.p1, NM_123589.4.p1, NM_001335381.1.p1, NM_001335380.1.p1	XM_050412721.1.p1
OG0004811	NM_179822.4.p1, NM_001336283.1.p1	XM_050399615.1.p1
OG0004812	NM_001336608.1.p1, NM_129229.4.p1	XM_050398282.1.p1, XM_050398283.1.p1, XM_050398284.1.p1
OG0004813	NM_129432.3.p1, NM_001336725.1.p1	XM_050427268.1.p1
OG0004814	NM_001340005.1.p1, NM_001337072.1.p1, NM_129972.4.p1	XM_050402672.1.p1, XM_050402671.1.p1
OG0004815	NM_001337229.1.p1, NM_001337228.1.p1, NM_001337230.1.p1, NM_180135.3.p1	XM_050410194.1.p1
OG0004816	NM_201983.2.p1, NM_130356.5.p1, NM_001337283.1.p1	XM_050408999.1.p1, XM_050409000.1.p1
OG0004817	NM_111113.4.p1, NM_180172.2.p1, NM_001337410.1.p1, NM_001337409.1.p1, NM_121598.4.p1	XM_050413966.1.p1
OG0004818	NM_111213.3.p1, NM_001337470.1.p1	XM_050415009.1.p1
OG0004819	NM_001337546.1.p1, NM_111361.4.p1	XM_050419013.1.p1, XM_050419010.1.p1
OG0004820	NM_001337584.1.p1, NM_111416.3.p1, NM_122647.3.p1	XM_050384108.1.p1, XM_050418128.1.p1
OG0004821	NM_112344.5.p1, NM_001338138.1.p1, NM_104223.6.p1, NM_202288.3.p1	XM_050391758.1.p1
OG0004822	NM_001338511.1.p1, NM_104044.3.p1	XM_050433157.1.p1
OG0004823	NM_001339131.1.p1, NM_001339129.1.p1, NM_119416.8.p1	XM_050419740.1.p1, XM_050419743.1.p1, XM_050383183.1.p1
OG0004824	NM_001339583.1.p1, NM_001339584.1.p1, NM_115132.3.p1, NM_180354.2.p1	XM_050387639.1.p1
OG0004825	NM_001339729.1.p1, NM_125972.5.p1	XM_050394438.1.p1, XM_050388972.1.p1
OG0004826	NM_001339872.1.p1, NM_001339874.1.p1, NM_001339873.1.p1, NM_115607.4.p1, NM_001339871.1.p1, NM_129743.4.p1	XM_050389935.1.p1
OG0004827	NM_129760.5.p1, NM_001339904.1.p1	XM_050388671.1.p1
OG0004828	NM_116459.4.p1, NM_001340369.1.p1, NM_202772.2.p1	XM_050407658.1.p1, XM_050407657.1.p1
OG0004829	NM_001340423.1.p1, NM_001340424.1.p1	XM_050409639.1.p1
OG0004830	NM_001340948.1.p1	XM_050383576.1.p1, XM_050383572.1.p1
OG0004831	NM_001342010.1.p1, NM_001342011.1.p1	XM_050416440.1.p1, XM_050416441.1.p1
OG0004832	NM_001342307.1.p1, NM_119651.4.p1	XM_050406369.1.p1
OG0004832	NM_116221.1.p1, NM_100085.4.p1	XM_050426384.1.p1
OG0004833	NM_001342652.1.p1	XM_050386635.1.p1, XR_007644808.1.p1
OG0004834	NM_120403.3.p1, NM_001342693.1.p1	XM_050387078.1.p1
OG0004835	NM_001342854.1.p1, NM_001342852.1.p1	XM_050389145.1.p1, XM_050425593.1.p1
OG0004836	NM_120856.4.p1, NM_001342957.1.p1, NM_001342958.1.p1	XM_050399631.1.p1
OG0004837	NM_001343294.1.p1, NM_180484.3.p1, NM_121383.4.p1, NM_001343295.1.p1	XM_050427589.1.p1
OG0004839	NM_120489.4.p1, NM_001343428.1.p1, NM_001343430.1.p1	XM_050388359.1.p1
OG0004840	NM_001343910.1.p1, NM_122424.4.p1	XM_050412324.1.p1
OG0004841	NM_001344231.1.p1, NM_001344232.1.p1, NM_123181.4.p1, NM_105357.2.p1	XM_050423651.1.p1, XM_050413742.1.p1
OG0004842	NM_001344713.1.p1, NM_124095.4.p1	XM_050409357.1.p1, XM_050409359.1.p1, XM_050409360.1.p1
OG0004843	NM_001345631.1.p1, NM_180936.2.p1, NM_125843.3.p1	XM_050407298.1.p1
OG0004844	NM_148184.3.p1, NM_100005.3.p1	XM_050393516.1.p1
OG0004845	NM_101692.2.p1	XM_050395332.1.p1, XM_050395475.1.p1, XM_050395333.1.p1, XM_050395476.1.p1
OG0004846	NM_101865.4.p1	XM_050411767.1.p1
OG0004847	NM_102146.3.p1, NM_105782.3.p1	XM_050432305.1.p1
OG0004848	NM_102414.4.p1	XM_050421409.1.p1
OG0004849	NM_129013.3.p1, NM_102751.5.p1	XM_050431725.1.p1
OG0004850	NM_102762.5.p1, NM_127367.3.p1	XM_050402662.1.p1
OG0004852	NM_103495.4.p1	XM_050412622.1.p1
OG0004853	NM_128183.4.p1, NM_179448.4.p1, NM_103623.5.p1	XM_050386695.1.p1
OG0004854	NM_112967.4.p1, NM_103992.3.p1	XM_050422416.1.p1
OG0004855	NM_104700.5.p1	XM_050417062.1.p1, XM_050417061.1.p1, XM_050417059.1.p1
OG0004856	NM_104906.2.p1	XM_050405721.1.p1
OG0004857	NM_104920.3.p1	XM_050432422.1.p1, XM_050432421.1.p1
OG0004858	NM_105087.2.p1	XM_050413158.1.p1
OG0004859	NM_105838.5.p1	XM_050413314.1.p1
OG0004860	NM_121653.4.p1, NM_111148.3.p1	XM_050386222.1.p1
OG0004861	NM_129396.4.p1, NM_111720.4.p1	XM_050388133.1.p1
