Orthogroup	Arabidopsis_thaliana_rna_prot	Gossypium_hirsutum_rna_prot
OG0003212	NM_101173.5.p1	XM_016851858.2.p1
OG0003214	NM_101340.4.p1, NM_179332.3.p1	XM_016895761.2.p1, XM_016895763.2.p1, XM_041114153.1.p1, XM_041114151.1.p1, XM_016837676.2.p1
OG0003215	NM_101410.4.p1	XM_016822566.2.p1, XM_016822567.2.p1, XR_005903151.1.p1, XM_041078739.1.p1, XM_016842966.2.p1, XM_041113420.1.p1, XM_016833479.2.p1
OG0003216	NM_117048.4.p1, NM_103125.5.p1, NM_102125.4.p1	XM_016877483.2.p1, XM_016842830.2.p1
OG0003217	NM_102888.3.p1	XM_016865724.2.p1
OG0003218	NM_103190.2.p1	XM_016878395.2.p1, XM_016893324.2.p1
OG0003219	NM_103991.1.p1, NM_103950.1.p1	XM_016828980.1.p1, XM_041094810.1.p1, XM_016828951.2.p1, XM_041109277.1.p1, XM_016814361.1.p1, XM_041099423.1.p1, XM_041075531.1.p1, XM_016885770.1.p1
OG0003220	NM_103971.2.p1	XM_016845928.2.p1, XM_041076068.1.p1
OG0003221	NM_104404.4.p1, NM_112207.4.p1	XM_016816267.2.p1, XM_016848999.2.p1, XM_041085409.1.p1, XM_016839195.2.p1, XM_016836439.2.p1, XM_041075184.1.p1, XM_041075183.1.p1, XM_041075185.1.p1, XM_041085819.1.p1, XM_016879591.2.p1
OG0003222	NM_104807.3.p1	XM_016875721.2.p1, XM_016855953.2.p1, XM_016842693.2.p1
OG0003222	NM_124810.4.p1	XM_016847012.2.p1
OG0003223	NM_105399.2.p1	XM_041094775.1.p1, XM_041112589.1.p1
OG0003224	NM_106374.4.p1	XM_041094334.1.p1, XM_041094339.1.p1, XM_041094337.1.p1, XM_041114091.1.p1, XM_016844371.2.p1, XM_016896720.2.p1, XM_016896721.2.p1
OG0003225	NM_122213.4.p1, NM_111659.4.p1	XM_016853166.2.p1, XM_016900165.2.p1
OG0003226	NM_111682.4.p1, NM_202525.1.p1	XM_016826461.2.p1
OG0003226	NM_129745.3.p1, NM_129744.5.p1	XM_016879350.2.p1, XM_016816062.2.p1
OG0003227	NM_111797.3.p1, NM_120365.4.p1	XM_016882838.2.p1, XM_016893596.2.p1, XM_016831876.2.p1, XM_016824370.2.p1, XM_016847583.2.p1
OG0003228	NM_129662.4.p1, NM_111913.4.p1, NM_120591.2.p1	XM_016856427.2.p1, XM_041080183.1.p1, XM_041105083.1.p1, XM_041105081.1.p1, XM_041105082.1.p1, XM_041080181.1.p1, XM_041114332.1.p1, XM_041114334.1.p1, XM_016852146.2.p1
OG0003229	NM_112716.3.p1	XM_016873242.2.p1, XM_041104484.1.p1, XM_016875281.2.p1
OG0003230	NM_130378.5.p1	XM_016854028.2.p1, XM_016854029.2.p1, XM_016840584.2.p1, XM_016840583.2.p1, XM_016869635.2.p1, XM_041075737.1.p1
OG0003230	NM_113262.4.p1	XM_041088885.1.p1
OG0003231	NM_113367.3.p1	XM_041093091.1.p1, XM_016834480.2.p1
OG0003232	NM_113686.3.p1, NM_180677.2.p1	XM_016854497.2.p1, XM_016839697.2.p1, XM_016854501.2.p1, XM_041077510.1.p1, XM_016817292.2.p1, XM_016823526.2.p1, XM_016823524.2.p1, XM_041091931.1.p1, XM_016856859.2.p1, XM_016857381.2.p1, XM_041098028.1.p1, XM_041116839.1.p1
OG0003233	NM_114929.3.p1	XM_016841504.2.p1, XM_016821411.2.p1, XM_016836873.2.p1, XM_041080867.1.p1
OG0003234	NM_115147.4.p1	XM_041111341.1.p1, XM_016883017.2.p1, XM_041080309.1.p1, XM_041080310.1.p1, XM_016884115.2.p1, XM_016874891.2.p1, XM_016874892.2.p1
OG0003235	NM_115322.4.p1	XM_016869471.2.p1, XM_016875223.2.p1
OG0003236	NM_116565.2.p1	XM_016884068.2.p1, XM_016824502.2.p1, XM_016836789.2.p1, XM_041101061.1.p1, XM_041082974.1.p1, XM_016871083.2.p1, XM_016880365.2.p1, XM_016819334.2.p1, XM_016848398.2.p1
OG0003238	NM_130121.4.p1	XM_016892796.2.p1
OG0003238	NM_179111.1.p1, NM_118671.3.p1, NM_124556.2.p1	XM_016881864.2.p1, XM_016845393.2.p1
OG0003239	NM_125069.3.p1, NM_118748.3.p1	XM_016894780.2.p1, XM_016834193.2.p1, XM_041115746.1.p1, XM_016899433.2.p1, XM_016826992.2.p1, XM_016811439.2.p1, XM_016834392.2.p1, XM_016870665.2.p1
OG0003240	NM_124719.4.p1, NM_118927.5.p1	XM_016861892.2.p1, XM_016861117.2.p1
OG0003241	NM_128116.3.p1, NM_119397.2.p1	XM_016824293.2.p1, XM_016824289.2.p1, XM_016824292.2.p1, XM_041111619.1.p1, XM_016879028.2.p1, XM_016858742.2.p1, XM_041108367.1.p1
OG0003242	NM_119688.4.p1	XM_041084604.1.p1, XM_041084606.1.p1, XM_041084603.1.p1, XM_041084605.1.p1, XM_016860078.2.p1, XM_016860077.2.p1
OG0003243	NM_148105.3.p1	XM_016831788.2.p1, XM_016874889.2.p1
OG0003243	NM_119950.2.p1, NM_179183.2.p1, NM_127833.5.p1	XM_041081500.1.p1, XM_016841927.2.p1, XM_041079787.1.p1
OG0003244	NM_121039.5.p1	XR_005921526.1.p1, XR_005921525.1.p1, XM_041106586.1.p1, XM_041106588.1.p1, XM_041106590.1.p1, XM_041106591.1.p1, XM_041106592.1.p1, XM_016879558.2.p1, XR_005921528.1.p1, XM_016879554.2.p1, XM_041104505.1.p1, XM_016823177.2.p1, XM_041082349.1.p1, XM_041082346.1.p1, XR_005905916.1.p1, XR_005905915.1.p1, XR_005905914.1.p1, XM_016839523.2.p1, XM_016825405.2.p1
OG0003245	NM_121186.4.p1	XM_016827617.2.p1
OG0003245	NM_127852.4.p1	XM_016824716.2.p1
OG0003247	NM_122628.3.p1	XM_016893371.2.p1
OG0003248	NM_124089.5.p1, NM_180813.4.p1	XM_041101208.1.p1, XM_041101209.1.p1, XM_016817871.2.p1, XM_016821717.2.p1, XM_016848137.2.p1, XM_016874455.2.p1, XM_016864338.2.p1
OG0003249	NM_180820.2.p1, NM_124156.5.p1	NR_175000.1.p1, NM_001327140.2.p1, XM_016852021.2.p1, XM_016893827.2.p1
OG0003250	NM_124887.5.p1	XM_016852422.2.p1, XM_016846002.2.p1, XM_016849111.2.p1, XM_041110709.1.p1, XM_016864810.2.p1
OG0003251	NM_124942.3.p1	XM_016851875.2.p1, XM_016847186.2.p1
OG0003252	NM_128268.3.p1	XM_041085967.1.p1, XM_016871602.2.p1, XM_016864514.2.p1, XM_041075045.1.p1, XM_041113252.1.p1
OG0003253	NM_129027.6.p1	XM_016862058.2.p1, XM_016855650.2.p1
OG0003254	NM_130154.4.p1	XM_041117999.1.p1, XM_041117997.1.p1, XM_016887938.2.p1
OG0003255	NM_202194.3.p1, NM_179384.2.p1	XM_041094465.1.p1, XM_016886467.2.p1, XM_016893543.2.p1
OG0003256	NM_179882.2.p1	XM_016865262.2.p1, XM_016871631.2.p1
OG0003257	NM_202366.3.p1	XM_016869575.2.p1, XM_041097408.1.p1
OG0003270	NM_179486.2.p1, NM_104479.2.p1, NM_001035606.4.p1	XM_041086756.1.p1, XM_016883048.2.p1
OG0003271	NM_001344413.1.p1, NM_001036152.1.p1	XM_016837789.2.p1
OG0003272	NM_179836.2.p1, NM_001336329.1.p1, NM_001036380.2.p1, NM_100488.4.p1	XM_016858569.2.p1, XM_016892629.2.p1, XM_016815028.2.p1, XM_016822236.2.p1, XM_016822235.2.p1
OG0003273	NM_001036788.3.p1, NM_001343102.1.p1, NM_001343101.1.p1	XM_041102556.1.p1, XM_041102557.1.p1
OG0003274	NM_125735.4.p1, NM_001344890.1.p1, NM_124418.4.p1	XM_016851631.2.p1, XM_041107196.1.p1, XM_041083275.1.p1, XM_041117407.1.p1, XM_016851031.2.p1, XM_016846271.2.p1
OG0003275	NM_101871.3.p1, NM_001084098.1.p1	XM_016832194.2.p1, XM_016897468.2.p1, XM_016846129.2.p1
OG0003276	NM_119441.5.p1	XM_041117181.1.p1, XM_016822437.2.p1, XM_016877242.2.p1
OG0003276	NM_001084233.2.p1, NM_104096.3.p1	XM_016833020.2.p1, XM_016833019.2.p1
OG0003277	NM_001335101.1.p1, NM_001084400.2.p1, NM_001335102.1.p1	XM_041111822.1.p1
OG0003278	NM_120298.3.p1	XM_016876836.2.p1, XM_016848004.2.p1, XM_041108689.1.p1
OG0003279	NM_112893.4.p1, NM_001338447.1.p1, NM_001084722.1.p1	XM_016883700.2.p1, XM_016883701.2.p1, XM_016824444.2.p1, XM_016850631.2.p1
OG0003280	NM_001124855.1.p1, NM_127176.4.p1, NM_103823.2.p1	XM_016823710.2.p1, XM_016882516.2.p1, XM_016823891.2.p1, XM_041090925.1.p1, XM_041111614.1.p1, XM_041095689.1.p1
OG0003281	NM_202680.3.p1, NM_001125344.1.p1, NM_114970.5.p1	XM_016836102.2.p1
OG0003282	NM_118523.4.p1, NM_001125492.1.p1, NM_202803.3.p1, NM_117167.4.p1, NM_001160748.1.p1, NM_001160747.1.p1, NM_001340698.1.p1	XM_016854569.2.p1, XM_016830848.2.p1, XM_016815227.2.p1, XM_041101171.1.p1, XM_016815229.2.p1
OG0003283	NM_101117.5.p1, NM_001340757.1.p1, NM_117270.4.p1, NM_001160793.1.p1, NM_118414.4.p1	XM_041098617.1.p1, XM_016860550.2.p1, XM_016900128.2.p1
OG0003284	NM_001198085.1.p1, NM_001332241.1.p1, NM_001332240.1.p1, NM_101523.4.p1, NM_202115.3.p1, NM_001332239.1.p1, NM_001332238.1.p1	XM_041087839.1.p1, XM_041074243.1.p1, XM_041086778.1.p1, XM_041085387.1.p1
OG0003285	NM_001334336.1.p1, NM_202374.3.p1, NM_001198418.1.p1, NM_105460.6.p1	XM_016810612.2.p1, XM_016810607.2.p1, XM_016810609.2.p1, XM_016810606.2.p1, XM_041106730.1.p1, XM_016810610.2.p1, XM_016852695.2.p1, XM_016810705.2.p1, XM_016837340.2.p1, XM_016859963.2.p1, XM_041083044.1.p1, XM_016859970.2.p1, XM_041083039.1.p1, XM_016859969.2.p1, XM_016859964.2.p1, XM_016859971.2.p1, XM_041083040.1.p1
OG0003286	NM_127156.4.p1, NM_001202604.1.p1, NM_119885.3.p1, NM_114943.5.p1	XM_016840023.2.p1
OG0003287	NM_001202807.1.p1, NM_129839.4.p1	XM_016812641.2.p1, XM_016812640.2.p1, XM_016812642.2.p1
OG0003288	NM_001337896.1.p1, NM_001202927.1.p1, NM_120596.4.p1	XM_041080188.1.p1
OG0003289	NM_001202995.1.p1, NM_001338337.1.p1, NM_112728.4.p1	XM_041076395.1.p1
OG0003290	NM_001340044.1.p1, NM_115906.4.p1, NM_001203213.1.p1, NM_001340043.1.p1, NM_115908.4.p1	XM_016839846.2.p1, XM_016839845.2.p1, XM_016848358.2.p1
OG0003291	NM_117346.4.p1, NM_117347.7.p1, NM_001340803.1.p1, NM_001203780.1.p1, NM_001340806.1.p1, NM_001340804.1.p1, NM_001340805.1.p1	XM_041081270.1.p1, XM_041106244.1.p1, XM_016890375.2.p1, XM_016891136.2.p1, XM_016890698.2.p1, XM_016891137.2.p1, XM_016890699.2.p1
OG0003292	NM_001331477.1.p1	XM_016848615.2.p1, XM_016841328.2.p1
OG0003293	NM_001331632.1.p1, NM_115772.4.p1	XM_016895724.2.p1
OG0003294	NM_103972.3.p1, NM_001331897.1.p1	XM_016884171.2.p1
OG0003295	NM_129852.3.p1	XM_016895773.2.p1
OG0003295	NM_001331922.1.p1, NM_100946.3.p1	XM_016865599.2.p1, XM_016865600.2.p1
OG0003296	NM_001332506.1.p1, NM_101997.3.p1	XM_016838256.2.p1, XM_016887025.2.p1
OG0003297	NM_102394.3.p1, NM_001332710.1.p1, NM_202185.2.p1, NM_105574.4.p1	XM_016847890.2.p1, XR_005922806.1.p1, XM_041083129.1.p1, XM_041106971.1.p1
OG0003298	NM_121654.3.p1	XM_016897556.2.p1, XM_016897540.2.p1
OG0003298	NM_001332758.1.p1	XM_016866904.2.p1, XM_016872415.2.p1
OG0003299	NM_001333457.1.p1, NM_112946.5.p1	XM_016847111.2.p1, XM_016871866.2.p1
OG0003300	NM_001333562.1.p1, NM_112431.3.p1, NM_104151.4.p1, NM_179469.3.p1	XM_041095260.1.p1
OG0003300	NM_101416.3.p1	XM_016887035.2.p1, XR_001688660.2.p1, XR_005903165.1.p1
OG0003301	NM_001334244.1.p1, NM_179519.3.p1, NM_179520.1.p1	XM_016844749.2.p1, XM_016844752.2.p1
OG0003302	NM_001335002.1.p1	XM_016894223.2.p1, XM_016894222.2.p1
OG0003302	NM_122426.5.p1, NM_001343911.1.p1	XM_041109321.1.p1, XM_016818457.2.p1, XM_016899495.2.p1
OG0003303	NM_179592.2.p1, NM_001335061.1.p1, NM_105762.3.p1, NM_179369.2.p1, NM_102156.1.p1	XM_016866676.2.p1, XM_016851979.2.p1
OG0003304	NM_127207.4.p1, NM_001335480.1.p1, NM_001335478.1.p1, NM_001335479.1.p1, NM_105918.3.p1	XM_041089529.1.p1, XM_016863677.2.p1, XM_016869030.2.p1, XM_016869032.2.p1
OG0003305	NM_128809.6.p1, NM_001336399.1.p1	XM_016871327.2.p1
OG0003306	NM_001336643.1.p1	XM_016825408.2.p1, XM_016842087.2.p1
OG0003306	NM_128397.3.p1	XM_016833169.2.p1, XM_016894977.2.p1, XM_016894978.2.p1, XM_016830480.2.p1, XM_041075061.1.p1, XM_041098781.1.p1
OG0003307	NM_115376.2.p1, NM_129497.4.p1, NM_001336772.1.p1, NM_179985.2.p1, NM_129500.4.p1	XM_041103551.1.p1, XM_016823340.2.p1, XM_041116067.1.p1, XM_016826086.2.p1
OG0003308	NM_001336931.1.p1, NM_180022.2.p1	XM_041114052.1.p1, XM_041114050.1.p1, XM_041087522.1.p1, XM_016851846.2.p1, XM_041114043.1.p1, XM_041114025.1.p1, XM_041114023.1.p1, XM_041114039.1.p1, XM_041114017.1.p1
OG0003309	NM_124190.4.p1, NM_001337745.1.p1, NM_001337744.1.p1	XM_041117620.1.p1, XM_016889474.2.p1, XM_041116599.1.p1, XM_016890644.2.p1
OG0003311	NM_112720.2.p1, NM_001338335.1.p1, NM_103778.5.p1	XM_016816999.2.p1, XM_016816998.2.p1
OG0003312	NM_001338778.1.p1, NM_113512.4.p1, NM_113511.6.p1	XM_016856008.2.p1
OG0003314	NM_118279.3.p1, NM_118280.2.p1, NM_001341502.1.p1, NM_001341504.1.p1, NM_001341501.1.p1, NM_001341505.1.p1, NM_148368.2.p1	XM_016854965.2.p1, XM_041093931.1.p1, XM_016814734.2.p1, XM_016814735.2.p1, XM_016817961.2.p1
OG0003315	NM_118817.4.p1, NM_001341832.1.p1, NM_124900.4.p1	NM_001327352.2.p1, XM_016829529.2.p1
OG0003315	NM_126593.5.p1	XM_016890771.2.p1, XM_016891470.2.p1
OG0003316	NM_120676.3.p1, NM_001342847.1.p1	XM_016898258.2.p1, XM_016867907.2.p1
OG0003316	NM_120279.3.p1	XM_041111376.1.p1, XM_041100984.1.p1, XM_016893673.2.p1, XM_041115685.1.p1
OG0003317	NM_120945.3.p1, NM_001343021.1.p1	XR_005923634.1.p1, XR_005923632.1.p1, XM_041110185.1.p1, XM_041084943.1.p1, XM_041101434.1.p1, XM_016810964.2.p1
OG0003318	NM_122517.5.p1, NM_001343963.1.p1	XM_016844127.2.p1
OG0003318	NM_122068.3.p1	XM_016863988.2.p1, XM_016818297.2.p1, XM_016826954.2.p1, XM_041095334.1.p1, XM_016894632.2.p1, XM_016834350.2.p1
OG0003319	NM_123060.3.p1, NM_001344162.1.p1	XM_016890510.2.p1, XM_041082699.1.p1, XM_041082698.1.p1
OG0003320	NM_001344705.1.p1, NM_124062.3.p1	XR_005906472.1.p1, XM_041107295.1.p1, XM_016849843.2.p1, XM_041098478.1.p1, XM_016849846.2.p1, XM_041104460.1.p1
OG0003321	NM_001345144.1.p1, NM_001345145.1.p1, NM_124940.4.p1	XM_041109018.1.p1, XR_005922941.1.p1, XM_041085277.1.p1, XM_041085276.1.p1
OG0003322	NM_100429.3.p1	XM_016839083.2.p1, XM_016840655.2.p1, XM_016899022.2.p1, XM_016899021.2.p1
OG0003322	NM_121148.3.p1	XM_041109323.1.p1, XM_016818444.2.p1, XM_041093229.1.p1
OG0003323	NM_101188.3.p1	XR_005906296.1.p1, XM_041083049.1.p1, XM_041083050.1.p1, XM_016880500.2.p1, XM_016880501.2.p1, XM_016851142.2.p1, XM_016846367.2.p1, XM_016846366.2.p1, XM_016851140.2.p1, XM_016837377.2.p1
OG0003324	NM_101361.3.p1, NM_126218.3.p1	XM_016878349.2.p1
OG0003324	NM_111216.3.p1, NM_121755.3.p1, NM_105306.4.p1	XM_016889417.2.p1
OG0003325	NM_102039.3.p1, NM_106412.4.p1, NM_103564.3.p1	XM_016831543.2.p1, XM_016900004.2.p1, XM_016825964.2.p1, XM_041087534.1.p1
OG0003326	NM_102127.4.p1	XM_016820267.2.p1, XM_041084319.1.p1, XM_016850603.2.p1
OG0003327	NM_123956.4.p1, NM_102655.4.p1	XM_016836633.2.p1
OG0003328	NM_105896.4.p1, NM_111349.4.p1, NM_180184.2.p1	XM_016842494.2.p1, XM_016822923.2.p1, XM_041095527.1.p1
OG0003329	NM_106451.3.p1	XM_016886806.2.p1, XM_016879541.2.p1, XM_016893289.2.p1, XM_041114968.1.p1
OG0003330	NM_106701.3.p1	XM_041112755.1.p1, XM_016822677.2.p1, XM_041103059.1.p1
OG0003331	NM_110984.3.p1	XM_016814860.2.p1, XM_016812748.2.p1, XM_016874216.2.p1
OG0003332	NM_122642.5.p1	XM_041080146.1.p1, XM_016862688.2.p1
OG0003332	NM_111471.3.p1	XM_041100274.1.p1, XM_041076089.1.p1, XM_041086691.1.p1, XM_041117781.1.p1
OG0003333	NM_120239.3.p1, NM_111723.4.p1, NM_180213.2.p1, NM_123066.4.p1	XM_041115996.1.p1, XM_016873023.2.p1, XM_016872208.2.p1
OG0003334	NM_112814.2.p1	XM_041084570.1.p1, XM_016867530.2.p1, XM_041102321.1.p1
OG0003335	NM_112949.3.p1	XM_016875617.2.p1, XM_016820449.2.p1
OG0003336	NM_113620.4.p1	XM_016869907.2.p1, XM_016842934.2.p1
OG0003337	NM_118584.3.p1	XM_016851007.2.p1
OG0003337	NM_117458.4.p1, NM_113289.3.p1	XM_041112600.1.p1, XM_041112599.1.p1, XM_016830069.2.p1
OG0003338	NM_126046.3.p1, NM_114951.3.p1	XM_016869336.2.p1, XM_041080987.1.p1, XM_016836919.2.p1, XM_016814341.2.p1, XM_041103126.1.p1, XM_041103125.1.p1, XM_041078949.1.p1
OG0003339	NM_115011.3.p1	XM_041081609.1.p1, XM_016839139.2.p1, XM_016852908.2.p1
OG0003340	NM_129777.4.p1, NM_115662.2.p1	XM_016884007.2.p1, XM_016848960.2.p1, XM_041100728.1.p1
OG0003341	NM_115885.3.p1	XM_016839109.2.p1, XR_001685038.2.p1, XM_016826504.2.p1, XM_041082738.1.p1, XM_041075800.1.p1, XM_016835649.2.p1
OG0003342	NM_116120.3.p1	XM_041082925.1.p1, XM_016880211.2.p1, XM_016857806.2.p1
OG0003343	NM_116359.6.p1	XM_041105905.1.p1, XM_041080964.1.p1, XM_016854017.2.p1
OG0003344	NM_116512.2.p1	XM_016840621.2.p1, XM_041099970.1.p1, XM_041075866.1.p1
OG0003345	NM_117248.5.p1	XM_041098632.1.p1, XM_041098630.1.p1, XR_005916953.1.p1, XR_005916954.1.p1, XR_005911533.1.p1, XR_005911534.1.p1, XR_005911532.1.p1, XM_016860687.2.p1, XM_016900103.2.p1
OG0003346	NM_117342.3.p1	XM_016840647.2.p1, XM_041116606.1.p1
OG0003346	NM_124955.4.p1	XM_041085265.1.p1, XM_016847194.2.p1
OG0003347	NM_130068.3.p1	XM_016839476.2.p1
OG0003347	NM_117765.4.p1	XM_016840299.2.p1, XM_016882235.2.p1, XM_016881406.2.p1, XM_016809889.2.p1
OG0003348	NM_118687.3.p1	XM_041074466.1.p1, XM_041098139.1.p1, XM_016861866.2.p1
OG0003350	NM_118905.4.p1	XM_016881763.2.p1, XM_016853366.2.p1, XM_016830952.2.p1
OG0003351	NM_118977.1.p1, NM_119401.3.p1	XM_041089014.1.p1, XM_016836756.2.p1
OG0003352	NM_128154.5.p1, NM_119448.4.p1	XM_016827531.2.p1, XM_016861505.2.p1
OG0003353	NM_119930.3.p1, NM_202972.5.p1, NM_127856.4.p1	XR_005919692.1.p1, XM_041078809.1.p1, XM_016843238.2.p1, XM_041080058.1.p1, XM_041080062.1.p1
OG0003354	NM_120129.3.p1	XM_041082143.1.p1, XM_041082144.1.p1, XM_041082136.1.p1, XM_041082130.1.p1, XM_041089679.1.p1, XM_016885233.2.p1, XM_016885234.2.p1, XM_041084028.1.p1
OG0003355	NM_120134.3.p1	XM_041107894.1.p1, XM_016879577.2.p1
OG0003356	NM_120229.4.p1	XM_016861732.2.p1, XM_016825271.2.p1, XM_041090736.1.p1
OG0003357	NM_120363.3.p1	XM_041099499.1.p1, XM_016884461.2.p1, XM_016884459.2.p1
OG0003358	NM_147850.3.p1, NM_120954.3.p1, NM_120953.4.p1	XM_041090787.1.p1, XM_016824592.2.p1, NM_001326868.2.p1
OG0003359	NM_121308.2.p1	XR_001692416.2.p1, XM_016858385.2.p1, XR_001692415.2.p1, XR_005919772.1.p1, XR_005919773.1.p1, XM_041103309.1.p1, XM_016845483.2.p1, XM_016820723.2.p1
OG0003360	NM_122434.3.p1, NM_122435.5.p1, NM_125885.3.p1	XM_016816078.2.p1
OG0003361	NM_180761.1.p1, NM_180762.3.p1, NM_122885.2.p1	XM_016827296.2.p1, XM_016827295.2.p1, XM_016840810.2.p1
OG0003362	NM_123333.2.p1	XM_016859098.2.p1, XM_016878237.2.p1
OG0003363	NM_125190.4.p1, NM_125202.2.p1	XM_016834064.2.p1, XM_016894840.2.p1
OG0003364	NM_127118.4.p1	XM_016888698.2.p1, XM_016871039.2.p1, XM_016836191.2.p1, XM_016867520.2.p1, XM_016867519.2.p1, XM_016867521.2.p1, XM_016888699.2.p1
OG0003366	NM_128762.2.p1, NM_128763.4.p1	XM_041089045.1.p1, XM_016858760.2.p1, XM_016858820.2.p1
OG0003367	NM_201893.2.p1, NM_129299.4.p1	XM_016824951.2.p1, XM_041111115.1.p1, XM_016814250.2.p1, XM_041100967.1.p1, XM_016815652.2.p1
OG0003368	NM_129397.3.p1	XM_041102174.1.p1, XM_041078903.1.p1, XM_016829594.2.p1, XM_016868615.2.p1
OG0003369	NM_129570.4.p1	XM_016863794.2.p1, XM_041078387.1.p1
OG0003370	NM_129608.3.p1	XM_016868115.2.p1, XM_041084387.1.p1, XM_041112244.1.p1, XM_041114556.1.p1
OG0003371	NM_129959.3.p1, NM_180075.2.p1	XM_041087778.1.p1, XM_041087779.1.p1
OG0003372	NM_130014.4.p1	XM_041108936.1.p1, XM_016820378.2.p1, XM_016814980.2.p1, XM_041077150.1.p1, XM_016876434.2.p1, XM_016876436.2.p1
OG0003373	NM_130037.1.p1	XR_005916824.1.p1, XM_041098362.1.p1, XM_016826514.2.p1
OG0003374	NM_130227.4.p1	XM_016826276.2.p1, XM_016888193.2.p1, XM_016889997.2.p1, XM_016853154.2.p1
OG0003375	NM_179989.3.p1, NM_179990.1.p1	XM_016898247.2.p1, XM_016861641.2.p1, XM_041111373.1.p1
OG0003387	NM_001340913.1.p1, NM_117506.9.p1, NM_001338645.1.p1, NM_001035671.1.p1, NM_113257.3.p1	XM_041102560.1.p1
OG0003388	NM_129534.4.p1, NM_001036439.2.p1, NM_001336795.1.p1, NM_001336796.1.p1	XM_016898251.2.p1, XM_016877366.2.p1, XM_016877365.2.p1, XM_016898248.2.p1
OG0003389	NM_001340483.1.p1	XM_016832700.2.p1
OG0003389	NM_001036560.4.p1	XM_016860339.2.p1, XM_041077277.1.p1
OG0003390	NM_001036763.2.p1	XM_041096019.1.p1, XM_016826060.2.p1, XM_016898253.2.p1
OG0003391	NM_001345721.1.p1, NM_001345720.1.p1, NM_125971.4.p1, NM_001037076.3.p1, NM_001345719.1.p1, NM_001203696.2.p1, NM_001345718.1.p1, NM_001345722.1.p1, NM_001037075.3.p1	XM_016867814.2.p1, XM_041079880.1.p1, XM_016885379.2.p1, XM_041089624.1.p1, XM_041089623.1.p1, XM_041089626.1.p1, XM_016885382.2.p1
OG0003392	NM_001084439.2.p1, NM_127309.4.p1	XR_005930636.1.p1, XM_016890794.2.p1, XM_016872950.2.p1, XM_016870828.2.p1
OG0003393	NM_123781.2.p1, NM_202027.2.p1, NM_100266.3.p1, NM_202026.2.p1, NM_127613.3.p1, NM_001084455.1.p1, NM_118993.4.p1	XM_016822267.2.p1, XM_016896070.2.p1, XM_041091955.1.p1
OG0003394	NM_115450.4.p1	XM_041103792.1.p1, XM_041078385.1.p1
OG0003394	NM_128550.4.p1, NM_001336236.1.p1, NM_001084509.1.p1, NM_125258.5.p1	XM_016813358.2.p1, XM_041100507.1.p1
OG0003395	NM_001084673.1.p1, NM_112095.4.p1	XM_016822353.2.p1, XM_016844454.2.p1, XM_016821515.2.p1, XM_016821514.2.p1, XM_016844453.2.p1
OG0003396	NM_117711.8.p1, NM_112571.3.p1, NM_001084696.1.p1	XM_016813226.2.p1, XM_041077732.1.p1, XM_016813224.2.p1, XM_016817104.2.p1, XM_016857411.2.p1
OG0003397	NM_118780.4.p1, NM_001341801.1.p1, NM_001084981.2.p1	XM_016846883.2.p1, XM_016851671.2.p1, XM_016862952.2.p1
OG0003398	NM_001085324.2.p1	XM_041082423.1.p1, XM_016860546.2.p1, XM_016860927.2.p1, XM_041108169.1.p1, XM_016860530.2.p1, XM_016819147.2.p1, XM_041084982.1.p1, XM_016819146.2.p1, XM_016849646.2.p1, XM_016849648.2.p1, XM_041110161.1.p1, XM_016824495.2.p1, XM_041090905.1.p1, XM_016824494.2.p1, XM_016883852.2.p1, XM_016883853.2.p1
OG0003399	NM_001123977.1.p1, NM_103734.3.p1	XM_016836489.2.p1, XM_016836491.2.p1, XM_016859538.2.p1, XM_041075207.1.p1, XM_041075210.1.p1, XM_041075208.1.p1, XR_001692598.2.p1, XM_016859540.2.p1
OG0003401	NM_001160796.1.p1, NM_118693.6.p1, NM_001341757.1.p1	XM_041074457.1.p1, XM_041074459.1.p1, XM_041074454.1.p1, XM_016883656.2.p1, XM_041098147.1.p1, XM_041098149.1.p1, XM_041098151.1.p1, XM_016881921.2.p1, XM_041083711.1.p1, XM_041107653.1.p1
OG0003402	NM_112181.5.p1, NM_001160797.2.p1, NM_125004.3.p1	XM_016849276.2.p1, XM_016886390.2.p1, XM_016858347.2.p1
OG0003403	NM_001334314.1.p1, NM_001160983.2.p1, NM_102279.4.p1, NM_102556.5.p1	XM_016892398.2.p1, XM_041094782.1.p1, XM_016837496.2.p1, XM_041088853.1.p1, XM_041087341.1.p1, XM_016852685.2.p1, XM_016852686.2.p1, XM_016852684.2.p1
OG0003404	NM_104699.3.p1, NM_001198341.1.p1, NM_001332624.1.p1, NM_179370.4.p1	XM_041108375.1.p1, XM_041082694.1.p1, XM_041082695.1.p1, XM_016868140.2.p1, XM_016828175.2.p1, XM_041099890.1.p1, XM_016837268.2.p1
OG0003405	NM_001198481.2.p1, NM_106298.5.p1, NM_101942.3.p1, NM_001332475.1.p1	XM_041118048.1.p1, XM_016889305.2.p1
OG0003406	NM_112557.4.p1	XM_041102518.1.p1, XM_041102515.1.p1, XM_041100320.1.p1, XM_041100321.1.p1
OG0003406	NM_001203480.1.p1, NM_122585.5.p1	XM_016824683.2.p1
