Orthogroup	Arabidopsis_thaliana_rna_prot	Triticum_aestivum_x_rna_prot
OG0002816	NM_001337706.1.p1, NM_001337707.1.p1, NM_001337710.1.p1, NM_001337705.1.p1, NM_111615.4.p1	XM_044601308.1.p1, XM_044476482.1.p1
OG0002817	NM_111673.5.p1, NM_001337752.1.p1	XM_044477558.1.p1, XM_044503677.1.p1, XM_044496096.1.p1
OG0002818	NM_001338055.1.p1, NM_202573.3.p1, NM_112202.5.p1	XM_044475447.1.p1, XM_044600138.1.p1, XM_044467180.1.p1, XM_044532232.1.p1, XM_044532231.1.p1, XM_044540554.1.p1, XM_044524767.1.p1, XM_044532230.1.p1
OG0002819	NM_001339000.1.p1, NM_001339001.1.p1, NM_001338998.1.p1, NM_113822.3.p1, NM_001338999.1.p1	XM_044603434.1.p1, XM_044478760.1.p1, XM_044470555.1.p1
OG0002820	NM_120722.4.p1, NM_112002.3.p1, NM_179922.2.p1, NM_001339573.1.p1	XM_044543570.1.p1, XM_044534888.1.p1, XM_044476187.1.p1
OG0002821	NM_148090.2.p1, NM_118085.4.p1, NM_001341365.1.p1	XM_044571816.1.p1, XM_044578552.1.p1
OG0002821	NM_120764.2.p1, NM_001342910.1.p1	XM_044571235.1.p1, XM_044577427.1.p1
OG0002822	NM_001343711.1.p1, NM_001343712.1.p1, NM_001343707.1.p1, NM_001343710.1.p1, NM_001342202.1.p1, NM_119472.4.p1	XM_044520693.1.p1, XM_044520691.1.p1, XM_044515324.1.p1, XM_044515325.1.p1, XM_044506219.1.p1, XM_044520689.1.p1, XM_044463696.1.p1, XM_044475208.1.p1, XM_044480775.1.p1, XM_044499547.1.p1, XM_044491452.1.p1
OG0002823	NM_001342500.1.p1, NM_120009.3.p1	XM_044575155.1.p1, XM_044582017.1.p1, XM_044569436.1.p1, XM_044569437.1.p1
OG0002823	NM_119680.6.p1, NM_001342327.1.p1	XM_044546978.1.p1
OG0002824	NM_001343048.1.p1, NM_001343049.1.p1, NM_118650.4.p1	XM_044512467.1.p1, XM_044512465.1.p1, XM_044508729.1.p1, XM_044517679.1.p1, XM_044604383.1.p1, XM_044604380.1.p1
OG0002825	NM_203097.2.p1, NM_001343830.1.p1, NM_122292.4.p1	XM_044537904.1.p1, XM_044537903.1.p1, XM_044593908.1.p1, XM_044593907.1.p1, XM_044552167.1.p1
OG0002826	NM_001344110.1.p1, NM_122947.4.p1	XR_006463324.1.p1, XM_044548652.1.p1, XR_006463325.1.p1, XR_006463323.1.p1, XR_006463326.1.p1, XM_044565200.1.p1, XM_044558456.1.p1
OG0002827	NM_125723.3.p1, NM_123436.3.p1, NM_001344349.1.p1	XM_044532600.1.p1, XM_044541238.1.p1, XM_044541237.1.p1, XM_044532599.1.p1
OG0002829	NM_118629.3.p1, NM_001344909.1.p1, NM_124456.4.p1, NM_001344908.1.p1	XM_044476429.1.p1, XM_044468177.1.p1
OG0002830	NM_124840.3.p1, NM_001345091.1.p1, NM_001345092.1.p1	XM_044566677.1.p1
OG0002831	NM_116260.4.p1, NM_100042.4.p1, NM_130160.3.p1, NM_105048.3.p1	XM_044557565.1.p1, XM_044547770.1.p1, XM_044469662.1.p1, XM_044602646.1.p1
OG0002832	NM_202010.3.p1, NM_100089.3.p1	XM_044467655.1.p1, XM_044476017.1.p1
OG0002835	NM_128429.3.p1, NM_100650.4.p1	XM_044592025.1.p1, XM_044528039.1.p1, XM_044583921.1.p1, XM_044576811.1.p1, XM_044566359.1.p1, XM_044482163.1.p1, XM_044482167.1.p1, XM_044489993.1.p1, XM_044482190.1.p1, XM_044592504.1.p1, XM_044519235.1.p1
OG0002836	NM_111390.2.p1, NM_100766.3.p1	XM_044592426.1.p1, XM_044531742.1.p1, XM_044531750.1.p1
OG0002837	NM_104563.4.p1, NM_104579.4.p1, NM_100841.4.p1, NM_100831.4.p1	XM_044515798.1.p1, XM_044467820.1.p1
OG0002838	NM_104622.3.p1, NM_100888.4.p1	XM_044546082.1.p1, XM_044529782.1.p1, XM_044537892.1.p2, XM_044472210.1.p1, XM_044597257.1.p1, XM_044463915.1.p2
OG0002839	NM_101529.5.p1, NM_106553.5.p1	XM_044540988.1.p1
OG0002840	NM_102576.2.p1, NM_202197.2.p1, NM_179881.4.p1	XM_044546915.1.p1, XM_044563428.1.p1, XM_044476589.1.p1, XM_044597316.1.p1, XM_044476588.1.p1, XM_044476590.1.p1, XM_044468334.1.p1, XM_044468335.1.p1
OG0002842	NM_102887.5.p1	XM_044574188.1.p1, XM_044582135.1.p1
OG0002843	NM_105814.4.p1, NM_103095.4.p1	XM_044597383.1.p1, XM_044464041.1.p1, XM_044504596.1.p1
OG0002844	NM_103469.4.p1, NM_104840.5.p1	XM_044508355.1.p1, XM_044540080.1.p1
OG0002845	NM_202279.4.p1, NM_104141.5.p1	XM_044571635.1.p1, XM_044588091.1.p1, XM_044571633.1.p1, XM_044578967.1.p1
OG0002846	NM_104191.5.p1	XM_044493901.1.p1, XR_006433863.1.p1, XM_044485215.1.p1, XM_044485214.1.p1, XM_044485213.1.p1, XR_006433862.1.p1, XM_044493900.1.p1, XR_006433864.1.p1, XR_006433861.1.p1, XM_044493899.1.p1, XM_044501696.1.p1
OG0002848	NM_104882.5.p1, NM_127711.4.p1	XM_044516001.1.p1, XM_044509009.1.p1
OG0002849	NM_119130.3.p1, NM_105939.4.p1	XM_044562596.1.p1, XM_044489270.1.p1, XM_044595585.1.p1, XM_044493743.1.p1
OG0002850	NM_111071.3.p1	XM_044585323.1.p1
OG0002850	NM_118495.4.p1	XM_044503407.1.p1, XM_044599468.1.p1
OG0002851	NM_120617.3.p1, NM_111935.6.p1	XM_044594893.1.p1, XM_044594896.1.p1, XM_044556391.1.p1, XM_044482550.1.p1
OG0002852	NM_112164.3.p1	XM_044570306.1.p1, XM_044585701.1.p1, XR_006475111.1.p1, XR_006475109.1.p1, XR_006484118.1.p1, XM_044570305.1.p1, XM_044585700.1.p1
OG0002853	NM_113610.2.p1, NM_123470.4.p1, NM_121317.3.p1	XM_044542225.1.p1, XM_044526144.1.p1, XM_044533625.1.p1
OG0002854	NM_122169.3.p1, NM_114340.4.p1, NM_128342.3.p1	XM_044542998.1.p1, XM_044534314.1.p1, XM_044468406.1.p1, XM_044601471.1.p1, XM_044463989.1.p1
OG0002855	NM_119780.3.p1, NM_127358.6.p1, NM_114978.3.p1	XM_044520720.1.p1
OG0002856	NM_115874.6.p1, NM_130006.3.p1, NM_115660.2.p1, NM_129778.3.p1	XM_044525941.1.p1, XM_044533400.1.p1, XM_044582365.1.p1
OG0002857	NM_128169.5.p1, NM_125080.2.p1, NM_118746.4.p1	XM_044585933.1.p1, XM_044567380.1.p1, XM_044571442.1.p1, XM_044585448.1.p1, XM_044571441.1.p1, XM_044585623.1.p1, XM_044488792.1.p1
OG0002859	NM_119718.6.p1	XR_006491164.1.p1, XM_044592720.1.p1, XM_044499579.1.p1, XM_044499580.1.p1, XM_044499578.1.p1, XM_044491494.1.p1
OG0002860	NM_125528.2.p1	XM_044546050.1.p1, XM_044527090.1.p1
OG0002860	NM_127720.2.p1, NM_120071.2.p1	XM_044570699.1.p1, XM_044505410.1.p1
OG0002862	NM_120862.4.p1, NM_125522.4.p1	XM_044505477.1.p1, XM_044589685.1.p1, XM_044561380.1.p1, XM_044560412.1.p1, XM_044552305.1.p1, XM_044552304.1.p1, XM_044555984.1.p1, XM_044490688.1.p1, XM_044480443.1.p1, XM_044498873.1.p1, XM_044505664.1.p1, XM_044520436.1.p1, XM_044586695.1.p1
OG0002863	NM_129292.4.p1, NM_121359.5.p1	XM_044483328.1.p1, XM_044499946.1.p1, XM_044491880.1.p1, XR_006456373.1.p1, XM_044462508.1.p1
OG0002864	NM_121440.3.p1	XM_044472435.1.p1, XM_044597484.1.p1, XM_044597488.1.p1, XM_044468968.1.p1, XM_044597487.1.p1, XM_044472436.1.p1, XM_044597485.1.p1, XM_044597483.1.p1, XM_044468967.1.p1, XM_044550486.1.p1, XM_044560623.1.p1, XM_044553493.1.p1, XM_044489200.1.p2, XM_044497762.1.p2, XM_044497761.1.p2, XM_044481552.1.p2, XM_044489199.1.p2, XM_044497765.1.p2, XM_044497764.1.p1, XM_044497763.1.p2, XM_044481555.1.p2
OG0002865	NM_121524.5.p1, NM_123348.2.p1	XM_044466756.1.p1, XM_044524152.1.p1
OG0002866	NM_121532.4.p1	XR_006445234.1.p1, XM_044506307.1.p1, XM_044506306.1.p1, XR_006445231.1.p1, XM_044520595.1.p1
OG0002867	NM_121988.6.p1	XM_044603722.1.p1, XM_044603724.1.p1, XM_044479074.1.p1, XM_044470851.1.p1, XM_044603709.1.p1, XM_044603710.1.p1, XM_044473342.1.p1, XM_044473341.1.p1, XM_044465073.1.p1
OG0002868	NM_122276.3.p1	XM_044583198.1.p1
OG0002869	NM_122963.4.p1	XM_044531065.1.p1, XM_044539372.1.p1, XM_044523665.1.p1, XM_044582252.1.p1, XM_044582253.1.p1
OG0002870	NM_179983.4.p1	XM_044603717.1.p1, XM_044479069.1.p1
OG0002870	NM_129281.5.p1	XM_044520938.1.p1, XM_044527947.1.p1
OG0002871	NM_129494.2.p1, NM_129293.4.p1	XM_044515761.1.p1, XM_044588425.1.p1, XM_044572714.1.p1, XM_044502476.1.p1
OG0002872	NM_129431.2.p1	XM_044510652.1.p1, XM_044585368.1.p1, XM_044568113.1.p1
OG0002873	NM_130060.4.p1	XM_044486244.1.p1, XM_044486245.1.p1, XM_044495031.1.p1, XR_006438112.1.p1, XM_044486247.1.p1, XM_044502609.1.p1, XM_044564352.1.p1, XM_044547828.1.p1, XM_044502612.1.p1
OG0002874	NM_179286.2.p1	XM_044594017.1.p1, XM_044594018.1.p1, XM_044483544.1.p1, XM_044483543.1.p1, XM_044548682.1.p1, XM_044548651.1.p1, XM_044548667.1.p1
OG0002887	NM_001035584.2.p1, NM_111712.6.p1	XM_044540486.1.p1, XM_044504044.1.p1, XM_044504051.1.p1, XM_044593093.1.p1, XM_044590335.1.p1, XM_044468935.1.p1, XM_044601975.1.p1, XR_006495883.1.p1
OG0002888	NM_001344352.1.p1, NM_123441.3.p1, NM_001035703.3.p1	XM_044547361.1.p1, XM_044563941.1.p1, XM_044477218.1.p1
OG0002889	NM_113646.4.p1, NM_001035704.2.p1, NM_121435.2.p1	XM_044486492.1.p1, XM_044502861.1.p1, XM_044495240.1.p1
OG0002890	NM_102974.5.p1, NM_001036050.2.p1	XM_044537879.1.p1
OG0002891	NM_129074.3.p1, NM_001036581.1.p1, NM_117898.5.p1, NM_124045.5.p1	XM_044593722.1.p1, XM_044544619.1.p1, XM_044509549.1.p1, XM_044535864.1.p1
OG0002892	NM_203201.3.p1, NM_001036988.2.p1, NM_001345029.1.p1	XM_044488655.1.p1, XM_044561658.1.p1, XM_044595504.1.p1, XM_044488658.1.p1, XM_044595505.1.p1
OG0002893	NM_117400.3.p1, NM_001084235.1.p1, NM_104112.4.p1	XM_044512104.1.p2, XM_044509117.1.p1
OG0002894	NM_001084359.1.p1, NM_106209.2.p1	XM_044593874.1.p1, XM_044547073.1.p1, XM_044474361.1.p1
OG0002895	NM_114428.4.p1, NM_001084776.2.p1, NM_203237.1.p1, NM_125416.4.p1	XM_044482649.1.p1, XM_044499318.1.p1, XM_044491172.1.p1, XR_006479855.1.p1, XM_044577526.1.p1, XM_044569519.1.p1, XM_044584463.1.p1
OG0002896	NM_103620.4.p1	XM_044474871.1.p1
OG0002896	NM_101815.4.p1	XM_044571280.1.p1, XM_044492728.1.p1
OG0002897	NM_001123825.1.p1, NM_101521.3.p1	XM_044542587.1.p1, XM_044526495.1.p1, XM_044526494.1.p1, XM_044526493.1.p1, XM_044506200.1.p1, XM_044520712.1.p1
OG0002898	NM_113753.5.p1, NM_102263.3.p1, NM_105677.3.p1, NM_001124104.1.p1	XM_044570000.1.p1, XM_044576055.1.p1, XM_044564971.1.p1, XM_044548413.1.p1
OG0002899	NM_001124934.1.p1, NM_128443.4.p1	XM_044591925.1.p1, XM_044526771.1.p1, XM_044598870.1.p1, XM_044598862.1.p1
OG0002900	NM_001160955.2.p1, NM_001332760.1.p1, NM_001332761.1.p1, NM_102506.5.p1, NM_102276.7.p1, NM_001332644.1.p1	XM_044486891.1.p1, XM_044486890.1.p1
OG0002901	NM_120187.3.p1, NM_148698.3.p1, NM_001161127.2.p1	XM_044468115.1.p1, XM_044601193.1.p1, XM_044476367.1.p1
OG0002902	NM_180288.2.p1, NM_001161160.2.p1, NM_001332497.1.p1, NM_101988.5.p1, NM_001332498.1.p1	XM_044518936.1.p1, XM_044518935.1.p1, XM_044516155.1.p1, XM_044516156.1.p1, XM_044582940.1.p1, XM_044582939.1.p1, XM_044601653.1.p1, XM_044468598.1.p1, XM_044476830.1.p1
OG0002903	NM_103274.4.p1, NM_121060.4.p1, NM_121061.3.p1, NM_125901.4.p1, NM_001161326.2.p1	XM_044569868.1.p1, XM_044564853.1.p1, XM_044548309.1.p1
OG0002904	NM_001198066.1.p1, NM_101333.5.p1, NM_126259.4.p1	XM_044474744.1.p1, XM_044474745.1.p1, XM_044474746.1.p1, XM_044567831.1.p1, XM_044567830.1.p1, XM_044567829.1.p1, XM_044567827.1.p1, XM_044567826.1.p1, XM_044567836.1.p1, XM_044567828.1.p1, XM_044596482.1.p1, XM_044576228.1.p1, XM_044482363.1.p1, XM_044490789.1.p1
OG0002905	NM_001332590.1.p1, NM_001198140.1.p1, NM_102159.3.p1, NM_105758.4.p1	XM_044535434.1.p1, XM_044527861.1.p1, XM_044541691.1.p1, XM_044541690.1.p1, XM_044533068.1.p1, XM_044525608.1.p1
OG0002906	NM_128911.3.p1, NM_001202738.1.p1, NM_102572.3.p1	XM_044563707.1.p1, XM_044556681.1.p1
OG0002907	NM_001202911.1.p1, NM_202522.1.p1, NM_117737.5.p1	XM_044543213.1.p1
OG0002908	NM_179952.3.p1, NM_115227.5.p1, NM_001203152.1.p1	XM_044599207.1.p1, XM_044591965.1.p1, XM_044527273.1.p1
OG0002909	NM_001203405.1.p1, NM_121905.3.p1, NM_111494.3.p1, NM_001337640.1.p1	XM_044466535.1.p1, XM_044466534.1.p1
OG0002910	NM_179318.3.p1	XM_044533741.1.p1, XM_044592576.1.p1
OG0002910	NM_001203921.1.p1, NM_118820.7.p1	XM_044503647.1.p1
OG0002911	NM_001203937.2.p1, NM_115352.4.p1, NM_129480.3.p1	XM_044519895.1.p1, XM_044514550.1.p1
OG0002912	NM_127723.3.p1, NM_001335757.1.p1, NM_001204031.2.p1, NM_120075.5.p1	XM_044493662.1.p1, XM_044485033.1.p1, XM_044493663.1.p1, XM_044485036.1.p1, XM_044501519.1.p1, XM_044595533.1.p1, XM_044561971.1.p1, XM_044488883.1.p1
OG0002913	NM_100059.3.p1, NM_001331304.1.p1	XM_044473469.1.p1, XM_044471076.1.p1, XM_044603908.1.p1, XM_044471075.1.p1
OG0002914	NM_118199.1.p1, NM_118153.4.p1, NM_001341424.1.p1, NM_001331399.1.p1	XM_044496362.1.p1, XM_044503855.1.p1, XM_044487425.1.p1
OG0002915	NM_127428.2.p1, NM_001335603.1.p1, NM_100298.3.p1, NM_001331466.1.p1	XM_044594515.1.p1, XM_044531138.1.p1, XM_044595266.1.p1, XM_044559878.1.p1
OG0002916	NM_001331651.1.p1, NM_001331653.1.p1, NM_001331645.1.p1, NM_001331649.1.p1, NM_001331662.1.p1, NM_001331656.1.p1, NM_001331655.1.p1, NM_001331660.1.p1, NM_001331658.1.p1	XM_044477253.1.p1, XM_044602052.1.p1
OG0002917	NM_179275.4.p1, NM_202055.4.p1, NM_203005.2.p1, NM_001331733.1.p1, NM_001332853.1.p1, NM_102681.4.p1, NM_001332855.1.p1, NM_180623.2.p1, NM_001331730.1.p1, NM_001331732.1.p1, NM_001331731.1.p1, NM_100652.5.p1	XM_044567173.1.p1, XM_044567170.1.p1, XM_044584763.1.p1, XM_044578956.1.p1
OG0002918	NM_001331933.1.p1, NM_001333921.1.p1, NM_104767.4.p1	XM_044547485.1.p1, XM_044557358.1.p1
OG0002920	NM_001332140.1.p1, NM_001332141.1.p1, NM_126209.3.p1, NM_001335064.1.p1	XM_044594767.1.p1, XM_044555225.1.p1, XM_044494918.1.p1
OG0002921	NM_001332354.1.p1, NM_202129.3.p1	XM_044571658.1.p1, XM_044571660.1.p1, XM_044586671.1.p1, XM_044586673.1.p1, XM_044471941.1.p1, XM_044463630.1.p1, XM_044599743.1.p1
OG0002922	NM_001337835.1.p1, NM_001332479.1.p1, NM_001332481.1.p1, NM_001332477.1.p1, NM_101945.4.p1, NM_001332478.1.p1	XM_044585974.1.p1, XM_044566494.1.p1, XM_044574379.1.p1, XM_044463617.1.p1, XM_044463618.1.p1
OG0002923	NM_125790.6.p1, NM_001332520.1.p1, NM_102008.5.p1, NM_001334773.1.p1	XM_044517986.1.p1, XM_044512795.1.p1, XM_044512796.1.p1
OG0002924	NM_001333360.1.p1	XM_044476723.1.p1, XM_044476725.1.p1, XM_044601529.1.p1, XM_044601531.1.p1, XM_044468490.1.p1, XM_044468491.1.p1
OG0002925	NM_112390.5.p1, NM_001333580.1.p1, NM_202285.2.p1, NM_104194.4.p1	XM_044600691.1.p1
OG0002928	NM_202341.2.p1, NM_001334022.1.p1, NM_104905.6.p1	XM_044534485.1.p1, XM_044543133.1.p1
OG0002929	NM_001336576.1.p1, NM_001336577.1.p1, NM_129147.4.p1	XM_044589878.1.p1, XM_044518992.1.p1, XM_044507636.1.p1
OG0002930	NM_001339586.1.p1, NM_115135.3.p1, NM_001339588.1.p1, NM_001339587.1.p1, NM_201883.1.p1, NM_001336588.1.p1	XM_044601492.1.p1, XM_044480801.1.p1, XM_044554118.1.p1
OG0002931	NM_116209.3.p1, NM_129714.4.p1, NM_001336920.1.p1, NM_001336921.1.p1	XM_044550261.1.p1, XM_044594211.1.p1, XM_044503567.1.p1, XM_044487183.1.p1
OG0002932	NM_130331.4.p1, NM_001337269.1.p1, NM_001337270.1.p1, NM_001340180.1.p1, NM_116151.4.p1	XM_044469367.1.p1, XM_044477588.1.p1, XM_044594109.1.p1, XM_044594108.1.p1
OG0002933	NM_121594.2.p1, NM_001343426.1.p1, NM_001337408.1.p1	XM_044493338.1.p1, XM_044484797.1.p1, XM_044586688.1.p1
OG0002934	NM_118666.3.p1	XM_044601729.1.p1, XM_044476907.1.p1
OG0002934	NM_001337989.1.p1, NM_112068.9.p1	XM_044524802.1.p1, XM_044540610.1.p1
OG0002935	NM_112648.3.p1, NM_001338303.1.p1	XM_044479119.1.p1, XM_044479118.1.p1, XM_044470885.1.p1, XM_044603753.1.p1
OG0002936	NM_001338403.1.p1	XM_044590444.1.p1, XM_044589089.1.p1, XM_044496613.1.p1, XM_044589295.1.p1, XM_044595294.1.p1, XM_044487092.1.p1, XM_044493887.1.p1, XM_044501690.1.p1
OG0002937	NM_001338491.1.p1, NM_001338492.1.p1, NM_180286.1.p1, NM_112972.4.p1	XM_044575771.1.p1, XM_044575773.1.p1, XR_006478999.1.p1, XR_006482935.1.p1, XM_044540660.1.p1, XM_044525932.1.p1, XM_044525931.1.p1
OG0002938	NM_123336.6.p1, NM_001338753.1.p1	XM_044468472.1.p1, XM_044543028.1.p1
OG0002939	NM_202638.2.p1, NM_180303.4.p1, NM_001338815.1.p1, NM_113578.4.p1	XM_044547136.1.p1, XM_044547137.1.p1, XM_044547134.1.p1
OG0002940	NM_001339965.1.p1, NM_001339963.1.p1, NM_115794.4.p1, NM_202730.3.p1, NM_202729.1.p1, NM_001339960.1.p1, NM_115793.5.p1	XM_044582780.1.p1, XM_044575102.1.p1, XM_044533718.1.p1, XM_044542294.1.p1, XM_044526214.1.p1
OG0002941	NM_001340195.1.p1, NM_202753.2.p1, NM_113173.3.p1	XM_044539255.1.p1, XM_044531004.1.p1, XM_044523563.1.p1, XM_044494366.1.p1
OG0002942	NM_120241.4.p1, NM_116219.5.p1, NM_001340224.1.p1, NM_001340223.1.p1	XM_044482982.1.p1, XM_044482978.1.p1, XM_044491513.1.p1, XR_006432035.1.p1, XR_006432036.1.p1, XM_044499605.1.p1, XR_006432044.1.p1, XM_044482986.1.p1, XM_044499603.1.p1, XM_044499598.1.p1, XM_044499597.1.p1, XR_006432040.1.p1, XR_006432042.1.p1, XR_006432039.1.p1
OG0002943	NM_001340966.1.p1, NM_001340965.1.p1	XM_044464656.1.p1, XM_044472931.1.p1, XM_044597930.1.p1, XM_044520497.1.p1, XM_044504155.1.p1, XM_044504156.1.p1, XM_044515147.1.p1, XM_044515146.1.p1, XM_044480122.1.p1, XM_044526886.1.p1, XM_044543085.1.p1, XM_044534432.1.p1
OG0002944	NM_179066.3.p1, NM_001341131.1.p1, NM_001341130.1.p1	XM_044601240.1.p1, XM_044510966.1.p1, XM_044520638.1.p1, XM_044468165.1.p1
OG0002945	NM_001341214.1.p1, NM_001341215.1.p1	XM_044548877.1.p1, XM_044548871.1.p1, XM_044594020.1.p1
OG0002946	NM_001341743.1.p1, NM_124577.4.p1, NM_001344972.1.p1	XM_044547882.1.p1
OG0002947	NM_001341764.1.p1, NM_118709.4.p1	XM_044565315.1.p1, XM_044580393.1.p1, XM_044572910.1.p1, XM_044582232.1.p1, XM_044580389.1.p1, XM_044572907.1.p1, XR_006482578.1.p1, XM_044580390.1.p1
OG0002948	NM_001342047.1.p1, NM_127988.6.p1	XM_044571133.1.p1, XM_044577954.1.p1, XM_044558920.1.p1, XM_044548868.1.p1, XM_044565421.1.p1
OG0002949	NM_001342117.1.p1, NM_119332.4.p1	XM_044533007.1.p1, XM_044525543.1.p1, XM_044541636.1.p1, XM_044570118.1.p1, XM_044570121.1.p1, XM_044576165.1.p1
OG0002950	NM_001342210.1.p1, NM_001342209.1.p1, NM_119482.4.p1	XM_044531084.1.p1, XM_044531083.1.p1, XM_044539388.1.p1, XM_044523691.1.p1, XM_044523690.1.p1, XM_044523689.1.p1, XM_044512479.1.p1, XM_044517688.1.p1, XM_044508718.1.p1
OG0002951	NM_120204.3.p1, NM_202991.2.p1, NM_001342580.1.p1	XM_044486260.1.p1, XM_044502618.1.p1, XM_044502620.1.p1, XM_044495039.1.p1
OG0002952	NM_121164.5.p1, NM_001343175.1.p1	XM_044556450.1.p1, XM_044546849.1.p1, XM_044567514.1.p1, XM_044581210.1.p1, XM_044580438.1.p1
OG0002952	NM_180274.3.p1	XM_044499917.1.p1, XM_044491857.1.p1, XM_044483299.1.p1
OG0002954	NM_122655.4.p1, NM_001344034.1.p1, NM_001344036.1.p1, NM_001344033.1.p1	XR_006434876.1.p1, XM_044503360.1.p1
OG0002955	NM_123287.4.p1, NM_001344286.1.p1	XM_044468840.1.p1, XM_044468842.1.p1, XM_044468843.1.p1
OG0002956	NM_124892.4.p1, NM_001345107.1.p1, NM_001345110.1.p1, NM_001345112.1.p1, NM_001345113.1.p1	XM_044501532.1.p1, XM_044493698.1.p1, XM_044485052.1.p1, XM_044485053.1.p1
OG0002957	NM_001345188.1.p1, NM_125008.5.p1	XM_044468903.1.p1, XM_044468902.1.p1
OG0002958	NM_001345225.1.p1, NM_125078.2.p1	XM_044500946.1.p1, XM_044549689.1.p1, XM_044567391.1.p1, XM_044588790.1.p1
OG0002960	NM_001345592.1.p1, NM_114710.3.p1, NM_111056.3.p1	XM_044561129.1.p1, XM_044595445.1.p1
OG0002961	NM_126106.3.p1, NM_001345810.1.p1, NM_114893.3.p1	XM_044580623.1.p1, XM_044587581.1.p1, XM_044480138.1.p1
OG0002962	NM_100238.4.p1	XM_044603609.1.p1, XM_044478932.1.p1
OG0002963	NM_100465.4.p1	XM_044574597.1.p1, XM_044468186.1.p1, XM_044601276.1.p1
OG0002964	NM_100948.3.p1, NM_114840.4.p1, NM_125988.2.p1	XM_044588428.1.p1, XM_044494288.1.p1, XM_044485537.1.p1, XM_044595242.1.p1
OG0002965	NM_100970.4.p1	XM_044524245.1.p1, XM_044508448.1.p1
OG0002966	NM_101237.4.p1	XM_044597030.1.p1, XM_044472027.1.p1, XM_044597029.1.p1, XM_044538872.1.p1, XM_044530606.1.p1, XM_044530607.1.p1, XM_044530601.1.p1, XM_044530604.1.p1, XM_044523297.1.p1, XM_044523299.1.p1, XM_044523295.1.p1
OG0002967	NM_104680.3.p1, NM_101389.3.p1, NM_112505.4.p1	XM_044485323.1.p1, XM_044580466.1.p1, XM_044567314.1.p1, XM_044587434.1.p1
OG0002968	NM_105345.5.p1, NM_106028.4.p1, NM_101666.3.p1	XM_044594300.1.p1
OG0002969	NM_104957.5.p1	XM_044585297.1.p1, XM_044568441.1.p1, XM_044577692.1.p1, XM_044583342.1.p1, XM_044567921.1.p1
OG0002970	NM_126099.1.p1, NM_101737.2.p1, NM_106108.1.p1	XM_044550757.1.p1, XM_044560883.1.p1, XM_044588669.1.p1
OG0002971	NM_114936.5.p1, NM_101787.3.p1	XM_044516296.1.p1, XM_044504766.1.p1, XM_044521548.1.p1
OG0002972	NM_129296.4.p1, NM_101886.4.p1	XM_044600031.1.p1, XM_044475249.1.p1, XM_044466960.1.p1, XM_044600033.1.p1
OG0002973	NM_102469.5.p1	XM_044517270.1.p1, XM_044517271.1.p1, XM_044509216.1.p1
OG0002974	NM_123839.4.p1, NM_102828.4.p1	XM_044526740.1.p1, XM_044537754.1.p1, XM_044534252.1.p1, XM_044526738.1.p1, XM_044542929.1.p1
OG0002975	NM_119799.4.p1, NM_103587.3.p1	XM_044506328.1.p1, XM_044520563.1.p1, XM_044515180.1.p1
OG0002976	NM_103602.3.p1	XM_044533127.1.p1, XM_044525667.1.p1
OG0002977	NM_123672.4.p1, NM_103612.3.p1	XM_044478794.1.p1
OG0002978	NM_103946.3.p1, NM_112922.3.p1	XM_044563375.1.p1, XM_044603668.1.p1, XM_044479008.1.p1, XM_044465051.1.p1
OG0002979	NM_112926.5.p1, NR_143580.1.p1, NM_103948.3.p1	XM_044595077.1.p1, XM_044558340.1.p1, XM_044484217.1.p1, XM_044603143.1.p1, XM_044478453.1.p1, XM_044470216.1.p1
OG0002980	NM_112519.4.p1, NM_104079.4.p1	XM_044491597.1.p1, XM_044501752.1.p1, XM_044493956.1.p1, XM_044485259.1.p1, XM_044501753.1.p1, XM_044595342.1.p1
OG0002982	NM_105059.4.p1	XM_044505521.1.p1, XM_044573054.1.p2, XM_044587453.1.p1, XM_044584715.1.p2, XM_044506061.1.p1, XM_044586231.1.p1, XM_044571304.1.p1, XM_044505520.1.p1, XM_044567323.1.p1, XM_044584714.1.p2, XM_044550606.1.p1, XM_044564424.1.p1, XM_044477790.1.p1, XM_044469535.1.p1
OG0002983	NM_105826.4.p1	XM_044505285.1.p1, XM_044583847.1.p1, XM_044589807.1.p1, XM_044569909.1.p1, XM_044503818.1.p1, XM_044482070.1.p1, XM_044489871.1.p1, XM_044482072.1.p1, XM_044498351.1.p1, XM_044496299.1.p1, XM_044503830.1.p1, XM_044482086.1.p1, XM_044503820.1.p1, XM_044482077.1.p1
OG0002984	NM_105856.7.p1	XM_044604020.1.p1, XM_044471186.1.p1, XM_044479416.1.p1, XM_044582766.1.p1, XM_044582765.1.p1, XM_044566931.1.p1
OG0002985	NM_105937.4.p1, NM_125089.4.p1	XM_044484434.1.p1, XM_044500986.1.p1, XM_044492997.1.p1
OG0002986	NM_127333.5.p1, NM_114990.5.p1, NM_106235.5.p1	XM_044527561.1.p1, XM_044527560.1.p1
OG0002987	NM_106385.3.p1	XM_044542332.1.p1, XR_006450312.1.p1
OG0002988	NM_111502.5.p1	XR_006494115.1.p1, XM_044466592.1.p1, XM_044474825.1.p1
OG0002989	NM_112071.3.p1, NM_111789.7.p1	XM_044494881.1.p1, XM_044519702.1.p1, XM_044507127.1.p1, XM_044514352.1.p1, XM_044514351.1.p1
