Orthogroup	Arabidopsis_thaliana_rna_prot	Citrus_sinensis_rna_prot
OG0005075	NM_102939.4.p1	XM_006471389.4.p1
OG0005076	NM_102952.4.p1	XM_006480597.3.p1, XM_052443430.1.p1
OG0005077	NM_103023.4.p1	XM_052436730.1.p1, XM_052436731.1.p1, XM_052436732.1.p1
OG0005078	NM_103073.3.p1, NM_117084.3.p1, NM_117083.3.p1	XM_006478285.4.p1
OG0005079	NM_103761.6.p1	XM_006490648.4.p1
OG0005079	NM_126175.4.p1	XM_025095208.2.p1, XM_006468718.4.p1
OG0005080	NM_103975.4.p1, NM_112948.3.p1, NM_148376.2.p1, NM_118842.4.p1	XM_006493871.4.p1
OG0005081	NM_104024.3.p1	XM_025094900.2.p1, XM_006470586.4.p1, XM_025094899.2.p1
OG0005081	NM_113003.5.p1, NM_104028.5.p1	XM_006470585.4.p1, XM_025095200.2.p1
OG0005082	NM_104051.5.p1	XM_006466028.4.p1, XM_052444324.1.p1
OG0005083	NM_104224.2.p1	XM_006477784.4.p1
OG0005084	NM_104408.5.p1	XM_015533509.3.p1, XM_006488835.4.p1
OG0005085	NM_105147.4.p1	XM_006493138.4.p1
OG0005086	NM_105245.3.p1, NM_123059.3.p1	XM_006481258.4.p1
OG0005087	NM_105344.4.p1, NM_123171.4.p1	XM_025100320.2.p1
OG0005088	NM_105408.4.p1	XM_006484024.4.p1
OG0005089	NM_106390.3.p1	XM_052442860.1.p1, XM_052442859.1.p1
OG0005090	NM_111012.4.p1	XM_006483770.4.p1, XM_006483769.4.p1, XM_006470292.4.p1
OG0005091	NM_113682.4.p1, NM_123406.3.p1, NM_111023.3.p1	XM_006470197.4.p1
OG0005092	NM_121586.3.p1, NM_111099.5.p1	XM_006482365.4.p1
OG0005093	NM_111495.4.p1	XR_001509161.3.p1, XM_006489179.4.p1, XM_052443202.1.p1, XM_006494679.4.p1
OG0005094	NM_111505.4.p1, NM_121895.4.p1	XM_052437504.1.p1
OG0005095	NM_112103.3.p1	XM_006493659.4.p1
OG0005096	NM_112106.4.p1	XM_006493666.4.p1, XM_015525395.1.p1
OG0005097	NM_121805.3.p1, NM_121814.3.p1, NM_112577.3.p1, NM_121015.2.p1, NM_148098.2.p1, NM_201742.1.p1, NM_127178.3.p1, NM_129083.4.p1	XM_015530889.3.p1
OG0005098	NM_112710.2.p1	XM_006477713.4.p1
OG0005099	NM_112748.4.p1	XM_006484599.4.p1
OG0005100	NM_113374.4.p1	XM_006475579.4.p1, XM_006475577.3.p1
OG0005101	NM_114329.3.p1	XM_006471316.4.p1
OG0005102	NM_114518.4.p1	XM_006488241.4.p1, XM_025102173.2.p1
OG0005104	NM_115037.8.p1	XM_006481020.4.p1
OG0005105	NM_115528.3.p1	XM_025099735.2.p1, XM_006481981.3.p1
OG0005106	NM_115767.3.p1, NM_129863.3.p1	XM_006484948.3.p1, XM_015532285.2.p1
OG0005107	NM_115931.3.p1	XM_015534194.3.p1, XM_006491390.4.p1
OG0005108	NM_180116.2.p1, NM_116022.5.p1	XM_006491137.4.p1
OG0005109	NM_116502.4.p1	XM_006479593.4.p1, XR_003065288.2.p1
OG0005110	NM_116884.4.p1	XM_006472290.3.p1
OG0005111	NM_117176.3.p1	XM_006472093.4.p1, XM_006472094.4.p1
OG0005112	NM_118404.5.p1, NM_117281.3.p1, NM_118403.2.p1	XM_025099315.2.p1
OG0005113	NM_117677.7.p1	XM_052431250.1.p1, XM_006465480.4.p1, XR_008056591.1.p1, XM_006465476.3.p1, XM_006465474.3.p1, XM_052444732.1.p1
OG0005114	NM_117747.7.p1	XM_006467259.4.p1
OG0005115	NM_117857.3.p1	XM_052438756.1.p1
OG0005117	NM_118037.7.p1	XM_015531604.3.p1
OG0005118	NM_180805.4.p1, NM_123902.3.p1, NM_118043.2.p1	NM_001288947.1.p1
OG0005119	NM_118515.4.p1	XM_006476327.4.p1
OG0005120	NM_118602.4.p1	XM_006476821.4.p1
OG0005121	NM_118615.3.p1	XM_006476911.4.p1
OG0005122	NM_119035.3.p1, NM_179136.3.p1	XM_006494262.4.p1
OG0005123	NM_119463.5.p1	XM_006474385.4.p1
OG0005125	NM_119790.3.p1	XM_006466830.3.p1
OG0005126	NM_119807.2.p1	XM_025093350.2.p1, XM_006466797.4.p1
OG0005127	NM_202988.4.p1, NM_120125.2.p1	XM_006464250.4.p1, XM_006464249.4.p1
OG0005128	NM_120422.4.p1	XM_052443312.1.p1, XM_052443315.1.p1, XM_052443316.1.p1, XM_015534376.3.p1
OG0005129	NM_120472.3.p1	XM_006481714.4.p1
OG0005130	NM_120583.6.p1	XM_015527172.3.p1
OG0005131	NM_121248.5.p1	XM_052445014.1.p1, XM_006465086.4.p1, XM_015529328.3.p1, XM_025096917.2.p1, XM_052445013.1.p1
OG0005133	NM_121979.4.p1	XM_025097141.2.p1, XM_006475528.4.p1
OG0005134	NM_122138.3.p1	XM_006481994.4.p1
OG0005135	NM_122237.4.p1	XM_006484440.4.p1, XM_006484439.4.p1
OG0005136	NM_123012.6.p1	XM_025096338.2.p1
OG0005137	NM_123804.4.p1	XM_006486504.4.p1
OG0005138	NM_123897.4.p1	XM_006494046.4.p1
OG0005139	NM_124010.3.p1	XM_006467475.4.p1, XM_006467473.4.p1
OG0005140	NM_203177.2.p1, NM_124219.5.p1	XM_006492160.4.p1
OG0005141	NM_124420.3.p1	XM_006476965.4.p1
OG0005142	NM_124600.3.p1	XM_025102621.2.p1, XM_006490302.4.p1
OG0005143	NM_124668.3.p1	XM_006491141.4.p1, XM_006491140.4.p1, XM_006490544.4.p1
OG0005144	NM_124819.3.p1	XM_006464636.4.p1
OG0005145	NM_125462.4.p1	XM_006488021.3.p1
OG0005146	NM_125824.4.p1, NM_125825.3.p1	XM_006492557.4.p1
OG0005147	NM_125846.3.p1	XM_006466321.4.p1, XM_006486733.4.p1
OG0005148	NM_125981.4.p1	XM_006466363.4.p1
OG0005149	NM_128084.3.p1	XM_006483654.4.p1
OG0005149	NM_126891.4.p1	XM_006473866.4.p1
OG0005150	NM_127199.4.p1, NM_201744.1.p1	XM_006487302.4.p1
OG0005151	NM_128398.4.p1	XM_006488023.4.p1, XM_006488022.4.p1
OG0005152	NM_128683.4.p1	XM_006479494.3.p1
OG0005153	NM_128855.4.p1	XM_006469541.4.p1
OG0005154	NM_129469.2.p1	XM_006485551.4.p1
OG0005155	NM_130089.4.p1	XM_015534265.3.p1
OG0005156	NM_130130.4.p1	XM_006490908.4.p1
OG0005157	NM_148232.3.p1	XR_003063843.2.p1, XR_008052323.1.p1, XM_025094873.2.p1, XM_006467933.4.p1
OG0005158	NM_179157.3.p1	XM_015526290.3.p1, XM_006494628.4.p1, XM_006494629.4.p1, XM_052431899.1.p1
OG0005159	NM_179360.1.p1	XM_052441533.1.p1
OG0005160	NM_179706.2.p1	XM_006466433.4.p1
OG0005161	NM_179963.3.p1	XM_006481000.4.p1
OG0005162	NM_180780.2.p1	XM_006470041.4.p1
OG0005163	NM_202670.3.p1, NM_202671.3.p1	XM_006483149.2.p1, XM_006476572.4.p1, XM_015529677.3.p1
OG0005179	NM_148568.1.p1, NM_112649.3.p1, NM_001338304.1.p1, NM_001035641.2.p1	XM_015525620.3.p1
OG0005180	NM_001339821.1.p1, NM_001339820.1.p1, NM_001084835.2.p1, NM_001035798.2.p1, NM_001339819.1.p1	XM_052438713.1.p1
OG0005181	NM_001036091.3.p1, NM_001333465.1.p1	XM_006490550.4.p1
OG0005182	NM_001036635.1.p1, NM_124543.3.p1	XM_006490190.4.p1
OG0005183	NM_001036674.2.p1, NM_001125607.1.p1, NM_119127.4.p1, NM_118740.3.p1, NM_202890.2.p1, NM_179115.2.p1	XM_006475445.4.p1
OG0005184	NM_001343590.1.p1, NM_001036823.1.p1, NM_121919.3.p1	XM_006489253.4.p1
OG0005185	NM_122580.4.p1, NM_001343989.1.p1, NM_001036873.2.p1, NM_111445.5.p1	XM_006472103.4.p1
OG0005186	NM_123454.3.p1, NM_001036913.2.p1, NM_113631.4.p1	XM_006469981.4.p1
OG0005187	NM_124986.3.p1, NM_001037003.2.p1, NM_118787.6.p1	XM_006474749.4.p1
OG0005188	NM_125207.5.p1, NM_001037017.3.p1, NM_001037016.2.p1	XM_006464272.4.p1
OG0005189	NM_001084007.2.p1	XM_052432533.1.p1, XM_052432534.1.p1
OG0005190	NM_001332631.1.p1, NM_001084123.1.p1, NM_102250.5.p1	XM_015531980.3.p1, XM_015531981.3.p1
OG0005192	NM_001084364.2.p1, NR_139663.1.p1, NM_001332465.1.p1, NM_101930.4.p1, NM_001332466.1.p1	XM_006473757.4.p1
OG0005193	NM_001085035.2.p1, NM_126108.2.p1, NM_114891.2.p1	XM_006466532.4.p1
OG0005194	NM_116308.4.p1, NM_001331250.1.p1, NM_001123732.2.p1	XM_052436219.1.p1
OG0005195	NM_116962.4.p1, NM_103198.3.p1, NM_001123940.1.p1	XM_006472529.4.p1
OG0005196	NM_101889.2.p1, NM_001124134.2.p1	XM_006473678.4.p1, XM_006478411.4.p1
OG0005197	NM_001332258.1.p1, NM_001124147.1.p1, NM_106541.4.p1	XM_052444189.1.p1
OG0005198	NM_001124856.2.p1, NM_001124857.2.p1, NM_001335470.1.p1, NM_001335471.1.p1, NM_119620.2.p1, NM_001342288.1.p1	XM_025102125.2.p1, XR_008051208.1.p1, XR_003066867.2.p1, XM_006487150.4.p1
OG0005199	NM_104237.4.p1, NM_001125154.5.p1, NM_112319.4.p1	XM_015530099.3.p1
OG0005200	NM_001340628.1.p1, NM_001340629.1.p1, NM_001125488.2.p1	XM_006473316.4.p1, XM_025096465.2.p1
OG0005201	NM_001161275.1.p1, NM_001125838.2.p1, NM_001125839.2.p1, NM_001344098.1.p1	XM_006473892.4.p1
OG0005203	NM_001160938.1.p1, NM_148569.5.p1, NM_112698.4.p1, NM_202603.1.p1	XM_006490669.4.p1, XM_006490670.4.p1, XM_006490671.4.p1
OG0005204	NM_001160985.2.p1	XM_052442597.1.p1
OG0005205	NM_124727.3.p1	XM_006491927.4.p1
OG0005205	NM_001161125.2.p1	XM_006476275.4.p1
OG0005206	NM_001161268.2.p1, NM_180546.3.p1, NM_001343977.1.p1, NM_001343976.1.p1, NM_001343978.1.p1	XM_015530947.3.p1, XM_006480270.4.p1, XM_025100291.2.p1, XM_006480266.4.p1
OG0005207	NM_001198096.1.p1	XM_006466057.4.p1, XR_003062254.2.p1, XR_008053596.1.p1
OG0005208	NM_104460.3.p1, NM_001333738.1.p1, NM_001198315.2.p1	XM_006474767.4.p1
OG0005209	NM_179846.4.p1, NM_001202723.1.p1, NM_001336357.1.p1	XR_001508636.3.p1, XM_015531772.3.p1, XR_008054243.1.p1
OG0005210	NM_120449.3.p1, NM_111835.3.p1, NM_001202924.1.p1	XM_006481819.4.p1, XM_006492124.4.p1
OG0005211	NM_115017.6.p1, NM_001203126.1.p1	XM_006481132.3.p1
OG0005212	NM_001203164.2.p1	XM_006481584.4.p1
OG0005213	NM_001342984.1.p1, NM_001203330.2.p1	XM_025100545.2.p1, XM_006485653.4.p1
OG0005214	NM_114748.3.p1, NM_001203592.2.p1, NM_124603.4.p1	XM_006490307.3.p1
OG0005215	NM_148336.4.p1, NM_001203809.1.p1, NM_117667.9.p1	XM_052435933.1.p1
OG0005216	NM_118006.2.p1, NM_001203836.1.p1, NM_118007.5.p1	XM_052433507.1.p1
OG0005217	NM_001203974.1.p1	XM_006473288.4.p1
OG0005218	NM_119570.4.p1, NM_001203979.1.p1	XR_008050951.1.p1, XM_006486976.4.p1, XM_006486977.4.p1
OG0005218	NM_001335846.1.p1, NM_179709.3.p1	XM_006494389.4.p1
OG0005219	NM_202052.2.p1, NM_001331721.1.p1, NM_001331722.1.p1, NM_100643.4.p1	XM_006473262.4.p1
OG0005220	NM_001331941.1.p1, NM_100966.3.p1	XM_052442422.1.p1
OG0005221	NM_001332407.1.p1, NM_001332408.1.p1	XM_006478699.4.p1
OG0005222	NM_106311.4.p1, NM_001332483.1.p1	XM_015526120.3.p1
OG0005222	NM_129344.3.p1	XM_015531229.3.p1
OG0005223	NM_001332530.1.p1, NM_102032.4.p1	XM_025094175.2.p1, XM_006494732.4.p1, XM_052440962.1.p1
OG0005224	NM_001332600.1.p1	XM_052439188.1.p1, XM_006483834.4.p1
OG0005225	NM_001332942.1.p1, NM_102845.5.p1, NM_129054.4.p1	XM_006468472.4.p1
OG0005226	NM_102866.3.p1, NM_001332952.1.p1	XM_052435487.1.p1, XM_006468377.4.p1
OG0005227	NM_112875.4.p1, NM_103912.3.p1, NM_001333429.1.p1	XM_006484584.4.p1
OG0005228	NM_001333658.1.p1, NM_001333659.1.p1	XM_006487671.4.p1
OG0005229	NM_001333999.1.p1	XM_025099962.2.p1, XM_006481138.4.p1
OG0005230	NM_001344260.1.p1, NM_001344259.1.p1, NM_123221.4.p1, NM_105390.2.p1, NM_001334283.1.p1	XM_025100021.2.p1, XM_006482245.4.p1
OG0005231	NM_001335097.1.p1, NM_001335096.1.p1	XM_052432906.1.p1, XM_052432909.1.p1, XM_052432905.1.p1, XM_052432901.1.p1, XR_008051264.1.p1, XM_052432903.1.p1, XM_052432908.1.p1
OG0005232	NM_001335180.1.p1, NM_001335182.1.p1, NM_001335179.1.p1, NM_001335181.1.p1, NM_126390.4.p1	XM_006483006.4.p1
OG0005233	NM_001335615.1.p1, NM_179653.4.p1	XM_052434250.1.p1, XM_052434251.1.p1, XM_025097756.2.p1
OG0005234	NM_125103.4.p1, NM_001335628.1.p1, NM_119141.5.p1, NM_001341986.1.p1	XM_006474192.4.p1
OG0005235	NM_127499.2.p1, NM_001335634.1.p1, NM_148143.4.p1	XM_006475431.4.p1
OG0005236	NM_001336001.1.p1, NM_128110.3.p1	XR_008055609.1.p1, XR_008055606.1.p1, XM_025101319.2.p1, XM_025101318.2.p1
OG0005237	NM_129684.3.p1, NM_001336900.1.p1	XM_025098825.2.p1
OG0005238	NM_130270.4.p1, NM_001337241.1.p1	XM_006492343.4.p1
OG0005239	NM_121925.4.p1, NM_001337630.1.p1	XM_025092180.2.p1, XM_015533679.3.p1
OG0005240	NM_001337718.1.p1	XM_006482929.4.p1, XM_025101071.2.p1, XM_052439773.1.p1, XM_025101070.2.p1
OG0005241	NM_001342833.1.p1, NM_120652.4.p1, NM_111959.3.p1, NM_001337921.1.p1, NM_001337919.1.p1, NM_001337920.1.p1	XM_006486268.4.p1
OG0005242	NM_001338144.1.p1, NM_001338145.1.p1, NM_001338146.1.p1, NM_001338143.1.p1	XM_006493543.4.p1, XM_052437632.1.p1, XM_052437635.1.p1
OG0005243	NM_001338508.1.p1, NM_148740.5.p1, NM_001338509.1.p1	XM_006491950.4.p1
OG0005244	NM_001341021.1.p1, NM_001338553.1.p1	XM_006469659.4.p1, XR_008050949.1.p1
OG0005245	NM_001338624.1.p1, NM_113236.4.p1	XM_052443859.1.p1, XM_052443864.1.p1, XM_052443863.1.p1
OG0005246	NM_001338675.1.p1, NM_113331.3.p1, NM_001338663.1.p1, NM_001338674.1.p1, NM_113296.5.p1	XM_052433165.1.p1
OG0005247	NM_001338868.1.p1	XM_006469904.4.p1, XM_006469905.4.p1
OG0005248	NM_001338953.1.p1, NM_001338952.1.p1	XM_006482596.3.p1
OG0005249	NM_001339101.1.p1, NM_001339100.1.p1	XM_006487731.4.p1
OG0005250	NM_001339342.1.p1, NM_001339344.1.p1, NM_001339343.1.p1, NM_114668.3.p1	XM_025099081.2.p1, XM_006476702.4.p1
OG0005251	NM_114944.6.p1, NM_001339485.1.p1, NM_126054.2.p1, NR_143375.1.p1, NR_143376.1.p1, NR_143377.1.p1	XM_006466621.4.p1
OG0005252	NM_001339535.1.p1, NM_001339536.1.p1, NM_115044.5.p1	XM_006480986.4.p1, XM_025099779.2.p1
OG0005253	NM_001339906.1.p1	XM_006492621.4.p1, XM_006492767.4.p1
OG0005254	NM_115955.6.p1, NM_001340062.1.p1	XM_052439993.1.p1, XM_025101344.2.p1, XM_006482883.4.p1
OG0005255	NM_001340154.1.p1, NM_116098.4.p1	XM_025093051.2.p1, XM_006492300.4.p1
OG0005256	NM_001340796.1.p1	XM_006469327.4.p1
OG0005257	NM_001340872.1.p1, NM_001340873.1.p1, NM_117441.4.p1	XM_006493643.4.p1
OG0005258	NM_113190.3.p1, NM_001340952.1.p1, NM_117548.4.p1	XM_006489727.4.p1
OG0005259	NM_203160.2.p1, NM_123930.5.p1, NM_001341317.1.p1, NM_148355.5.p1	XM_006471405.4.p1
OG0005260	NM_127896.3.p1	XM_006494420.4.p1
OG0005260	NM_118557.4.p1, NM_001341654.1.p1	XM_006473215.4.p1
OG0005261	NM_203188.3.p1, NM_203187.3.p1, NM_001341686.1.p1, NM_001341683.1.p1, NM_001341684.1.p1, NM_001341685.1.p1	XM_006472435.4.p1
OG0005262	NM_001341975.1.p1, NM_119118.3.p1, NM_127510.5.p1	XM_006475393.4.p1
OG0005263	NM_119847.4.p1, NM_001342419.1.p1	XM_006466651.4.p1
OG0005263	NM_106157.2.p1	XM_006473386.4.p1
OG0005264	NM_120200.4.p1, NM_001342579.1.p1	XM_006480910.4.p1
OG0005265	NM_120219.2.p1, NM_001342589.1.p1, NM_129380.3.p1	XM_006480977.3.p1, XM_052443484.1.p1, XM_015531256.3.p1
OG0005266	NM_001342994.1.p1	XM_006484454.4.p1
OG0005267	NM_001343453.1.p1, NM_121658.4.p1	XM_052443388.1.p1, XM_052443391.1.p1, XM_052443389.1.p1, XM_006480335.4.p1, XM_025099858.2.p1
OG0005268	NM_001343556.1.p1	XM_006489069.4.p1
OG0005270	NM_111341.3.p1, NM_001344080.1.p1	XM_006487814.3.p1
OG0005271	NM_180799.2.p1, NM_001344572.1.p1	XM_025095234.2.p1, XM_025095236.2.p1
OG0005273	NM_124508.4.p1, NM_001344933.1.p1	XM_006490105.4.p1, XM_025092111.2.p1
OG0005274	NM_001345305.1.p1	XM_006488497.3.p1
OG0005275	NM_001345377.1.p1, NM_125389.3.p1, NM_001345378.1.p1	XM_015533374.2.p1, XM_006488220.4.p1
OG0005276	NM_001345472.1.p1	XM_006494926.4.p1
OG0005277	NM_125989.4.p1, NM_001345727.1.p1, NM_114841.4.p1	XM_006466402.4.p1
OG0005278	NM_001345764.1.p1, NM_126045.6.p1	XM_006466769.4.p1, XR_008056503.1.p1
OG0005279	NM_100727.4.p1	XM_006484692.4.p1, XM_006484691.4.p1
OG0005280	NM_100799.3.p1	XM_006470808.4.p1, XM_015527895.3.p1
OG0005281	NM_100878.5.p1	XR_008055087.1.p1, XM_006472293.4.p1
OG0005282	NM_102182.3.p1, NM_202077.3.p1, NM_100950.5.p1	XM_006483861.4.p1
OG0005283	NM_101105.5.p1	XM_006477221.4.p1
OG0005284	NM_104976.5.p1, NM_101127.4.p1	XM_006477525.3.p1, XM_006477284.3.p1
OG0005285	NM_101144.5.p1	XM_006477529.3.p1
OG0005286	NM_101322.2.p1, NM_101321.4.p1	XM_052431782.1.p1, XM_006470880.3.p1, XM_052431787.1.p1, XM_006470881.3.p1
OG0005287	NM_101329.4.p1	XM_006491130.4.p1, XM_052437666.1.p1, XM_052437664.1.p1, XM_006491132.4.p1
OG0005288	NM_101342.4.p1	XM_006469233.4.p1
OG0005289	NM_101434.4.p1	XM_006465384.4.p1
OG0005290	NM_101449.5.p1, NM_179583.5.p1	XM_006465201.4.p1
OG0005291	NM_105966.2.p1, NM_101638.3.p1	XM_006491952.4.p1
OG0005292	NM_101652.3.p1, NM_202124.2.p1, NM_202125.3.p1, NM_105984.4.p1	XM_006473998.3.p1
OG0005293	NM_101672.4.p1	XM_006490681.3.p1
OG0005294	NM_101791.3.p1	XR_370216.4.p1, XM_006473395.4.p1, XM_006473396.4.p1
OG0005295	NM_102031.4.p1	XM_006472715.4.p1
OG0005296	NM_102258.6.p1	XM_052439614.1.p1, XM_052439603.1.p1, XM_052439606.1.p1, XM_052439611.1.p1
OG0005297	NM_102550.4.p1	XM_006483982.4.p1
OG0005298	NM_102721.3.p1	XR_001507104.3.p1, XM_006467463.4.p1, XM_052434810.1.p1
OG0005299	NM_103097.4.p1	XM_006478187.3.p1
OG0005300	NM_103537.5.p1	XM_006472763.3.p1, XM_006472762.4.p1
OG0005301	NM_103660.6.p1	XM_006473332.4.p1
OG0005302	NM_104140.3.p1	XM_052443970.1.p1, XM_052443972.1.p1, XM_052443976.1.p1, XM_052443973.1.p1, XM_052443969.1.p1
OG0005303	NM_104202.3.p1, NM_112364.4.p1	XM_006485613.4.p1
OG0005304	NM_112358.4.p1, NM_104207.3.p1	XM_006493541.4.p1
OG0005305	NM_104523.4.p1	XM_006488081.4.p1
OG0005307	NM_117315.3.p1, NM_118382.3.p1, NM_104931.3.p1	XM_006477173.4.p1
OG0005308	NM_105256.4.p1	XM_006481875.4.p1
OG0005309	NM_112239.4.p1	XM_006465957.4.p1
OG0005310	NM_106040.3.p1	XM_052435835.1.p1, XM_052435699.1.p1
OG0005311	NM_106045.4.p1	XM_006485730.4.p1
OG0005312	NM_106542.4.p1	XM_006468058.4.p1
OG0005313	NM_121421.4.p1, NM_111055.4.p1	XM_006476961.4.p1, XM_006469989.4.p1
OG0005314	NM_111204.4.p1	XM_006480408.4.p1
OG0005315	NM_122603.2.p1, NM_111373.3.p1	XM_006471742.4.p1
OG0005316	NM_111599.4.p1, NM_124243.3.p1	XM_006479190.4.p1
OG0005317	NM_111681.3.p1	XM_006482794.4.p1
OG0005318	NM_111699.6.p1	XM_006481184.4.p1, XM_006481183.4.p1
OG0005319	NM_120717.5.p1	XM_006481527.4.p1
OG0005319	NM_111898.4.p1	XM_006485411.4.p1, XM_006485410.4.p1
OG0005320	NM_111924.3.p1	XM_006486073.4.p1
OG0005321	NM_112107.3.p1	XM_006493671.4.p1
OG0005322	NM_112108.2.p1	XM_025094887.2.p1, XM_006493733.3.p1
OG0005323	NM_112565.2.p1	XM_006488807.4.p1
OG0005324	NM_112704.3.p1	XM_006490641.4.p1
OG0005325	NM_112957.3.p1	XM_006475220.4.p1
OG0005326	NM_113113.4.p1, NM_117601.3.p1	XM_015531178.3.p1
OG0005327	NM_113392.3.p1	XM_006479230.4.p1, XM_006479232.4.p1, XM_006479231.4.p1, XM_015530666.3.p1
OG0005328	NM_114667.5.p1, NM_203254.2.p1, NM_125667.3.p1	XM_006476597.4.p1
OG0005329	NM_116495.4.p1, NM_115321.4.p1	XM_006470948.4.p1, XM_052438266.1.p1
OG0005330	NM_115329.3.p1	XM_006481599.4.p1
OG0005331	NM_115361.3.p1, NM_129486.5.p1	XM_006485903.4.p1
OG0005332	NM_115477.3.p1	XM_006486160.4.p1, XM_025100696.2.p1
OG0005333	NM_115984.2.p1	XM_006490965.4.p1
OG0005334	NM_116351.7.p1	XM_052437382.1.p1
OG0005335	NM_116387.2.p1	XM_006491353.4.p1
OG0005336	NM_116594.5.p1	XM_006491559.4.p1
OG0005337	NM_116755.5.p1	XM_052432042.1.p1, XM_006487966.4.p1, XM_052432804.1.p1, XM_006487969.4.p1
OG0005338	NM_117741.4.p1	XM_006470473.4.p1, XM_006470474.3.p1, XM_006470475.4.p1
OG0005339	NM_118147.5.p1	XM_006468553.4.p1, XM_006468554.4.p1
OG0005340	NM_118248.2.p1	XM_006468309.4.p1
OG0005341	NM_118307.4.p1	XM_052438259.1.p1, XM_052438258.1.p1, XM_006489564.4.p1, XM_052431897.1.p1, XR_371888.4.p1
OG0005342	NM_124975.4.p1, NM_118793.3.p1	XM_015529140.3.p1, XM_052433135.1.p1, XM_015529187.2.p1, XM_006474776.4.p1
OG0005343	NM_118836.3.p1, NM_124869.3.p1	XM_006475085.4.p1
OG0005344	NM_118885.4.p1	XM_052433355.1.p1
OG0005345	NM_127421.2.p1, NM_119186.3.p1	XM_006474038.4.p1
OG0005346	NM_119289.3.p1	XM_006481528.3.p1, XM_025099995.2.p1
OG0005347	NM_119384.4.p1	XM_006483305.4.p1
OG0005348	NM_119406.3.p1, NM_180477.2.p1, NM_121170.3.p1	XM_006476161.3.p1
OG0005349	NM_119528.4.p1, NM_127015.4.p1	XM_006486748.4.p1
OG0005350	NM_119590.4.p1	XM_006486907.4.p1, XM_006486909.4.p1
OG0005351	NM_119593.4.p1	XM_052431961.1.p1, XM_006486893.4.p1
OG0005352	NM_119840.7.p1	XM_006466669.4.p1
OG0005353	NM_119843.3.p1	XM_006466663.4.p1, XM_006466664.4.p1
OG0005354	NM_119911.4.p1	XM_006466444.4.p1
OG0005355	NM_120024.3.p1	XM_025102276.2.p1, XM_006486696.4.p1
OG0005356	NM_120101.3.p1	XM_006464451.4.p1, XM_006464450.4.p1
OG0005357	NM_120542.5.p1	XM_006492115.4.p1, XM_006492118.4.p1, XM_025092984.2.p1, XM_015525119.3.p1, XM_052439990.1.p1, XM_015525118.3.p1, XM_052439989.1.p1, XM_052439991.1.p1
OG0005358	NM_120558.3.p1	XM_006487846.3.p1, XM_006485395.4.p1
OG0005359	NM_121117.2.p1	XM_006483463.4.p1
OG0005360	NM_122035.3.p1	XM_006474345.3.p1
OG0005360	NM_121149.4.p1	XM_006483333.4.p1
OG0005361	NM_121783.5.p1	XM_006484735.4.p1
OG0005362	NM_121845.3.p1, NM_180513.1.p1	XM_006484593.3.p1, XM_025101254.2.p1
OG0005363	NM_121907.3.p1	XM_006489223.4.p1
OG0005364	NM_122139.5.p1	XM_052431809.1.p1, XM_052431814.1.p1, XM_052431810.1.p1, XM_052431812.1.p1, XM_052431815.1.p1
OG0005365	NM_122389.4.p1	XM_006483562.4.p1, XM_006483561.4.p1
OG0005366	NM_122874.4.p1	XM_006474337.4.p1
OG0005367	NM_122928.3.p1	XM_052431538.1.p1, XM_025096949.2.p1
OG0005368	NM_125808.3.p1, NM_123320.4.p1	XM_006485165.3.p1
OG0005369	NM_123974.3.p1	XM_052435001.1.p1
OG0005370	NM_124707.4.p1	XM_006490518.4.p1
OG0005371	NM_203222.2.p1, NM_125116.3.p1	XM_006474151.4.p1
OG0005372	NM_125133.5.p1	XM_052433068.1.p1
OG0005373	NM_125553.3.p1	XM_006489953.4.p1, XM_006489952.4.p1
OG0005374	NM_125811.4.p1	XM_006477999.4.p1, XM_052436615.1.p1
OG0005375	NM_127507.3.p1	XM_006475411.3.p1, XM_025097270.2.p1
OG0005377	NM_128004.4.p1	XM_006483552.3.p1
OG0005378	NM_179804.3.p1, NM_128517.4.p1	XM_015533368.3.p1
OG0005379	NM_129039.4.p1	XM_025093219.2.p1
OG0005380	NM_129240.3.p1	XM_006491598.4.p1, XM_006491597.4.p1
OG0005381	NM_129265.3.p1	XM_006480598.4.p1
OG0005382	NM_129325.6.p1	XM_006487706.4.p1
OG0005383	NM_129414.5.p1	XM_006481143.4.p1, XM_025099628.2.p1
OG0005384	NM_129658.4.p1	XM_006479946.4.p1, XM_006479945.4.p1
OG0005385	NM_130163.3.p1	XM_052438731.1.p1
OG0005386	NM_179832.2.p1	XM_006479489.4.p1
OG0005387	NM_201871.2.p1	XM_015526708.3.p1, XM_006467403.3.p1
OG0005408	NM_115078.4.p1, NM_001339563.1.p1, NM_001035765.2.p1	XM_006485221.4.p1, XR_003066444.2.p1, XR_003066445.2.p1, XM_052440112.1.p1
OG0005409	NM_001035831.2.p1	XM_006490895.4.p1
OG0005410	NM_001035897.1.p1, NM_100420.4.p1	XM_052435324.1.p1, XM_015533666.3.p1, XM_052435327.1.p1, XM_006489342.4.p1
OG0005411	NM_102180.4.p1, NM_001036006.1.p1, NM_001036186.2.p1, NM_105726.3.p1, NM_202393.2.p1	XM_006483876.4.p1
OG0005412	NM_101831.4.p1, NM_001332405.1.p1, NM_001036021.1.p1, NM_102549.5.p1	XM_006473275.4.p1, XM_006473274.4.p1
