Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_tuberosum_rna_prot
OG0004843	NM_001345631.1.p1, NM_180936.2.p1, NM_125843.3.p1	XM_006361922.2.p1
OG0004844	NM_148184.3.p1, NM_100005.3.p1	XM_006360663.2.p1, XM_006345484.2.p1, XM_006339673.2.p1
OG0004845	NM_101692.2.p1	XM_006347397.2.p1
OG0004846	NM_101865.4.p1	XM_006342007.2.p1
OG0004847	NM_102146.3.p1, NM_105782.3.p1	XM_006350828.2.p1
OG0004848	NM_102414.4.p1	XM_006348646.2.p1
OG0004849	NM_129013.3.p1, NM_102751.5.p1	XM_006346780.2.p1, XM_006354946.2.p1
OG0004850	NM_102762.5.p1, NM_127367.3.p1	XM_006347752.2.p1, XM_006365577.2.p1
OG0004852	NM_103495.4.p1	XM_006362762.2.p1, XM_006363844.2.p1
OG0004853	NM_179448.4.p1, NM_103623.5.p1	XM_006363122.2.p1
OG0004855	NM_104700.5.p1	XM_006351252.2.p1, XM_006365685.2.p1, XM_006365686.2.p1
OG0004856	NM_104906.2.p1	XM_006357150.2.p1, XM_015313348.1.p1
OG0004857	NM_104920.3.p1	XM_006352315.2.p1, XM_006346707.2.p1
OG0004858	NM_105087.2.p1	XM_015307139.1.p1, XM_006352197.2.p1, XM_006352198.2.p1
OG0004859	NM_105838.5.p1	XM_006362557.2.p1, XM_006349598.2.p1
OG0004860	NM_121653.4.p1, NM_111148.3.p1	XM_006350352.2.p1, XR_001473260.1.p1, XM_006345764.2.p1, XR_001473261.1.p1
OG0004861	NM_129396.4.p1, NM_111720.4.p1	XM_006363548.2.p1
OG0004862	NM_111944.4.p1, NM_120634.4.p1	XM_006354853.2.p1
OG0004864	NM_112035.4.p1	XM_006360539.2.p1
OG0004865	NM_112064.5.p1	XM_006340861.2.p1
OG0004866	NM_112152.3.p1	XM_006346087.2.p1
OG0004867	NM_112490.4.p1	XM_015314427.1.p1, XM_006343027.2.p1, XM_015306785.1.p1
OG0004868	NM_112705.4.p1	XM_006353752.2.p1
OG0004869	NM_113167.5.p1	XM_006360699.2.p1
OG0004870	NM_117538.2.p1, NM_113200.3.p1	XM_006362108.2.p1, XM_015312652.1.p1
OG0004871	NM_113321.5.p1	XM_006360296.2.p1
OG0004872	NM_113338.5.p1	XM_006340820.2.p1
OG0004873	NM_114730.3.p1, NM_125750.6.p1	XM_006347563.2.p1, XM_006347419.2.p1
OG0004874	NM_122373.3.p1, NM_114816.4.p1	XM_006347481.2.p1
OG0004875	NM_115027.2.p1	XM_006338904.2.p1
OG0004876	NM_115110.3.p1	XM_006361040.2.p1, XM_006362791.2.p1
OG0004877	NM_115216.3.p1, NM_129295.2.p1, NM_120337.1.p1	XM_006338980.2.p1, XM_006338979.2.p1, XM_015307989.1.p1
OG0004878	NM_115547.3.p1, NM_129666.5.p1	XM_006364706.2.p1, XM_015310559.1.p1
OG0004879	NM_115657.2.p1, NM_180033.2.p1, NM_120762.3.p1	XM_006363707.2.p1
OG0004881	NM_115900.4.p1	XM_006351198.2.p1
OG0004882	NM_116174.4.p1	XM_006355809.2.p1
OG0004883	NM_116290.4.p1	XM_006341379.2.p1, XM_006341378.2.p1, XM_015314226.1.p1, XM_006347172.2.p1, XM_006358950.2.p1, XM_006346559.2.p1
OG0004884	NM_116546.3.p1	XM_015313233.1.p1, XM_006362915.2.p1
OG0004885	NM_118336.5.p1, NM_116659.5.p1	XM_006348103.2.p1
OG0004886	NM_128656.3.p1, NM_116887.3.p1	XM_015310682.1.p1
OG0004887	NM_117133.5.p1	XM_015309748.1.p1, XM_006349724.2.p1, XR_001473722.1.p1
OG0004888	NM_117277.3.p1	XM_006364185.2.p1
OG0004889	NM_117304.3.p1	XM_006365127.1.p1
OG0004890	NM_129132.2.p1, NM_117746.4.p1	XM_006349795.2.p1, XM_015310910.1.p1
OG0004891	NM_124049.5.p1, NM_117896.3.p1	XM_006361126.2.p1, NM_001297630.1.p1
OG0004892	NM_118513.3.p1	XM_006343808.2.p1
OG0004893	NM_119018.3.p1	XM_006350226.2.p1
OG0004894	NM_119504.4.p1	XM_015310657.1.p1
OG0004895	NM_126123.5.p1, NM_119853.4.p1	XM_006352334.2.p1
OG0004896	NR_140677.1.p1	XM_006344017.2.p1, XM_006350814.2.p1
OG0004896	NM_120260.3.p1	XM_006360549.2.p1, XM_006338896.2.p1
OG0004897	NM_120271.4.p1	XM_006362276.2.p1
OG0004898	NM_120282.4.p1	XM_006338948.2.p1, XM_006340929.2.p1
OG0004899	NM_120471.4.p1, NM_180430.2.p1	XM_006339968.2.p1
OG0004900	NM_120574.5.p1	XM_006347647.2.p1
OG0004901	NM_125914.5.p1, NM_121047.2.p1	XM_006354010.2.p1, XM_015312321.1.p1
OG0004902	NM_121374.4.p1	XM_006345360.2.p1
OG0004903	NM_121770.4.p1	XM_006359050.2.p1, XM_006346635.2.p1
OG0004904	NM_121978.4.p1	XM_006353516.2.p1
OG0004905	NM_122195.4.p1	XM_006348979.2.p1
OG0004906	NM_122629.3.p1	XM_006356372.2.p1, XM_006361791.2.p1
OG0004907	NM_126480.2.p1, NM_122978.2.p1	XM_006357630.2.p1
OG0004908	NM_123425.5.p1	XM_006357107.2.p1
OG0004909	NM_124360.4.p1	XM_006365940.2.p1
OG0004910	NM_124467.2.p1	XM_006359946.2.p1, XM_006348898.2.p1
OG0004911	NM_124630.5.p1	XM_006363269.2.p1, XM_006353845.2.p1
OG0004912	NM_125131.2.p1	XM_006367482.2.p1
OG0004913	NM_125142.4.p1	XM_006366116.2.p1
OG0004914	NM_125184.3.p1	XM_006343595.2.p1
OG0004915	NM_125538.3.p1	XM_015313670.1.p1, XM_006358182.2.p1
OG0004916	NM_126022.4.p1	XM_006340670.2.p1
OG0004917	NM_126467.4.p1	XM_006357600.2.p1, XM_006357590.2.p1
OG0004918	NM_127281.2.p1	XM_015303905.1.p1, XM_006360790.2.p1
OG0004919	NM_127396.3.p1	XM_006361528.2.p1, XM_006361527.2.p1
OG0004920	NM_129188.4.p1	XM_006341057.2.p1, XM_006341056.2.p1
OG0004921	NM_129441.5.p1	XM_015309709.1.p1, XM_015311063.1.p1, XM_015311064.1.p1
OG0004922	NM_129503.4.p1	XM_006345869.2.p1
OG0004923	NM_129669.4.p1	XM_006359455.2.p1, XM_006359454.2.p1
OG0004924	NM_129767.3.p1	XM_006351287.2.p1
OG0004925	NM_129804.4.p1	XM_006351580.2.p1, XM_006352771.2.p1
OG0004926	NM_130259.2.p1	XM_006365107.2.p1
OG0004927	NM_148342.8.p1	XM_006355338.2.p1
OG0004928	NM_148433.3.p1	XM_006354125.2.p1, XM_015311681.1.p1
OG0004929	NM_179028.2.p1	XM_006343924.2.p1
OG0004930	NM_179667.3.p1	XM_006350219.2.p1
OG0004931	NM_179786.2.p1	XM_006354193.2.p1
OG0004932	NM_179833.2.p1	XM_006354940.2.p1, XM_006354939.2.p1
OG0004933	NM_179887.3.p1	XM_006346976.2.p1
OG0004956	NM_115334.4.p1, NM_001035783.3.p1, NM_001339696.1.p1	XM_006340393.1.p1, XM_006340392.2.p1
OG0004957	NM_001333540.1.p1, NM_104115.8.p1, NM_001036097.2.p1, NM_001124001.2.p1, NM_118976.4.p1	XM_015315443.1.p1, XM_015315442.1.p1, XM_006357969.2.p1
OG0004958	NM_127677.3.p1, NM_001202638.2.p1, NM_001036305.1.p1	XM_015315514.1.p1, XM_015315515.1.p1, XM_015315511.1.p1, XM_015315510.1.p1, XM_015315509.1.p1
OG0004959	NM_001036378.3.p1, NM_128685.3.p1	XM_015314574.1.p1, XM_015314572.1.p1
OG0004960	NM_110986.4.p1, NR_140814.1.p1, NM_001036609.1.p1, NM_118240.4.p1	XM_006352539.2.p1
OG0004961	NM_001036882.1.p1, NM_001344057.1.p1	NM_001287933.1.p1
OG0004962	NM_001339146.1.p1, NM_001339148.1.p1, NM_114319.4.p1, NM_001339147.1.p1, NM_001331768.1.p1, NM_001084019.1.p1	XM_015304587.1.p1, XM_006365716.2.p1, XM_006347181.2.p1
OG0004963	NM_106738.2.p1, NM_001084076.1.p1, NM_001198078.1.p1	XM_006356192.2.p1
OG0004964	NM_001084161.2.p1, NM_001084162.3.p1, NM_104499.4.p1	XM_006362718.2.p1, XM_006356963.1.p1
OG0004965	NM_001084179.1.p1, NM_001333090.1.p1, NM_103141.4.p1, NM_103142.4.p1	XM_006360233.2.p1, XM_015314205.1.p1
OG0004966	NM_001335265.1.p1, NM_001335264.1.p1, NM_001084411.2.p1, NM_001335266.1.p1, NM_126516.3.p1	XM_006342207.2.p1, XM_006342208.2.p1
OG0004967	NM_001084570.1.p1, NM_001161097.1.p1, NM_201934.3.p1	XM_006344613.2.p1, XM_006344614.2.p1, XM_015307524.1.p1, XM_015307525.1.p1, XM_015309714.1.p1, XM_015309715.1.p1
OG0004968	NM_124769.5.p1, NM_001345072.1.p1, NM_180855.2.p1, NM_001084689.2.p1	XM_006348204.2.p1
OG0004969	NM_001085291.3.p1, NM_001203629.1.p1	XM_006359053.2.p1
OG0004970	NM_001123901.2.p1, NM_102624.4.p1, NM_001332819.1.p1	XM_015315100.1.p1
OG0004971	NM_001125406.1.p1, NM_116027.5.p1	XM_006339609.2.p1, XM_006339608.2.p1
OG0004972	NM_001125805.1.p1	XM_015305430.1.p1
OG0004972	NM_122512.4.p1	XM_006352703.2.p1, XM_015305428.1.p1, XM_015305427.1.p1, XM_006367387.2.p1
OG0004973	NM_001126002.2.p1, NM_001345503.1.p1, NM_125585.2.p1, NM_001345506.1.p1, NM_001345504.1.p1	XM_006343505.2.p1
OG0004975	NM_001336867.1.p1, NM_001161094.2.p1	XM_006358104.2.p1
OG0004976	NM_103431.7.p1, NM_001198218.1.p1	XM_006342053.2.p1, XM_006342482.2.p1
OG0004977	NM_001198447.1.p1, NM_105852.3.p1, NM_117026.5.p1	XM_006353566.2.p1, XM_006351852.2.p1
OG0004978	NM_106514.4.p1, NM_001198500.1.p1, NM_106515.4.p1, NM_106513.5.p1, NM_179569.4.p1	XM_006348260.2.p1, XM_006359971.2.p1, XM_006348259.2.p1
OG0004979	NM_127307.4.p1, NM_001202613.1.p1, NM_119715.3.p1	XM_006340800.2.p1, XM_006339937.2.p1
OG0004980	NM_001202648.1.p1, NM_127826.5.p1	XM_006353087.2.p1
OG0004981	NM_001202764.1.p1, NM_179942.4.p1	XM_006354294.2.p1
OG0004982	NM_001203300.2.p1, NM_120639.2.p1	XM_006338768.2.p1, XM_006338766.2.p1, XM_006338767.2.p1
OG0004983	NM_001203357.2.p1	XM_006338029.2.p1
OG0004984	NM_121948.2.p1, NM_001203410.1.p1, NM_001343602.1.p1, NM_001343601.1.p1, NM_121269.3.p1	XM_006362691.2.p1, XM_006356298.2.p1
OG0004985	NM_001203455.1.p1, NM_122368.4.p1	XM_006347580.2.p1, XM_006347581.2.p1
OG0004986	NM_001203456.1.p1, NM_001343883.1.p1, NM_122370.2.p1	XM_006347406.2.p1, XM_006347480.2.p1
OG0004987	NM_179221.2.p1, NM_118655.4.p1, NM_001203586.2.p1, NM_124524.2.p1	XM_015313673.1.p1
OG0004988	NM_001203945.1.p1, NM_119215.4.p1, NM_127968.3.p1	XM_006343561.2.p1
OG0004989	NM_100842.4.p1, NM_001331846.1.p1	XM_006337984.2.p1
OG0004990	NM_001332126.1.p1, NM_001332125.1.p1, NM_101323.3.p1	XM_015310542.1.p1
OG0004991	NM_001335086.1.p1, NM_101330.5.p1, NM_001332129.1.p1	XM_006364009.2.p1
OG0004993	NM_103158.3.p1, NM_001333098.1.p1	XM_006353570.2.p1, XM_006351102.2.p1
OG0004994	NM_001333916.1.p1, NM_104763.3.p1	XM_006366854.2.p1, XM_015312834.1.p1, XM_006356356.2.p1
OG0004996	NM_001334483.1.p1, NM_105769.5.p1	XM_006344172.2.p1
OG0004997	NM_001334607.1.p1, NM_106044.6.p1	XM_006341544.1.p1
OG0004998	NM_106163.3.p1, NM_001334674.1.p1, NM_101790.4.p1	XM_006367233.2.p1
OG0004999	NM_001334899.1.p1, NM_001334898.1.p1, NM_001334897.1.p1, NM_001334896.1.p1, NM_106611.3.p1	XM_006338866.2.p1
OG0005000	NM_001334903.1.p1, NM_001334904.1.p1, NM_001334902.1.p1, NM_001334900.1.p1, NM_001334905.1.p1, NM_106612.4.p1, NM_101488.2.p1	XM_006352514.1.p1, XM_006345999.2.p1
OG0005001	NM_106731.3.p1, NM_001335016.1.p1, NM_101464.4.p1	XM_006341283.2.p1
OG0005002	NM_001335203.1.p1	XM_006363498.2.p1
OG0005003	NM_203087.4.p1, NM_001335293.1.p1, NM_001335291.1.p1, NM_001335289.1.p1, NM_001335290.1.p1, NM_126614.3.p1	XM_015311380.1.p1
OG0005004	NM_127117.3.p1, NM_001335456.1.p1	XM_006356520.2.p1, XM_006356521.2.p1, XM_015312974.1.p1, XM_015312975.1.p1, XM_006346341.2.p1, XR_367221.2.p1
OG0005005	NM_127193.2.p1, NM_001335476.1.p1	XM_006361965.2.p1
OG0005006	NM_001335548.1.p1, NM_127297.5.p1, NM_119711.4.p1	XM_006364769.2.p1, XM_006343254.2.p1
OG0005008	NM_180151.4.p1	XM_006360481.2.p1
OG0005009	NM_001336368.1.p1, NM_128764.4.p1	XM_006360715.2.p1, XM_015310162.1.p1, XM_006350582.2.p1, XM_006350581.2.p1
OG0005010	NM_001336430.1.p1, NM_001336425.1.p1, NM_001336427.1.p1, NM_001336426.1.p1, NM_001336429.1.p1, NM_001336431.1.p1, NM_001336428.1.p1	XM_006340854.2.p1
OG0005011	NM_001337252.1.p1, NM_001337253.1.p1, NM_180139.4.p1	XM_006349103.2.p1
OG0005012	NM_001337291.1.p1, NM_001337290.1.p1	XM_006358376.2.p1
OG0005013	NM_121649.6.p1, NM_001337434.1.p1, NM_111146.4.p1	XM_006350348.2.p1, XM_006345762.1.p1
OG0005015	NM_001337883.1.p1, NM_180224.4.p1	XM_006344509.2.p1, XM_015307442.1.p1, XM_015307446.1.p1, XM_006344508.2.p1, XM_015307443.1.p1, XM_006344878.2.p1, XM_006344879.2.p1, XM_015307631.1.p1
OG0005019	NM_001339221.1.p1	XR_001471765.1.p1, XM_006363273.2.p1
OG0005020	NM_114489.5.p1, NM_001339237.1.p1, NM_001339238.1.p1, NM_001339239.1.p1, NM_001339240.1.p1, NM_001339241.1.p1	XM_006363290.2.p1, XM_006363291.2.p1
OG0005021	NM_001339278.1.p1, NM_114554.4.p1	XM_006360864.2.p1
OG0005022	NM_001339491.1.p1, NM_114974.4.p1	XM_006346923.2.p1
OG0005023	NM_001339618.1.p1	XM_015308002.1.p1
OG0005024	NM_001339648.1.p1	XM_006349416.2.p1, XM_006363029.1.p1, XM_006338939.2.p1
OG0005025	NM_202716.3.p1, NM_001339749.1.p1, NM_001339750.1.p1, NM_001339748.1.p1	XM_006351000.2.p1
OG0005026	NM_001339958.1.p1, NM_115792.3.p1	XM_015308757.1.p1
OG0005027	NM_001339993.1.p1, NM_115828.5.p1	XM_015310176.1.p1
OG0005028	NM_117175.3.p1, NM_001340700.1.p1, NM_105114.3.p1	XM_006343802.2.p1, XM_015314952.1.p1
OG0005029	NM_117414.4.p1, NM_001340859.1.p1	XM_015304044.1.p1, XM_015304035.1.p1
OG0005030	NM_001340899.1.p1, NM_117480.4.p1	XM_006360858.2.p1
OG0005031	NM_001341096.1.p1	XR_366907.2.p1, XM_006341951.2.p1
OG0005032	NM_001341384.1.p1, NM_001341381.1.p1, NM_001341382.1.p1, NM_001341383.1.p1, NM_118117.4.p1, NM_001341385.1.p1	XM_006365287.2.p1
OG0005033	NM_179146.2.p1, NM_001342050.1.p1, NM_119248.3.p1	XR_001473758.1.p1, XR_001473759.1.p1, XM_015309871.1.p1
OG0005034	NM_001342138.1.p1, NM_119388.5.p1	XM_006358441.2.p1, XM_006358438.2.p1, XM_006358440.2.p1
OG0005035	NM_122502.3.p1, NM_119449.2.p1, NM_001342188.1.p1	XM_006355259.2.p1, XM_006355260.2.p1
OG0005036	NM_001342255.1.p1, NM_001342256.1.p1, NM_001342258.1.p1, NM_001342257.1.p1, NM_001342259.1.p1	XM_006344384.2.p1
OG0005037	NM_001342728.1.p1	XM_015306031.1.p1, XR_001472692.1.p1, XR_001472693.1.p1, XR_001472689.1.p1, XR_001472690.1.p1
OG0005038	NM_001343235.1.p1	XM_006350329.2.p1
OG0005039	NM_001343480.1.p1, NM_121713.3.p1	XM_006366830.2.p1
OG0005040	NM_001343703.1.p1, NM_147881.4.p1	XM_015315309.1.p1, XM_006361464.2.p1
OG0005041	NM_122263.3.p1, NM_001343817.1.p1, NM_001343816.1.p1	XM_006354625.2.p1
OG0005042	NM_121630.4.p1, NM_111132.3.p1	XM_015308062.1.p1, XM_006353195.2.p1
OG0005043	NM_001344244.1.p1, NM_001344243.1.p1, NM_001344242.1.p1	XM_006357791.2.p1
OG0005044	NM_001344264.1.p1, NM_123233.4.p1, NM_001344263.1.p1	XM_015308563.1.p1, XM_006338239.2.p1, XM_006338238.2.p1, XM_015306513.1.p1
OG0005045	NM_001344344.1.p1, NM_180777.3.p1, NM_123422.4.p1, NM_113658.3.p1	XM_006341733.2.p1
OG0005046	NM_117875.4.p1, NM_001344706.1.p1, NM_124077.5.p1	XM_006358556.2.p1
OG0005047	NM_001344809.1.p1	XM_015309983.1.p1
OG0005047	NM_121404.2.p1	XM_015315306.1.p1, XM_015308109.1.p1
OG0005048	NM_124387.3.p1, NM_001344871.1.p1, NM_125871.5.p1, NM_103468.4.p1	XM_006357280.2.p1, XM_006346668.2.p1
OG0005049	NM_124669.3.p1, NM_001345015.1.p1	XM_006366580.2.p1
OG0005050	NM_124908.4.p1, NM_001345121.1.p1, NM_118806.6.p1	XM_006346118.2.p1
OG0005051	NM_125237.4.p1, NM_001345304.1.p1	XM_015310231.1.p1
OG0005052	NM_180449.1.p1, NM_120725.3.p1, NM_100017.3.p1	XM_015304136.1.p1
OG0005053	NM_100359.3.p1, NM_128832.5.p1	XM_006360293.2.p1, XM_006365416.2.p1
OG0005054	NM_128726.1.p1, NM_100460.1.p1	XM_006349904.1.p1, XM_015304032.1.p1
OG0005055	NM_128576.3.p1, NM_100571.3.p1	XM_006344014.2.p1
OG0005056	NM_100595.6.p1	XM_006350623.2.p1, XM_006338967.2.p1
OG0005057	NM_111528.2.p1	XM_006337934.2.p1
OG0005057	NM_100802.5.p1	XM_015307562.1.p1, XM_015307563.1.p1
OG0005058	NM_100808.3.p1	XM_006344793.2.p1, XM_006341251.2.p1, XM_006344737.2.p1
OG0005059	NM_100853.4.p1	XM_006349267.2.p1
OG0005060	NM_100931.3.p1, NM_104709.3.p1	XM_015312599.1.p1, XM_015304344.1.p1
OG0005061	NM_101005.4.p1	XM_006350157.2.p1, XM_015309935.1.p1
OG0005062	NM_101138.4.p1	XM_006354506.2.p1
OG0005064	NM_101348.4.p1	XM_006366047.2.p1, XM_015304735.1.p1
OG0005065	NM_101678.3.p1, NM_106023.3.p1, NM_202411.1.p1	XM_015306216.1.p1, XM_006365347.2.p1
OG0005066	NM_101756.3.p1, NM_106141.3.p1	XM_006354746.2.p1, XM_015307660.1.p1, XM_006344921.2.p1, XM_006339916.2.p1, XR_366678.2.p1
OG0005067	NM_106317.3.p1, NM_101961.4.p1, NM_123607.5.p1	XM_006342459.2.p1
OG0005068	NM_106411.4.p1, NM_179366.1.p1, NM_102036.4.p1	XM_006351839.2.p1
OG0005069	NM_202165.1.p1, NM_202166.2.p1, NM_102185.4.p1	XM_006353060.2.p1
OG0005070	NM_105704.2.p1, NM_102226.3.p1, NM_102225.1.p1	XM_006348391.2.p1
OG0005071	NM_105524.3.p1, NM_102356.4.p1	XM_006344079.2.p1, XM_006344080.2.p1
OG0005072	NM_102494.4.p1	XR_001474022.1.p1, XM_006352114.2.p1
OG0005073	NM_102842.3.p1	XM_006365004.2.p1
OG0005074	NM_102870.3.p1	XM_006352992.2.p1
OG0005075	NM_102939.4.p1	XM_015311120.1.p1
OG0005076	NM_102952.4.p1	XM_006352852.2.p1
OG0005077	NM_103023.4.p1	XM_015307085.1.p1, XM_006343701.2.p1
OG0005078	NM_103073.3.p1, NM_117084.3.p1, NM_117083.3.p1	XM_015312962.1.p1, XM_006356474.2.p1
OG0005079	NM_103761.6.p1	XM_006341488.2.p1
OG0005079	NM_126175.4.p1	XM_006360369.2.p1
OG0005080	NM_103975.4.p1, NM_112948.3.p1, NM_148376.2.p1, NM_118842.4.p1	XM_006365977.2.p1
OG0005081	NM_104024.3.p1	XM_006365141.2.p1
OG0005081	NM_113003.5.p1, NM_104028.5.p1	XM_006365135.2.p1
OG0005082	NM_104051.5.p1	XM_015306764.1.p1
OG0005083	NM_104224.2.p1	XM_015314653.1.p1, XR_368309.2.p1, XM_015314654.1.p1
OG0005084	NM_104408.5.p1	XM_006367538.2.p1
OG0005085	NM_105147.4.p1	XM_006347451.2.p1
OG0005086	NM_105245.3.p1, NM_123059.3.p1	XM_006350396.2.p1, XM_006348151.2.p1
OG0005087	NM_105344.4.p1, NM_123171.4.p1	XR_001474784.1.p1
OG0005088	NM_105408.4.p1	XM_006338815.2.p1, XM_006365313.2.p1, XM_006365311.2.p1, XM_006365312.2.p1
OG0005089	NM_106390.3.p1	XM_006343452.2.p1, XM_015305402.1.p1, XM_006351142.2.p1
OG0005090	NM_111012.4.p1	XM_006365145.2.p1
OG0005091	NM_113682.4.p1, NM_123406.3.p1, NM_111023.3.p1	XM_006349962.2.p1
OG0005092	NM_121586.3.p1, NM_111099.5.p1	XM_006363574.2.p1, XM_006363573.2.p1, XM_015303525.1.p1, XM_015303526.1.p1, XM_006338276.2.p1
OG0005093	NM_111495.4.p1	XM_006350905.2.p1
OG0005094	NM_111505.4.p1, NM_121895.4.p1	XM_006365210.2.p1, XM_006356630.2.p1
OG0005095	NM_112103.3.p1	XM_006344866.1.p1
OG0005098	NM_112710.2.p1	XM_006341510.2.p1
OG0005099	NM_112748.4.p1	XM_006359252.2.p1
OG0005100	NM_113374.4.p1	XM_006353401.2.p1, XM_006352096.2.p1, XM_015310807.1.p1
OG0005101	NM_114329.3.p1	XM_006349043.2.p1
OG0005102	NM_114518.4.p1	XM_006350700.2.p1, XM_006348934.2.p1
OG0005104	NM_115037.8.p1	XM_006338912.2.p1
OG0005105	NM_115528.3.p1	XM_006364722.2.p1, XM_006364721.2.p1
OG0005106	NM_115767.3.p1, NM_129863.3.p1	XM_006351926.2.p1, XM_006357827.2.p1
OG0005107	NM_115931.3.p1	XM_006347829.2.p1
OG0005108	NM_180116.2.p1, NM_116022.5.p1	XM_006339579.2.p1
OG0005109	NM_116502.4.p1	XM_006349656.2.p1
OG0005110	NM_116884.4.p1	XM_006356751.2.p1, XM_006356750.2.p1
OG0005111	NM_117176.3.p1	XM_006344649.2.p1
OG0005112	NM_118404.5.p1, NM_117281.3.p1, NM_118403.2.p1	XM_006363662.2.p1
OG0005113	NM_117677.7.p1	XM_015302985.1.p1, XM_006362398.2.p1, XM_006343548.2.p1
OG0005114	NM_117747.7.p1	XM_006352286.2.p1, XM_006346717.2.p1
OG0005115	NM_117857.3.p1	XM_006359172.2.p1, XM_006359173.2.p1, XM_006367404.2.p1
OG0005116	NM_117889.4.p1	XM_006352817.2.p1
OG0005117	NM_118037.7.p1	XM_006355584.2.p1
OG0005118	NM_180805.4.p1, NM_123902.3.p1, NM_118043.2.p1	XM_006359890.2.p1, NM_001288216.1.p1, XM_015315174.1.p1
OG0005119	NM_118515.4.p1	XM_006343801.2.p1
OG0005120	NM_118602.4.p1	XM_015307391.1.p1, XM_006347366.2.p1
OG0005121	NM_118615.3.p1	XM_006366773.2.p1
OG0005122	NM_119035.3.p1, NM_179136.3.p1	XM_006338093.2.p1
OG0005123	NM_119463.5.p1	XM_006351539.2.p1
OG0005124	NM_127342.4.p1, NM_119771.4.p1	XM_006341999.2.p1
OG0005125	NM_119790.3.p1	XM_006340635.2.p1
OG0005126	NM_119807.2.p1	XM_006340607.2.p1
OG0005127	NM_202988.4.p1, NM_120125.2.p1	XM_006355472.2.p1
OG0005128	NM_120422.4.p1	XM_006339023.2.p1, XM_006354315.2.p1
OG0005129	NM_120472.3.p1	XM_006344691.2.p1
OG0005130	NM_120583.6.p1	XM_006349259.2.p1, XM_006338841.2.p1
OG0005131	NM_121248.5.p1	XM_006349728.2.p1
OG0005132	NM_121276.3.p1	XM_006339909.1.p1, XM_006341776.2.p1
OG0005133	NM_121979.4.p1	XM_006353436.2.p1
OG0005134	NM_122138.3.p1	XM_006340099.2.p1, XM_015315066.1.p1, XM_006365914.2.p1
OG0005135	NM_122237.4.p1	XM_006350307.2.p1
OG0005136	NM_123012.6.p1	XM_006349569.2.p1, XM_015304030.1.p1, XM_006340492.2.p1
OG0005137	NM_123804.4.p1	XM_006365749.2.p1
OG0005138	NM_123897.4.p1	XM_006359877.2.p1, XM_006359878.2.p1
OG0005139	NM_124010.3.p1	XM_006355532.2.p1
OG0005140	NM_203177.2.p1, NM_124219.5.p1	XR_367179.2.p1, XR_001473253.1.p1, XM_006345650.2.p1, XR_367180.2.p1, XM_015308008.1.p1, XM_006345651.2.p1
OG0005141	NM_124420.3.p1	XM_006351409.2.p1
OG0005142	NM_124600.3.p1	XM_006365251.2.p1
OG0005143	NM_124668.3.p1	XM_006360126.2.p1, XM_006366583.2.p1
OG0005144	NM_124819.3.p1	XM_006349921.2.p1
OG0005145	NM_125462.4.p1	XM_006340131.2.p1
OG0005146	NM_125824.4.p1, NM_125825.3.p1	XM_006351695.2.p1
OG0005147	NM_125846.3.p1	XM_006361918.2.p1, XM_015310781.1.p1, XM_015310782.1.p1
OG0005148	NM_125981.4.p1	XM_006364341.2.p1
OG0005149	NM_128084.3.p1, NM_126891.4.p1	XM_006345584.2.p1, XM_006353605.2.p1
OG0005150	NM_127199.4.p1, NM_201744.1.p1	XM_015314935.1.p1, XM_006340636.2.p1
OG0005151	NM_128398.4.p1	XM_006340132.2.p1
OG0005152	NM_128683.4.p1	XM_006354109.2.p1, XM_006365845.2.p1
OG0005153	NM_128855.4.p1	XM_015310728.1.p1, XM_006351910.2.p1
OG0005154	NM_129469.2.p1	XR_367574.2.p1, XM_015310407.1.p1
OG0005155	NM_130089.4.p1	XM_006347822.2.p1
OG0005156	NM_130130.4.p1	XM_006339439.2.p1
OG0005157	NM_148232.3.p1	XM_015306599.1.p1
OG0005158	NM_179157.3.p1	XM_006351661.2.p1
OG0005159	NM_179360.1.p1	XM_006342156.2.p1, XM_006362186.2.p1, XM_006362185.2.p1
OG0005160	NM_179706.2.p1	XM_006339760.2.p1
OG0005161	NM_179963.3.p1	XM_006366275.2.p1
OG0005162	NM_180780.2.p1	XM_006347565.2.p1
OG0005163	NM_202670.3.p1, NM_202671.3.p1	XM_006344328.2.p1
OG0005179	NM_148568.1.p1, NM_112649.3.p1, NM_001338304.1.p1, NM_001035641.2.p1	XM_006347310.2.p1, XM_006353882.2.p1
OG0005180	NM_001339821.1.p1, NM_001339820.1.p1, NM_001084835.2.p1, NM_001035798.2.p1, NM_001339819.1.p1	XM_015303558.1.p1
OG0005181	NM_001036091.3.p1, NM_001333465.1.p1	XM_006362589.2.p1
OG0005182	NM_001036635.1.p1, NM_124543.3.p1	XM_006347997.2.p1
OG0005183	NM_001036674.2.p1, NM_001125607.1.p1, NM_119127.4.p1, NM_118740.3.p1, NM_202890.2.p1, NM_179115.2.p1	XM_006353485.2.p1
OG0005184	NM_001343590.1.p1, NM_001036823.1.p1, NM_121919.3.p1	XM_006349174.2.p1
OG0005185	NM_116452.4.p1, NM_122580.4.p1, NM_001343989.1.p1, NM_001036873.2.p1, NM_111445.5.p1	XM_006344657.1.p1
OG0005186	NM_123454.3.p1, NM_001036913.2.p1, NM_113631.4.p1	XM_006338629.2.p1, XM_006357128.2.p1
