Orthogroup	Arabidopsis_thaliana_rna_prot	Musa_acuminata_rna_prot
OG0004471	NM_116430.2.p1, NM_100118.5.p1	XM_065175399.1.p1, XM_065134074.1.p1
OG0004472	NM_124313.3.p1, NM_100144.3.p1	XM_065175437.1.p1
OG0004473	NM_100386.6.p1, NM_128817.5.p1, NM_116674.4.p1	XM_009403871.3.p1
OG0004474	NM_100506.5.p1	XR_001976035.2.p1, XM_065129605.1.p1, XR_010480747.1.p1, XM_065129606.1.p1, XR_010480745.1.p1
OG0004475	NM_100916.5.p1, NM_104658.4.p1	XR_010486452.1.p1, XM_009399411.3.p1, XM_065095841.1.p1, XM_065183066.1.p1
OG0004476	NM_101172.3.p1, NM_113547.2.p1	XM_065090139.1.p1, XM_009404434.3.p1, XM_009386860.3.p1, XM_065174978.1.p1
OG0004477	NM_101240.4.p1, NM_106071.1.p1	XM_065153833.1.p1, XM_009420792.3.p1, XM_065110772.1.p1, XM_009401892.3.p1, XM_009390469.3.p1, XM_065135422.1.p1
OG0004478	NM_106679.3.p1, NM_101419.3.p1	XM_009390259.3.p1, XM_065084911.1.p1, XM_065159168.1.p1
OG0004479	NM_101775.4.p1, NM_114163.4.p1	XM_065165993.1.p1, XM_009393449.3.p1, XM_065184249.1.p1, XM_009403256.3.p1
OG0004480	NM_101806.3.p1	XM_065151487.1.p1
OG0004481	NM_102023.2.p1, NM_106399.4.p1	XM_065100058.1.p1, XM_065128418.1.p1, XM_009418659.3.p1, XM_065168416.1.p1, XM_065100419.1.p1
OG0004482	NM_102094.4.p1	XM_065161161.1.p1, XM_065161162.1.p1, XM_065079390.1.p1
OG0004483	NM_105739.4.p1, NM_102170.2.p1	XM_009401465.3.p1, XM_065108128.1.p1
OG0004484	NM_102471.5.p1	XM_009398678.3.p1, XM_009400123.3.p1
OG0004485	NM_102600.2.p1	XR_010494529.1.p1, XM_009390611.3.p1, XM_065139836.1.p1, XM_018824226.2.p1, XM_009399959.3.p1, XM_065106043.1.p1
OG0004487	NM_102768.3.p1	XM_065107799.1.p1, XM_065107798.1.p1, XM_065107800.1.p1, XM_065107797.1.p1, XM_065107796.1.p1
OG0004488	NM_103069.4.p1, NM_104667.3.p1	XM_065164524.1.p1, XM_065185314.1.p1, XM_009405441.3.p1, XM_065086492.1.p1, XM_065086493.1.p1, XM_009416725.3.p1, XM_065082321.1.p1, XM_065188848.1.p1
OG0004489	NM_104871.3.p1	XM_065107113.1.p1, XM_065180401.1.p1, XM_065180403.1.p1, XM_009410383.3.p1
OG0004491	NM_123139.2.p1, NM_105318.3.p1	XM_065139330.1.p1, XM_009399864.3.p1, XM_065129602.1.p1
OG0004492	NM_105424.5.p1	XM_065109898.1.p1, XM_065109897.1.p1, XM_065138565.1.p1, XM_065138564.1.p1, XM_065138566.1.p1, XM_065095013.1.p1
OG0004493	NM_105770.6.p1	XM_065085067.1.p1, XM_009411798.3.p1, XR_010509807.1.p1
OG0004494	NM_106004.4.p1, NM_106005.4.p1	XM_018822574.2.p1, XM_065140221.1.p1, XM_065113661.1.p1, XM_009384707.3.p1, XM_065191664.1.p1, XM_065191663.1.p1, XM_065191662.1.p1
OG0004495	NM_111006.3.p1, NM_125255.3.p1	XM_009422834.3.p1, XM_009402752.3.p1, XM_065157178.1.p1, XM_065097563.1.p1, XM_009412777.3.p1, XM_065193490.1.p1, XM_065118775.1.p1, XM_065144979.1.p1, XM_009398132.3.p1
OG0004496	NM_111524.4.p1	XM_009384183.3.p1, XR_010492337.1.p1, XM_065131689.1.p1, XM_065090728.1.p1, XM_065120585.1.p1
OG0004497	NM_111764.4.p1, NM_120288.3.p1, NM_125333.5.p1	XM_009400505.3.p1, XM_009417955.3.p1
OG0004498	NM_120567.3.p1, NM_202544.1.p1, NM_111900.5.p1	XM_009407598.3.p1, XR_010496950.1.p1, XM_065153480.1.p1
OG0004499	NM_111956.3.p1	XM_009401745.3.p1
OG0004500	NM_121354.2.p1	XM_009406368.3.p1
OG0004500	NM_112072.3.p1	XM_009419053.3.p1, XM_065098232.1.p1, XM_009392356.3.p1
OG0004501	NM_112253.4.p1	XM_018824169.2.p1, XM_065134012.1.p1, XM_065100209.1.p1, XR_010492692.1.p1, XM_065144495.1.p1, XM_065143550.1.p1
OG0004502	NM_126808.1.p1, NM_112749.5.p1	XR_010480354.1.p1, XM_065086064.1.p1, XR_010493326.1.p1, XR_010493328.1.p1, XM_065105312.1.p1, XM_065105314.1.p1, XR_010486247.1.p1, XR_010493325.1.p1, XR_010485184.1.p1
OG0004503	NM_112813.2.p1	XM_065129668.1.p1, XM_065129667.1.p1, XR_010491934.1.p1, XM_065129669.1.p1, XR_001976002.2.p1, XM_009382326.3.p1, XM_009421393.3.p1
OG0004504	NM_113394.3.p1	XM_009413707.3.p1, XM_065120175.1.p1
OG0004505	NM_114217.1.p1, NM_114227.5.p1	XR_010514420.1.p1, XR_010514421.1.p1, XM_065188323.1.p1, XM_065134621.1.p1, XM_065134623.1.p1
OG0004507	NM_115005.5.p1, NM_125999.3.p1	XM_065183931.1.p1, XM_065109392.1.p1, XM_065109391.1.p1, XM_065090867.1.p1
OG0004508	NM_179937.4.p1, NM_115172.4.p1	XM_009397853.3.p1, XM_018825088.2.p1, XM_065148561.1.p1, XM_065148560.1.p1, XM_009402697.3.p1
OG0004509	NM_120657.2.p1, NM_115594.3.p1	XM_009396809.3.p1, XM_018825237.2.p1, XM_009396808.3.p1, XM_065092006.1.p1, XM_065112141.1.p1
OG0004510	NM_115661.4.p1	XM_009400501.3.p1, XM_065107489.1.p1, XM_065185400.1.p1, XM_065189658.1.p1, XM_065115115.1.p1, XM_018830471.2.p1, XM_009419019.3.p1
OG0004511	NM_116128.2.p1	XM_065138457.1.p1, XM_065165141.1.p1, XM_065151133.1.p1, XM_065173035.1.p1
OG0004512	NM_116241.4.p1	XM_065078844.1.p1, XM_065078846.1.p1, XR_010498984.1.p1, XR_010498986.1.p1, XM_065078843.1.p1, XM_065078845.1.p1, XM_065120719.1.p1, XM_065120721.1.p1, XM_065120722.1.p1, XM_065181031.1.p1, XM_065152169.1.p1, XM_065152168.1.p1
OG0004514	NM_124404.4.p1, NM_118610.4.p1	XM_009404435.3.p1, XM_009389430.3.p1, XM_065174098.1.p1
OG0004515	NM_119392.4.p1	XM_065130617.1.p1, XM_065130618.1.p1, XM_065157283.1.p1, XM_009405184.2.p1, XM_065159741.1.p1
OG0004516	NM_119831.3.p1, NM_127404.3.p1	XM_009412961.3.p1, XM_065118756.1.p1, XM_065123652.1.p1, XM_065183635.1.p1
OG0004517	NM_119988.5.p1	XM_009389644.3.p1, XM_065103651.1.p1, XM_065090329.1.p1, XM_065090328.1.p1, XM_009385740.3.p1
OG0004518	NM_120883.3.p1, NM_125497.3.p1	XM_065105988.1.p1, XM_065148273.1.p1, XM_065107037.1.p1, XM_065107041.1.p1, XM_065107040.1.p1, XM_065107038.1.p1, XM_065107046.1.p1, XM_065107048.1.p1
OG0004519	NM_120902.3.p1, NM_180730.3.p1, NM_180729.3.p1	XM_065166646.1.p1, XM_065123950.1.p1, XM_009412105.3.p1
OG0004520	NM_121285.4.p1	XM_065119386.1.p1, XR_010498856.1.p1, XM_065120295.1.p1
OG0004521	NM_121632.4.p1	XM_065185824.1.p1, XM_065185822.1.p1, XM_065190696.1.p1, XM_009410054.3.p1
OG0004522	NM_122059.4.p1	XM_065089937.1.p1, XM_065172900.1.p1, XM_065122879.1.p1, XM_065122880.1.p1
OG0004523	NM_122144.3.p1	XM_065084820.1.p1, XM_065143760.1.p1, XM_065098133.1.p1, XM_065161324.1.p1, XM_065103998.1.p1, XM_065138775.1.p1
OG0004524	NM_122220.5.p1	XM_065126129.1.p1
OG0004525	NM_122305.4.p1, NM_124633.3.p1	XM_065081506.1.p1, XR_671321.3.p1, XM_065136900.1.p1
OG0004526	NM_122361.4.p1	XM_009383958.3.p1, XM_009413142.3.p1, XM_009401925.3.p1, XM_009394662.3.p1, XM_065180605.1.p1, XM_009391002.3.p1, XM_065146327.1.p1, XM_009402206.3.p1, XM_009391589.3.p1
OG0004527	NM_122384.3.p1	XM_065088316.1.p1, XM_009382879.3.p1
OG0004529	NM_123486.4.p1	XM_065150565.1.p1, XM_065183193.1.p1, XM_065108915.1.p1, XM_018821360.2.p1
OG0004530	NM_123641.3.p1	XM_065155396.1.p1, XM_065111772.1.p1
OG0004531	NM_125616.2.p1	XM_009384003.3.p1, XM_009414574.3.p1, XM_065162003.1.p1
OG0004532	NM_125797.5.p1	XM_009410035.3.p1, XR_010488407.1.p1, XR_010498061.1.p1, XM_065190716.1.p1, XM_065115964.1.p1
OG0004533	NM_126132.4.p1	XM_065189494.1.p1
OG0004534	NM_126459.3.p1, NM_201687.1.p1	XM_065167008.1.p1
OG0004535	NM_127383.3.p1	XM_009406387.3.p1, XM_065115451.1.p1, XM_009391071.3.p1, XM_065095949.1.p1
OG0004536	NM_129549.4.p1	XM_065152264.1.p1, XM_065152263.1.p1
OG0004537	NM_179666.5.p1	XM_065173927.1.p1, XM_009385780.3.p1, XM_065090757.1.p1, XR_010481323.1.p1
OG0004559	NM_112666.3.p1, NM_001036078.4.p1, NM_001160937.2.p1	XM_065130071.1.p1, XM_065170293.1.p1, XM_065159725.1.p1, XM_009390376.3.p1
OG0004560	NM_001334774.1.p1, NM_106378.3.p1, NM_001036215.2.p1	XM_065188489.1.p1, XM_065188492.1.p1, XM_065188495.1.p1, XM_065082345.1.p1
OG0004561	NM_001036420.2.p1, NM_179944.3.p1	XM_065108651.1.p1, XM_065108650.1.p1, XM_065152969.1.p1
OG0004562	NM_100234.4.p1, NM_001083984.1.p1, NM_001340444.1.p1, NM_116572.3.p1	XM_009395239.3.p1, XM_065135540.1.p1, XM_065135544.1.p1, XM_065135551.1.p1, XM_009413715.3.p1, XM_065078330.1.p1, XM_065078332.1.p1, XM_065078331.1.p1, XM_065078329.1.p1
OG0004563	NM_104746.3.p1, NM_001084043.5.p1	XM_065141296.1.p1, XM_065126267.1.p1, XM_065172675.1.p1
OG0004564	NM_001124912.1.p1, NM_128115.3.p1, NM_001084491.1.p1	XM_065191354.1.p1, XM_065191353.1.p1, XM_065191352.1.p1, XM_018829212.2.p1, XM_018829213.2.p1, XM_065158860.1.p1
OG0004565	NM_001084878.2.p1	XM_009419353.3.p1, XM_065082979.1.p1, XR_010491268.1.p1, XR_010491267.1.p1, XM_065125622.1.p1
OG0004566	NM_001341368.1.p1, NM_001084940.2.p1, NM_001341369.1.p1, NM_001341367.1.p1, NM_001341370.1.p1, NM_118087.4.p1	XR_010501211.1.p1, XR_010501213.1.p1, XR_010501212.1.p1, XM_065126911.1.p1, XM_065188940.1.p1
OG0004567	NM_001084973.1.p1, NM_118573.4.p1	XR_010485990.1.p1, XR_010485991.1.p1, XR_010500959.1.p1, XR_010500960.1.p1, XM_009398053.3.p1, XM_009398051.3.p1, XR_010495984.1.p1
OG0004568	NM_001124000.3.p1, NM_119420.3.p1	XM_009407036.3.p1, XM_009385962.3.p1
OG0004569	NM_001125000.3.p1	XM_065102762.1.p1, XM_065102761.1.p1, XM_018824557.2.p1, XM_018824556.2.p1, XM_065156810.1.p1, XM_065156816.1.p1
OG0004570	NM_001125029.2.p1	XM_065107241.1.p1, XM_065186316.1.p1, XM_065111665.1.p1
OG0004571	NM_121758.4.p1, NM_001125768.3.p1, NM_001343506.1.p1	XM_065149827.1.p1, XM_065149705.1.p1, XM_065134633.1.p1, XM_065134639.1.p1, XM_065092379.1.p1, XM_065147435.1.p1, XM_065147434.1.p1, XM_009399517.3.p1
OG0004572	NM_001125924.2.p1, NM_001161297.1.p1, NM_124199.5.p1	XM_065119010.1.p1, XM_065162047.1.p1, XM_009403456.3.p1, XM_065109503.1.p1
OG0004573	NM_202538.3.p1, NM_111775.4.p1, NM_001161129.2.p1, NM_001337816.1.p1	XM_009401596.3.p1
OG0004575	NM_103919.5.p1, NM_001338431.1.p1, NM_112886.4.p1, NM_001161156.2.p1	XM_009408496.3.p1
OG0004576	NM_125391.3.p1, NM_001161317.2.p1	XM_065158086.1.p1, XR_001978887.2.p1
OG0004577	NM_001197960.2.p1	XM_009384151.3.p1, XM_009384150.3.p1
OG0004578	NM_103319.3.p1, NM_001198215.2.p1, NM_117957.5.p1	XM_065119715.1.p1, XM_065119714.1.p1
OG0004579	NM_103649.4.p1, NM_001198234.2.p1	XM_065194833.1.p1, XM_065096338.1.p1, XM_009390662.3.p1, XM_065096339.1.p1
OG0004580	NM_001333597.1.p1, NM_001198283.1.p1, NM_179472.3.p1	XM_065187616.1.p1, XM_018827051.2.p1, XM_009407855.3.p1, XM_065169314.1.p1
OG0004581	NM_104354.4.p1, NM_202300.2.p1, NM_001198299.1.p1	XM_065113622.1.p1, XM_065113623.1.p1, XM_009422710.3.p1
OG0004582	NM_001336126.1.p1, NM_001202693.1.p1	XM_065081933.1.p1, XM_065105253.1.p1, XM_065081979.1.p1, XM_065137489.1.p1
OG0004583	NM_001202728.1.p1, NM_100394.4.p1	XR_010480355.1.p1, XM_065170812.1.p1, XM_065101119.1.p1
OG0004584	NM_001332962.1.p1, NM_001336565.1.p1, NM_001202755.2.p1	XM_009392255.3.p1, XM_065098320.1.p1, XM_065147972.1.p1, XM_065147973.1.p1, XM_065155959.1.p1, XM_065102659.1.p1, XM_065102664.1.p1
OG0004585	NM_130113.3.p1, NM_180096.2.p1, NM_001202818.1.p1	XM_065105419.1.p1, XM_065136652.1.p1
OG0004586	NM_001337868.1.p1, NM_180666.4.p1, NM_180667.4.p1, NM_001202925.1.p1, NM_111865.7.p1, NM_120499.4.p1	XM_065079279.1.p1, XM_065121190.1.p1, XM_065190371.1.p1
OG0004587	NM_001338418.1.p1, NM_001338417.1.p1, NM_001203007.2.p1	XM_065139494.1.p1, XM_065096046.1.p1, XM_065139495.1.p1, XM_065139493.1.p1
OG0004588	NM_001339664.1.p1, NM_180685.3.p1, NM_001203157.1.p1	XM_065078596.1.p1
OG0004589	NM_001203356.1.p1, NM_121109.3.p1, NM_001343133.1.p1	XM_065127731.1.p1, XM_065171772.1.p1, XM_065171771.1.p1
OG0004590	NM_001203530.1.p1, NM_123697.1.p1, NM_001203532.2.p1, NM_001344479.1.p1	XM_065132455.1.p1, XM_065183865.1.p1, XM_065109340.1.p1, XM_009383727.3.p1, XM_009385700.3.p1
OG0004591	NM_124260.3.p1, NM_001203567.1.p1	XM_065189690.1.p1, XM_009408900.3.p1
OG0004592	NM_104511.4.p1, NM_124312.3.p1, NM_001203570.1.p1	XM_009411574.3.p1, XM_065132261.1.p1
OG0004593	NM_114982.3.p1, NM_126021.4.p1, NM_001203703.1.p1, NM_126020.2.p1	XM_065179053.1.p1, XM_065149228.1.p1, XM_009404842.3.p1, XM_065139607.1.p1
OG0004594	NM_117266.4.p1, NM_001203773.1.p1, NM_118418.4.p1, NM_001341564.1.p1	XM_009390800.3.p1, XM_065149790.1.p1
OG0004595	NM_127995.3.p1, NM_119258.4.p1, NM_001203948.1.p1	XM_009387383.3.p1, XM_065094882.1.p1, XM_065088902.1.p1, XM_065173954.1.p1, XM_065133416.1.p1, XM_065133415.1.p1
OG0004596	NM_100378.5.p1, NM_001331511.1.p1, NM_001331510.1.p1, NM_001331512.1.p1, NM_001331509.1.p1, NM_001336416.1.p1	XM_065142819.1.p1, XM_065083821.1.p1, XM_065083819.1.p1, XM_009417181.3.p1, XM_065091827.1.p1, XM_065095510.1.p1
OG0004597	NM_117581.5.p1, NM_001331545.1.p1, NM_001331544.1.p1, NM_100415.5.p1	XM_065144165.1.p1, XM_065144179.1.p1, XM_065144450.1.p1
OG0004598	NM_202342.3.p1, NM_148618.5.p1, NM_001334027.1.p1, NM_001332011.1.p1, NM_101066.5.p1	XM_065083760.1.p1, XR_010501394.1.p1, XM_065083759.1.p1, XM_065083758.1.p1, XM_009396216.3.p1
OG0004600	NM_102040.3.p1, NM_001332532.1.p1, NM_106415.3.p1	XM_009415776.3.p1, XM_065143533.1.p1, XM_009411820.3.p1
OG0004601	NM_103750.4.p1, NM_001333342.1.p1, NM_112673.3.p1, NM_001338314.1.p1	XM_009382743.3.p1
OG0004602	NM_104549.2.p1, NM_001333796.1.p1	XM_009400413.3.p1, XM_009409723.3.p1
OG0004604	NM_104650.4.p1, NM_001333856.1.p1, NM_001333855.1.p1, NM_105064.4.p1	XM_009411774.3.p1
OG0004605	NM_105378.4.p1, NM_001334271.1.p1	XM_009382675.3.p1, XM_065131242.1.p1, XM_009410917.3.p1, XM_065116975.1.p1, XR_010515050.1.p1, XR_010515048.1.p1, XR_010515049.1.p1
OG0004606	NM_001334619.1.p1, NM_001334617.1.p1, NM_001334618.1.p1, NM_106056.5.p1	XM_065094152.1.p1, XM_065094142.1.p1, XR_010486267.1.p1, XR_010493216.1.p1
OG0004607	NM_001334710.1.p1	XM_065175362.1.p1, XM_009413778.3.p1, XM_009413857.3.p1, XM_018830863.2.p1, XM_065175334.1.p1, XM_065175342.1.p1, XM_065147742.1.p1, XM_065104748.1.p1
OG0004608	NM_001334791.1.p1, NM_106419.2.p1, NM_001334790.1.p1	XM_009421117.3.p1, XM_065084379.1.p1, XM_065081026.1.p1, XM_009416318.3.p1
OG0004609	NM_101500.4.p1, NM_001334884.1.p1, NM_001334883.1.p1, NM_106598.4.p1	XM_009416754.2.p1, XM_065122714.1.p1, XM_065122713.1.p1
OG0004610	NM_106642.5.p1, NM_001334936.1.p1	XM_065159959.1.p1, XM_009410663.3.p1, XM_065191487.1.p1, XM_065096584.1.p1, XR_010484699.1.p1, XM_009391656.3.p1, XM_009401502.3.p1
OG0004611	NM_127218.4.p1, NM_001335485.1.p1, NM_119661.3.p1	XM_065092748.1.p1, XM_065092747.1.p1, XM_009414692.3.p1
OG0004612	NM_120143.4.p1, NM_127790.4.p1, NM_001335785.1.p1, NM_121055.4.p1	XM_065079402.1.p1, XM_065109051.1.p1, XM_009410968.3.p1
OG0004613	NM_001335921.1.p1, NM_127976.5.p1, NM_202914.1.p1, NM_119232.3.p1	XM_065093362.1.p1, XR_010481734.1.p1, XM_065137354.1.p1, XM_009386665.3.p1
OG0004614	NM_001336073.1.p1, NM_001336074.1.p1, NM_128211.4.p1	XM_065095766.1.p1, XM_009391275.3.p1, XM_065140462.1.p1
OG0004616	NM_128948.4.p1, NM_001336476.1.p1, NM_123966.3.p1	XM_018830217.2.p1, XM_065161716.1.p1, XM_065084857.1.p1
OG0004617	NM_106011.4.p1	XM_009402727.3.p1
OG0004617	NM_001336662.1.p1	XM_065187393.1.p1
OG0004617	NM_124838.5.p1	XM_065090512.1.p1
OG0004618	NM_129388.3.p1, NM_001336695.1.p1	XM_065145745.1.p1, XM_065102174.1.p1
OG0004620	NM_111011.4.p1, NM_001337339.1.p1, NM_121483.3.p1	XM_018829314.2.p1, XM_009383066.3.p1, XM_009383067.3.p1, XM_009383065.3.p1, XM_018818843.2.p1
OG0004621	NM_001337596.1.p1	XM_009384236.3.p1, XM_065089254.1.p1, XM_009421530.3.p1
OG0004622	NM_001337683.1.p1	XM_065162506.1.p1
OG0004623	NM_111597.3.p1, NM_001337695.1.p1, NM_124245.5.p1	XM_065090180.1.p1, XM_009385565.2.p1, XM_009395482.3.p1, XM_009415294.3.p1
OG0004624	NM_001338490.1.p1, NM_112956.6.p1	XM_065127250.1.p1, XM_065127252.1.p1, XM_009414394.3.p1, XM_065194492.1.p1, XM_065127255.1.p1
OG0004625	NM_113343.3.p1, NM_001338679.1.p1, NM_117410.7.p1	XM_065111201.1.p1
OG0004626	NM_113623.4.p1, NM_001338853.1.p1, NM_001338852.1.p1	XM_065086399.1.p1, XM_009387700.3.p1
OG0004627	NM_105182.5.p1, NM_001339132.1.p1	XM_009417684.2.p1
OG0004628	NM_148852.2.p1, NM_001339359.1.p1	XM_065129113.1.p1, XM_009405963.3.p1
OG0004629	NM_001339439.1.p1, NM_114835.5.p1, NM_125980.2.p1	XR_010514425.1.p1, XM_065188340.1.p1, XM_065113735.1.p1, XM_065153710.1.p1, XM_009391174.3.p1, XM_065137631.1.p1, XM_065137577.1.p1, XM_065136870.1.p1, XM_009394724.3.p1, XM_065194062.1.p1, XM_009396017.3.p1
OG0004630	NM_001339628.1.p1, NM_115232.3.p1	XM_009401599.3.p1, XM_065114757.1.p1, XM_065189299.1.p1
OG0004631	NM_116479.4.p1, NM_001340379.1.p1, NM_001340378.1.p1, NM_001340380.1.p1	XM_018826950.2.p1, XR_010497135.1.p1, XM_065187881.1.p1, XM_065154128.1.p1, XM_065154129.1.p1, XM_065187878.1.p1
OG0004632	NM_001340561.1.p1, NM_178994.5.p1	XM_009418643.3.p1
OG0004633	NM_117251.3.p1, NM_001340735.1.p1	XM_065158493.1.p1, XM_065169304.1.p1, XM_065169303.1.p1
OG0004634	NM_001341662.1.p1, NM_179102.5.p1	XM_065122734.1.p1
OG0004635	NM_119672.4.p1, NM_120019.3.p2, NM_001342507.1.p2	XM_009399698.3.p2, XM_065102219.1.p1
OG0004636	NM_001342555.1.p1, NM_001342557.1.p1, NM_001342556.1.p1, NM_120146.4.p1	XM_009401266.3.p1
OG0004637	NM_115573.4.p1, NM_120486.7.p1, NM_001342744.1.p1	XM_009394023.3.p1
OG0004638	NM_121139.1.p1, NM_001343145.1.p1, NM_180474.2.p1, NM_001343144.1.p1	XM_065143468.1.p1, XM_065143469.1.p1, XM_065147074.1.p1, XM_065143471.1.p1, XM_065143475.1.p1, XM_065147093.1.p1, XM_065143472.1.p1, XM_009395825.3.p1, XM_065101685.1.p1, XM_009395823.3.p1, XM_065101684.1.p1, XR_010495092.1.p1, XM_065101686.1.p1, XM_065116688.1.p1, XM_009410649.3.p1
OG0004639	NM_001343327.1.p1, NM_121427.8.p1	XM_065139843.1.p1, XM_065097125.1.p1, XM_065097120.1.p1, XM_009391828.3.p1, XM_009415161.3.p1, XM_065079589.1.p1, XM_065089735.1.p1
OG0004640	NM_147880.3.p1, NM_001343713.1.p1	XM_009381747.3.p1, XM_065087243.1.p1, XM_065087244.1.p1
OG0004641	NM_180570.2.p1, NM_001344087.1.p1	XM_065092740.1.p1, XM_065135111.1.p1, XM_009388160.3.p1
OG0004642	NM_001344345.1.p1, NM_123424.2.p1, NM_113657.4.p1	XM_009407494.3.p1, XM_065154231.1.p1, XM_065113386.1.p1, XM_065113387.1.p1, XM_065154229.1.p1, XM_009407493.3.p1
OG0004643	NM_113616.3.p1, NM_001344377.1.p1, NM_001344378.1.p1	XM_065124009.1.p1, XM_009417605.3.p1, XM_065113287.1.p1, XM_065156119.1.p1
OG0004644	NM_128625.4.p1, NM_001344768.1.p1, NM_124212.4.p1	XM_009421862.3.p1
OG0004645	NM_001344862.1.p1, NM_001344863.1.p1	XM_065188824.1.p1, XM_065188828.1.p1, XM_065114267.1.p1, XM_065082306.1.p1, XM_065168308.1.p1
OG0004647	NM_001345470.1.p1, NM_125526.5.p1	XM_065126213.1.p1
OG0004648	NM_001345478.1.p1, NM_125546.3.p1, NM_001345479.1.p1, NM_203244.2.p1	XM_065106414.1.p1, XM_065144964.1.p1, XM_065144965.1.p1
OG0004650	NM_100053.4.p1	XM_065120646.1.p1, XM_065078773.1.p1, XM_065078772.1.p1, XR_010498840.1.p1, XM_065164264.1.p1
OG0004651	NM_100129.4.p1	XR_010496360.1.p1, XM_065150502.1.p1
OG0004652	NM_116598.3.p1, NM_100252.3.p1, NM_118974.2.p1, NM_118973.4.p1	XM_065157460.1.p1, XR_010487683.1.p1, XM_065112390.1.p1, XM_065187064.1.p1
OG0004653	NM_100369.5.p1	XM_065165456.1.p1, XM_065081702.1.p1, XM_065081703.1.p1
OG0004654	NM_100418.3.p1	XM_065140891.1.p1, XM_065140887.1.p1, XM_065101504.1.p1, XM_065140886.1.p1
OG0004655	NM_100422.3.p1	XM_065143411.1.p1, XM_065143413.1.p1, XM_065143412.1.p1, XM_065143410.1.p1, XM_009394760.3.p1
OG0004656	NM_100582.4.p1	XM_009404121.3.p1, XM_065184957.1.p1, XM_065125946.1.p1, XM_065125947.1.p1
OG0004657	NM_100694.5.p1, NM_128345.4.p1	XM_009422844.3.p1, XM_065112919.1.p1, XM_009395560.3.p1
OG0004658	NM_100701.3.p1	XM_065120197.1.p1, XM_065078664.1.p1, XM_065123119.1.p1, XM_009416293.3.p1, XM_009406097.3.p1, XM_009383407.3.p1
OG0004659	NM_100977.2.p1	XM_065115961.1.p1
OG0004660	NM_101582.3.p1	XR_010480145.1.p1
OG0004661	NM_101780.4.p1, NM_180716.3.p1	XM_065083301.1.p1, XM_009393447.3.p1
OG0004662	NM_106305.3.p1, NM_101948.3.p1	XM_065160242.1.p1, XM_065123542.1.p1, XM_009416662.3.p1, XM_009393594.3.p1
OG0004663	NM_106393.5.p1, NM_102021.3.p1	XM_065169452.1.p1, XM_009396669.3.p1
OG0004664	NM_102282.4.p1	XM_065168511.1.p1, XM_009394332.3.p1
OG0004665	NM_179899.1.p1, NM_102716.4.p1	XM_065083950.1.p1, XM_065083951.1.p1, XR_010479784.1.p1, XR_010479785.1.p1, XM_065168438.1.p1
OG0004666	NM_129025.4.p1, NM_102785.5.p1	XM_065106928.1.p1, XM_065106927.1.p1, XM_065107780.1.p1, XM_009390689.3.p1, XM_009399442.3.p1, XM_065115741.1.p1, XM_065194645.1.p1
OG0004667	NM_103725.3.p1	XM_065078178.1.p1, XM_065078180.1.p1, XM_065078179.1.p1, XM_065164918.1.p1, XM_065164917.1.p1, XM_065164916.1.p1, XM_065152100.1.p1, XM_065152099.1.p1, XM_065152098.1.p1
OG0004668	NM_104397.5.p1, NM_104396.3.p1, NM_121993.4.p1	XM_065117885.1.p1, XM_009411790.3.p1, XM_009383121.3.p1, XM_065107504.1.p1, XM_065150501.1.p1, XM_009393172.3.p1
OG0004669	NM_121613.3.p1, NM_105534.4.p1	XM_065170136.1.p1, XM_009422835.3.p1, XM_065187562.1.p1, XM_065156015.1.p1
OG0004670	NM_106169.4.p1	XM_009406841.3.p1, XR_010514096.1.p1
OG0004671	NM_106715.5.p1	XM_065114408.1.p1, XM_065114407.1.p1
OG0004672	NM_111279.5.p1, NM_121833.7.p1	XM_018826312.2.p1, XM_009401645.3.p1, XM_009418061.3.p1, XM_065189200.1.p1
OG0004673	NM_111470.2.p1, NM_122526.2.p1	XM_065173078.1.p1, XM_065173037.1.p1, XM_065173234.1.p1, XM_009384726.2.p1, XM_009418890.3.p1
OG0004674	NM_120345.3.p1, NM_111532.3.p1	XM_065165151.1.p1
OG0004675	NM_111573.5.p1, NM_124279.5.p1	XM_065090691.1.p1, XM_065090224.1.p1
OG0004676	NM_111614.2.p1, NM_113430.2.p1	XM_009383038.3.p1, XM_009412336.3.p1, XM_065089625.1.p1, XM_065115231.1.p1, XM_065158523.1.p1, XM_065190147.1.p1, XM_065110582.1.p1
OG0004677	NM_111903.3.p1	XM_009417479.3.p1, XM_065169574.1.p1
OG0004678	NM_180255.3.p1, NM_112351.4.p1	XM_065188092.1.p1, XR_010496989.1.p1, XM_065188091.1.p1, XR_010496988.1.p1, XR_010487928.1.p1, XM_065113464.1.p1, XM_065188093.1.p1
OG0004679	NM_113564.4.p1	XM_009382760.3.p1
OG0004680	NM_113613.5.p1	XM_065086052.1.p1, XM_065172709.1.p1, XM_065134325.1.p1, XM_009415323.3.p1, XM_065145777.1.p1, XM_065145779.1.p1, XM_065145778.1.p1, XM_065170460.1.p1, XM_065104281.1.p1
OG0004681	NM_148063.3.p1, NM_113806.3.p1	XM_065144530.1.p1, XM_065113187.1.p1, XM_018822830.2.p1, XM_065113171.1.p1
OG0004682	NM_113981.6.p1, NM_123232.3.p1	XM_065132313.1.p1, XM_065088714.1.p1, XM_065184104.1.p1
