Orthogroup	Arabidopsis_thaliana_rna_prot	Malus_domestica_rna_prot
OG0005051	NM_125237.4.p1, NM_001345304.1.p1	XM_008386529.3.p1
OG0005052	NM_180449.1.p1, NM_120725.3.p1, NM_100017.3.p1	XM_029105742.1.p1, XM_008372007.3.p1, XM_008364420.3.p1, XM_029099317.1.p1
OG0005053	NM_100359.3.p1, NM_128832.5.p1	XM_008340928.3.p1, XM_008382352.3.p1
OG0005054	NM_128726.1.p1, NM_100460.1.p1	XM_008382474.3.p1
OG0005055	NM_128576.3.p1, NM_100571.3.p1	XM_008356372.3.p1
OG0005056	NM_100595.6.p1	XM_008386573.3.p1, XM_029099639.1.p1, XM_029099641.1.p1, XM_029099640.1.p1
OG0005057	NM_111528.2.p1	XM_008342355.3.p1
OG0005057	NM_100802.5.p1	XR_003775111.1.p1, XM_008378650.3.p1, XM_008378651.3.p1, XM_008383536.3.p1
OG0005058	NM_100808.3.p1	XM_008372372.2.p1, XM_008352365.2.p1
OG0005059	NM_100853.4.p1	XM_008349695.3.p1, XM_008341170.3.p1
OG0005060	NM_100931.3.p1, NM_104709.3.p1	XM_008391407.3.p1, XM_008341800.3.p1
OG0005061	NM_101005.4.p1	XM_008358899.3.p1
OG0005062	NM_101138.4.p1	XM_008340681.3.p1, XM_017323238.2.p1, XM_029107179.1.p1
OG0005063	NM_101249.3.p1	XM_029092694.1.p1
OG0005064	NM_101348.4.p1	XM_029091248.1.p1, XM_029091250.1.p1
OG0005065	NM_101678.3.p1, NM_106023.3.p1, NM_202411.1.p1	XM_008376614.3.p1, XM_008376615.3.p1, XM_008395195.3.p1
OG0005066	NM_101756.3.p1, NM_106141.3.p1	XM_008394908.3.p1, XM_008376277.3.p1
OG0005068	NM_106411.4.p1, NM_179366.1.p1, NM_102036.4.p1	XM_008390011.3.p1, XM_008357012.3.p1
OG0005069	NM_202165.1.p1, NM_202166.2.p1, NM_102185.4.p1	XM_008341856.3.p1
OG0005070	NM_105704.2.p1, NM_102226.3.p1, NM_102225.1.p1	XM_029109184.1.p1, XM_029109692.1.p1, XM_029103504.1.p1, XM_008384582.2.p1, XM_029109187.1.p1, XM_029109693.1.p1, XM_029103442.1.p1
OG0005071	NM_105524.3.p1, NM_102356.4.p1	XM_008341458.3.p1, XM_008391068.3.p1
OG0005072	NM_102494.4.p1	XM_008391657.3.p1, XM_029090872.1.p1, XR_003769746.1.p1, XM_029096232.1.p1
OG0005073	NM_102842.3.p1	XM_008385065.3.p1, XM_008357879.3.p1
OG0005074	NM_102870.3.p1	XM_008361572.2.p1, XM_008385120.3.p1
OG0005075	NM_102939.4.p1	XM_008358221.3.p1, XM_029099101.1.p1
OG0005076	NM_102952.4.p1	XM_008375377.3.p1
OG0005077	NM_103023.4.p1	XM_008394427.3.p1, XM_008375917.3.p1
OG0005079	NM_103761.6.p1	XM_029092656.1.p1, XM_017329393.2.p1, XM_008376575.3.p1
OG0005079	NM_126175.4.p1	XM_008341388.3.p1, XM_008391025.3.p1
OG0005080	NM_103975.4.p1, NM_112948.3.p1, NM_148376.2.p1, NM_118842.4.p1	XM_029088933.1.p1, XM_029100186.1.p1
OG0005081	NM_104024.3.p1	XM_008365112.3.p1
OG0005081	NM_113003.5.p1, NM_104028.5.p1	XM_029088799.1.p1, XM_008377619.3.p1
OG0005082	NM_104051.5.p1	XM_008362220.3.p1, XM_029097926.1.p1
OG0005083	NM_104224.2.p1	XM_029089456.1.p1, XM_029100279.1.p1
OG0005084	NM_104408.5.p1	XM_029099265.1.p1, XR_003771779.1.p1
OG0005085	NM_105147.4.p1	XM_008378597.3.p1
OG0005086	NM_105245.3.p1, NM_123059.3.p1	XM_008362436.3.p1, XM_029090566.1.p1
OG0005087	NM_105344.4.p1, NM_123171.4.p1	XM_008344786.3.p1, XM_029108565.1.p1
OG0005088	NM_105408.4.p1	XM_008391625.3.p1, XM_029095850.1.p1
OG0005089	NM_106390.3.p1	XM_008356187.3.p1
OG0005090	NM_111012.4.p1	XM_029097109.1.p1, XM_008381040.3.p1
OG0005091	NM_113682.4.p1, NM_123406.3.p1, NM_111023.3.p1	XM_017334269.2.p1
OG0005092	NM_121586.3.p1, NM_111099.5.p1	XM_008381227.3.p1, XM_008343583.3.p1
OG0005093	NM_111495.4.p1	XM_029089813.1.p1, XM_008392586.3.p1, XM_008342674.3.p1
OG0005094	NM_111505.4.p1, NM_121895.4.p1	XM_008362087.3.p1, XM_029095867.1.p1
OG0005095	NM_112103.3.p1	XM_008385001.3.p1, XM_017335223.2.p1
OG0005096	NM_112106.4.p1	XM_008350879.3.p1, XM_008357888.3.p1
OG0005097	NM_121805.3.p1, NM_121814.3.p1, NM_112577.3.p1, NM_121015.2.p1, NM_148098.2.p1, NM_201742.1.p1, NM_127178.3.p1, NM_129083.4.p1	XM_008363942.3.p1, XM_008363934.3.p1
OG0005098	NM_112710.2.p1	XM_008376562.3.p1, XM_008362681.3.p1
OG0005099	NM_112748.4.p1	XM_029090922.1.p1, XM_008342236.3.p1, XM_008342235.3.p1
OG0005100	NM_113374.4.p1	XM_017323340.2.p1, XM_008339147.3.p1, XM_029094394.1.p1
OG0005101	NM_114329.3.p1	XM_029099890.1.p1, XM_008387207.3.p1
OG0005102	NM_114518.4.p1	XM_008359226.3.p1, XM_008386908.3.p1
OG0005104	NM_115037.8.p1	XM_029089681.1.p1, XM_029101295.1.p1
OG0005105	NM_115528.3.p1	XM_017334624.2.p1, XM_008382731.3.p1
OG0005106	NM_115767.3.p1, NM_129863.3.p1	XM_008381936.3.p1, XM_008344099.3.p1
OG0005107	NM_115931.3.p1	XM_029093176.1.p1
OG0005108	NM_180116.2.p1, NM_116022.5.p1	XM_008346265.3.p1, XM_008377706.3.p1
OG0005109	NM_116502.4.p1	XM_029100333.1.p1, XM_017328894.2.p1
OG0005110	NM_116884.4.p1	NM_001293949.1.p1, NM_001311171.1.p1
OG0005111	NM_117176.3.p1	XM_008372179.3.p1, XM_008390282.3.p1
OG0005112	NM_118404.5.p1, NM_117281.3.p1, NM_118403.2.p1	XM_008371284.3.p1
OG0005113	NM_117677.7.p1	XM_008373550.3.p1
OG0005114	NM_117747.7.p1	XR_003766385.1.p1, XM_008351102.3.p1, XM_008376456.3.p1, XR_003773837.1.p1
OG0005115	NM_117857.3.p1	XM_029104526.1.p1, XM_008369617.3.p1
OG0005116	NM_117889.4.p1	XM_017333049.2.p1, XM_008342944.2.p1
OG0005117	NM_118037.7.p1	XM_008378834.3.p1
OG0005118	NM_180805.4.p1, NM_123902.3.p1, NM_118043.2.p1	XM_008383813.3.p1, XM_008348235.3.p1
OG0005119	NM_118515.4.p1	XM_008343301.3.p1
OG0005120	NM_118602.4.p1	XM_029103946.1.p1, XR_003768326.1.p1, XM_029103947.1.p1
OG0005121	NM_118615.3.p1	XM_029103856.1.p1, XM_029092606.1.p1
OG0005122	NM_119035.3.p1, NM_179136.3.p1	XM_029110229.1.p1, XM_008376654.3.p1
OG0005123	NM_119463.5.p1	XM_008353724.3.p1, XM_029106775.1.p1, XM_029106776.1.p1, XM_008394085.3.p1
OG0005125	NM_119790.3.p1	XM_008374531.3.p1, XM_008339691.3.p1
OG0005126	NM_119807.2.p1	XM_008339824.3.p1, XM_008339823.3.p1
OG0005127	NM_202988.4.p1, NM_120125.2.p1	XM_029090352.1.p1, XM_008388808.3.p1
OG0005128	NM_120422.4.p1	XM_008371326.3.p1, XM_008371328.3.p1, XM_008389316.3.p1, XM_008389317.3.p1
OG0005129	NM_120472.3.p1	XR_003774436.1.p1, XM_008366278.3.p1, XR_003769928.1.p1, XR_003769929.1.p1, XM_017333163.2.p1
OG0005130	NM_120583.6.p1	XM_008344972.3.p1, XM_008383234.3.p1
OG0005131	NM_121248.5.p1	XM_029092474.1.p1, XM_017336466.2.p1, XM_017336467.2.p1
OG0005133	NM_121979.4.p1	XM_008345779.3.p1, XM_017324552.2.p1, XM_029087774.1.p1
OG0005134	NM_122138.3.p1	XM_008391496.3.p1, XM_008380588.3.p1
OG0005135	NM_122237.4.p1	XM_008363689.3.p1, XM_008390856.2.p1
OG0005136	NM_123012.6.p1	XM_008379977.3.p1, XM_008395619.3.p1
OG0005137	NM_123804.4.p1	XM_008358569.3.p1, XM_029095372.1.p1
OG0005138	NM_123897.4.p1	XM_029095958.1.p1, XM_029095954.1.p1, XM_029095957.1.p1, XM_008375220.3.p1
OG0005139	NM_124010.3.p1	XM_008385300.3.p1
OG0005140	NM_203177.2.p1, NM_124219.5.p1	XM_029102412.1.p1
OG0005141	NM_124420.3.p1	XM_008394555.3.p1, XM_008376024.3.p1
OG0005142	NM_124600.3.p1	XM_029103763.1.p1, XM_008379222.3.p1, XM_008378334.3.p1
OG0005143	NM_124668.3.p1	XM_008382116.3.p1, XM_008378443.3.p1
OG0005144	NM_124819.3.p1	XM_008368398.3.p1, XR_003766956.1.p1
OG0005145	NM_125462.4.p1	XM_008346650.3.p1, NM_001328854.1.p1
OG0005146	NM_125824.4.p1, NM_125825.3.p1	XM_029101966.1.p1, XM_029101965.1.p1, XM_029101964.1.p1, XM_029101963.1.p1, XM_008383822.3.p1
OG0005147	NM_125846.3.p1	XM_008390699.3.p1, XM_008384019.3.p1, XM_008393748.3.p1
OG0005148	NM_125981.4.p1	XM_008343896.3.p1
OG0005149	NM_128084.3.p1	XM_008395928.3.p1
OG0005149	NM_126891.4.p1	XM_008369546.3.p1, XM_008386612.3.p1
OG0005150	NM_127199.4.p1, NM_201744.1.p1	XM_029090791.1.p1, XM_008374530.3.p1
OG0005151	NM_128398.4.p1	XM_029099812.1.p1, XM_008387098.3.p1
OG0005152	NM_128683.4.p1	XM_008384603.3.p1, XM_029102422.1.p1, XM_029109219.1.p1, XM_029102616.1.p1
OG0005153	NM_128855.4.p1	XM_029104480.1.p1, XM_029104484.1.p1, XM_029095501.1.p1, XM_029095515.1.p1
OG0005154	NM_129469.2.p1	XM_008367349.3.p1
OG0005155	NM_130089.4.p1	XM_008374497.3.p1, XM_008344998.3.p1
OG0005156	NM_130130.4.p1	XM_029092878.1.p1, XM_008358694.3.p1
OG0005157	NM_148232.3.p1	XM_008365069.2.p1, XM_029103298.1.p1, XM_008385810.3.p1
OG0005158	NM_179157.3.p1	XM_008374995.3.p1, XM_029109509.1.p1
OG0005159	NM_179360.1.p1	XM_008389934.3.p1, XM_008378965.3.p1
OG0005160	NM_179706.2.p1	XR_523897.3.p1, XM_008340195.3.p1, XR_524241.3.p1, XM_008342679.3.p1, XR_524243.3.p1
OG0005161	NM_179963.3.p1	XM_008364102.3.p1, XM_008368560.3.p1
OG0005162	NM_180780.2.p1	XM_008343057.3.p1, XM_008380872.3.p1
OG0005163	NM_202670.3.p1, NM_202671.3.p1	XM_008387056.3.p1, XM_008376305.3.p1
OG0005179	NM_148568.1.p1, NM_112649.3.p1, NM_001338304.1.p1, NM_001035641.2.p1	XM_008376833.3.p1, XM_029092538.1.p1, XM_008395278.3.p1
OG0005180	NM_001339821.1.p1, NM_001339820.1.p1, NM_001084835.2.p1, NM_001035798.2.p1, NM_001339819.1.p1	XM_008374494.3.p1
OG0005181	NM_001036091.3.p1, NM_001333465.1.p1	XM_008382057.3.p1, XM_029104110.1.p1, XM_008382064.3.p1, XM_008349020.3.p1
OG0005182	NM_001036635.1.p1, NM_124543.3.p1	XM_008378163.3.p1, XM_008378243.3.p1
OG0005183	NM_001036674.2.p1, NM_001125607.1.p1, NM_119127.4.p1, NM_118740.3.p1, NM_202890.2.p1, NM_179115.2.p1	XM_029088781.1.p1, XM_008339518.3.p1
OG0005184	NM_001343590.1.p1, NM_001036823.1.p1, NM_121919.3.p1	XM_029091939.1.p1
OG0005185	NM_122580.4.p1, NM_001343989.1.p1, NM_001036873.2.p1, NM_111445.5.p1	XM_029101424.1.p1, XM_008390276.3.p1
OG0005186	NM_123454.3.p1, NM_001036913.2.p1, NM_113631.4.p1	XM_008380902.3.p1, XM_029097327.1.p1
OG0005187	NM_124986.3.p1, NM_001037003.2.p1, NM_118787.6.p1	XM_029087987.1.p1, XM_008356810.3.p1
OG0005188	NM_125207.5.p1, NM_001037017.3.p1, NM_001037016.2.p1	XM_008351227.3.p1
OG0005189	NM_001084007.2.p1	XM_017335400.2.p1, XM_008386894.3.p1
OG0005190	NM_001332631.1.p1, NM_001084123.1.p1, NM_102250.5.p1	XM_008391383.3.p1, XM_008341777.3.p1
OG0005192	NM_001084364.2.p1, NR_139663.1.p1, NM_001332465.1.p1, NM_101930.4.p1, NM_001332466.1.p1	XM_008375177.3.p1, XM_029098303.1.p1
OG0005193	NM_001085035.2.p1, NM_126108.2.p1, NM_114891.2.p1	XM_008341971.3.p1, XM_008354285.3.p1
OG0005194	NM_116308.4.p1, NM_001331250.1.p1, NM_001123732.2.p1	XM_029105764.1.p1, XM_008352247.2.p1
OG0005195	NM_116962.4.p1, NM_103198.3.p1, NM_001123940.1.p1	XM_008345100.3.p1, XM_008385708.3.p1
OG0005196	NM_101889.2.p1, NM_001124134.2.p1	XM_008378879.3.p1, XM_008352260.3.p1
OG0005197	NM_001332258.1.p1, NM_001124147.1.p1, NM_106541.4.p1	XM_029097070.1.p1, XM_008382188.3.p1
OG0005198	NM_001124856.2.p1, NM_001124857.2.p1, NM_001335470.1.p1, NM_001335471.1.p1, NM_119620.2.p1, NM_001342288.1.p1	XM_008379060.3.p1, XM_029102027.1.p1
OG0005199	NM_104237.4.p1, NM_001125154.5.p1, NM_112319.4.p1	XM_008370355.3.p1, XM_008388176.3.p1, XR_003772293.1.p1, XM_008388173.3.p1
OG0005200	NM_001340628.1.p1, NM_001340629.1.p1, NM_001125488.2.p1	XM_029106753.1.p1, XM_008379456.3.p1
OG0005201	NM_001161275.1.p1, NM_001125838.2.p1, NM_001125839.2.p1, NM_001344098.1.p1	XM_008349875.3.p1, XM_008362880.3.p1
OG0005202	NM_117589.6.p1, NM_001160762.2.p1, NM_001338573.1.p1	XM_029108121.1.p1, XM_008344076.3.p1
OG0005203	NM_001160938.1.p1, NM_148569.5.p1, NM_112698.4.p1, NM_202603.1.p1	XM_008395181.3.p1, XM_008366427.3.p1
OG0005204	NM_001160985.2.p1	XM_029099973.1.p1, XM_008363744.3.p1, XM_008387490.3.p1
OG0005205	NM_124727.3.p1	XM_008382905.3.p1, XM_008378543.3.p1
OG0005205	NM_001161125.2.p1	XM_008363065.3.p1, XR_003768330.1.p1
OG0005206	NM_001161268.2.p1, NM_180546.3.p1, NM_001343977.1.p1, NM_001343976.1.p1, NM_001343978.1.p1	XM_008365727.3.p1, XM_008365728.3.p1, XM_008365729.3.p1
OG0005207	NM_001198096.1.p1	XM_008395276.3.p1
OG0005208	NM_104460.3.p1, NM_001333738.1.p1, NM_001198315.2.p1	XM_029099443.1.p1, XM_008351274.3.p1
OG0005209	NM_179846.4.p1, NM_001202723.1.p1, NM_001336357.1.p1	XM_008352017.3.p1
OG0005210	NM_120449.3.p1, NM_111835.3.p1, NM_001202924.1.p1	XM_008388719.3.p1, XM_008393533.3.p1, XM_008377362.3.p1, XM_008347309.3.p1
OG0005211	NM_115017.6.p1, NM_001203126.1.p1	XM_029101680.1.p1, XM_008361599.3.p1
OG0005212	NM_001203164.2.p1	XM_008393305.3.p1, XM_029090386.1.p1
OG0005213	NM_001342984.1.p1, NM_001203330.2.p1	XM_029104055.1.p1, XM_017333002.2.p1, XM_029092741.1.p1
OG0005214	NM_114748.3.p1, NM_001203592.2.p1, NM_124603.4.p1	XM_008378336.3.p1, XM_008379217.3.p1
OG0005215	NM_148336.4.p1, NM_001203809.1.p1, NM_117667.9.p1	XM_008377113.3.p1, XM_029109430.1.p1, XM_029109428.1.p1
OG0005216	NM_118006.2.p1, NM_001203836.1.p1, NM_118007.5.p1	XM_029090671.1.p1, XM_008394179.3.p1
OG0005217	NM_001203974.1.p1	XM_008395600.3.p1, XM_029106884.1.p1
OG0005218	NM_001335846.1.p1, NM_179709.3.p1	XM_029092038.1.p1
OG0005219	NM_202052.2.p1, NM_001331721.1.p1, NM_001331722.1.p1, NM_100643.4.p1	XM_008377767.3.p1, XM_008353775.3.p1
OG0005220	NM_001331941.1.p1, NM_100966.3.p1	XM_017323336.2.p1
OG0005221	NM_001332407.1.p1, NM_001332408.1.p1	XM_029110005.1.p1, XM_029110004.1.p1, XM_008384775.3.p1, XM_029102708.1.p1, XM_029110008.1.p1
OG0005222	NM_129344.3.p1	XM_008352278.3.p1, XM_029101216.1.p1
OG0005223	NM_001332530.1.p1, NM_102032.4.p1	XM_008383440.3.p1
OG0005224	NM_001332600.1.p1	XM_008391456.3.p1, XM_008342130.3.p1
OG0005225	NM_001332942.1.p1, NM_102845.5.p1, NM_129054.4.p1	XM_008360346.3.p1, XM_008347822.3.p1
OG0005226	NM_102866.3.p1, NM_001332952.1.p1	XM_008385110.3.p1, XM_008373619.3.p1, XM_008385111.3.p1
OG0005227	NM_112875.4.p1, NM_103912.3.p1, NM_001333429.1.p1	XM_008390878.3.p1
OG0005228	NM_001333658.1.p1, NM_001333659.1.p1	XM_017330217.2.p1, XM_008365818.3.p1
OG0005229	NM_001333999.1.p1	XM_008390136.3.p1
OG0005230	NM_001344260.1.p1, NM_001344259.1.p1, NM_123221.4.p1, NM_105390.2.p1, NM_001334283.1.p1	XM_029097049.1.p1, XM_017334547.2.p1
OG0005231	NM_001335097.1.p1, NM_001335096.1.p1	XM_029091287.1.p1
OG0005232	NM_001335180.1.p1, NM_001335182.1.p1, NM_001335179.1.p1, NM_001335181.1.p1, NM_126390.4.p1	XM_029095439.1.p1, XM_008341616.3.p1
OG0005233	NM_001335615.1.p1, NM_179653.4.p1	NM_001294003.1.p1, XM_017336620.2.p1, XM_008393419.3.p1
OG0005234	NM_125103.4.p1, NM_001335628.1.p1, NM_119141.5.p1, NM_001341986.1.p1	XM_029091080.1.p1, XM_029096018.1.p1, XM_008356232.3.p1
OG0005235	NM_127499.2.p1, NM_001335634.1.p1, NM_148143.4.p1	XM_008364757.3.p1
OG0005236	NM_001336001.1.p1, NM_128110.3.p1	XM_029107076.1.p1
OG0005237	NM_129684.3.p1, NM_001336900.1.p1	XM_029092898.1.p1
OG0005238	NM_130270.4.p1, NM_001337241.1.p1	XM_008363162.3.p1, XM_008363156.3.p1
OG0005239	NM_121925.4.p1, NM_001337630.1.p1	XM_008392621.3.p1
OG0005240	NM_001337718.1.p1	XM_029099024.1.p1
OG0005241	NM_001342833.1.p1, NM_120652.4.p1, NM_111959.3.p1, NM_001337921.1.p1, NM_001337919.1.p1, NM_001337920.1.p1	XM_008371020.3.p1, XM_008375651.3.p1, XM_008375664.3.p1
OG0005242	NM_001338144.1.p1, NM_001338145.1.p1, NM_001338146.1.p1, NM_001338143.1.p1	XR_003772277.1.p1, XM_029100270.1.p1, XM_029089077.1.p1
OG0005243	NM_001338508.1.p1, NM_148740.5.p1, NM_001338509.1.p1	XR_530473.3.p1, XR_530472.3.p1, XM_008382041.3.p1, XR_001786290.2.p1, XR_001786293.2.p1
OG0005244	NM_001341021.1.p1, NM_001338553.1.p1	XM_008381381.3.p1
OG0005245	NM_001338624.1.p1, NM_113236.4.p1	XM_017329220.2.p1
OG0005246	NM_001338675.1.p1, NM_113331.3.p1, NM_001338663.1.p1, NM_001338674.1.p1, NM_113296.5.p1	XM_017334579.2.p1, XM_017334578.2.p1, XM_008382281.3.p1
OG0005247	NM_001338868.1.p1	XM_008359492.3.p1, XM_008359495.3.p1, XM_017328414.2.p1, XM_029097194.1.p1, XM_017324185.2.p1
OG0005248	NM_001338953.1.p1, NM_001338952.1.p1	XM_017334686.2.p1
OG0005249	NM_001339101.1.p1, NM_001339100.1.p1	XM_008387487.3.p1, XM_029099972.1.p1, XM_029099970.1.p1
OG0005250	NM_001339342.1.p1, NM_001339344.1.p1, NM_001339343.1.p1, NM_114668.3.p1	XM_017333041.2.p1, XM_008369304.3.p1
OG0005251	NM_114944.6.p1, NM_001339485.1.p1, NM_126054.2.p1, NR_143375.1.p1, NR_143376.1.p1, NR_143377.1.p1	XM_008339967.3.p1, XM_029091532.1.p1
OG0005252	NM_001339535.1.p1, NM_001339536.1.p1, NM_115044.5.p1	XM_029089654.1.p1, XM_008371883.3.p1
OG0005253	NM_001339906.1.p1	XM_008391931.3.p1, XM_029087838.1.p1
OG0005254	NM_115955.6.p1, NM_001340062.1.p1	XM_029096503.1.p1, XM_008376995.3.p1, XM_029096511.1.p1
OG0005255	NM_001340154.1.p1, NM_116098.4.p1	XM_008383216.3.p1, XM_029108680.1.p1, XM_008344953.3.p1
OG0005256	NM_001340796.1.p1	XM_029097255.1.p1, XM_008355398.3.p1, XM_008381818.3.p1
OG0005257	NM_001340872.1.p1, NM_001340873.1.p1, NM_117441.4.p1	XM_008350210.3.p1
OG0005258	NM_113190.3.p1, NM_001340952.1.p1, NM_117548.4.p1	XM_008363797.3.p1, XM_029096125.1.p1, XM_008392830.3.p1
OG0005259	NM_203160.2.p1, NM_123930.5.p1, NM_001341317.1.p1, NM_148355.5.p1	XM_008385383.3.p1, XM_029104423.1.p1
OG0005260	NM_127896.3.p1	NM_001293903.1.p1, XM_029096783.1.p1, XM_008386226.3.p1
OG0005260	NM_118557.4.p1, NM_001341654.1.p1	XM_029094579.1.p1, XM_008395555.3.p1, XM_008366884.3.p1
OG0005261	NM_203188.3.p1, NM_203187.3.p1, NM_001341686.1.p1, NM_001341683.1.p1, NM_001341684.1.p1, NM_001341685.1.p1	XM_008340710.3.p1, XM_008380351.3.p1
OG0005262	NM_001341975.1.p1, NM_119118.3.p1, NM_127510.5.p1	XM_008339485.3.p1, XM_008389737.3.p1
OG0005263	NM_119847.4.p1, NM_001342419.1.p1	XM_008363151.3.p1, XM_029091410.1.p1
OG0005264	NM_120200.4.p1, NM_001342579.1.p1	XM_029101243.1.p1, XM_008389966.3.p1
OG0005265	NM_120219.2.p1, NM_001342589.1.p1	XM_008371874.3.p1, XM_008392473.3.p1
OG0005266	NM_001342994.1.p1	XM_017323383.2.p1
OG0005267	NM_001343453.1.p1, NM_121658.4.p1	XM_029101538.1.p1, XM_029090210.1.p1, XM_017336520.2.p1
OG0005268	NM_001343556.1.p1	XM_008392503.3.p1, XM_008342613.3.p1
OG0005269	NR_144128.1.p1, NM_121147.3.p1, NM_122437.4.p1, NM_001343916.1.p1, NM_180741.2.p1	XM_008395930.3.p1
OG0005270	NM_111341.3.p1, NM_001344080.1.p1	XM_008390459.2.p1, XM_008372490.2.p1
OG0005271	NM_180799.2.p1, NM_001344572.1.p1	XM_008385049.3.p1
OG0005273	NM_124508.4.p1, NM_001344933.1.p1	XM_029106066.1.p1, XM_029102907.1.p1
OG0005274	NM_001345305.1.p1	XR_003771952.1.p1, XR_003771954.1.p1, XM_029099621.1.p1, XM_008386538.3.p1
OG0005275	NM_001345377.1.p1, NM_125389.3.p1, NM_001345378.1.p1	XM_029099735.1.p1, XM_029099736.1.p1, XM_029099734.1.p1, XM_008386926.3.p1
OG0005276	NM_001345472.1.p1	XM_008395133.2.p1, XM_008376356.3.p1
OG0005277	NM_125989.4.p1, NM_001345727.1.p1, NM_114841.4.p1	XM_008347480.3.p1, XM_008395488.3.p1
OG0005278	NM_001345764.1.p1, NM_126045.6.p1	XM_008339845.3.p1, XM_029098060.1.p1
OG0005279	NM_100727.4.p1	XM_029090789.1.p1, XM_017322526.2.p1, XM_017322527.2.p1
OG0005280	NM_100799.3.p1	XM_008342304.3.p1
OG0005281	NM_100878.5.p1	XM_008353784.3.p1, XM_008362794.3.p1
OG0005282	NM_102182.3.p1, NM_202077.3.p1, NM_100950.5.p1	XM_008391486.3.p1
OG0005283	NM_101105.5.p1	XM_008347155.3.p1
OG0005284	NM_104976.5.p1, NM_101127.4.p1	XM_008383718.3.p1
OG0005285	NM_101144.5.p1	XM_029101725.1.p1, XM_029101022.1.p1
OG0005286	NM_101322.2.p1, NM_101321.4.p1	XM_008352757.3.p1
OG0005287	NM_101329.4.p1	XR_003774965.1.p1, XM_008373218.3.p1, XM_029109548.1.p1
OG0005288	NM_101342.4.p1	XM_008367591.3.p1, XM_008390922.3.p1
OG0005289	NM_101434.4.p1	XM_029108399.1.p1, XM_017324319.2.p1
OG0005290	NM_101449.5.p1, NM_179583.5.p1	XM_008341952.3.p1, XM_029108425.1.p1
OG0005291	NM_105966.2.p1, NM_101638.3.p1	XM_029108190.1.p1, XM_008344185.3.p1
OG0005292	NM_101652.3.p1, NM_202124.2.p1, NM_202125.3.p1, NM_105984.4.p1	XM_008365461.2.p1, XM_008368149.3.p1
OG0005293	NM_101672.4.p1	XM_008376608.2.p1
OG0005294	NM_101791.3.p1	XM_029101003.1.p1
OG0005295	NM_102031.4.p1	XM_008389999.3.p1, XM_008393673.3.p1
OG0005296	NM_102258.6.p1	XM_008391363.3.p1, XM_008354785.3.p1
OG0005297	NM_102550.4.p1	XM_029096442.1.p1, XM_017331020.2.p1, XM_008368825.3.p1
OG0005298	NM_102721.3.p1	XM_008385294.3.p1, XM_008373347.3.p1
OG0005299	NM_103097.4.p1	XM_029107293.1.p1, XM_029095182.1.p1
OG0005300	NM_103537.5.p1	XM_029094799.1.p1
OG0005301	NM_103660.6.p1	XM_008379158.3.p1, XM_008380273.3.p1
OG0005302	NM_104140.3.p1	XM_017332697.2.p1, XM_017332698.2.p1, XM_029108822.1.p1
OG0005303	NM_104202.3.p1, NM_112364.4.p1	XM_008369692.3.p1, XM_029089056.1.p1
OG0005304	NM_112358.4.p1, NM_104207.3.p1	XM_008383841.3.p1, XM_008388022.3.p1
OG0005305	NM_104523.4.p1	XM_008387067.3.p1, XM_029099795.1.p1, XM_008339515.3.p1, XM_017326968.2.p1
OG0005306	NM_104736.2.p1	XM_029093131.1.p1, XM_029093000.1.p1, XM_029092985.1.p1, XM_008393503.3.p1, XM_029092750.1.p1, XM_029095851.1.p1
OG0005307	NM_117315.3.p1, NM_118382.3.p1, NM_104931.3.p1	XM_008375678.3.p1, XM_008382931.3.p1
OG0005308	NM_105256.4.p1	XM_029108653.1.p1, XM_008344928.3.p1
OG0005309	NM_112239.4.p1	XM_008340500.2.p1, XM_008353125.2.p1
OG0005310	NM_106040.3.p1	XM_008369361.3.p1
OG0005311	NM_106045.4.p1	XM_008366424.3.p1, XM_008395089.3.p1
OG0005312	NM_106542.4.p1	XM_029097663.1.p1, XM_029108235.1.p1, XM_029097662.1.p1
OG0005313	NM_121421.4.p1, NM_111055.4.p1	XM_008376038.3.p1, XM_008343076.3.p1, XM_008359483.3.p1, XM_017324243.2.p1
OG0005314	NM_111204.4.p1	XM_008372621.3.p1
OG0005315	NM_122603.2.p1, NM_111373.3.p1	XM_008357581.3.p1, XM_008390397.3.p1
OG0005316	NM_111599.4.p1, NM_124243.3.p1	XM_008374272.3.p1
OG0005317	NM_111681.3.p1	XM_008351585.3.p1, XR_003774644.1.p1
OG0005318	NM_111699.6.p1	XM_008372064.3.p1, XM_029101346.1.p1, XM_008368597.3.p1
OG0005319	NM_111898.4.p1	XM_029088776.1.p1, XM_029088775.1.p1
OG0005320	NM_111924.3.p1	XM_029099559.1.p1, XM_029099557.1.p1, XM_008390150.3.p1, XM_008378104.3.p1
OG0005321	NM_112107.3.p1	XM_008384994.3.p1, XM_008347847.3.p1
OG0005322	NM_112108.2.p1	XM_017332229.2.p1, XM_008385031.3.p1, XM_008347850.3.p1
OG0005323	NM_112565.2.p1	XM_008385116.3.p1
OG0005324	NM_112704.3.p1	XM_029092876.1.p1
OG0005325	NM_112957.3.p1	XM_008368252.3.p1, XM_008367630.3.p1
OG0005326	NM_113113.4.p1, NM_117601.3.p1	XM_008361106.2.p1, XM_008344245.3.p1
OG0005327	NM_113392.3.p1	XM_008384414.3.p1
