Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Tribolium_castaneum_rna_prot
OG0001300	XM_001586937.1.p1	TC012546.p1
OG0001302	XM_001593610.1.p1	TC014142.p1
OG0001303	XM_001591817.1.p1	TC031466.p1
OG0001304	XM_001591192.1.p1	TC031185.p1, TC008818.p1
OG0001305	XM_001592167.1.p1	TC010882.p1, TC012877.p1
OG0001306	XM_001592155.1.p1	TC001701.p1, TC001561.p1, TC031655.p1
OG0001307	XM_001597316.1.p1	TC006450.p1
OG0001308	XM_001586167.1.p1	TC000688.p1
OG0001309	XM_001594213.1.p1	TC002585.p1
OG0001310	XM_001594188.1.p1	TC005853.p1
OG0001313	XM_001584723.1.p1	TC014693.p1
OG0001314	XM_001587845.1.p1	TC014478.p1
OG0001317	XM_001587842.1.p1	TC014024.p1, TC013055.p1
OG0001318	XM_001597396.1.p1	TC011889.p1
OG0001319	XM_001591640.1.p1	TC011697.p1, TC034613.p1
OG0001320	XM_001587379.1.p1	TC003653.p1
OG0001322	XM_001585388.1.p1	TC015634.p1
OG0001323	XM_001596853.1.p1	TC013546.p1, TC010949.p1, TC013058.p1
OG0001324	XM_001594829.1.p1	TC001032.p1, TC014023.p1
OG0001335	XM_001593152.1.p1	TC010850.p1
OG0001336	XM_001596324.1.p1	TC015063.p1
OG0001337	XM_001586758.1.p1	TC001970.p1
OG0001339	XM_001588334.1.p1	TC014210.p1
OG0001340	XM_001585646.1.p1	TC008963.p1, TC016274.p1, TC007143.p1
OG0001341	XM_001585322.1.p1	TC008383.p1
OG0001342	XM_001594850.1.p1	TC030763.p1
OG0001343	XM_001585832.1.p1	TC013531.p1, TC033165.p1
OG0001347	XM_001588165.1.p1	TC033341.p1, TC001613.p1
OG0001348	XM_001587711.1.p1	TC005764.p1
OG0001349	XM_001585733.1.p1	TC000962.p1, TC002424.p1, TC002136.p1
OG0001350	XM_001594034.1.p1	TC009901.p1
OG0001351	XM_001587708.1.p1	TC030996.p1
OG0001352	XM_001586665.1.p1	TC001256.p1, TC011256.p1
OG0001353	XM_001591623.1.p1	TC010646.p1
OG0001354	XM_001592719.1.p1	TC010877.p1
OG0001357	XM_001596863.1.p1	TC015540.p1
OG0001358	XM_001597450.1.p1	TC030563.p1
OG0001359	XM_001587161.1.p1	TC010853.p1
OG0001362	XM_001591944.1.p1	TC009392.p1, TC009391.p1
OG0001363	XM_001598194.1.p1	TC001365.p1
OG0001365	XM_001590890.1.p1	TC002852.p1
OG0001368	XM_001596704.1.p1	TC014625.p1, TC005736.p1
OG0001369	XM_001597173.1.p1	TC006652.p1
OG0001371	XM_001597570.1.p1	TC005250.p1, TC007848.p1, TC005249.p1
OG0001372	XM_001594988.1.p1	TC013593.p1
OG0001373	XM_001587954.1.p1	TC006792.p1
OG0001374	XM_001585514.1.p1, XM_001591826.1.p1	TC015268.p1, TC014676.p1, TC012316.p1
OG0001375	XM_001588248.1.p1	TC031239.p1, TC006370.p1
OG0001378	XM_001593740.1.p1	TC010881.p1
OG0001384	XM_001584676.1.p1, XM_001584677.1.p1	TC011468.p1
OG0001385	XM_001590507.1.p1	TC007563.p1
OG0001386	XM_001594603.1.p1	TC015191.p1
OG0001387	XM_001590581.1.p1	TC005770.p1
OG0001388	XM_001595837.1.p1	TC007177.p1, TC032389.p1
OG0001389	XM_001594385.1.p1	TC009819.p1
OG0001391	XM_001593760.1.p1	TC014466.p1, TC033928.p1
OG0001392	XM_001591018.1.p1	TC007921.p1, TC009926.p1
OG0001393	XM_001587430.1.p1	TC014465.p1, TC000505.p1, TC000963.p1
OG0001395	XM_001595940.1.p1	TC000044.p1
OG0001396	XM_001597306.1.p1	TC011127.p1
OG0001397	XM_001597458.1.p1	TC012563.p1
OG0001402	XM_001598084.1.p1	TC007229.p1
OG0001404	XM_001588050.1.p1	TC010571.p1
OG0001406	XM_001592275.1.p1	TC000737.p1
OG0001407	XM_001591124.1.p1	TC014236.p1, TC014342.p1
OG0001408	XM_001598811.1.p1	TC030573.p1
OG0001411	XM_001592806.1.p1	TC030712.p1
OG0001412	XM_001590469.1.p1	TC031473.p1
OG0001416	XM_001598452.1.p1	TC002107.p1
OG0001417	XM_001593177.1.p1	TC002392.p1
OG0001418	XM_001591514.1.p1	TC032021.p1
OG0001422	XM_001590100.1.p1	TC004829.p1
OG0001425	XM_001597305.1.p1	TC005506.p1, TC015931.p1
OG0001426	XM_001591173.1.p1	TC013000.p1
OG0001427	XM_001593870.1.p1	TC001039.p1, TC001512.p1, TC032184.p1
OG0001427	XM_001593871.1.p1	TC010657.p1
OG0001430	XM_001588184.1.p1	TC010779.p1
OG0001432	XM_001593969.1.p1, XM_001585343.1.p1	TC016342.p1
OG0001433	XM_001585693.1.p1, XM_001585692.1.p1	TC002360.p1
OG0001434	XM_001598003.1.p1	TC008588.p1, TC032973.p1, TC034340.p1, TC013171.p1
OG0001435	XM_001591027.1.p1	TC002688.p1, TC030784.p1
OG0001436	XM_001594967.1.p1	TC005458.p1
OG0001443	XM_001591497.1.p1	TC015114.p1
OG0001444	XM_001598154.1.p1	TC006236.p1
OG0001445	XM_001592332.1.p1	TC000054.p1, TC000055.p1, TC003873.p1
OG0001447	XM_001590454.1.p1	TC012042.p1
OG0001449	XM_001584927.1.p1	TC005597.p1
OG0001450	XM_001594323.1.p1	TC005179.p1
OG0001451	XM_001590785.1.p1	TC012554.p1, TC001057.p1, TC006119.p1
OG0001452	XM_001586975.1.p1	TC005099.p1
OG0001453	XM_001585709.1.p1	TC014636.p1
OG0001454	XM_001598339.1.p1	TC001920.p1
OG0001455	XM_001596308.1.p1	TC032012.p1
OG0001456	XM_001594827.1.p1	TC007397.p1
OG0001457	XM_001590966.1.p1	TC000304.p1
OG0001458	XM_001597544.1.p1	TC000103.p1
OG0001459	XM_001586602.1.p1	TC033183.p1, TC004983.p1
OG0001460	XM_001585269.1.p1	TC007574.p1
OG0001461	XM_001597434.1.p1	TC031426.p1, TC031427.p1, TC032418.p1
OG0001462	XM_001594600.1.p1	TC014173.p1
OG0001463	XM_001587116.1.p1	TC004949.p1, TC031967.p1
OG0001464	XM_001587145.1.p1	TC012279.p1
OG0001465	XM_001584616.1.p1	TC012572.p1
OG0001466	XM_001596624.1.p1, XM_001588938.1.p1	TC033316.p1
OG0001468	XM_001585179.1.p1	TC007686.p1
OG0001469	XM_001587568.1.p1	TC012373.p1
OG0001470	XM_001598483.1.p1	TC009201.p1
OG0001471	XM_001597927.1.p1	TC005758.p1
OG0001472	XM_001588144.1.p1	TC002864.p1
OG0001473	XM_001588083.1.p1	TC002396.p1, TC008565.p1
OG0001480	XM_001596614.1.p1	TC001720.p1
OG0001489	XM_001594695.1.p1	TC034176.p1
OG0001490	XM_001590455.1.p1	TC032939.p1
OG0001492	XM_001589157.1.p1	TC008878.p1
OG0001494	XM_001590871.1.p1	TC002887.p1
OG0001495	XM_001591501.1.p1	TC006719.p1
OG0001497	XM_001586720.1.p1	TC012861.p1
OG0001498	XM_001586789.1.p1	TC031189.p1
OG0001500	XM_001591000.1.p1, XM_001590999.1.p1	TC012073.p1
OG0001501	XM_001585424.1.p1	TC003800.p1
OG0001504	XM_001598066.1.p1	TC032798.p1
OG0001505	XM_001590355.1.p1	TC031162.p1
OG0001506	XM_001595083.1.p1	TC002407.p1
OG0001509	XM_001589211.1.p1	TC013396.p1
OG0001511	XM_001598741.1.p1	TC016380.p1
OG0001513	XM_001592873.1.p1	TC032347.p1, TC031357.p1
OG0001514	XM_001585948.1.p1	TC009066.p1
OG0001515	XM_001594183.1.p1	TC015649.p1
OG0001517	XM_001588211.1.p1	TC012455.p1
OG0001518	XM_001588256.1.p1	TC010830.p1, TC001281.p1
OG0001519	XM_001587131.1.p1	TC006550.p1
OG0001520	XM_001590166.1.p1	TC013516.p1
OG0001521	XM_001596692.1.p1	TC002426.p1
OG0001522	XM_001596697.1.p1	TC009122.p1
OG0001523	XM_001587383.1.p1	TC003212.p1
OG0001524	XM_001594990.1.p1	TC034818.p1, TC015698.p1
OG0001525	XM_001587317.1.p1	TC007919.p1
OG0001526	XM_001591706.1.p1	TC005832.p1
OG0001527	XM_001597417.1.p1	TC000993.p2
OG0001529	XM_001597439.1.p1	TC011023.p1, TC000823.p1
OG0001530	XM_001584603.1.p1	TC008741.p1
OG0001532	XM_001585492.1.p1	TC015213.p1
OG0001533	XM_001585528.1.p1	TC034845.p1
OG0001534	XM_001587067.1.p1	TC003757.p1, TC003487.p1
OG0001537	XM_001586965.1.p1	TC013947.p1
OG0001538	XM_001585028.1.p1	TC005664.p1, TC033342.p1, TC016069.p1, TC005665.p1
OG0001539	XM_001594194.1.p1, XM_001594193.1.p1	TC002652.p1, TC030607.p1
OG0001541	XM_001598499.1.p1	TC013782.p1
OG0001543	XM_001598769.1.p1	TC003878.p1, TC001523.p1
OG0001544	XM_001595965.1.p1, XM_001595966.1.p1	TC033413.p1
OG0001546	XM_001584892.1.p1	TC016196.p1
OG0001547	XM_001592560.1.p1	TC011645.p1
OG0001548	XM_001592711.1.p1	TC000164.p1
OG0001550	XM_001590263.1.p1	TC000569.p1, TC000568.p1
OG0001552	XM_001591114.1.p1	TC011911.p1
OG0001553	XM_001585770.1.p1	TC013519.p1
OG0001554	XM_001588826.1.p1	TC002601.p1
OG0001556	XM_001586500.1.p1	TC009347.p1
OG0001557	XM_001598314.1.p1	TC033620.p1
OG0001558	XM_001586489.1.p1	TC011913.p1, TC011912.p1
OG0001559	XM_001595680.1.p1	TC000379.p1
OG0001560	XM_001584921.1.p1	TC007375.p1
OG0001561	XM_001587460.1.p1	TC034044.p1, TC015513.p1, TC006133.p1, TC011604.p1, TC006551.p1
OG0001563	XM_001586244.1.p1	TC004437.p1
OG0001564	XM_001597736.1.p1	TC015663.p1
OG0001565	XM_001586785.1.p1	TC007422.p1
OG0001566	XM_001587857.1.p1	TC014506.p1, TC009205.p1
OG0001567	XM_001585586.1.p1	TC014612.p1
OG0001568	XM_001588032.1.p1	TC003401.p1
OG0001569	XM_001598533.1.p1	TC005769.p1
OG0001570	XM_001598009.1.p1	TC011182.p1
OG0001571	XM_001586005.1.p1	TC009264.p1
OG0001572	XM_001597978.1.p1	TC008016.p1
OG0001573	XM_001598381.1.p1	TC001384.p1
OG0001575	XM_001586034.1.p1	TC003192.p1
OG0001576	XM_001588787.1.p1	TC012736.p1, TC010659.p1
OG0001579	XM_001596911.1.p1	TC030666.p1
OG0001581	XM_001592716.1.p1	TC009597.p1
OG0001582	XM_001585619.1.p1	TC004235.p1
OG0001583	XM_001590383.1.p1	TC011844.p1, TC004405.p1
OG0001584	XM_001592184.1.p1	TC031284.p1
OG0001585	XM_001591668.1.p1	TC009721.p1
OG0001588	XM_001598638.1.p1	TC012188.p1, TC012187.p1, TC012276.p1, TC013048.p1, TC013047.p1, TC013046.p1, TC031159.p1, TC013045.p1
OG0001589	XM_001598421.1.p1	TC012582.p1, TC012583.p1
OG0001590	XM_001586317.1.p1	TC000537.p1
OG0001591	XM_001588337.1.p1	TC012179.p1
OG0001592	XM_001591465.1.p1	TC031111.p1
OG0001593	XM_001589357.1.p1	TC005316.p1
OG0001594	XM_001597642.1.p1	TC007971.p1
OG0001595	XM_001594480.1.p1	TC014962.p1
OG0001596	XM_001597635.1.p1	TC015701.p1
OG0001597	XM_001594887.1.p1	TC011075.p1, TC008530.p1
OG0001598	XM_001593169.1.p1	TC005421.p1
OG0001599	XM_001595351.1.p1	TC013940.p1
OG0001600	XM_001590984.1.p1	TC009257.p1
OG0001601	XM_001592341.1.p1	TC012039.p1
OG0001603	XM_001584607.1.p1	TC007060.p1, TC030661.p1
OG0001604	XM_001587107.1.p1	TC031237.p1
OG0001605	XM_001585121.1.p1	TC031253.p1
OG0001607	XM_001597097.1.p1	TC008784.p1
OG0001609	XM_001590202.1.p1	TC007868.p1, TC015686.p1, TC015972.p1, TC014792.p1
OG0001610	XM_001593541.1.p1	TC005604.p1, TC005605.p1, TC032931.p1
OG0001613	XM_001587935.1.p1, XM_001587936.1.p1	TC000759.p1
OG0001614	XM_001585306.1.p1	TC015441.p1, TC004245.p1
OG0001616	XM_001594984.1.p1	TC014136.p1
OG0001617	XM_001597285.1.p1	TC013087.p1
OG0001618	XM_001589352.1.p1	TC000508.p1
OG0001619	XM_001587176.1.p1	TC003068.p1
OG0001620	XM_001597684.1.p1	TC003811.p1
OG0001623	XM_001597189.1.p1	TC011798.p1
OG0001624	XM_001584840.1.p1	TC009780.p1, TC015505.p1
OG0001625	XM_001597024.1.p1, XM_001598302.1.p1	TC009044.p1
OG0001627	XM_001598735.1.p1	TC014135.p1, TC013573.p1
OG0001628	XM_001590916.1.p1	TC013594.p1
OG0001629	XM_001596143.1.p1	TC009150.p1
OG0001631	XM_001588224.1.p1	TC008834.p1
OG0001632	XM_001588154.1.p1	TC006408.p1
OG0001633	XM_001597348.1.p1	TC008263.p1
OG0001634	XM_001590949.1.p1	TC001270.p1
OG0001635	XM_001594583.1.p1	TC011106.p1
OG0001636	XM_001591692.1.p1	TC005667.p1
OG0001638	XM_001593822.1.p1	TC016203.p1, TC000530.p1
OG0001639	XM_001589214.1.p1	TC001885.p1
OG0001641	XM_001597680.1.p1	TC030628.p1
OG0001642	XM_001595175.1.p1	TC015973.p1, TC001220.p1
OG0001643	XM_001594880.1.p1	TC014368.p1
OG0001644	XM_001592354.1.p1	TC005182.p1
OG0001645	XM_001591061.1.p1	TC013626.p1, TC009925.p1
OG0001646	XM_001595519.1.p1	TC011038.p1
OG0001648	XM_001589622.1.p1	TC004384.p1
OG0001649	XM_001589054.1.p1	TC033522.p1
OG0001649	XM_001589053.1.p1	TC032430.p1
OG0001650	XM_001586535.1.p1	TC016127.p1, TC011344.p1, TC009584.p1, TC001743.p1, TC016044.p1
OG0001651	XM_001587633.1.p1	TC009437.p1, TC015049.p1
OG0001653	XM_001588927.1.p1	TC010564.p1
OG0001657	XM_001585417.1.p1	TC009822.p1
OG0001658	XM_001589660.1.p1	TC034515.p1
OG0001660	XM_001588943.1.p1	TC002948.p1, TC002884.p1
OG0001661	XM_001593670.1.p1	TC014633.p1, TC008045.p1
OG0001663	XM_001595755.1.p1	TC010594.p1, TC010593.p1
OG0001664	XM_001595822.1.p1	TC008532.p1
OG0001665	XM_001586803.1.p1	TC034095.p1, TC013885.p1
OG0001666	XM_001598872.1.p1	TC030051.p1
OG0001667	XM_001592467.1.p1	TC006281.p1
OG0001668	XM_001593029.1.p1	TC013061.p1
OG0001669	XM_001585162.1.p1, XM_001585163.1.p1	TC012652.p1, TC001759.p1, TC003186.p1
OG0001670	XM_001588398.1.p1	TC014609.p1
OG0001671	XM_001598414.1.p1	TC002463.p1, TC003619.p1
OG0001673	XM_001597675.1.p1	TC010474.p1, TC000480.p1, TC000296.p1, TC004119.p1, TC010475.p1, TC003144.p1
OG0001675	XM_001596085.1.p1	TC030696.p1
OG0001676	XM_001592934.1.p1	TC000849.p1
OG0001678	XM_001587393.1.p1	TC009054.p1, TC002933.p1
OG0001679	XM_001588168.1.p1	TC030751.p1
OG0001680	XM_001586872.1.p1	TC013052.p1
OG0001681	XM_001593299.1.p1	TC016216.p1
OG0001682	XM_001586639.1.p1	TC015986.p1, TC032169.p1
OG0001683	XM_001595338.1.p1	TC010496.p1
OG0001685	XM_001592409.1.p1	TC033206.p1, TC015221.p1, TC011050.p1, TC013758.p1, TC012552.p1, TC013882.p1, TC015755.p1, TC010609.p1
OG0001686	XM_001585532.1.p1	TC000028.p1
OG0001687	XM_001598229.1.p1	TC011840.p1, TC033023.p1
OG0001690	XM_001585778.1.p1	TC005817.p1
OG0001691	XM_001588440.1.p1	TC007860.p1, TC007859.p1
OG0001692	XM_001584910.1.p1	TC013053.p1
OG0001694	XM_001596686.1.p1	TC014519.p1
OG0001695	XM_001594204.1.p1	TC031054.p1
OG0001696	XM_001593962.1.p1	TC007711.p1, TC009385.p1
OG0001697	XM_001589617.1.p1	TC033834.p1
OG0001698	XM_001597629.1.p1	TC013395.p1
OG0001700	XM_001598246.1.p1	TC012553.p1
OG0001701	XM_001591929.1.p1	TC009927.p1, TC009086.p1, TC006447.p1
OG0001702	XM_001587596.1.p1	TC000767.p1
OG0001704	XM_001591634.1.p1	TC005672.p1
OG0001724	XM_001590840.1.p1	TC011565.p1
OG0001726	XM_001589936.1.p1	TC032606.p1, TC014124.p1
OG0001727	XM_001591137.1.p1, XM_001593237.1.p1	TC030761.p1
OG0001728	XM_001590382.1.p1	TC011519.p1
OG0001731	XM_001591843.1.p1	TC004550.p1
OG0001732	XM_001585968.1.p1	TC031106.p1, TC001622.p1
OG0001733	XM_001596326.1.p1	TC012523.p1
OG0001734	XM_001589885.1.p1	TC001073.p1
OG0001735	XM_001589025.1.p1	TC002568.p1, TC032663.p1
OG0001736	XM_001596497.1.p1	TC004662.p1, TC004854.p1
OG0001738	XM_001587146.1.p1	TC030541.p1
OG0001739	XM_001593621.1.p1	TC000313.p1
OG0001740	XM_001591824.1.p1	TC011289.p1
OG0001741	XM_001587709.1.p1	TC009293.p1
OG0001742	XM_001592521.1.p1	TC008221.p1
OG0001743	XM_001586642.1.p1	TC015727.p1
OG0001744	XM_001594510.1.p1	TC013489.p1
OG0001745	XM_001592516.1.p1	TC009073.p1
OG0001747	XM_001590666.1.p1	TC007732.p1, TC004238.p1
OG0001748	XM_001589278.1.p1	TC007765.p1
OG0001749	XM_001597157.1.p1	TC013168.p1
OG0001750	XM_001587513.1.p1	TC012724.p1
OG0001751	XM_001590998.1.p1	TC034773.p1
OG0001753	XM_001598799.1.p1	TC014434.p1
OG0001754	XM_001590525.1.p1	TC005650.p1, TC015098.p1
OG0001755	XM_001593055.1.p1	TC010869.p1, TC031960.p1, TC004402.p1, TC009181.p1
OG0001756	XM_001592679.1.p1	TC011774.p1
OG0001758	XM_001586211.1.p1	TC032730.p1
OG0001759	XM_001586077.1.p1	TC003153.p1
OG0001760	XM_001594527.1.p1	TC014418.p1, TC011988.p1
OG0001762	XM_001598181.1.p1	TC006147.p1
OG0001763	XM_001595731.1.p1	TC012115.p1
OG0001764	XM_001596364.1.p1	TC015749.p1
OG0001765	XM_001590590.1.p1	TC011541.p1
OG0001766	XM_001590857.1.p1	TC033635.p1
OG0001767	XM_001586584.1.p1	TC009660.p1
OG0001768	XM_001597883.1.p1	TC012014.p1
OG0001769	XM_001591520.1.p1	TC005228.p1
OG0001770	XM_001590010.1.p1	TC008518.p1, TC000231.p1
OG0001771	XM_001590930.1.p1	TC004703.p1
OG0001772	XM_001590921.1.p1	TC009389.p1
OG0001774	XM_001592132.1.p1	TC007772.p1
OG0001775	XM_001598459.1.p1	TC013327.p1
OG0001776	XM_001591629.1.p1	TC003020.p1
OG0001777	XM_001584821.1.p1	TC034804.p1, TC005087.p1
OG0001778	XM_001588150.1.p1	TC015168.p1
OG0001779	XM_001595681.1.p1	TC009994.p1
OG0001780	XM_001588152.1.p1	TC033271.p1
OG0001781	XM_001590832.1.p1	TC006188.p1
OG0001782	XM_001591472.1.p1	TC010119.p1
OG0001783	XM_001598837.1.p1	TC002635.p1
OG0001784	XM_001598923.1.p1	TC007395.p1
OG0001785	XM_001598934.1.p1	TC000144.p1
OG0001786	XM_001595140.1.p1	TC003582.p1
OG0001788	XM_001590194.1.p1	TC002065.p1
OG0001789	XM_001588695.1.p1	TC034900.p1, TC034867.p1, TC032365.p1
OG0001790	XM_001587883.1.p1	TC009261.p1
OG0001791	XM_001593540.1.p1	TC010974.p1
OG0001792	XM_001594609.1.p1	TC015419.p1
OG0001793	XM_001594488.1.p1, XM_001595751.1.p1	TC015348.p1, TC008002.p1
OG0001795	XM_001594334.1.p1, XM_001596894.1.p1	TC010900.p1
OG0001796	XM_001592592.1.p1	TC008186.p1
OG0001797	XM_001594930.1.p1	TC014107.p1
OG0001798	XM_001588684.1.p1	TC015933.p1
OG0001799	XM_001597442.1.p1	TC008339.p1
OG0001800	XM_001596717.1.p1	TC033585.p1
OG0001801	XM_001590922.1.p1	TC001192.p1, TC001189.p1
OG0001802	XM_001590920.1.p1	TC030621.p1
OG0001803	XM_001593200.1.p1	TC033415.p1
OG0001804	XM_001595592.1.p1	TC006821.p1
OG0001805	XM_001587985.1.p1	TC013057.p1
OG0001806	XM_001596616.1.p1	TC004722.p1, TC007304.p1, TC032611.p1
OG0001807	XM_001597030.1.p1	TC005188.p1, TC034464.p1
OG0001811	XM_001588110.1.p1	TC009281.p1, TC009279.p1, TC004889.p1
OG0001812	XM_001591191.1.p1	TC032340.p1
OG0001813	XM_001592623.1.p1	TC008879.p1
OG0001815	XM_001586248.1.p1	TC005792.p1
OG0001816	XM_001585130.1.p1	TC013692.p1
OG0001817	XM_001589814.1.p1	TC006217.p1
OG0001818	XM_001597638.1.p1	TC034135.p1
OG0001819	XM_001591447.1.p1	TC000610.p1
OG0001820	XM_001595800.1.p1	TC002590.p1, TC005767.p1
OG0001821	XM_001595579.1.p1	TC014470.p1, TC001325.p1
OG0001823	XM_001588186.1.p1	TC034532.p1
OG0001828	XM_001585103.1.p1	TC000243.p1
OG0001830	XM_001585900.1.p1	TC007403.p1
OG0001831	XM_001592314.1.p1	TC011637.p1
OG0001832	XM_001597841.1.p1	TC013683.p1
OG0001833	XM_001594152.1.p1	TC004938.p1
OG0001835	XM_001591194.1.p1	TC010945.p1
OG0001836	XM_001597475.1.p1	TC002993.p1
OG0001837	XM_001587327.1.p1	TC001209.p1, TC033066.p1
OG0001838	XM_001589014.1.p1	TC006903.p1, TC000032.p1
OG0001839	XM_001585061.1.p1	TC014238.p1
OG0001840	XM_001589942.1.p1	TC008245.p1
OG0001841	XM_001584880.1.p1	TC005123.p1, TC005122.p1
OG0001842	XM_001594666.1.p1	TC012793.p1
OG0001844	XM_001590509.1.p1	TC007753.p1
OG0001845	XM_001589982.1.p1	TC012105.p1
OG0001848	XM_001593509.1.p1	TC002501.p1
OG0001850	XM_001586794.1.p1	TC002638.p1
OG0001851	XM_001586923.1.p1	TC015204.p1
OG0001853	XM_001585928.1.p1	TC013212.p1
OG0001854	XM_001590829.1.p1	TC001347.p1
OG0001855	XM_001589062.1.p1	TC012449.p1
OG0001856	XM_001588810.1.p1	TC004029.p1
OG0001857	XM_001597917.1.p1	TC011692.p1, TC009832.p1
OG0001858	XM_001595648.1.p1	TC008354.p1
OG0001859	XM_001592548.1.p1	TC005373.p1, TC006173.p1
OG0001860	XM_001596630.1.p1	TC007893.p1
OG0001861	XM_001594433.1.p1	TC009539.p1
OG0001862	XM_001598227.1.p1	TC005185.p1, TC004389.p1
OG0001863	XM_001590791.1.p1	TC031132.p1
OG0001864	XM_001591521.1.p1	TC011073.p1
OG0001866	XM_001585049.1.p1	TC012816.p1
OG0001867	XM_001596867.1.p1, XM_001594818.1.p1	TC005784.p1, TC005788.p1, TC005785.p1
OG0001869	XM_001585799.1.p1	TC000020.p1, TC006301.p1
OG0001870	XM_001592420.1.p1	TC031574.p1, TC005900.p1
OG0001871	XM_001593531.1.p1	TC005794.p1
OG0001872	XM_001598490.1.p1	TC000060.p1
OG0001873	XM_001592991.1.p1	TC015176.p1
OG0001876	XM_001592238.1.p1	TC010477.p1
OG0001877	XM_001594162.1.p1	TC006415.p1
OG0001878	XM_001590659.1.p1	TC007925.p1
OG0001879	XM_001589618.1.p1	TC000478.p1
OG0001880	XM_001595660.1.p1	TC033636.p1
OG0001881	XM_001593122.1.p1	TC011281.p1, TC000463.p1
OG0001883	XM_001589201.1.p1	TC000968.p1
OG0001885	XM_001597820.1.p1	TC007336.p1, TC031196.p1, TC031270.p1
OG0001887	XM_001590264.1.p1	TC032822.p1
OG0001889	XM_001595935.1.p1	TC010427.p1
OG0001890	XM_001588390.1.p1	TC030734.p1
OG0001891	XM_001593041.1.p1	TC030942.p1
OG0001892	XM_001592787.1.p1	TC033223.p1, TC033222.p1
OG0001894	XM_001588986.1.p1	TC009870.p1
OG0001896	XM_001597392.1.p1	TC011359.p1
OG0001898	XM_001593311.1.p1	TC012168.p1
OG0001900	XM_001593680.1.p1	TC001623.p1, TC004317.p1
OG0001901	XM_001587741.1.p1	TC031474.p1
OG0001903	XM_001592059.1.p1	TC015613.p1
OG0001904	XM_001596167.1.p1	TC006414.p1
OG0001905	XM_001592700.1.p1	TC005593.p1, TC001751.p1
OG0001906	XM_001589662.1.p1	TC006548.p1
OG0001907	XM_001593996.1.p1	TC006501.p1
OG0001909	XM_001593623.1.p1	TC011352.p1
OG0001910	XM_001589236.1.p1	TC014503.p1, TC012880.p1
OG0001911	XM_001589314.1.p1	TC008324.p1
OG0001912	XM_001586839.1.p1	TC013517.p1
OG0001913	XM_001587731.1.p1	TC007209.p1
OG0001914	XM_001593298.1.p1	TC000750.p1
OG0001915	XM_001587673.1.p1	TC009874.p1, TC012507.p1
OG0001916	XM_001586854.1.p1	TC009600.p1
OG0001917	XM_001590908.1.p1	TC030891.p1
OG0001918	XM_001590387.1.p1	TC009997.p1
OG0001919	XM_001590115.1.p1	TC011095.p1
OG0001920	XM_001591029.1.p1	TC003167.p1
OG0001921	XM_001595343.1.p1	TC008821.p1, TC014882.p1, TC014410.p1
OG0001922	XM_001586175.1.p1	TC034123.p1, TC006560.p1
OG0001924	XM_001584617.1.p1	TC011249.p1
OG0001926	XM_001584509.1.p1	TC030755.p1
OG0001927	XM_001586446.1.p1	TC002569.p1
OG0001929	XM_001591408.1.p1	TC004792.p1, TC003692.p1
OG0001930	XM_001591632.1.p1	TC013478.p1
OG0001931	XM_001592168.1.p1	TC009198.p1, TC009014.p1
OG0001933	XM_001597286.1.p1	TC002365.p1, TC002557.p1
OG0001934	XM_001596926.1.p1	TC001338.p1
OG0001935	XM_001592593.1.p1	TC011557.p1, TC031041.p1
OG0001936	XM_001587296.1.p1	TC014716.p1
OG0001936	XM_001594563.1.p1	TC012106.p1
OG0001939	XM_001593108.1.p1	TC000297.p1
OG0001942	XM_001589457.1.p1	TC013347.p1
OG0001943	XM_001590718.1.p1	TC002915.p1
OG0001944	XM_001589563.1.p1	TC032789.p1
OG0001946	XM_001590101.1.p1	TC013870.p1
OG0001947	XM_001584666.1.p1	TC003821.p1
OG0001948	XM_001593863.1.p1	TC012184.p1
OG0001949	XM_001589052.1.p1	TC000570.p1
OG0001950	XM_001589070.1.p1	TC005757.p1
OG0001952	XM_001596948.1.p1	TC001438.p1, TC014564.p1
OG0001953	XM_001598721.1.p1	TC007190.p1, TC014309.p1, TC006048.p1
OG0001954	XM_001592673.1.p1	TC006568.p1, TC004626.p1
OG0001955	XM_001589327.1.p1	TC015960.p1
OG0001956	XM_001594296.1.p1	TC014897.p1
OG0001958	XM_001598033.1.p1	TC010122.p1
OG0001959	XM_001587462.1.p1	TC004992.p1
OG0001960	XM_001590817.1.p1	TC005617.p1
OG0001961	XM_001590618.1.p1	TC007198.p1
OG0001963	XM_001585664.1.p1	TC014984.p1, TC006627.p1, TC003373.p1, TC008188.p1
OG0001965	XM_001595936.1.p1	TC012980.p1
OG0001966	XM_001591474.1.p1	TC010322.p1
OG0001967	XM_001586605.1.p1	TC010522.p1
OG0001968	XM_001591512.1.p1	TC001725.p1, TC012008.p1
OG0001969	XM_001589930.1.p1	TC031384.p1
OG0001970	XM_001593043.1.p1	TC013874.p1
OG0001971	XM_001596203.1.p1	TC013994.p1
OG0001972	XM_001597359.1.p1	TC000466.p1
OG0001973	XM_001596622.1.p1	TC013086.p1, TC031495.p1
OG0001974	XM_001588784.1.p1	TC000875.p1
OG0001975	XM_001593765.1.p1	TC013056.p1
OG0001977	XM_001589100.1.p1	TC011971.p1
OG0001978	XM_001595991.1.p1	TC006460.p1
OG0001979	XM_001587346.1.p1	TC008315.p1
OG0001980	XM_001595208.1.p1	TC009312.p1, TC005107.p1, TC015778.p1
