Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Puccinia_graminis_rna_prot
OG0001018	XM_001589900.1.p1	XM_003321850.2.p1
OG0001023	XM_001589690.1.p1	XM_003336008.2.p1
OG0001024	XM_001590102.1.p1	XM_003307602.2.p1
OG0001025	XM_001597615.1.p1	XM_003335642.2.p1
OG0001028	XM_001595420.1.p1	XM_003325317.2.p1
OG0001029	XM_001597029.1.p1	XM_003336717.2.p1, XM_003889767.1.p1, XM_003319634.2.p1, XM_003338537.2.p1
OG0001031	XM_001598290.1.p1	XM_003888711.1.p1, XM_003335983.2.p1
OG0001032	XM_001592750.1.p1	XM_003323259.2.p1
OG0001033	XM_001593019.1.p1	XM_003319334.2.p1
OG0001034	XM_001589286.1.p1	XM_003330390.2.p1
OG0001035	XM_001591201.1.p1	XM_003327450.2.p1, XM_003307243.2.p1
OG0001037	XM_001585833.1.p1	XM_003889455.1.p1
OG0001038	XM_001584660.1.p1	XM_003319411.2.p1
OG0001039	XM_001589840.1.p1	XM_003319358.2.p1
OG0001040	XM_001585509.1.p1	XM_003331969.2.p1, XM_003324849.2.p1, XM_003324848.2.p1
OG0001041	XM_001595956.1.p1	XM_003332768.2.p1
OG0001043	XM_001588858.1.p1	XM_003325902.2.p1, XM_003325905.2.p1
OG0001044	XM_001594810.1.p1, XM_001585034.1.p1	XM_003334616.2.p1, XM_003334073.2.p1, XM_003307469.2.p1
OG0001061	XM_001598663.1.p1	XM_003332979.2.p1
OG0001063	XM_001594182.1.p1	XM_003334531.2.p1
OG0001064	XM_001585284.1.p1	XM_003330547.1.p1
OG0001065	XM_001596255.1.p1	XM_003890411.1.p1, XM_003321576.2.p1, XM_003331983.2.p1
OG0001069	XM_001592162.1.p1	XM_003322906.2.p1
OG0001070	XM_001587376.1.p1	XM_003328791.2.p1
OG0001071	XM_001592045.1.p1	XM_003326878.2.p1
OG0001072	XM_001594382.1.p1	XM_003330907.2.p1
OG0001075	XM_001598429.1.p1	XM_003307161.2.p1
OG0001077	XM_001595998.1.p1	XM_003889705.1.p1
OG0001078	XM_001590375.1.p1	XM_003307584.2.p1
OG0001079	XM_001598602.1.p1	XM_003324839.2.p1
OG0001082	XM_001597171.1.p1	XM_003889773.1.p1
OG0001083	XM_001584635.1.p1	XM_003338574.2.p1, XM_003327943.2.p1
OG0001084	XM_001589263.1.p1	XM_003338879.2.p1, XM_003307509.2.p1, XM_003322815.2.p1
OG0001085	XM_001591188.1.p1	XM_003329060.2.p1
OG0001086	XM_001593619.1.p1	XM_003324955.2.p1
OG0001088	XM_001598916.1.p1	XM_003338287.2.p1
OG0001091	XM_001584643.1.p1	XM_003319681.2.p1
OG0001093	XM_001593447.1.p1	XM_003324319.2.p1
OG0001095	XM_001593519.1.p1	XM_003888440.1.p1
OG0001099	XM_001587319.1.p1	XM_003307403.2.p1
OG0001101	XM_001592758.1.p1	XM_003326059.2.p1
OG0001103	XM_001592955.1.p1, XM_001588227.1.p1	XM_003335024.2.p1
OG0001105	XM_001592782.1.p1	XM_003331559.2.p1
OG0001107	XM_001593873.1.p1	XM_003319887.2.p1
OG0001108	XM_001585014.1.p1, XM_001591202.1.p1	XM_003327025.1.p1
OG0001110	XM_001593845.1.p1	XM_003330415.2.p1
OG0001112	XM_001592330.1.p1	XM_003307096.2.p1
OG0001113	XM_001596509.1.p1	XM_003321127.2.p1
OG0001115	XM_001593943.1.p1, XM_001588637.1.p1	XM_003323523.2.p1
OG0001116	XM_001587754.1.p1	XM_003335517.2.p1, XM_003331439.2.p1
OG0001117	XM_001587235.1.p1, XM_001589260.1.p1	XM_003888666.1.p1, XM_003336382.2.p1, XM_003336470.2.p1
OG0001120	XM_001591426.1.p1, XM_001593250.1.p1	XM_003335874.2.p1
OG0001121	XM_001593046.1.p1	XM_003326623.2.p1
OG0001122	XM_001594924.1.p1	XM_003324192.1.p1
OG0001123	XM_001592405.1.p1	XM_003319271.2.p1
OG0001124	XM_001598830.1.p1	XM_003322937.2.p1, XM_003322677.2.p1
OG0001126	XM_001590062.1.p1	XM_003890242.1.p1
OG0001127	XM_001590729.1.p1	XM_003322499.2.p1
OG0001128	XM_001594215.1.p1	XM_003333433.2.p1
OG0001129	XM_001595650.1.p1	XM_003332940.2.p1
OG0001130	XM_001590691.1.p1	XM_003336055.2.p1
OG0001131	XM_001591289.1.p1, XM_001597050.1.p1	XM_003333728.2.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	XM_003319652.2.p1
OG0001133	XM_001584780.1.p1	XM_003336236.2.p1
OG0001135	XM_001592071.1.p1	XM_003321319.2.p1, XM_003332186.1.p1
OG0001147	XM_001589207.1.p1	XM_003334405.2.p1, XM_003333030.2.p1
OG0001150	XM_001585637.1.p1, XM_001586145.1.p1	XM_003307183.2.p1
OG0001152	XM_001585966.1.p1	XM_003320399.2.p1
OG0001153	XM_001585409.1.p1	XM_003307461.2.p1
OG0001154	XM_001596258.1.p1	XM_003332567.2.p1
OG0001155	XM_001593807.1.p1	XM_003338531.2.p1
OG0001156	XM_001587763.1.p1	XM_003331192.2.p1
OG0001157	XM_001585113.1.p1	XM_003322873.2.p1
OG0001159	XM_001593742.1.p1	XM_003888502.1.p1
OG0001160	XM_001597233.1.p1	XM_003334175.2.p1
OG0001161	XM_001597319.1.p1	XM_003889616.1.p1, XM_003328875.2.p1, XM_003331757.2.p1
OG0001162	XM_001592594.1.p1	XM_003330707.2.p1
OG0001164	XM_001586609.1.p1	XM_003324412.2.p1
OG0001165	XM_001590535.1.p1	XM_003336879.2.p1, XM_003338112.2.p1, XM_003331941.2.p1, XM_003327195.2.p1
OG0001166	XM_001590617.1.p1	XM_003322161.2.p1, XM_003321021.2.p1, XM_003321031.2.p1, XM_003321022.2.p1, XM_003322181.2.p1
OG0001171	XM_001597826.1.p1	XM_003327275.2.p1
OG0001173	XM_001598301.1.p1	XM_003333912.2.p1
OG0001175	XM_001596458.1.p1, XM_001595154.1.p1	XM_003330887.2.p1
OG0001177	XM_001594947.1.p1	XM_003325321.2.p1
OG0001179	XM_001593660.1.p1	XM_003331427.2.p1, XM_003337490.2.p1
OG0001180	XM_001596694.1.p1	XM_003323269.2.p1
OG0001182	XM_001594846.1.p1	XM_003336286.2.p1
OG0001183	XM_001590324.1.p1	XM_003320728.2.p1, XM_003329048.2.p1
OG0001184	XM_001594370.1.p1	XM_003333887.2.p1
OG0001185	XM_001586426.1.p1	XM_003323129.2.p1, XM_003325231.2.p1
OG0001186	XM_001592367.1.p1	XM_003325645.2.p1
OG0001187	XM_001586559.1.p1	XM_003322952.2.p1
OG0001188	XM_001596042.1.p1, XM_001597194.1.p1	XM_003334545.2.p1
OG0001190	XM_001593245.1.p1	XM_003889676.1.p1
OG0001191	XM_001585271.1.p1, XM_001592100.1.p1	XM_003320299.2.p1
OG0001192	XM_001586300.1.p1	XM_003334923.2.p1
OG0001192	XM_001589019.1.p1	XM_003322597.2.p1
OG0001193	XM_001591587.1.p1	XM_003325333.2.p1
OG0001196	XM_001588984.1.p1	XM_003330348.2.p1
OG0001197	XM_001590968.1.p1	XM_003338963.2.p1
OG0001198	XM_001589197.1.p1, XM_001597467.1.p1	XM_003333973.2.p1
OG0001199	XM_001586739.1.p1	XM_003320489.2.p1
OG0001200	XM_001586874.1.p1	XM_003321105.2.p1
OG0001203	XM_001595223.1.p1	XM_003322474.2.p1
OG0001204	XM_001587531.1.p1	XM_003333898.2.p1, XM_003888994.1.p1
OG0001205	XM_001597608.1.p1	XM_003322263.2.p1
OG0001206	XM_001590495.1.p1	XM_003325170.2.p1
OG0001207	XM_001598174.1.p1	XM_003324088.2.p1
OG0001208	XM_001585675.1.p1	XM_003328298.2.p1
OG0001209	XM_001584711.1.p1	XM_003889760.1.p1
OG0001210	XM_001593130.1.p1	XM_003321829.2.p1, XM_003330956.2.p1
OG0001212	XM_001587505.1.p1	XM_003332034.2.p1, XM_003888493.1.p1, XM_003888487.1.p1
OG0001213	XM_001586026.1.p1	XM_003322311.1.p1
OG0001214	XM_001594629.1.p1	XM_003889534.1.p1
OG0001215	XM_001598435.1.p1	XM_003336747.2.p1
OG0001216	XM_001587846.1.p1	XM_003888541.1.p1, XM_003888542.1.p1
OG0001218	XM_001585042.1.p1	XM_003330053.2.p1
OG0001219	XM_001598205.1.p1	XM_003321302.2.p1
OG0001220	XM_001598294.1.p1, XM_001590652.1.p1	XM_003334451.1.p1
OG0001221	XM_001587099.1.p1	XM_003307716.2.p1
OG0001222	XM_001586044.1.p1	XM_003331987.2.p1
OG0001227	XM_001598832.1.p1	XM_003336671.2.p1
OG0001229	XM_001591967.1.p1	XM_003319170.2.p1, XM_003338035.2.p1, XM_003307335.2.p1
OG0001230	XM_001592257.1.p1, XM_001588431.1.p1, XM_001594329.1.p1	XM_003333846.2.p1, XM_003322591.1.p1, XM_003322616.2.p1
OG0001241	XM_001591997.1.p1	XM_003889777.1.p1, XM_003321631.2.p1
OG0001244	XM_001587402.1.p1	XM_003329588.2.p1
OG0001245	XM_001598019.1.p1	XM_003333537.2.p1
OG0001246	XM_001596306.1.p1	XM_003338266.2.p1
OG0001247	XM_001595279.1.p1	XM_003333151.2.p1
OG0001248	XM_001597052.1.p1	XM_003329834.2.p1
OG0001249	XM_001590861.1.p1	XM_003336043.2.p1
OG0001250	XM_001585219.1.p1	XM_003330403.2.p1, XM_003328974.2.p1
OG0001251	XM_001597911.1.p1	XM_003327756.2.p1
OG0001252	XM_001589710.1.p1	XM_003335492.2.p1
OG0001253	XM_001594361.1.p1	XM_003333213.2.p1
OG0001254	XM_001594431.1.p1	XM_003888867.1.p1
OG0001255	XM_001585594.1.p1	XM_003323243.2.p1
OG0001256	XM_001597117.1.p1	XM_003337851.2.p1
OG0001258	XM_001592670.1.p1	XM_003888597.1.p1, XM_003336811.2.p1, XM_003336812.2.p1
OG0001259	XM_001587500.1.p1, XM_001595026.1.p1	XM_003322775.2.p1, XM_003329651.2.p1
OG0001260	XM_001591210.1.p1	XM_003333571.2.p1, XM_003890828.1.p1, XM_003332590.2.p1, XM_003334013.2.p1
OG0001261	XM_001592688.1.p1	XM_003327948.2.p1
OG0001262	XM_001584906.1.p1, XM_001592747.1.p1	XM_003334982.2.p1
OG0001263	XM_001593392.1.p1	XM_003334177.2.p1
OG0001266	XM_001594795.1.p1	XM_003319651.2.p1, XM_003330647.2.p1
OG0001267	XM_001593062.1.p1	XM_003325302.2.p1
OG0001268	XM_001595596.1.p1	XM_003336127.2.p1
OG0001270	XM_001592691.1.p1	XM_003307430.2.p1
OG0001271	XM_001587646.1.p1	XM_003321138.2.p1
OG0001272	XM_001592903.1.p1	XM_003331733.2.p1
OG0001273	XM_001598707.1.p1	XM_003331821.2.p1
OG0001275	XM_001588945.1.p1	XM_003330412.2.p1
OG0001276	XM_001596955.1.p1	XM_003328604.2.p1
OG0001277	XM_001588770.1.p1	XM_003322331.2.p1
OG0001278	XM_001597610.1.p1	XM_003320810.2.p1
OG0001279	XM_001591890.1.p1	XM_003320992.2.p1
OG0001280	XM_001586262.1.p1	XM_003320560.2.p1, XM_003319394.2.p1
OG0001281	XM_001584702.1.p1	XM_003328507.2.p1
OG0001282	XM_001595958.1.p1	XM_003889835.1.p1
OG0001283	XM_001590433.1.p1, XM_001597865.1.p1	XM_003337355.2.p1
OG0001286	XM_001585616.1.p1	XM_003322960.2.p1, XM_003338191.2.p1, XM_003331928.2.p1
OG0001287	XM_001586319.1.p1	XM_003321741.2.p1
OG0001288	XM_001590210.1.p1	XM_003890043.1.p1, XM_003325144.2.p1, XM_003332315.1.p1
OG0001290	XM_001588613.1.p1	XM_003333565.2.p1
OG0001293	XM_001592260.1.p1	XM_003323409.2.p1
OG0001295	XM_001587939.1.p1	XM_003330278.2.p1
OG0001296	XM_001585953.1.p1	XM_003330279.2.p1
OG0001297	XM_001591937.1.p1	XM_003329953.2.p1
OG0001298	XM_001595056.1.p1	XM_003335124.2.p1, XM_003335167.2.p1
OG0001299	XM_001596175.1.p1	XM_003331428.2.p1
OG0001300	XM_001586937.1.p1	XM_003888857.1.p1
OG0001302	XM_001593610.1.p1	XM_003321549.2.p1
OG0001303	XM_001591817.1.p1	XM_003325952.2.p1
OG0001304	XM_001591192.1.p1	XM_003334516.2.p1
OG0001306	XM_001592155.1.p1	XM_003325528.2.p1
OG0001307	XM_001597316.1.p1	XM_003307032.2.p1
OG0001309	XM_001594213.1.p1	XM_003338024.2.p1
OG0001310	XM_001594188.1.p1	XM_003320061.2.p1
OG0001311	XM_001598187.1.p1	XM_003325790.2.p1, XM_003323341.2.p1
OG0001312	XM_001587817.1.p1, XM_001593839.1.p1	XM_003321986.2.p1, XM_003326382.2.p1, XM_003327561.2.p1
OG0001313	XM_001584723.1.p1	XM_003333233.2.p1
OG0001314	XM_001587845.1.p1	XM_003333098.2.p1
OG0001315	XM_001585518.1.p1	XM_003335274.2.p1
OG0001317	XM_001587842.1.p1	XM_003320974.2.p1
OG0001318	XM_001597396.1.p1	XM_003325501.2.p1, XM_003331939.2.p1, XM_003890016.1.p1
OG0001319	XM_001591640.1.p1	XM_003325342.2.p1
OG0001320	XM_001587379.1.p1	XM_003320898.2.p1
OG0001321	XM_001598937.1.p1	XM_003327915.2.p1
OG0001321	XM_001594406.1.p1, XM_001598936.1.p1	XM_003889691.1.p1
OG0001322	XM_001585388.1.p1	XM_003331549.2.p1, XM_003307374.2.p1
OG0001323	XM_001596853.1.p1	XM_003332507.1.p1, XM_003325651.2.p1
OG0001324	XM_001594829.1.p1	XM_003337653.2.p1
OG0001325	XM_001594327.1.p1	XM_003334889.2.p1
OG0001326	XM_001592619.1.p1	XM_003330739.2.p1, XM_003329720.2.p1, XM_003334627.1.p1
OG0001336	XM_001596324.1.p1	XM_003331535.2.p1, XM_003307628.2.p1
OG0001337	XM_001586758.1.p1	XM_003337359.2.p1
OG0001339	XM_001588334.1.p1	XM_003334033.2.p1
OG0001340	XM_001585646.1.p1	XM_003307018.2.p1
OG0001341	XM_001585322.1.p1	XM_003325554.1.p1
OG0001345	XM_001594772.1.p1	XM_003332075.2.p1
OG0001347	XM_001588165.1.p1	XM_003332020.2.p1
OG0001348	XM_001587711.1.p1	XM_003338196.2.p1
OG0001349	XM_001585733.1.p1	XM_003326932.2.p1, XM_003326939.2.p1
OG0001350	XM_001594034.1.p1	XM_003327637.2.p1
OG0001351	XM_001587708.1.p1	XM_003319726.2.p1
OG0001352	XM_001586665.1.p1	XM_003337598.2.p1
OG0001353	XM_001591623.1.p1	XM_003326007.2.p1
OG0001354	XM_001592719.1.p1	XM_003328407.2.p1, XM_003307574.2.p1
OG0001356	XM_001585187.1.p1	XM_003320580.2.p1
OG0001357	XM_001596863.1.p1	XM_003335746.2.p1
OG0001358	XM_001597450.1.p1	XM_003332428.1.p1, XM_003326502.2.p1
OG0001359	XM_001587161.1.p1	XM_003333619.2.p1
OG0001362	XM_001591944.1.p1	XM_003322106.2.p1, XM_003332282.2.p1
OG0001363	XM_001598194.1.p1	XM_003337431.2.p1
OG0001365	XM_001590890.1.p1	XM_003320272.2.p1
OG0001367	XM_001595176.1.p1	XM_003320840.2.p1, XM_003331092.2.p1, XM_003331102.2.p1, XM_003331098.2.p1, XM_003307204.2.p1
OG0001368	XM_001596704.1.p1	XM_003888945.1.p1
OG0001369	XM_001597173.1.p1	XM_003323194.2.p1
OG0001371	XM_001597570.1.p1	XM_003336170.2.p1
OG0001372	XM_001594988.1.p1	XM_003319935.2.p1, XM_003319930.2.p1, XM_003320548.2.p1
OG0001373	XM_001587954.1.p1	XM_003307522.2.p1
OG0001375	XM_001588248.1.p1	XM_003338507.2.p1, XM_003320221.2.p1
OG0001378	XM_001593740.1.p1	XM_003307223.1.p1, XM_003307230.2.p1
OG0001379	XM_001590461.1.p1	XM_003326548.2.p1
OG0001384	XM_001584676.1.p1, XM_001584677.1.p1	XM_003334075.2.p1, XM_003334620.2.p1
OG0001385	XM_001590507.1.p1	XM_003331012.2.p1
OG0001386	XM_001594603.1.p1	XM_003332677.2.p1, XM_003322672.2.p1
OG0001387	XM_001590581.1.p1	XM_003333132.2.p1, XM_003325150.2.p1, XM_003335820.2.p1
OG0001388	XM_001595837.1.p1	XM_003334990.2.p1
OG0001389	XM_001594385.1.p1	XM_003888709.1.p1, XM_003335966.2.p1
OG0001390	XM_001593629.1.p1	XM_003889654.1.p1, XM_003328438.2.p1
OG0001391	XM_001593760.1.p1	XM_003330351.2.p1
OG0001392	XM_001591018.1.p1	XM_003307323.2.p1
OG0001393	XM_001587430.1.p1	XM_003329925.2.p1
OG0001394	XM_001595447.1.p1	XM_003323775.2.p1
OG0001395	XM_001595940.1.p1	XM_003332044.2.p1
OG0001397	XM_001597458.1.p1	XM_003325002.2.p1
OG0001399	XM_001594283.1.p1, XM_001589226.1.p1	XM_003326859.2.p1
OG0001401	XM_001585941.1.p1	XM_003325777.2.p1
OG0001402	XM_001598084.1.p1	XM_003319598.2.p1
OG0001404	XM_001588050.1.p1	XM_003319809.2.p1
OG0001405	XM_001594368.1.p1	XM_003333356.2.p1
OG0001406	XM_001592275.1.p1	XM_003328915.2.p1
OG0001407	XM_001591124.1.p1	XM_003333704.2.p1
OG0001408	XM_001598811.1.p1	XM_003328549.2.p1
OG0001409	XM_001594864.1.p1	XM_003319937.2.p1
OG0001411	XM_001592806.1.p1	XM_003322691.2.p1
OG0001412	XM_001590469.1.p1	XM_003326063.2.p1
OG0001416	XM_001598452.1.p1	XM_003319896.2.p1
OG0001417	XM_001593177.1.p1	XM_003890245.1.p1
OG0001418	XM_001591514.1.p1	XM_003331110.2.p1, XM_003338064.1.p1, XM_003336077.2.p1
OG0001421	XM_001595574.1.p1	XM_003324514.2.p1
OG0001422	XM_001590100.1.p1	XM_003335007.2.p1
OG0001423	XM_001585238.1.p1, XM_001597234.1.p1	XM_003322392.2.p1
OG0001424	XM_001589412.1.p1	XM_003325111.2.p1
OG0001425	XM_001597305.1.p1	XM_003324989.2.p1
OG0001426	XM_001591173.1.p1	XM_003890491.1.p1, XM_003333310.2.p1
OG0001427	XM_001593871.1.p1	XM_003330598.2.p1, XM_003319785.2.p1
OG0001428	XM_001588090.1.p1	XM_003321139.2.p1
OG0001430	XM_001588184.1.p1	XM_003328640.2.p1
OG0001432	XM_001593969.1.p1, XM_001585343.1.p1	XM_003322637.2.p1
OG0001433	XM_001585693.1.p1, XM_001585692.1.p1	XM_003319253.2.p1
OG0001435	XM_001591027.1.p1	XM_003324242.2.p1
OG0001436	XM_001594967.1.p1	XM_003325054.2.p1
OG0001437	XM_001595220.1.p1, XM_001598482.1.p1	XM_003320843.2.p1
OG0001438	XM_001586526.1.p1, XM_001597135.1.p1	XM_003326688.2.p1, XM_003889893.1.p1, XM_003327088.2.p1
OG0001440	XM_001593418.1.p1	XM_003325038.2.p1
OG0001441	XM_001591502.1.p1	XM_003323001.2.p1
OG0001443	XM_001591497.1.p1	XM_003324351.2.p1
OG0001444	XM_001598154.1.p1	XM_003321067.2.p1
OG0001446	XM_001584964.1.p1	XM_003337788.2.p1
OG0001447	XM_001590454.1.p1	XM_003321126.2.p1
OG0001449	XM_001584927.1.p1	XM_003337098.2.p1
OG0001450	XM_001594323.1.p1	XM_003324241.2.p1
OG0001451	XM_001590785.1.p1	XM_003324054.2.p1
OG0001452	XM_001586975.1.p1	XM_003327059.2.p1
OG0001453	XM_001585709.1.p1	XM_003331293.2.p1
OG0001454	XM_001598339.1.p1	XM_003323101.2.p1, XM_003334528.2.p1, XM_003323099.2.p1
OG0001455	XM_001596308.1.p1	XM_003331050.2.p1
OG0001456	XM_001594827.1.p1	XM_003324676.2.p1
OG0001457	XM_001590966.1.p1	XM_003322782.2.p1
OG0001458	XM_001597544.1.p1	XM_003333421.2.p1
OG0001459	XM_001586602.1.p1	XM_003337917.2.p1
OG0001460	XM_001585269.1.p1	XM_003329667.2.p1
OG0001461	XM_001597434.1.p1	XM_003331488.2.p1
OG0001462	XM_001594600.1.p1	XM_003325242.2.p1
OG0001463	XM_001587116.1.p1	XM_003331217.2.p1
OG0001464	XM_001587145.1.p1	XM_003337131.1.p1, XM_003322039.1.p1
OG0001465	XM_001584616.1.p1	XM_003325230.2.p1
OG0001466	XM_001596624.1.p1, XM_001588938.1.p1	XM_003307672.2.p1, XM_003307671.2.p1
OG0001467	XM_001593377.1.p1	XM_003336179.2.p1, XM_003324194.2.p1
OG0001468	XM_001585179.1.p1	XM_003322805.2.p1
OG0001469	XM_001587568.1.p1	XM_003319684.2.p1
OG0001470	XM_001598483.1.p1	XM_003322633.2.p1
OG0001471	XM_001597927.1.p1	XM_003325163.2.p1
OG0001472	XM_001588144.1.p1	XM_003330792.2.p1
OG0001473	XM_001588083.1.p1	XM_003334522.2.p1
OG0001480	XM_001596614.1.p1	XM_003333490.2.p1, XM_003333487.2.p1, XM_003333474.2.p1
OG0001489	XM_001594695.1.p1	XM_003307698.1.p1
OG0001490	XM_001590455.1.p1	XM_003328366.2.p1
OG0001491	XM_001587628.1.p1	XM_003327678.2.p1
OG0001492	XM_001589157.1.p1	XM_003319281.2.p1, XM_003329608.1.p1
OG0001494	XM_001590871.1.p1	XM_003327117.2.p1
OG0001495	XM_001591501.1.p1	XM_003888949.1.p1, XM_003888950.1.p1
OG0001496	XM_001590486.1.p1	XM_003330787.2.p1
OG0001497	XM_001586720.1.p1	XM_003337186.2.p1
OG0001498	XM_001586789.1.p1	XM_003332631.2.p1
OG0001500	XM_001591000.1.p1, XM_001590999.1.p1	XM_003320107.2.p1
OG0001501	XM_001585424.1.p1	XM_003330583.2.p1
OG0001504	XM_001598066.1.p1	XM_003338410.2.p1
OG0001505	XM_001590355.1.p1	XM_003328576.2.p1
OG0001506	XM_001595083.1.p1	XM_003328043.2.p1
OG0001509	XM_001589211.1.p1	XM_003333137.2.p1
OG0001511	XM_001598741.1.p1	XM_003329681.2.p1
OG0001513	XM_001592873.1.p1	XM_003326184.2.p1
OG0001514	XM_001585948.1.p1	XM_003333801.2.p1, XM_003888753.1.p1
OG0001515	XM_001594183.1.p1	XM_003307182.2.p1
OG0001518	XM_001588256.1.p1	XM_003330078.2.p1
OG0001519	XM_001587131.1.p1	XM_003324535.2.p1
OG0001520	XM_001590166.1.p1	XM_003338393.2.p1, XM_003334003.2.p1
OG0001521	XM_001596692.1.p1	XM_003335803.2.p1
OG0001522	XM_001596697.1.p1	XM_003890304.1.p1, XM_003322363.2.p1, XM_003890303.1.p1
OG0001523	XM_001587383.1.p1	XM_003330174.2.p1
OG0001524	XM_001594990.1.p1	XM_003332836.2.p1, XM_003332840.2.p1
OG0001525	XM_001587317.1.p1	XM_003325996.1.p1
OG0001526	XM_001591706.1.p1	XM_003889564.1.p1
OG0001527	XM_001597417.1.p1	XM_003320603.2.p1
OG0001529	XM_001597439.1.p1	XM_003334210.2.p1
OG0001530	XM_001584603.1.p1	XM_003327475.2.p1
OG0001532	XM_001585492.1.p1	XM_003333498.2.p1
OG0001533	XM_001585528.1.p1	XM_003338845.1.p1, XM_003336059.2.p1
OG0001534	XM_001587067.1.p1	XM_003335964.2.p1
OG0001536	XM_001587085.1.p1	XM_003326810.2.p1
OG0001537	XM_001586965.1.p1	XM_003323703.2.p1
OG0001538	XM_001585028.1.p1	XM_003328606.2.p1
OG0001539	XM_001594194.1.p1, XM_001594193.1.p1	XM_003322530.2.p1
OG0001541	XM_001598499.1.p1	XM_003325376.2.p1
OG0001543	XM_001598769.1.p1	XM_003320263.2.p1
OG0001544	XM_001595965.1.p1, XM_001595966.1.p1	XM_003326294.2.p1
OG0001546	XM_001584892.1.p1	XM_003334335.2.p1
OG0001547	XM_001592560.1.p1	XM_003325760.2.p1
OG0001548	XM_001592711.1.p1	XM_003329740.2.p1
OG0001550	XM_001590263.1.p1	XM_003327068.2.p1
OG0001552	XM_001591114.1.p1	XM_003321082.2.p1
OG0001553	XM_001585770.1.p1	XM_003321431.2.p1
OG0001554	XM_001588826.1.p1	XM_003330486.2.p1
OG0001556	XM_001586500.1.p1	XM_003319674.2.p1
OG0001557	XM_001598314.1.p1	XM_003319269.2.p1
OG0001558	XM_001586489.1.p1	XM_003333700.2.p1
OG0001559	XM_001595680.1.p1	XM_003321041.2.p1
OG0001560	XM_001584921.1.p1	XM_003889452.1.p1
OG0001561	XM_001587460.1.p1	XM_003321529.2.p1
OG0001563	XM_001586244.1.p1	XM_003332131.2.p1
OG0001564	XM_001597736.1.p1	XM_003324924.2.p1
OG0001565	XM_001586785.1.p1	XM_003333525.2.p1
OG0001566	XM_001587857.1.p1	XM_003307330.2.p1
OG0001567	XM_001585586.1.p1	XM_003329482.2.p1
OG0001568	XM_001588032.1.p1	XM_003335471.2.p1
OG0001569	XM_001598533.1.p1	XM_003336960.2.p1, XM_003335321.2.p1
OG0001570	XM_001598009.1.p1	XM_003321295.2.p1, XM_003320999.1.p1
OG0001571	XM_001586005.1.p1	XM_003327308.2.p1
OG0001572	XM_001597978.1.p1	XM_003330025.1.p1
OG0001573	XM_001598381.1.p1	XM_003332338.2.p1
OG0001574	XM_001592452.1.p1	XM_003326493.2.p1, XM_003326495.2.p1, XM_003332433.2.p1
OG0001575	XM_001586034.1.p1	XM_003338119.2.p1
OG0001576	XM_001588787.1.p1	XM_003324430.1.p1
OG0001578	XM_001594733.1.p1	XM_003329628.2.p1
OG0001579	XM_001596911.1.p1	XM_003307076.2.p1
OG0001580	XM_001597546.1.p1, XM_001588446.1.p1	XM_003327453.2.p1
OG0001581	XM_001592716.1.p1	XM_003328621.2.p1
OG0001582	XM_001585389.1.p1, XM_001585619.1.p1	XM_003327055.2.p1
OG0001583	XM_001590383.1.p1	XM_003326833.2.p1
OG0001584	XM_001592184.1.p1	XM_003324132.2.p1, XM_003331901.1.p1
OG0001585	XM_001591668.1.p1	XM_003324218.2.p1
OG0001589	XM_001598421.1.p1	XM_003322976.2.p1
OG0001591	XM_001588337.1.p1	XM_003336065.2.p1
OG0001592	XM_001591465.1.p1	XM_003333017.2.p1
OG0001593	XM_001589357.1.p1	XM_003327395.2.p1, XM_003327399.2.p1, XM_003320388.2.p1
OG0001594	XM_001597642.1.p1	XM_003324125.2.p1
OG0001596	XM_001597634.1.p1	XM_003321073.2.p1
OG0001596	XM_001597635.1.p1	XM_003888467.1.p1
OG0001598	XM_001593169.1.p1	XM_003325466.1.p1, XM_003325458.2.p1
OG0001599	XM_001595351.1.p1	XM_003335334.2.p1
OG0001600	XM_001590984.1.p1	XM_003307516.2.p1
OG0001601	XM_001592341.1.p1	XM_003319740.1.p1, XM_003328324.1.p1
OG0001602	XM_001584934.1.p1	XM_003322657.2.p1
OG0001603	XM_001584607.1.p1	XM_003319211.2.p1
OG0001604	XM_001587107.1.p1	XM_003888690.1.p1
OG0001606	XM_001593391.1.p1	XM_003333717.2.p1
OG0001607	XM_001597097.1.p1	XM_003326091.2.p1
OG0001608	XM_001591914.1.p1	XM_003321245.2.p1
OG0001609	XM_001590202.1.p1	XM_003328362.2.p1
OG0001610	XM_001593541.1.p1	XM_003336856.2.p1
OG0001613	XM_001587935.1.p1, XM_001587936.1.p1	XM_003327196.2.p1, XM_003890701.1.p1
OG0001614	XM_001585306.1.p1	XM_003323547.2.p1
OG0001615	XM_001584605.1.p1	XM_003337678.2.p1
OG0001616	XM_001594984.1.p1	XM_003320456.2.p1, XM_003320838.2.p1
OG0001617	XM_001597285.1.p1	XM_003323967.2.p1, XM_003333799.1.p1, XM_003326262.2.p1, XM_003327804.2.p1
OG0001618	XM_001589352.1.p1	XM_003325046.2.p1
OG0001619	XM_001587176.1.p1	XM_003336647.2.p1, XM_003329782.2.p1, XM_003319749.2.p1, XM_003319748.2.p1
OG0001620	XM_001597684.1.p1	XM_003307743.2.p1
