Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Rhizoctonia_solani_rna_prot
OG0001966	XM_001591474.1.p1	XM_043330085.1.p1
OG0001967	XM_001586605.1.p1	XM_043329874.1.p1
OG0001968	XM_001591512.1.p1	XM_043326985.1.p1
OG0001969	XM_001589930.1.p1	XM_043321852.1.p1
OG0001970	XM_001593043.1.p1	XM_043320673.1.p1
OG0001971	XM_001596203.1.p1	XM_043321292.1.p1
OG0001972	XM_001597359.1.p1	XM_043329833.1.p1
OG0001973	XM_001596622.1.p1	XM_043320533.1.p1
OG0001974	XM_001588784.1.p1	XM_043326238.1.p1
OG0001975	XM_001593765.1.p1	XM_043331138.1.p1
OG0001977	XM_001589100.1.p1	XM_043324250.1.p1
OG0001978	XM_001595991.1.p1	XM_043323704.1.p1
OG0001979	XM_001587346.1.p1	XM_043330512.1.p1
OG0001980	XM_001595208.1.p1	XM_043325788.1.p1
OG0001981	XM_001586295.1.p1	XM_043321697.1.p1
OG0001982	XM_001585489.1.p1	XM_043322506.1.p1
OG0001983	XM_001587797.1.p1	XM_043329657.1.p1
OG0001984	XM_001596302.1.p1	XM_043323696.1.p1
OG0001985	XM_001591812.1.p1	XM_043324644.1.p1
OG0001986	XM_001585852.1.p1	XM_043321589.1.p1
OG0001987	XM_001586943.1.p1	XM_043330775.1.p1
OG0001988	XM_001591278.1.p1	XM_043324898.1.p1
OG0001989	XM_001585907.1.p1	XM_043331316.1.p1
OG0001990	XM_001597971.1.p1	XM_043329074.1.p1
OG0001991	XM_001585102.1.p1	XM_043327253.1.p1
OG0001992	XM_001591707.1.p1	XM_043329756.1.p1
OG0001993	XM_001586719.1.p1	XM_043328307.1.p1
OG0001994	XM_001596952.1.p1	XM_043331637.1.p1, XM_043331597.1.p1
OG0001995	XM_001596687.1.p1	XM_043329611.1.p1
OG0001996	XM_001592027.1.p1	XM_043321865.1.p1
OG0001997	XM_001595900.1.p1	XM_043330411.1.p1, XM_043326761.1.p1
OG0001998	XM_001590545.1.p1	XM_043328899.1.p1
OG0001999	XM_001597790.1.p1	XM_043322884.1.p1
OG0002000	XM_001598297.1.p1	XM_043331588.1.p1
OG0002001	XM_001597034.1.p1	XM_043330826.1.p1
OG0002002	XM_001588889.1.p1	XM_043328576.1.p1
OG0002003	XM_001590376.1.p1	XM_043331431.1.p1
OG0002004	XM_001585279.1.p1	XM_043327205.1.p1, XM_043327206.1.p1
OG0002005	XM_001591723.1.p1	XM_043320371.1.p1
OG0002006	XM_001594678.1.p1	XM_043319832.1.p1
OG0002007	XM_001588209.1.p1	XM_043323187.1.p1
OG0002008	XM_001587133.1.p1	XM_043328815.1.p1
OG0002009	XM_001586907.1.p1	XM_043331279.1.p1
OG0002010	XM_001592527.1.p1	XM_043320962.1.p1
OG0002011	XM_001591489.1.p1	XM_043332088.1.p1
OG0002013	XM_001589276.1.p1	XM_043320290.1.p1
OG0002014	XM_001591834.1.p1	XM_043326595.1.p1
OG0002016	XM_001597788.1.p1	XM_043322390.1.p1
OG0002017	XM_001595237.1.p1, XM_001595236.1.p1	XM_043323647.1.p1
OG0002018	XM_001594980.1.p1, XM_001594979.1.p1	XM_043331174.1.p1
OG0002019	XM_001597612.1.p1	XM_043323931.1.p1
OG0002020	XM_001595551.1.p1	XM_043322022.1.p1
OG0002021	XM_001590929.1.p1	XM_043327835.1.p1
OG0002022	XM_001588574.1.p1	XM_043322019.1.p1
OG0002023	XM_001590816.1.p1	XM_043328260.1.p1
OG0002024	XM_001585897.1.p1	XM_043320997.1.p1
OG0002025	XM_001596731.1.p1	XM_043329059.1.p1
OG0002026	XM_001596602.1.p1	XM_043320358.1.p1
OG0002027	XM_001591972.1.p1	XM_043329378.1.p1
OG0002028	XM_001585390.1.p1	XM_043323744.1.p1
OG0002029	XM_001593351.1.p1	XM_043326450.1.p1
OG0002049	XM_001591195.1.p1	XM_043324783.1.p1
OG0002050	XM_001598786.1.p1	XM_043320541.1.p1
OG0002051	XM_001587148.1.p1	XM_043329645.1.p1, XM_043321134.1.p1, XM_043321133.1.p1
OG0002052	XM_001598789.1.p1	XM_043321630.1.p1
OG0002053	XM_001586551.1.p1	XM_043326324.1.p1
OG0002054	XM_001597361.1.p1	XM_043322542.1.p1
OG0002055	XM_001596816.1.p1	XM_043328352.1.p1
OG0002056	XM_001594658.1.p1	XM_043326279.1.p1
OG0002057	XM_001586017.1.p1	XM_043325086.1.p1
OG0002058	XM_001586539.1.p1	XM_043321498.1.p1
OG0002059	XM_001590121.1.p1	XM_043321792.1.p1
OG0002060	XM_001597962.1.p1	XM_043326252.1.p1
OG0002061	XM_001592902.1.p1	XM_043324113.1.p1
OG0002062	XM_001595752.1.p1	XM_043326235.1.p1
OG0002063	XM_001598100.1.p1	XM_043327209.1.p1
OG0002064	XM_001596820.1.p1	XM_043324841.1.p1
OG0002065	XM_001596742.1.p1	XM_043330941.1.p1
OG0002066	XM_001596610.1.p1	XM_043329060.1.p1
OG0002067	XM_001586877.1.p1	XM_043323582.1.p1
OG0002068	XM_001594963.1.p1	XM_043323777.1.p1
OG0002069	XM_001587722.1.p1	XM_043324178.1.p1
OG0002070	XM_001594154.1.p1	XM_043326309.1.p1
OG0002071	XM_001596446.1.p1	XM_043326427.1.p1
OG0002072	XM_001585949.1.p1	XM_043325260.1.p1
OG0002073	XM_001585276.1.p1	XM_043329724.1.p1
OG0002074	XM_001589902.1.p1	XM_043325293.1.p1, XM_043324449.1.p1
OG0002075	XM_001594360.1.p1	XM_043329134.1.p1
OG0002076	XM_001585877.1.p1	XM_043320864.1.p1
OG0002077	XM_001589887.1.p1	XM_043328199.1.p1
OG0002078	XM_001591720.1.p1	XM_043329003.1.p1
OG0002080	XM_001593699.1.p1	XM_043331267.1.p1
OG0002081	XM_001588894.1.p1	XM_043322502.1.p1
OG0002082	XM_001594098.1.p1	XM_043329252.1.p1
OG0002083	XM_001593868.1.p1	XM_043326506.1.p1
OG0002084	XM_001588553.1.p1	XM_043321991.1.p1
OG0002085	XM_001587134.1.p1	XM_043323810.1.p1
OG0002086	XM_001590939.1.p1	XM_043330598.1.p1
OG0002087	XM_001586735.1.p1	XM_043323694.1.p1
OG0002089	XM_001592270.1.p1	XM_043320296.1.p1
OG0002090	XM_001594354.1.p1	XM_043321315.1.p1
OG0002091	XM_001586935.1.p1	XM_043321020.1.p1
OG0002092	XM_001595172.1.p1	XM_043324330.1.p1
OG0002093	XM_001591626.1.p1	XM_043329831.1.p1
OG0002094	XM_001587490.1.p1	XM_043322077.1.p1
OG0002096	XM_001598383.1.p1	XM_043329697.1.p1
OG0002097	XM_001598488.1.p1	XM_043331009.1.p1
OG0002098	XM_001591197.1.p1	XM_043324378.1.p1
OG0002099	XM_001597283.1.p1	XM_043320504.1.p1
OG0002101	XM_001595627.1.p1	XM_043321613.1.p1
OG0002102	XM_001591028.1.p1	XM_043322458.1.p1
OG0002103	XM_001597714.1.p1	XM_043329569.1.p1, XM_043320850.1.p1
OG0002104	XM_001595210.1.p1	XM_043321007.1.p1
OG0002105	XM_001589834.1.p1	XM_043324131.1.p1
OG0002106	XM_001597055.1.p1	XM_043321160.1.p1
OG0002107	XM_001586115.1.p1	XM_043325246.1.p1
OG0002109	XM_001596958.1.p1	XM_043326229.1.p1
OG0002110	XM_001592487.1.p1	XM_043323233.1.p1
OG0002111	XM_001592325.1.p1	XM_043324708.1.p1
OG0002112	XM_001587203.1.p1	XM_043321364.1.p1
OG0002113	XM_001594579.1.p1	XM_043328861.1.p1
OG0002114	XM_001596821.1.p1	XM_043323114.1.p1
OG0002115	XM_001594564.1.p1	XM_043324167.1.p1
OG0002116	XM_001597172.1.p1	XM_043322646.1.p1
OG0002117	XM_001597516.1.p1	XM_043325399.1.p1
OG0002118	XM_001586126.1.p1	XM_043322128.1.p1
OG0002120	XM_001586423.1.p1	XM_043321935.1.p1
OG0002121	XM_001594727.1.p1	XM_043326255.1.p1
OG0002122	XM_001585609.1.p1	XM_043327105.1.p1
OG0002124	XM_001592753.1.p1	XM_043324999.1.p1
OG0002125	XM_001590534.1.p1	XM_043330850.1.p1
OG0002126	XM_001590790.1.p1	XM_043321686.1.p1
OG0002128	XM_001591440.1.p1	XM_043320707.1.p1
OG0002129	XM_001591552.1.p1	XM_043328719.1.p1
OG0002130	XM_001598480.1.p1	XM_043323861.1.p1
OG0002131	XM_001597846.1.p1	XM_043321842.1.p1
OG0002132	XM_001586258.1.p1	XM_043323845.1.p1
OG0002133	XM_001597660.1.p1	XM_043322172.1.p1
OG0002134	XM_001591909.1.p1	XM_043327200.1.p1
OG0002135	XM_001592871.1.p1	XM_043321917.1.p1
OG0002136	XM_001584926.1.p1	XM_043320273.1.p1
OG0002137	XM_001598570.1.p1	XM_043328812.1.p1
OG0002138	XM_001598561.1.p1	XM_043326232.1.p1
OG0002139	XM_001596723.1.p1	XM_043320203.1.p1
OG0002141	XM_001584871.1.p1	XM_043322638.1.p1
OG0002142	XM_001598306.1.p1	XM_043319929.1.p1
OG0002144	XM_001590305.1.p1	XM_043330799.1.p1
OG0002146	XM_001595747.1.p1	XM_043320184.1.p1
OG0002147	XM_001588429.1.p1	XM_043322765.1.p1
OG0002148	XM_001587218.1.p1	XM_043327297.1.p1
OG0002149	XM_001595097.1.p1	XM_043320524.1.p1
OG0002150	XM_001589080.1.p1	XM_043325524.1.p1
OG0002151	XM_001590139.1.p1	XM_043321430.1.p1
OG0002152	XM_001597362.1.p1	XM_043321171.1.p1
OG0002153	XM_001588677.1.p1	XM_043325190.1.p1
OG0002154	XM_001598883.1.p1	XM_043326337.1.p1
OG0002155	XM_001589224.1.p1	XM_043330706.1.p1
OG0002156	XM_001592773.1.p1	XM_043322155.1.p1
OG0002157	XM_001589310.1.p1	XM_043323713.1.p1
OG0002158	XM_001589202.1.p1	XM_043329283.1.p1
OG0002159	XM_001597069.1.p1	XM_043327041.1.p1
OG0002160	XM_001597338.1.p1	XM_043320474.1.p1
OG0002161	XM_001594738.1.p1	XM_043323241.1.p1
OG0002163	XM_001592926.1.p1	XM_043326019.1.p1
OG0002164	XM_001596685.1.p1	XM_043329390.1.p1
OG0002165	XM_001586253.1.p1	XM_043326550.1.p1
OG0002166	XM_001598851.1.p1	XM_043321700.1.p1
OG0002167	XM_001588909.1.p1	XM_043320211.1.p1
OG0002169	XM_001588232.1.p1	XM_043331151.1.p1
OG0002170	XM_001588185.1.p1	XM_043329205.1.p1
OG0002171	XM_001598808.1.p1	XM_043324078.1.p1
OG0002172	XM_001593168.1.p1	XM_043322805.1.p1
OG0002173	XM_001593342.1.p1	XM_043321576.1.p1
OG0002174	XM_001587971.1.p1	XM_043320126.1.p1
OG0002175	XM_001585700.1.p1	XM_043329582.1.p1, XM_043329556.1.p1
OG0002176	XM_001591669.1.p1	XM_043320201.1.p1
OG0002177	XM_001593376.1.p1	XM_043322500.1.p1
OG0002178	XM_001597354.1.p1	XM_043323044.1.p1
OG0002179	XM_001597351.1.p1	XM_043321265.1.p1
OG0002181	XM_001592505.1.p1	XM_043320577.1.p1
OG0002182	XM_001592661.1.p1	XM_043331567.1.p1
OG0002183	XM_001594214.1.p1	XM_043324993.1.p1
OG0002184	XM_001586165.1.p1	XM_043324876.1.p1
OG0002185	XM_001597309.1.p1	XM_043329430.1.p1
OG0002186	XM_001596132.1.p1	XM_043322750.1.p1
OG0002188	XM_001596239.1.p1	XM_043320114.1.p1, XM_043320113.1.p1
OG0002189	XM_001598107.1.p1, XM_001593649.1.p1	XM_043326243.1.p1
OG0002190	XM_001593887.1.p1	XM_043326625.1.p1
OG0002191	XM_001591504.1.p1	XM_043328864.1.p1
OG0002193	XM_001598522.1.p1	XM_043323844.1.p1
OG0002194	XM_001584529.1.p1	XM_043328669.1.p1
OG0002195	XM_001585413.1.p1	XM_043324872.1.p1
OG0002196	XM_001587560.1.p1	XM_043322756.1.p1
OG0002197	XM_001591624.1.p1	XM_043323962.1.p1
OG0002199	XM_001591037.1.p1	XM_043320352.1.p1
OG0002200	XM_001596106.1.p1	XM_043322786.1.p1
OG0002201	XM_001589339.1.p1	XM_043326874.1.p1, XM_043330294.1.p1
OG0002202	XM_001586194.1.p1	XM_043323914.1.p1
OG0002203	XM_001598207.1.p1	XM_043327634.1.p1
OG0002204	XM_001585587.1.p1	XM_043323286.1.p1
OG0002207	XM_001598061.1.p1	XM_043323252.1.p1
OG0002208	XM_001597727.1.p1	XM_043328315.1.p1
OG0002209	XM_001591570.1.p1	XM_043322379.1.p1
OG0002210	XM_001593476.1.p1	XM_043321614.1.p1
OG0002211	XM_001595934.1.p1	XM_043329209.1.p1
OG0002212	XM_001588015.1.p1	XM_043328917.1.p1
OG0002215	XM_001593925.1.p1	XM_043323056.1.p1, XM_043325477.1.p1, XM_043324477.1.p1, XM_043330883.1.p1, XM_043327348.1.p1, XM_043324481.1.p1
OG0002216	XM_001588581.1.p1	XM_043322959.1.p1
OG0002217	XM_001586440.1.p1	XM_043320255.1.p1
OG0002218	XM_001586061.1.p1	XM_043327694.1.p1
OG0002219	XM_001597578.1.p1	XM_043323830.1.p1
OG0002220	XM_001585691.1.p1	XM_043324236.1.p1
OG0002221	XM_001588318.1.p1	XM_043330184.1.p1
OG0002222	XM_001598076.1.p1	XM_043326568.1.p1
OG0002223	XM_001597501.1.p1	XM_043326166.1.p1
OG0002224	XM_001585858.1.p1	XM_043326520.1.p1
OG0002225	XM_001594478.1.p1	XM_043320761.1.p1
OG0002226	XM_001584839.1.p1	XM_043330381.1.p1
OG0002227	XM_001593889.1.p1	XM_043320993.1.p1
OG0002228	XM_001586724.1.p1	XM_043322041.1.p1
OG0002229	XM_001593158.1.p1	XM_043320699.1.p1
OG0002230	XM_001593506.1.p1	XM_043324079.1.p1
OG0002231	XM_001585598.1.p1	XM_043326085.1.p1
OG0002232	XM_001589358.1.p1	XM_043322085.1.p1
OG0002233	XM_001595518.1.p1	XM_043329986.1.p1, XM_043329974.1.p1, XM_043329985.1.p1
OG0002234	XM_001587071.1.p1	XM_043325012.1.p1
OG0002235	XM_001587174.1.p1	XM_043326156.1.p1
OG0002236	XM_001593056.1.p1	XM_043331356.1.p1
OG0002237	XM_001590016.1.p1	XM_043323186.1.p1
OG0002238	XM_001585760.1.p1	XM_043321977.1.p1
OG0002239	XM_001598706.1.p1	XM_043323547.1.p1
OG0002240	XM_001596018.1.p1	XM_043324711.1.p1
OG0002241	XM_001596710.1.p1	XM_043323918.1.p1
OG0002242	XM_001593203.1.p1	XM_043324062.1.p1
OG0002244	XM_001584570.1.p1	XM_043320865.1.p1
OG0002245	XM_001585829.1.p1	XM_043328234.1.p1
OG0002246	XM_001589689.1.p1	XM_043331521.1.p1
OG0002247	XM_001594109.1.p1	XM_043325871.1.p1
OG0002249	XM_001586745.1.p1	XM_043329053.1.p1
OG0002250	XM_001591244.1.p1	XM_043326370.1.p1
OG0002251	XM_001597957.1.p1	XM_043326624.1.p1
OG0002252	XM_001597393.1.p1	XM_043320196.1.p1
OG0002253	XM_001592156.1.p1	XM_043327686.1.p1
OG0002255	XM_001598058.1.p1	XM_043320167.1.p1
OG0002256	XM_001597665.1.p1	XM_043323703.1.p1
OG0002257	XM_001595716.1.p1	XM_043322599.1.p1
OG0002258	XM_001595567.1.p1	XM_043320120.1.p1
OG0002259	XM_001587718.1.p1	XM_043331938.1.p1
OG0002260	XM_001589832.1.p1	XM_043329492.1.p1
OG0002262	XM_001589945.1.p1	XM_043320418.1.p1
OG0002263	XM_001587282.1.p1	XM_043322801.1.p1
OG0002264	XM_001593750.1.p1	XM_043323549.1.p1
OG0002265	XM_001594511.1.p1	XM_043328223.1.p1
OG0002266	XM_001586466.1.p1	XM_043329192.1.p1
OG0002268	XM_001586142.1.p1	XM_043324067.1.p1
OG0002269	XM_001594966.1.p1	XM_043327307.1.p1
OG0002270	XM_001585906.1.p1	XM_043320294.1.p1
OG0002271	XM_001595957.1.p1	XM_043326269.1.p1
OG0002272	XM_001595860.1.p1	XM_043320417.1.p1
OG0002273	XM_001598458.1.p1	XM_043330215.1.p1
OG0002275	XM_001588146.1.p1	XM_043328296.1.p1
OG0002276	XM_001588261.1.p1	XM_043321895.1.p1
OG0002277	XM_001595576.1.p1	XM_043321256.1.p1
OG0002278	XM_001595383.1.p1	XM_043325071.1.p1
OG0002279	XM_001592136.1.p1	XM_043325047.1.p1
OG0002280	XM_001589331.1.p1	XM_043330639.1.p1
OG0002281	XM_001592956.1.p1	XM_043320949.1.p1
OG0002282	XM_001592660.1.p1	XM_043330864.1.p1
OG0002283	XM_001584904.1.p1	XM_043321802.1.p1
OG0002285	XM_001593379.1.p1	XM_043329681.1.p1
OG0002286	XM_001587647.1.p1	XM_043326478.1.p1
OG0002287	XM_001597641.1.p1	XM_043326479.1.p1
OG0002288	XM_001595843.1.p1	XM_043321880.1.p1
OG0002289	XM_001584771.1.p1	XM_043329777.1.p1
OG0002290	XM_001590177.1.p1	XM_043323151.1.p1
OG0002291	XM_001596893.1.p1	XM_043328970.1.p1
OG0002292	XM_001598831.1.p1	XM_043321799.1.p1
OG0002293	XM_001593573.1.p1	XM_043323078.1.p1
OG0002294	XM_001588293.1.p1	XM_043321903.1.p1
OG0002295	XM_001593937.1.p1	XM_043323558.1.p1
OG0002296	XM_001587760.1.p1	XM_043324143.1.p1
OG0002297	XM_001592882.1.p1	XM_043331377.1.p1
OG0002298	XM_001589964.1.p1	XM_043324970.1.p1
OG0002299	XM_001587291.1.p1	XM_043324843.1.p1
OG0002300	XM_001584752.1.p1	XM_043327568.1.p1
OG0002301	XM_001587554.1.p1	XM_043323621.1.p1
OG0002302	XM_001597423.1.p1	XM_043321825.1.p1
OG0002303	XM_001592886.1.p1	XM_043329078.1.p1
OG0002304	XM_001590430.1.p1	XM_043328767.1.p1
OG0002305	XM_001588373.1.p1	XM_043324066.1.p1
OG0002307	XM_001595335.1.p1	XM_043330967.1.p1
OG0002309	XM_001597164.1.p1	XM_043320753.1.p1
OG0002310	XM_001597869.1.p1	XM_043321868.1.p1
OG0002311	XM_001593843.1.p1	XM_043320399.1.p1
OG0002312	XM_001597581.1.p1	XM_043322084.1.p1
OG0002313	XM_001598817.1.p1	XM_043323890.1.p1
OG0002314	XM_001592506.1.p1	XM_043330524.1.p1
OG0002315	XM_001595086.1.p1	XM_043325087.1.p1
OG0002316	XM_001595372.1.p1	XM_043323764.1.p1
OG0002317	XM_001595624.1.p1	XM_043328067.1.p1
OG0002318	XM_001592313.1.p1	XM_043320618.1.p1
OG0002319	XM_001593042.1.p1	XM_043327255.1.p1
OG0002320	XM_001590262.1.p1	XM_043321201.1.p1
OG0002321	XM_001598171.1.p1	XM_043322963.1.p1
OG0002322	XM_001597819.1.p1	XM_043320261.1.p1
OG0002323	XM_001585649.1.p1	XM_043328891.1.p1
OG0002324	XM_001594335.1.p1	XM_043328905.1.p1
OG0002325	XM_001597853.1.p1	XM_043322055.1.p1
OG0002326	XM_001594840.1.p1	XM_043321338.1.p1
OG0002327	XM_001585077.1.p1, XM_001598283.1.p1, XM_001596433.1.p1	XM_043326160.1.p1, XM_043326159.1.p1
OG0002328	XM_001593853.1.p1	XM_043325769.1.p1
OG0002329	XM_001585575.1.p1	XM_043326435.1.p1
OG0002330	XM_001585275.1.p1	XM_043320851.1.p1
OG0002332	XM_001598860.1.p1	XM_043328151.1.p1
OG0002334	XM_001598728.1.p1	XM_043321288.1.p1
OG0002336	XM_001598169.1.p1	XM_043321660.1.p1
OG0002338	XM_001589830.1.p1	XM_043323838.1.p1
OG0002339	XM_001595315.1.p1	XM_043324896.1.p1
OG0002342	XM_001593487.1.p1	XM_043321774.1.p1
OG0002343	XM_001588118.1.p1	XM_043323168.1.p1
OG0002344	XM_001588788.1.p1	XM_043320213.1.p1
OG0002345	XM_001588207.1.p1	XM_043326525.1.p1, XM_043326526.1.p1
OG0002346	XM_001589482.1.p1	XM_043330659.1.p1
OG0002347	XM_001591280.1.p1	XM_043323011.1.p1
OG0002348	XM_001587377.1.p1	XM_043321459.1.p1
OG0002349	XM_001592258.1.p1	XM_043322443.1.p1
OG0002350	XM_001592823.1.p1	XM_043323284.1.p1
OG0002351	XM_001596380.1.p1, XM_001586200.1.p1, XM_001585578.1.p1	XM_043329153.1.p1
OG0002352	XM_001587843.1.p1	XM_043328923.1.p1
OG0002353	XM_001591075.1.p1	XM_043324807.1.p1
OG0002354	XM_001597127.1.p1	XM_043329730.1.p1
OG0002355	XM_001587838.1.p1	XM_043319982.1.p1
OG0002356	XM_001587759.1.p1	XM_043321889.1.p1
OG0002357	XM_001586659.1.p1	XM_043320755.1.p1
OG0002358	XM_001598417.1.p1	XM_043326998.1.p1
OG0002359	XM_001588052.1.p1	XM_043321931.1.p1
OG0002361	XM_001597742.1.p1	XM_043320234.1.p1
OG0002362	XM_001598086.1.p1	XM_043320389.1.p1
OG0002363	XM_001593705.1.p1	XM_043323734.1.p1
OG0002364	XM_001585557.1.p1	XM_043324154.1.p1
OG0002365	XM_001595933.1.p1	XM_043321436.1.p1
OG0002366	XM_001588393.1.p1	XM_043320859.1.p1
OG0002367	XM_001594557.1.p1	XM_043326336.1.p1
OG0002368	XM_001595238.1.p1	XM_043329646.1.p1
OG0002369	XM_001584507.1.p1	XM_043326555.1.p1
OG0002370	XM_001585727.1.p1, XM_001585728.1.p1	XM_043324833.1.p1
OG0002371	XM_001589243.1.p1	XM_043331307.1.p1
OG0002372	XM_001588478.1.p1	XM_043322980.1.p1
OG0002373	XM_001588479.1.p1	XM_043320926.1.p1
OG0002375	XM_001595425.1.p1	XM_043320875.1.p1
OG0002376	XM_001595422.1.p1	XM_043331464.1.p1
OG0002377	XM_001594986.1.p1	XM_043322585.1.p1
OG0002378	XM_001588929.1.p1	XM_043328997.1.p1
OG0002379	XM_001590796.1.p1	XM_043330841.1.p1
OG0002380	XM_001588912.1.p1	XM_043321022.1.p1
OG0002381	XM_001597772.1.p1	XM_043321750.1.p1
OG0002382	XM_001595209.1.p1	XM_043328068.1.p1
OG0002383	XM_001596917.1.p1	XM_043321583.1.p1
OG0002384	XM_001584879.1.p1	XM_043329042.1.p1
OG0002385	XM_001589146.1.p1	XM_043320360.1.p1
OG0002386	XM_001584569.1.p1	XM_043326649.1.p1
OG0002387	XM_001594876.1.p1	XM_043322682.1.p1
OG0002388	XM_001592624.1.p1	XM_043328879.1.p1
OG0002389	XM_001587189.1.p1	XM_043323970.1.p1
OG0002390	XM_001592830.1.p1	XM_043321499.1.p1
OG0002391	XM_001595967.1.p1	XM_043323462.1.p1
OG0002392	XM_001586127.1.p1	XM_043327254.1.p1
OG0002393	XM_001586184.1.p1	XM_043325421.1.p1
OG0002394	XM_001586212.1.p1	XM_043324966.1.p1
OG0002395	XM_001594425.1.p1	XM_043328843.1.p1
OG0002396	XM_001596168.1.p1	XM_043331255.1.p1
OG0002397	XM_001589782.1.p1	XM_043320811.1.p1
OG0002398	XM_001594155.1.p1	XM_043329441.1.p1
OG0002401	XM_001595754.1.p1	XM_043329899.1.p1, XM_043329236.1.p1
OG0002402	XM_001588124.1.p1	XM_043323221.1.p1
OG0002403	XM_001592602.1.p1	XM_043330599.1.p1
OG0002404	XM_001588016.1.p1	XM_043320355.1.p1
OG0002405	XM_001589065.1.p1	XM_043328871.1.p1
OG0002406	XM_001586753.1.p1	XM_043328736.1.p1
OG0002409	XM_001587423.1.p1	XM_043330832.1.p1
OG0002410	XM_001588572.1.p1	XM_043324884.1.p1
OG0002411	XM_001590034.1.p1	XM_043323076.1.p1
OG0002412	XM_001595626.1.p1	XM_043321901.1.p1
OG0002413	XM_001597756.1.p1	XM_043323941.1.p1
OG0002414	XM_001590316.1.p1	XM_043324072.1.p1
OG0002415	XM_001596943.1.p1	XM_043328294.1.p1
OG0002416	XM_001589713.1.p1	XM_043324315.1.p1
OG0002417	XM_001589334.1.p1	XM_043324982.1.p1
OG0002418	XM_001594589.1.p1	XM_043324845.1.p1
OG0002419	XM_001598016.1.p1, XM_001586267.1.p1	XM_043321505.1.p1
OG0002420	XM_001594858.1.p1	XM_043325004.1.p1
OG0002421	XM_001593009.1.p1	XM_043327151.1.p1
OG0002422	XM_001594652.1.p1	XM_043324937.1.p1
OG0002423	XM_001594210.1.p1	XM_043327538.1.p1
OG0002424	XM_001591952.1.p1	XM_043324773.1.p1
OG0002425	XM_001593135.1.p1	XM_043322695.1.p1
OG0002426	XM_001588914.1.p1	XM_043320338.1.p1
OG0002427	XM_001598628.1.p1, XM_001595007.1.p1	XM_043324108.1.p1
OG0002428	XM_001590856.1.p1	XM_043321813.1.p1
OG0002429	XM_001595179.1.p1	XM_043324255.1.p1
OG0002430	XM_001598075.1.p1	XM_043327046.1.p1
OG0002431	XM_001597639.1.p1	XM_043322184.1.p1
OG0002432	XM_001590247.1.p1	XM_043331591.1.p1
OG0002433	XM_001589704.1.p1	XM_043324335.1.p1, XM_043321120.1.p1
OG0002434	XM_001593832.1.p1	XM_043322588.1.p1
OG0002435	XM_001590066.1.p1	XM_043323596.1.p1
OG0002436	XM_001593361.1.p1	XM_043320786.1.p1
OG0002437	XM_001586501.1.p1	XM_043323684.1.p1
OG0002438	XM_001586503.1.p1	XM_043320562.1.p1
OG0002439	XM_001594859.1.p1	XM_043322395.1.p1
OG0002440	XM_001598924.1.p1	XM_043328855.1.p1
OG0002441	XM_001590288.1.p1	XM_043324267.1.p1
OG0002442	XM_001591113.1.p1	XM_043323065.1.p1
OG0002443	XM_001590201.1.p1	XM_043323904.1.p1
OG0002444	XM_001598430.1.p1	XM_043330511.1.p1
OG0002445	XM_001597355.1.p1	XM_043327485.1.p1
OG0002447	XM_001588694.1.p1	XM_043322422.1.p1
OG0002448	XM_001593050.1.p1, XM_001592499.1.p1	XM_043329067.1.p1
OG0002449	XM_001587882.1.p1	XM_043327005.1.p1
OG0002450	XM_001589833.1.p1	XM_043328224.1.p1
OG0002451	XM_001597573.1.p1	XM_043324028.1.p1
OG0002452	XM_001593776.1.p1	XM_043324368.1.p1
OG0002453	XM_001594118.1.p1	XM_043325518.1.p1
OG0002454	XM_001598746.1.p1	XM_043331355.1.p1
OG0002456	XM_001588422.1.p1	XM_043323699.1.p1
OG0002457	XM_001592468.1.p1	XM_043322653.1.p1
OG0002458	XM_001594962.1.p1	XM_043331137.1.p1
OG0002460	XM_001593378.1.p1	XM_043322864.1.p1
OG0002461	XM_001592392.1.p1	XM_043322916.1.p1
OG0002462	XM_001593638.1.p1	XM_043320170.1.p1
OG0002463	XM_001590865.1.p1	XM_043325037.1.p1, XM_043325038.1.p1
OG0002464	XM_001587385.1.p1	XM_043321375.1.p1
OG0002465	XM_001585367.1.p1	XM_043322626.1.p1
OG0002466	XM_001585372.1.p1	XM_043323910.1.p1
OG0002467	XM_001598572.1.p1	XM_043320140.1.p1
OG0002468	XM_001587300.1.p1	XM_043326346.1.p1
OG0002469	XM_001593574.1.p1	XM_043325935.1.p1
OG0002470	XM_001592765.1.p1	XM_043329877.1.p1
OG0002471	XM_001584681.1.p1	XM_043330113.1.p1
OG0002472	XM_001586847.1.p1	XM_043331832.1.p1
OG0002473	XM_001585235.1.p1	XM_043329853.1.p1
OG0002474	XM_001586760.1.p1	XM_043320466.1.p1
OG0002475	XM_001589055.1.p1	XM_043321597.1.p1
OG0002476	XM_001586512.1.p1	XM_043323554.1.p1
OG0002477	XM_001586618.1.p1	XM_043322005.1.p1
OG0002478	XM_001591876.1.p1	XM_043325239.1.p1
OG0002479	XM_001595226.1.p1	XM_043329028.1.p1
OG0002480	XM_001595448.1.p1	XM_043328976.1.p1
OG0002481	XM_001595114.1.p1	XM_043324293.1.p1
OG0002482	XM_001597483.1.p1	XM_043324238.1.p1
OG0002483	XM_001590892.1.p1	XM_043328360.1.p1
