Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Ustilago_maydis_rna_prot
OG0002152	XM_001597362.1.p1	XM_011390155.1.p1
OG0002153	XM_001588677.1.p1	XM_011391761.1.p1
OG0002154	XM_001598883.1.p1	XM_011389217.1.p1
OG0002155	XM_001589224.1.p1	XM_011391009.1.p1
OG0002156	XM_001592773.1.p1	XM_011390760.1.p1
OG0002157	XM_001589310.1.p1	XM_011388960.1.p1
OG0002158	XM_001589202.1.p1	XM_011392833.1.p1
OG0002159	XM_001597069.1.p1	XM_011393092.1.p1
OG0002160	XM_001597338.1.p1	XM_011392985.1.p1
OG0002161	XM_001594738.1.p1	XM_011389998.1.p1
OG0002162	XM_001585017.1.p1	XM_011389051.1.p1
OG0002163	XM_001592926.1.p1	XM_011389939.1.p1
OG0002164	XM_001596685.1.p1	XM_011393062.1.p1
OG0002165	XM_001586253.1.p1	XM_011389918.1.p1
OG0002166	XM_001598851.1.p1	XM_011387912.1.p1
OG0002167	XM_001588909.1.p1	XM_011392977.1.p1
OG0002168	XM_001587498.1.p1, XM_001593814.1.p1	XM_011388342.1.p1
OG0002169	XM_001588232.1.p1	XM_011389875.1.p1
OG0002170	XM_001588185.1.p1	XM_011389789.1.p1
OG0002171	XM_001598808.1.p1	XM_011388888.1.p1
OG0002172	XM_001593168.1.p1	XM_011393437.1.p1
OG0002173	XM_001593342.1.p1	XM_011390934.1.p1
OG0002174	XM_001587971.1.p1	XM_011391370.1.p1
OG0002175	XM_001585700.1.p1	XM_011390983.1.p1
OG0002176	XM_001591669.1.p1	XM_011393796.1.p1
OG0002177	XM_001593376.1.p1	XM_011393572.1.p1
OG0002178	XM_001597354.1.p1	XM_011391123.1.p1
OG0002179	XM_001597351.1.p1	XM_011388571.1.p1
OG0002181	XM_001592505.1.p1	XM_011387952.1.p1
OG0002182	XM_001592661.1.p1	XM_011388517.1.p1
OG0002183	XM_001594214.1.p1	XM_011392247.1.p1
OG0002184	XM_001586165.1.p1	XM_011392678.1.p1
OG0002185	XM_001597309.1.p1	XM_011391445.1.p1
OG0002186	XM_001596132.1.p1	XM_011392122.1.p1
OG0002188	XM_001596239.1.p1	XM_011392442.1.p1, XM_011394092.1.p1
OG0002189	XM_001598107.1.p1, XM_001593649.1.p1	XM_011390023.1.p1
OG0002190	XM_001593887.1.p1	XM_011390012.1.p1
OG0002191	XM_001591504.1.p1	XM_011391436.1.p1
OG0002193	XM_001598522.1.p1	XM_011392957.1.p1
OG0002194	XM_001584529.1.p1	XM_011388464.1.p1
OG0002195	XM_001585413.1.p1	XM_011392524.1.p1
OG0002196	XM_001587560.1.p1	XM_011390628.1.p1
OG0002197	XM_001591624.1.p1	XM_011392362.1.p1
OG0002198	XM_001595649.1.p1	XM_011390991.1.p1
OG0002199	XM_001591037.1.p1	XM_011390745.1.p1
OG0002200	XM_001596106.1.p1	XM_011389213.1.p1
OG0002201	XM_001589339.1.p1	XM_011392380.1.p1
OG0002202	XM_001586194.1.p1	XM_011393342.1.p1
OG0002203	XM_001598207.1.p1	XM_011391721.1.p1
OG0002204	XM_001585587.1.p1	XM_011391057.1.p1
OG0002205	XM_001596005.1.p1	XM_011392133.1.p1
OG0002207	XM_001598061.1.p1	XM_011389649.1.p1
OG0002208	XM_001597727.1.p1	XM_011392819.1.p1
OG0002209	XM_001591570.1.p1	XM_011394416.1.p1
OG0002210	XM_001593476.1.p1	XM_011388357.1.p1
OG0002211	XM_001595934.1.p1	XM_011392659.1.p1
OG0002212	XM_001588015.1.p1	XM_011391505.1.p1
OG0002213	XM_001593703.1.p1	XM_011387932.1.p1
OG0002217	XM_001586440.1.p1	XM_011393028.1.p1
OG0002218	XM_001586061.1.p1	XM_011393793.1.p1
OG0002219	XM_001597578.1.p1	XM_011388833.1.p1, XM_011388187.1.p1, XM_011393158.1.p1
OG0002220	XM_001585691.1.p1	XM_011390954.1.p1
OG0002221	XM_001588318.1.p1	XM_011388223.1.p1
OG0002222	XM_001598076.1.p1	XM_011391742.1.p1
OG0002223	XM_001597501.1.p1	XM_011389061.1.p1
OG0002224	XM_001585858.1.p1	XM_011389899.1.p1
OG0002225	XM_001594478.1.p1	XM_011391528.1.p1
OG0002226	XM_001584839.1.p1	XM_011388704.1.p1
OG0002227	XM_001593889.1.p1	XM_011391597.1.p1
OG0002228	XM_001586724.1.p1	XM_011388379.1.p1
OG0002229	XM_001593158.1.p1	XM_011393163.1.p1
OG0002230	XM_001593506.1.p1	XM_011392427.1.p1
OG0002231	XM_001585598.1.p1	XM_011389914.1.p1
OG0002232	XM_001589358.1.p1	XM_011390714.1.p1
OG0002233	XM_001595518.1.p1	XM_011393684.1.p1
OG0002234	XM_001587071.1.p1	XM_011389041.1.p1
OG0002235	XM_001587174.1.p1	XM_011392429.1.p1
OG0002236	XM_001593056.1.p1	XM_011392246.1.p1
OG0002237	XM_001590016.1.p1	XM_011389268.1.p1
OG0002238	XM_001585760.1.p1	XM_011388404.1.p1
OG0002239	XM_001598706.1.p1	XM_011394281.1.p1
OG0002240	XM_001596018.1.p1	XM_011392537.1.p1
OG0002241	XM_001596710.1.p1	XM_011391513.1.p1
OG0002242	XM_001593203.1.p1	XM_011391617.1.p1
OG0002244	XM_001584570.1.p1	XM_011393302.1.p1
OG0002245	XM_001585829.1.p1	XM_011390619.1.p1
OG0002246	XM_001589689.1.p1	XM_011388109.1.p1
OG0002247	XM_001594109.1.p1	XM_011392260.1.p1
OG0002249	XM_001586745.1.p1	XM_011394283.1.p1
OG0002250	XM_001591244.1.p1	XM_011390357.1.p1
OG0002251	XM_001597957.1.p1	XM_011390011.1.p1
OG0002252	XM_001597393.1.p1	XM_011391949.1.p1
OG0002253	XM_001592156.1.p1	XM_011391248.1.p1
OG0002254	XM_001595538.1.p1	XM_011393979.1.p1
OG0002255	XM_001598058.1.p1	XM_011388865.1.p1
OG0002256	XM_001597665.1.p1	XM_011391657.1.p1
OG0002257	XM_001595716.1.p1	XM_011393431.1.p1
OG0002258	XM_001595567.1.p1	XM_011390394.1.p1
OG0002259	XM_001587718.1.p1	XM_011390442.1.p1
OG0002260	XM_001589832.1.p1	XM_011390723.1.p1
OG0002262	XM_001589945.1.p1	XM_011393143.1.p1
OG0002263	XM_001587282.1.p1	XM_011388016.1.p1
OG0002264	XM_001593750.1.p1	XM_011394284.1.p1
OG0002265	XM_001594511.1.p1	XM_011391025.1.p1
OG0002266	XM_001586466.1.p1	XM_011394195.1.p1
OG0002268	XM_001586142.1.p1	XM_011393327.1.p1
OG0002269	XM_001594966.1.p1	XM_011389208.1.p1
OG0002270	XM_001585906.1.p1	XM_011389224.1.p1
OG0002271	XM_001595957.1.p1	XM_011390597.1.p1
OG0002272	XM_001595860.1.p1	XM_011394441.1.p1
OG0002273	XM_001598458.1.p1	XM_011388267.1.p1
OG0002275	XM_001588146.1.p1	XM_011390737.1.p1
OG0002276	XM_001588261.1.p1	XM_011390742.1.p1
OG0002277	XM_001595576.1.p1	XM_011394308.1.p1
OG0002278	XM_001595383.1.p1	XM_011388638.1.p1
OG0002279	XM_001592136.1.p1	XM_011392076.1.p1
OG0002280	XM_001589331.1.p1	XM_011389862.1.p1
OG0002281	XM_001592956.1.p1	XM_011391989.1.p1
OG0002282	XM_001592660.1.p1	XM_011392950.1.p1
OG0002283	XM_001584904.1.p1	XM_011388433.1.p1
OG0002284	XM_001586779.1.p1	XM_011393371.1.p1
OG0002285	XM_001593379.1.p1	XM_011390718.1.p1
OG0002286	XM_001587647.1.p1	XM_011390129.1.p1
OG0002287	XM_001597641.1.p1	XM_011391683.1.p1
OG0002288	XM_001595843.1.p1	XM_011390251.1.p1
OG0002289	XM_001584771.1.p1	XM_011393901.1.p1
OG0002290	XM_001590177.1.p1	XM_011393348.1.p1
OG0002291	XM_001596893.1.p1	XM_011392699.1.p1
OG0002292	XM_001598831.1.p1	XM_011389013.1.p1
OG0002293	XM_001593573.1.p1	XM_011388874.1.p1
OG0002294	XM_001588293.1.p1	XM_011387815.1.p1
OG0002295	XM_001593937.1.p1	XM_011391765.1.p1
OG0002296	XM_001587760.1.p1	XM_011390470.1.p1
OG0002297	XM_001592882.1.p1	XM_011392444.1.p1
OG0002298	XM_001589964.1.p1	XM_011392552.1.p1
OG0002299	XM_001587291.1.p1	XM_011392535.1.p1
OG0002300	XM_001584752.1.p1	XM_011393621.1.p1
OG0002301	XM_001587554.1.p1	XM_011388762.1.p1
OG0002302	XM_001597423.1.p1	XM_011388448.1.p1
OG0002303	XM_001592886.1.p1	XM_011388343.1.p1
OG0002304	XM_001590430.1.p1	XM_011393168.1.p1
OG0002305	XM_001588373.1.p1	XM_011391634.1.p1
OG0002307	XM_001595335.1.p1	XM_011390573.1.p1
OG0002308	XM_001588088.1.p1	XM_011388786.1.p1
OG0002309	XM_001597164.1.p1	XM_011390579.1.p1
OG0002310	XM_001597869.1.p1	XM_011391766.1.p1
OG0002311	XM_001593843.1.p1	XM_011387805.1.p1
OG0002312	XM_001597581.1.p1	XM_011388137.1.p1
OG0002313	XM_001598817.1.p1	XM_011391790.1.p1
OG0002314	XM_001592506.1.p1	XM_011390755.1.p1
OG0002315	XM_001595086.1.p1	XM_011392520.1.p1
OG0002317	XM_001595624.1.p1	XM_011391477.1.p1
OG0002318	XM_001592313.1.p1	XM_011391795.1.p1
OG0002319	XM_001593042.1.p1	XM_011392839.1.p1
OG0002320	XM_001590262.1.p1	XM_011392649.1.p1
OG0002321	XM_001598171.1.p1	XM_011391960.1.p1
OG0002322	XM_001597819.1.p1	XM_011387738.1.p1
OG0002323	XM_001585649.1.p1	XM_011391905.1.p1
OG0002324	XM_001594335.1.p1	XM_011392789.1.p1
OG0002325	XM_001597853.1.p1	XM_011389928.1.p1
OG0002326	XM_001594840.1.p1	XM_011388438.1.p1
OG0002327	XM_001585077.1.p1, XM_001598283.1.p1, XM_001596433.1.p1	XM_011389109.1.p1
OG0002328	XM_001593853.1.p1	XM_011390157.1.p1
OG0002329	XM_001585575.1.p1	XM_011390425.1.p1
OG0002330	XM_001585275.1.p1	XM_011393566.1.p1
OG0002332	XM_001598860.1.p1	XM_011390757.1.p1
OG0002334	XM_001598728.1.p1	XM_011392511.1.p1
OG0002336	XM_001598169.1.p1	XM_011392671.1.p1
OG0002338	XM_001589830.1.p1	XM_011389283.1.p1
OG0002339	XM_001595315.1.p1	XM_011392969.1.p1
OG0002342	XM_001593487.1.p1	XM_011387956.1.p1
OG0002343	XM_001588118.1.p1	XM_011393240.1.p1
OG0002344	XM_001588788.1.p1	XM_011393121.1.p1
OG0002345	XM_001588207.1.p1	XM_011388818.1.p1
OG0002346	XM_001589482.1.p1	XM_011390397.1.p1
OG0002347	XM_001591280.1.p1	XM_011394192.1.p1
OG0002348	XM_001587377.1.p1	XM_011390886.1.p1
OG0002349	XM_001592258.1.p1	XM_011389577.1.p1
OG0002350	XM_001592823.1.p1	XM_011394107.1.p1
OG0002351	XM_001596380.1.p1, XM_001586200.1.p1, XM_001585578.1.p1	XM_011393175.1.p1
OG0002352	XM_001587843.1.p1	XM_011392321.1.p1
OG0002353	XM_001591075.1.p1	XM_011391745.1.p1
OG0002354	XM_001597127.1.p1	XM_011391383.1.p1
OG0002355	XM_001587838.1.p1	XM_011389248.1.p1
OG0002357	XM_001586659.1.p1	XM_011392439.1.p1
OG0002358	XM_001598417.1.p1	XM_011389979.1.p1
OG0002361	XM_001597742.1.p1	XM_011389435.1.p1
OG0002362	XM_001598086.1.p1	XM_011387819.1.p1
OG0002363	XM_001593705.1.p1	XM_011389955.1.p1
OG0002364	XM_001585557.1.p1	XM_011390502.1.p1
OG0002365	XM_001595933.1.p1	XM_011390730.1.p1
OG0002366	XM_001588393.1.p1	XM_011389598.1.p1
OG0002367	XM_001594557.1.p1	XM_011389046.1.p1
OG0002369	XM_001584507.1.p1	XM_011389950.1.p1
OG0002370	XM_001585727.1.p1, XM_001585728.1.p1	XM_011390180.1.p1
OG0002371	XM_001589243.1.p1	XM_011388211.1.p1
OG0002372	XM_001588478.1.p1	XM_011388626.1.p1
OG0002373	XM_001588479.1.p1	XM_011390100.1.p1
OG0002374	XM_001584624.1.p1	XM_011388691.1.p1
OG0002375	XM_001595425.1.p1	XM_011388314.1.p1
OG0002376	XM_001595422.1.p1	XM_011388271.1.p1
OG0002377	XM_001594986.1.p1	XM_011394147.1.p1
OG0002378	XM_001588929.1.p1	XM_011391939.1.p1
OG0002379	XM_001590796.1.p1	XM_011393321.1.p1
OG0002380	XM_001588912.1.p1	XM_011393540.1.p1
OG0002381	XM_001597772.1.p1	XM_011393069.1.p1
OG0002382	XM_001595209.1.p1	XM_011391910.1.p1
OG0002383	XM_001596917.1.p1	XM_011392944.1.p1
OG0002384	XM_001584879.1.p1	XM_011393282.1.p1
OG0002385	XM_001589146.1.p1	XM_011389913.1.p1
OG0002386	XM_001584569.1.p1	XM_011389396.1.p1
OG0002387	XM_001594876.1.p1	XM_011388074.1.p1
OG0002388	XM_001592624.1.p1	XM_011394022.1.p1
OG0002389	XM_001587189.1.p1	XM_011392134.1.p1
OG0002390	XM_001592830.1.p1	XM_011391533.1.p1
OG0002391	XM_001595967.1.p1	XM_011388385.1.p1
OG0002392	XM_001586127.1.p1	XM_011392376.1.p1
OG0002393	XM_001586184.1.p1	XM_011391502.1.p1
OG0002394	XM_001586212.1.p1	XM_011392093.1.p1
OG0002395	XM_001594425.1.p1	XM_011392892.1.p1
OG0002396	XM_001596168.1.p1	XM_011393682.1.p1
OG0002397	XM_001589782.1.p1	XM_011390891.1.p1
OG0002398	XM_001594155.1.p1	XM_011390359.1.p1
OG0002399	XM_001590259.1.p1	XM_011392531.1.p1
OG0002401	XM_001595754.1.p1	XM_011392895.1.p1
OG0002402	XM_001588124.1.p1	XM_011392186.1.p1
OG0002403	XM_001592602.1.p1	XM_011388847.1.p1
OG0002404	XM_001588016.1.p1	XM_011391504.1.p1
OG0002405	XM_001589065.1.p1	XM_011388061.1.p1
OG0002406	XM_001586753.1.p1	XM_011388056.1.p1
OG0002409	XM_001587423.1.p1	XM_011390133.1.p1
OG0002410	XM_001588572.1.p1	XM_011390873.1.p1
OG0002411	XM_001590034.1.p1	XM_011393089.1.p1
OG0002412	XM_001595626.1.p1	XM_011390769.1.p1
OG0002413	XM_001597756.1.p1	XM_011388452.1.p1
OG0002414	XM_001590316.1.p1	XM_011388854.1.p1
OG0002415	XM_001596943.1.p1	XM_011388104.1.p1
OG0002416	XM_001589713.1.p1	XM_011389952.1.p1
OG0002417	XM_001589334.1.p1	XM_011394039.1.p1
OG0002418	XM_001594589.1.p1	XM_011388202.1.p1
OG0002419	XM_001598016.1.p1, XM_001586267.1.p1	XM_011389034.1.p1
OG0002420	XM_001594858.1.p1	XM_011389920.1.p1
OG0002421	XM_001593009.1.p1	XM_011391146.1.p1
OG0002422	XM_001594652.1.p1	XM_011393945.1.p1
OG0002423	XM_001594210.1.p1	XM_011393918.1.p1
OG0002424	XM_001591952.1.p1	XM_011393078.1.p1
OG0002425	XM_001593135.1.p1	XM_011392980.1.p1
OG0002426	XM_001588914.1.p1	XM_011392681.1.p1
OG0002427	XM_001598628.1.p1, XM_001595007.1.p1	XM_011389206.1.p1
OG0002428	XM_001590856.1.p1	XM_011388897.1.p1
OG0002430	XM_001598075.1.p1	XM_011390575.1.p1
OG0002431	XM_001597639.1.p1	XM_011391977.1.p1
OG0002432	XM_001590247.1.p1	XM_011388424.1.p1, XM_011392316.1.p1
OG0002433	XM_001589704.1.p1	XM_011390139.1.p1, XM_011390964.1.p1
OG0002435	XM_001590066.1.p1	XM_011394406.1.p1
OG0002436	XM_001593361.1.p1	XM_011391970.1.p1
OG0002437	XM_001586501.1.p1	XM_011394071.1.p1
OG0002438	XM_001586503.1.p1	XM_011391325.1.p1
OG0002439	XM_001594859.1.p1	XM_011388170.1.p1
OG0002440	XM_001598924.1.p1	XM_011387857.1.p1
OG0002441	XM_001590288.1.p1	XM_011390869.1.p1
OG0002442	XM_001591113.1.p1	XM_011393498.1.p1
OG0002443	XM_001590201.1.p1	XM_011389117.1.p1
OG0002444	XM_001598430.1.p1	XM_011391151.1.p1
OG0002445	XM_001597355.1.p1	XM_011392553.1.p1
OG0002447	XM_001588694.1.p1	XM_011391916.1.p1
OG0002448	XM_001593050.1.p1, XM_001592499.1.p1	XM_011391584.1.p1
OG0002449	XM_001587882.1.p1	XM_011388939.1.p1
OG0002450	XM_001589833.1.p1	XM_011392125.1.p1
OG0002451	XM_001597573.1.p1	XM_011394268.1.p1
OG0002452	XM_001593776.1.p1	XM_011391779.1.p1
OG0002453	XM_001594118.1.p1	XM_011391480.1.p1
OG0002454	XM_001598746.1.p1	XM_011392478.1.p1
OG0002456	XM_001588422.1.p1	XM_011388637.1.p1
OG0002457	XM_001592468.1.p1	XM_011388000.1.p1
OG0002458	XM_001594962.1.p1	XM_011392450.1.p1
OG0002460	XM_001593378.1.p1	XM_011391925.1.p1
OG0002461	XM_001592392.1.p1	XM_011390967.1.p1
OG0002462	XM_001593638.1.p1	XM_011391984.1.p1
OG0002463	XM_001590865.1.p1	XM_011391015.1.p1
OG0002464	XM_001587385.1.p1	XM_011389917.1.p1
OG0002465	XM_001585367.1.p1	XM_011393525.1.p1
OG0002466	XM_001585372.1.p1	XM_011388126.1.p1
OG0002467	XM_001598572.1.p1	XM_011388259.1.p1
OG0002468	XM_001587300.1.p1	XM_011387812.1.p1
OG0002469	XM_001593574.1.p1	XM_011392412.1.p1
OG0002470	XM_001592765.1.p1	XM_011394126.1.p1
OG0002471	XM_001584681.1.p1	XM_011392345.1.p1
OG0002472	XM_001586847.1.p1	XM_011390415.1.p1
OG0002473	XM_001585235.1.p1	XM_011387954.1.p1
OG0002474	XM_001586760.1.p1	XM_011394250.1.p1
OG0002475	XM_001589055.1.p1	XM_011390143.1.p1
OG0002476	XM_001586512.1.p1	XM_011394245.1.p1
OG0002477	XM_001586618.1.p1	XM_011390947.1.p1
OG0002478	XM_001591876.1.p1	XM_011388164.1.p1
OG0002479	XM_001595226.1.p1	XM_011389173.1.p1
OG0002480	XM_001595448.1.p1	XM_011390662.1.p1
OG0002481	XM_001595114.1.p1	XM_011391134.1.p1
OG0002482	XM_001597483.1.p1	XM_011393083.1.p1
OG0002483	XM_001590892.1.p1	XM_011388131.1.p1
OG0002484	XM_001593739.1.p1	XM_011390818.1.p1
OG0002485	XM_001584566.1.p1	XM_011390294.1.p1
OG0002486	XM_001590533.1.p1	XM_011392713.1.p1
OG0002487	XM_001590834.1.p1	XM_011392804.1.p1
OG0002488	XM_001592455.1.p1	XM_011390488.1.p1
OG0002489	XM_001593057.1.p1	XM_011392356.1.p1
OG0002490	XM_001586271.1.p1	XM_011391496.1.p1
OG0002491	XM_001598130.1.p1	XM_011392732.1.p1
OG0002492	XM_001590011.1.p1	XM_011388181.1.p1
OG0002493	XM_001596006.1.p1	XM_011393151.1.p1
OG0002494	XM_001586443.1.p1	XM_011389315.1.p1
OG0002495	XM_001592850.1.p1	XM_011389685.1.p1
OG0002496	XM_001588867.1.p1	XM_011389113.1.p1
OG0002497	XM_001594024.1.p1	XM_011391524.1.p1
OG0002498	XM_001593094.1.p1	XM_011388956.1.p1
OG0002499	XM_001597163.1.p1	XM_011393846.1.p1
OG0002500	XM_001598749.1.p1	XM_011391664.1.p1
OG0002501	XM_001587659.1.p1	XM_011390795.1.p1
OG0002502	XM_001597045.1.p1	XM_011393471.1.p1
OG0002503	XM_001589928.1.p1	XM_011391623.1.p1
OG0002504	XM_001587394.1.p1	XM_011387922.1.p1
OG0002505	XM_001593032.1.p1	XM_011391289.1.p1
OG0002506	XM_001589408.1.p1	XM_011392690.1.p1
OG0002507	XM_001594168.1.p1	XM_011393454.1.p1
OG0002508	XM_001590722.1.p1	XM_011393149.1.p1
OG0002509	XM_001585392.1.p1	XM_011391893.1.p1
OG0002510	XM_001588997.1.p1	XM_011391590.1.p1
OG0002511	XM_001589874.1.p1	XM_011391842.1.p1
OG0002512	XM_001593622.1.p1	XM_011393088.1.p1
OG0002513	XM_001597673.1.p1, XM_001590706.1.p1	XM_011393354.1.p1
OG0002514	XM_001594062.1.p1	XM_011392428.1.p1
OG0002515	XM_001586844.1.p1	XM_011389553.1.p1, XM_011389000.1.p1
OG0002517	XM_001594355.1.p1	XM_011387828.1.p1
OG0002518	XM_001597397.1.p1	XM_011388569.1.p1
OG0002519	XM_001594991.1.p1	XM_011393508.1.p1
OG0002520	XM_001595419.1.p1	XM_011388040.1.p1
OG0002521	XM_001590381.1.p1	XM_011393954.1.p1
OG0002522	XM_001590983.1.p1, XM_001590982.1.p1	XM_011388157.1.p1
OG0002523	XM_001585549.1.p1	XM_011392886.1.p1
OG0002524	XM_001592486.1.p1	XM_011389405.1.p1
OG0002525	XM_001589795.1.p1	XM_011393293.1.p1
OG0002526	XM_001594521.1.p1	XM_011394457.1.p1
OG0002527	XM_001593981.1.p1	XM_011390576.1.p1
OG0002528	XM_001595491.1.p1	XM_011392189.1.p1
OG0002529	XM_001589430.1.p1	XM_011391512.1.p1
OG0002530	XM_001596453.1.p1	XM_011393270.1.p1
OG0002531	XM_001591553.1.p1	XM_011390667.1.p1
OG0002532	XM_001591796.1.p1	XM_011389907.1.p1
OG0002533	XM_001598469.1.p1	XM_011393706.1.p1
OG0002534	XM_001590007.1.p1	XM_011394384.1.p1
OG0002535	XM_001597632.1.p1	XM_011394278.1.p1
OG0002536	XM_001590641.1.p1	XM_011390297.1.p1
OG0002537	XM_001587521.1.p1	XM_011393141.1.p1
OG0002538	XM_001595812.1.p1	XM_011389761.1.p1
OG0002539	XM_001588442.1.p1	XM_011389947.1.p1
OG0002540	XM_001590784.1.p1	XM_011388706.1.p1
OG0002541	XM_001597856.1.p1	XM_011392403.1.p1
OG0002542	XM_001589145.1.p1	XM_011392801.1.p1
OG0002543	XM_001595169.1.p1	XM_011392995.1.p1
OG0002544	XM_001588098.1.p1	XM_011393336.1.p1
OG0002545	XM_001596746.1.p1	XM_011393922.1.p1
OG0002550	XM_001588562.1.p1	XM_011390729.1.p1
OG0002554	XM_001590629.1.p1	XM_011387713.1.p1
OG0002555	XM_001596789.1.p1, XM_001596515.1.p1, XM_001586870.1.p1, XM_001588379.1.p1	XM_011389236.1.p1, XM_011392388.1.p1
OG0002573	XM_001589198.1.p1	XM_011388296.1.p1, XM_011388295.1.p1
OG0002575	XM_001589953.1.p1	XM_011394013.1.p1
OG0002576	XM_001589079.1.p1	XM_011394067.1.p1
OG0002579	XM_001594239.1.p1	XM_011389618.1.p1
OG0002580	XM_001585268.1.p1	XM_011392873.1.p1
OG0002581	XM_001586773.1.p1	XM_011393104.1.p1
OG0002582	XM_001594917.1.p1	XM_011388177.1.p1
OG0002583	XM_001595098.1.p1	XM_011389209.1.p1
OG0002584	XM_001584775.1.p1	XM_011394236.1.p1
OG0002585	XM_001586188.1.p1	XM_011390387.1.p1
OG0002586	XM_001598474.1.p1	XM_011392377.1.p1
OG0002588	XM_001598388.1.p1	XM_011393405.1.p1
OG0002589	XM_001598908.1.p1	XM_011390507.1.p1
OG0002591	XM_001592945.1.p1, XM_001585310.1.p1, XM_001593446.1.p1, XM_001590186.1.p1	XM_011392917.1.p1
OG0002592	XM_001592474.1.p1	XM_011390557.1.p1
OG0002593	XM_001587301.1.p1	XM_011394154.1.p1
OG0002594	XM_001593221.1.p1	XM_011390355.1.p1
OG0002596	XM_001594667.1.p1	XM_011390843.1.p1
OG0002597	XM_001597353.1.p1	XM_011389233.1.p1
OG0002598	XM_001586531.1.p1	XM_011393652.1.p1
OG0002599	XM_001593603.1.p1	XM_011389461.1.p1
OG0002600	XM_001598504.1.p1	XM_011389465.1.p1
OG0002601	XM_001589535.1.p1	XM_011389432.1.p1
OG0002602	XM_001596786.1.p1	XM_011388162.1.p1
OG0002603	XM_001588678.1.p1	XM_011388625.1.p1
OG0002604	XM_001590395.1.p1	XM_011389371.1.p1
OG0002605	XM_001597028.1.p1	XM_011389134.1.p1
OG0002606	XM_001587684.1.p1	XM_011392581.1.p1
OG0002607	XM_001593297.1.p1	XM_011390896.1.p1
OG0002608	XM_001587700.1.p1	XM_011387945.1.p1
OG0002609	XM_001586795.1.p1	XM_011391175.1.p1
OG0002610	XM_001597107.1.p1	XM_011393055.1.p1
OG0002611	XM_001591893.1.p1	XM_011391139.1.p1
OG0002612	XM_001587672.1.p1	XM_011389901.1.p1
OG0002613	XM_001584872.1.p1	XM_011392343.1.p1
OG0002614	XM_001597337.1.p1	XM_011388041.1.p1
OG0002616	XM_001594762.1.p1	XM_011389284.1.p1
OG0002617	XM_001585080.1.p1	XM_011391674.1.p1
OG0002618	XM_001586277.1.p1	XM_011390175.1.p1
OG0002620	XM_001586208.1.p1, XM_001584659.1.p1	XM_011389723.1.p1
OG0002621	XM_001593947.1.p1	XM_011393938.1.p1
OG0002622	XM_001593922.1.p1	XM_011391530.1.p1
OG0002623	XM_001591749.1.p1	XM_011388630.1.p1
OG0002624	XM_001591906.1.p1	XM_011393093.1.p1
OG0002625	XM_001597913.1.p1	XM_011392231.1.p1
OG0002626	XM_001595354.1.p1	XM_011392159.1.p1
OG0002627	XM_001588690.1.p1	XM_011392884.1.p1
OG0002628	XM_001595460.1.p1	XM_011390552.1.p1
OG0002629	XM_001592160.1.p1	XM_011393493.1.p1
OG0002630	XM_001589219.1.p1	XM_011389059.1.p1
OG0002631	XM_001597438.1.p1	XM_011388607.1.p1
OG0002632	XM_001593738.1.p1	XM_011390642.1.p1
OG0002633	XM_001598308.1.p1	XM_011390679.1.p1
OG0002634	XM_001592433.1.p1	XM_011390942.1.p1
OG0002635	XM_001586078.1.p1	XM_011392063.1.p1
OG0002636	XM_001585168.1.p1	XM_011388505.1.p1
OG0002637	XM_001592446.1.p1	XM_011388122.1.p1
OG0002638	XM_001596110.1.p1	XM_011388681.1.p1
OG0002640	XM_001598833.1.p1	XM_011389311.1.p1
OG0002641	XM_001584763.1.p1	XM_011393514.1.p1
OG0002642	XM_001587073.1.p1	XM_011391001.1.p1
OG0002643	XM_001594208.1.p1	XM_011388619.1.p1
OG0002644	XM_001594573.1.p1	XM_011388399.1.p1
OG0002645	XM_001597161.1.p1	XM_011390103.1.p1
OG0002646	XM_001597191.1.p1	XM_011388578.1.p1
OG0002647	XM_001594553.1.p1	XM_011393071.1.p1
OG0002648	XM_001586247.1.p1	XM_011392289.1.p1
OG0002649	XM_001586296.1.p1	XM_011388530.1.p1
OG0002650	XM_001594523.1.p1	XM_011391730.1.p1
OG0002651	XM_001592010.1.p1	XM_011388942.1.p1
OG0002652	XM_001594191.1.p1	XM_011394212.1.p1
OG0002653	XM_001593079.1.p1	XM_011392925.1.p1
OG0002655	XM_001587608.1.p1	XM_011388420.1.p1
OG0002656	XM_001587330.1.p1	XM_011394286.1.p1
OG0002657	XM_001590457.1.p1	XM_011392273.1.p1
OG0002659	XM_001590725.1.p1	XM_011391509.1.p1
OG0002660	XM_001590575.1.p1	XM_011389293.1.p1
OG0002661	XM_001590698.1.p1	XM_011392336.1.p1
OG0002662	XM_001590600.1.p1	XM_011394184.1.p1
OG0002663	XM_001590220.1.p1	XM_011388058.1.p1
OG0002665	XM_001590556.1.p1	XM_011388790.1.p1
OG0002666	XM_001590273.1.p1	XM_011388132.1.p1
OG0002667	XM_001587612.1.p1	XM_011393331.1.p1
OG0002668	XM_001587002.1.p1	XM_011394208.1.p1
OG0002669	XM_001589073.1.p1, XM_001591017.1.p1	XM_011387796.1.p1
OG0002670	XM_001598059.1.p1	XM_011393051.1.p1
OG0002671	XM_001598074.1.p1	XM_011388169.1.p1
OG0002672	XM_001596013.1.p1	XM_011391192.1.p1
OG0002674	XM_001598457.1.p1	XM_011392363.1.p1
