Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Hyaloperonospora_brassicae_cds_prot
OG0001800	XM_001596717.1.p1	lcl|CANTFL010000086.1_cds_CAI5712680.1_948.p1
OG0001802	XM_001590920.1.p1	lcl|CANTFL010000649.1_cds_CAI5726347.1_4021.p1
OG0001803	XM_001593200.1.p1	lcl|CANTFL010000032.1_cds_CAI5709296.1_271.p1
OG0001804	XM_001595592.1.p1	lcl|CANTFL010000976.1_cds_CAI5729050.1_4706.p1
OG0001805	XM_001587985.1.p1	lcl|CANTFL010001465.1_cds_CAI5742269.1_9369.p1
OG0001807	XM_001597030.1.p1	lcl|CANTFL010001473.1_cds_CAI5742593.1_9540.p1
OG0001808	XM_001586117.1.p1	lcl|CANTFL010001332.1_cds_CAI5737235.1_7458.p1
OG0001811	XM_001588110.1.p1	lcl|CANTFL010000056.1_cds_CAI5710155.1_444.p1
OG0001812	XM_001591191.1.p1	lcl|CANTFL010001211.1_cds_CAI5733906.1_6301.p1
OG0001813	XM_001592623.1.p1	lcl|CANTFL010000086.1_cds_CAI5712812.1_976.p1
OG0001815	XM_001586248.1.p1	lcl|CANTFL010001191.1_cds_CAI5733016.1_5997.p1
OG0001816	XM_001585130.1.p1	lcl|CANTFL010000332.1_cds_CAI5720941.1_2644.p1
OG0001817	XM_001589814.1.p1	lcl|CANTFL010000136.1_cds_CAI5714549.1_1331.p1
OG0001818	XM_001597638.1.p1	lcl|CANTFL010001464.1_cds_CAI5742190.1_9326.p1
OG0001819	XM_001591447.1.p1	lcl|CANTFL010000015.1_cds_CAI5708600.1_129.p1, lcl|CANTFL010000049.1_cds_CAI5710088.1_430.p1
OG0001820	XM_001595800.1.p1	lcl|CANTFL010000090.1_cds_CAI5713552.1_1128.p1
OG0001821	XM_001595579.1.p1	lcl|CANTFL010001154.1_cds_CAI5732373.1_5776.p1
OG0001825	XM_001595217.1.p1	lcl|CANTFL010001256.1_cds_CAI5735269.1_6770.p1
OG0001828	XM_001585103.1.p1	lcl|CANTFL010001193.1_cds_CAI5733233.1_6071.p1
OG0001829	XM_001594219.1.p1	lcl|CANTFL010000362.1_cds_CAI5721172.1_2709.p1, lcl|CANTFL010000362.1_cds_CAI5721184.1_2712.p1, lcl|CANTFL010000362.1_cds_CAI5721188.1_2713.p1
OG0001830	XM_001585900.1.p1	lcl|CANTFL010001387.1_cds_CAI5738686.1_7957.p1
OG0001831	XM_001592314.1.p1	lcl|CANTFL010000498.1_cds_CAI5723697.1_3349.p1
OG0001832	XM_001597841.1.p1	lcl|CANTFL010000006.1_cds_CAI5708338.1_70.p1
OG0001833	XM_001594152.1.p1	lcl|CANTFL010001490.1_cds_CAI5743531.1_10031.p1, lcl|CANTFL010001490.1_cds_CAI5743527.1_10033.p1, lcl|CANTFL010001490.1_cds_CAI5743529.1_10032.p1
OG0001834	XM_001589838.1.p1	lcl|CANTFL010000090.1_cds_CAI5713208.1_1055.p1
OG0001835	XM_001591194.1.p1	lcl|CANTFL010001287.1_cds_CAI5735749.1_6937.p1
OG0001836	XM_001597475.1.p1	lcl|CANTFL010000086.1_cds_CAI5711656.1_738.p1
OG0001837	XM_001587327.1.p1	lcl|CANTFL010001238.1_cds_CAI5734618.1_6550.p1
OG0001838	XM_001589014.1.p1	lcl|CANTFL010000086.1_cds_CAI5711877.1_783.p1
OG0001839	XM_001585061.1.p1	lcl|CANTFL010001032.1_cds_CAI5730465.1_5122.p1
OG0001840	XM_001589942.1.p1	lcl|CANTFL010001312.1_cds_CAI5736339.1_7147.p1
OG0001841	XM_001584880.1.p1	lcl|CANTFL010001118.1_cds_CAI5731860.1_5601.p1, lcl|CANTFL010000034.1_cds_CAI5709606.1_334.p1
OG0001842	XM_001594666.1.p1	lcl|CANTFL010001216.1_cds_CAI5734237.1_6417.p1
OG0001844	XM_001590509.1.p1	lcl|CANTFL010001192.1_cds_CAI5733158.1_6047.p1
OG0001845	XM_001589982.1.p1	lcl|CANTFL010000479.1_cds_CAI5723439.1_3282.p1
OG0001846	XM_001596454.1.p1	lcl|CANTFL010000389.1_cds_CAI5721830.1_2871.p1
OG0001847	XM_001594103.1.p1	lcl|CANTFL010000086.1_cds_CAI5712434.1_899.p1
OG0001848	XM_001593509.1.p1	lcl|CANTFL010001254.1_cds_CAI5735095.1_6710.p1
OG0001850	XM_001586794.1.p1	lcl|CANTFL010001211.1_cds_CAI5734031.1_6344.p1
OG0001851	XM_001586923.1.p1	lcl|CANTFL010001446.1_cds_CAI5740583.1_8615.p1
OG0001853	XM_001585928.1.p1	lcl|CANTFL010000301.1_cds_CAI5720564.1_2546.p1
OG0001854	XM_001590829.1.p1	lcl|CANTFL010000037.1_cds_CAI5709790.1_370.p1
OG0001855	XM_001589062.1.p1	lcl|CANTFL010001332.1_cds_CAI5737132.1_7422.p1
OG0001856	XM_001588810.1.p1	lcl|CANTFL010001315.1_cds_CAI5736615.1_7241.p1
OG0001857	XM_001597917.1.p1	lcl|CANTFL010000549.1_cds_CAI5724139.1_3462.p1
OG0001858	XM_001595648.1.p1	lcl|CANTFL010001373.1_cds_CAI5738447.1_7873.p1
OG0001859	XM_001592548.1.p1	lcl|CANTFL010000028.1_cds_CAI5709160.1_244.p1, lcl|CANTFL010000233.1_cds_CAI5719350.1_2302.p1
OG0001860	XM_001596630.1.p1	lcl|CANTFL010001231.1_cds_CAI5734473.1_6500.p1
OG0001861	XM_001594433.1.p1	lcl|CANTFL010001180.1_cds_CAI5732578.1_5845.p1
OG0001862	XM_001598227.1.p1	lcl|CANTFL010001332.1_cds_CAI5737250.1_7463.p1
OG0001863	XM_001590791.1.p1	lcl|CANTFL010000057.1_cds_CAI5710291.1_472.p1
OG0001864	XM_001591521.1.p1	lcl|CANTFL010001477.1_cds_CAI5742810.1_9656.p1
OG0001865	XM_001584801.1.p1	lcl|CANTFL010001332.1_cds_CAI5737064.1_7399.p1
OG0001866	XM_001585049.1.p1	lcl|CANTFL010000254.1_cds_CAI5719936.1_2419.p1
OG0001869	XM_001585799.1.p1	lcl|CANTFL010000138.1_cds_CAI5714993.1_1421.p1
OG0001870	XM_001592420.1.p1	lcl|CANTFL010001018.1_cds_CAI5730161.1_5011.p1, lcl|CANTFL010001244.1_cds_CAI5734956.1_6664.p1
OG0001871	XM_001593531.1.p1	lcl|CANTFL010001109.1_cds_CAI5731601.1_5512.p1
OG0001872	XM_001598490.1.p1	lcl|CANTFL010000144.1_cds_CAI5715458.1_1516.p1
OG0001873	XM_001592991.1.p1	lcl|CANTFL010001128.1_cds_CAI5732005.1_5651.p1
OG0001876	XM_001592238.1.p1	lcl|CANTFL010000251.1_cds_CAI5719695.1_2370.p1
OG0001877	XM_001594162.1.p1	lcl|CANTFL010001387.1_cds_CAI5738667.1_7950.p1
OG0001878	XM_001590659.1.p1	lcl|CANTFL010000971.1_cds_CAI5728989.1_4692.p1
OG0001879	XM_001589618.1.p1	lcl|CANTFL010000226.1_cds_CAI5719104.1_2254.p1, lcl|CANTFL010001134.1_cds_CAI5732075.1_5675.p1
OG0001880	XM_001595660.1.p1	lcl|CANTFL010000363.1_cds_CAI5721216.1_2720.p1
OG0001881	XM_001593122.1.p1	lcl|CANTFL010000591.1_cds_CAI5725199.1_3727.p1
OG0001883	XM_001589201.1.p1	lcl|CANTFL010001420.1_cds_CAI5739437.1_8219.p1
OG0001884	XM_001596916.1.p1	lcl|CANTFL010001296.1_cds_CAI5736034.1_7042.p1
OG0001885	XM_001597820.1.p1	lcl|CANTFL010000272.1_cds_CAI5720198.1_2470.p1
OG0001886	XM_001598473.1.p1	lcl|CANTFL010000634.1_cds_CAI5726053.1_3943.p1, lcl|CANTFL010001332.1_cds_CAI5737144.1_7426.p1, lcl|CANTFL010001332.1_cds_CAI5737150.1_7428.p1, lcl|CANTFL010001332.1_cds_CAI5737141.1_7425.p1
OG0001887	XM_001590264.1.p1	lcl|CANTFL010000188.1_cds_CAI5717794.1_1994.p1
OG0001888	XM_001596012.1.p1	lcl|CANTFL010001453.1_cds_CAI5741885.1_9166.p1
OG0001889	XM_001595935.1.p1	lcl|CANTFL010001111.1_cds_CAI5731703.1_5548.p1
OG0001890	XM_001588390.1.p1	lcl|CANTFL010001027.1_cds_CAI5730404.1_5094.p1
OG0001891	XM_001593041.1.p1	lcl|CANTFL010001059.1_cds_CAI5730856.1_5254.p1
OG0001893	XM_001587267.1.p1	lcl|CANTFL010000076.1_cds_CAI5710944.1_605.p1, lcl|CANTFL010000596.1_cds_CAI5725287.1_3750.p1
OG0001894	XM_001588986.1.p1	lcl|CANTFL010000214.1_cds_CAI5718544.1_2142.p1
OG0001895	XM_001590911.1.p1	lcl|CANTFL010001466.1_cds_CAI5742343.1_9409.p1
OG0001896	XM_001597392.1.p1	lcl|CANTFL010001327.1_cds_CAI5736934.1_7359.p1
OG0001898	XM_001593311.1.p1	lcl|CANTFL010001018.1_cds_CAI5730136.1_5002.p1
OG0001903	XM_001592059.1.p1	lcl|CANTFL010001216.1_cds_CAI5734222.1_6412.p1
OG0001904	XM_001596167.1.p1	lcl|CANTFL010001361.1_cds_CAI5738214.1_7796.p1
OG0001905	XM_001592700.1.p1	lcl|CANTFL010001207.1_cds_CAI5733584.1_6190.p1
OG0001906	XM_001589662.1.p1	lcl|CANTFL010001387.1_cds_CAI5738678.1_7954.p1
OG0001907	XM_001593996.1.p1	lcl|CANTFL010000608.1_cds_CAI5725649.1_3845.p1
OG0001908	XM_001593415.1.p1	lcl|CANTFL010001462.1_cds_CAI5742089.1_9273.p1, lcl|CANTFL010000090.1_cds_CAI5713342.1_1083.p1
OG0001909	XM_001593623.1.p1	lcl|CANTFL010000617.1_cds_CAI5725802.1_3883.p1
OG0001911	XM_001589314.1.p1	lcl|CANTFL010000320.1_cds_CAI5720618.1_2559.p1
OG0001912	XM_001586839.1.p1	lcl|CANTFL010000424.1_cds_CAI5722444.1_3028.p1, lcl|CANTFL010001286.1_cds_CAI5735685.1_6916.p1, lcl|CANTFL010000774.1_cds_CAI5727662.1_4354.p1
OG0001913	XM_001587731.1.p1	lcl|CANTFL010001372.1_cds_CAI5738297.1_7823.p1, lcl|CANTFL010001372.1_cds_CAI5738300.1_7822.p1, lcl|CANTFL010000665.1_cds_CAI5726647.1_4099.p1
OG0001914	XM_001593298.1.p1	lcl|CANTFL010001327.1_cds_CAI5736843.1_7326.p1, lcl|CANTFL010001296.1_cds_CAI5736046.1_7046.p1
OG0001915	XM_001587673.1.p1	lcl|CANTFL010001416.1_cds_CAI5739343.1_8187.p1
OG0001916	XM_001586854.1.p1	lcl|CANTFL010000528.1_cds_CAI5723841.1_3386.p1
OG0001917	XM_001590908.1.p1	lcl|CANTFL010000086.1_cds_CAI5712471.1_906.p1, lcl|CANTFL010001114.1_cds_CAI5731788.1_5576.p1
OG0001918	XM_001590387.1.p1	lcl|CANTFL010001484.1_cds_CAI5742997.1_9754.p1
OG0001919	XM_001590115.1.p1	lcl|CANTFL010001192.1_cds_CAI5733102.1_6025.p1
OG0001920	XM_001591029.1.p1	lcl|CANTFL010000086.1_cds_CAI5711976.1_804.p1
OG0001921	XM_001595343.1.p1	lcl|CANTFL010001427.1_cds_CAI5739645.1_8290.p1
OG0001922	XM_001586175.1.p1	lcl|CANTFL010001320.1_cds_CAI5736747.1_7285.p1
OG0001924	XM_001584617.1.p1	lcl|CANTFL010001439.1_cds_CAI5739910.1_8384.p1
OG0001926	XM_001584509.1.p1	lcl|CANTFL010000448.1_cds_CAI5722707.1_3094.p1
OG0001927	XM_001586446.1.p1	lcl|CANTFL010000438.1_cds_CAI5722594.1_3065.p1
OG0001929	XM_001591408.1.p1	lcl|CANTFL010001482.1_cds_CAI5742920.1_9713.p1
OG0001930	XM_001591632.1.p1	lcl|CANTFL010001485.1_cds_CAI5743114.1_9812.p1
OG0001931	XM_001592168.1.p1	lcl|CANTFL010000389.1_cds_CAI5721875.1_2883.p1
OG0001933	XM_001597286.1.p1	lcl|CANTFL010001110.1_cds_CAI5731658.1_5533.p1
OG0001935	XM_001592593.1.p1	lcl|CANTFL010000478.1_cds_CAI5723325.1_3254.p1
OG0001936	XM_001587296.1.p1, XM_001594563.1.p1	lcl|CANTFL010000251.1_cds_CAI5719667.1_2363.p1, lcl|CANTFL010001025.1_cds_CAI5730292.1_5056.p1
OG0001939	XM_001593108.1.p1	lcl|CANTFL010000057.1_cds_CAI5710361.1_487.p1
OG0001940	XM_001594951.1.p1	lcl|CANTFL010001446.1_cds_CAI5740677.1_8649.p1
OG0001942	XM_001589457.1.p1	lcl|CANTFL010001018.1_cds_CAI5730127.1_4999.p1, lcl|CANTFL010001018.1_cds_CAI5730124.1_4998.p1
OG0001943	XM_001590718.1.p1	lcl|CANTFL010000148.1_cds_CAI5716163.1_1659.p1
OG0001944	XM_001589563.1.p1	lcl|CANTFL010001446.1_cds_CAI5740657.1_8641.p1, lcl|CANTFL010001446.1_cds_CAI5740654.1_8642.p1
OG0001945	XM_001591844.1.p1	lcl|CANTFL010001244.1_cds_CAI5734795.1_6606.p1, lcl|CANTFL010000363.1_cds_CAI5721212.1_2719.p1
OG0001946	XM_001590101.1.p1	lcl|CANTFL010001450.1_cds_CAI5741533.1_8980.p1
OG0001947	XM_001584666.1.p1	lcl|CANTFL010001234.1_cds_CAI5734524.1_6519.p1
OG0001948	XM_001593863.1.p1	lcl|CANTFL010000086.1_cds_CAI5712425.1_897.p1
OG0001949	XM_001589052.1.p1	lcl|CANTFL010001058.1_cds_CAI5730821.1_5241.p1
OG0001950	XM_001589070.1.p1	lcl|CANTFL010001207.1_cds_CAI5733727.1_6244.p1
OG0001952	XM_001596948.1.p1	lcl|CANTFL010001446.1_cds_CAI5740998.1_8764.p1
OG0001953	XM_001598721.1.p1	lcl|CANTFL010001204.1_cds_CAI5733518.1_6169.p1
OG0001954	XM_001592673.1.p1	lcl|CANTFL010000086.1_cds_CAI5712559.1_923.p1
OG0001955	XM_001589327.1.p1	lcl|CANTFL010000409.1_cds_CAI5722013.1_2919.p1
OG0001957	XM_001595336.1.p1	lcl|CANTFL010000090.1_cds_CAI5713145.1_1042.p1
OG0001958	XM_001598033.1.p1	lcl|CANTFL010000080.1_cds_CAI5711395.1_695.p1
OG0001959	XM_001587462.1.p1	lcl|CANTFL010000235.1_cds_CAI5719448.1_2321.p1
OG0001960	XM_001590817.1.p1	lcl|CANTFL010001332.1_cds_CAI5737161.1_7432.p1
OG0001961	XM_001590618.1.p1	lcl|CANTFL010001187.1_cds_CAI5732909.1_5961.p1
OG0001964	XM_001597866.1.p1	lcl|CANTFL010000006.1_cds_CAI5708311.1_63.p1
OG0001965	XM_001595936.1.p1	lcl|CANTFL010001449.1_cds_CAI5741400.1_8912.p1
OG0001966	XM_001591474.1.p1	lcl|CANTFL010001008.1_cds_CAI5729811.1_4906.p1
OG0001967	XM_001586605.1.p1	lcl|CANTFL010000221.1_cds_CAI5718614.1_2156.p1
OG0001968	XM_001591512.1.p1	lcl|CANTFL010000235.1_cds_CAI5719468.1_2325.p1
OG0001969	XM_001589930.1.p1	lcl|CANTFL010001451.1_cds_CAI5741675.1_9053.p1
OG0001970	XM_001593043.1.p1	lcl|CANTFL010001244.1_cds_CAI5734900.1_6642.p1, lcl|CANTFL010000409.1_cds_CAI5722104.1_2942.p1
OG0001971	XM_001596203.1.p1	lcl|CANTFL010000665.1_cds_CAI5726511.1_4062.p1
OG0001972	XM_001597359.1.p1	lcl|CANTFL010000089.1_cds_CAI5713033.1_1021.p1
OG0001973	XM_001596622.1.p1	lcl|CANTFL010001465.1_cds_CAI5742278.1_9375.p1
OG0001974	XM_001588784.1.p1	lcl|CANTFL010000003.1_cds_CAI5708253.1_49.p1
OG0001975	XM_001593765.1.p1	lcl|CANTFL010000174.1_cds_CAI5717278.1_1888.p1
OG0001977	XM_001589100.1.p1	lcl|CANTFL010000632.1_cds_CAI5725926.1_3913.p1
OG0001979	XM_001587346.1.p1	lcl|CANTFL010001180.1_cds_CAI5732682.1_5881.p1
OG0001980	XM_001595208.1.p1	lcl|CANTFL010000479.1_cds_CAI5723450.1_3285.p1
OG0001981	XM_001586295.1.p1	lcl|CANTFL010001403.1_cds_CAI5739011.1_8069.p1
OG0001982	XM_001585489.1.p1	lcl|CANTFL010000810.1_cds_CAI5727816.1_4395.p1
OG0001983	XM_001587797.1.p1	lcl|CANTFL010000450.1_cds_CAI5722733.1_3100.p1
OG0001984	XM_001596302.1.p1	lcl|CANTFL010000167.1_cds_CAI5716738.1_1776.p1
OG0001986	XM_001585852.1.p1	lcl|CANTFL010000388.1_cds_CAI5721613.1_2816.p1
OG0001987	XM_001586943.1.p1	lcl|CANTFL010000608.1_cds_CAI5725523.1_3813.p1
OG0001988	XM_001591278.1.p1	lcl|CANTFL010001211.1_cds_CAI5734015.1_6337.p1, lcl|CANTFL010001211.1_cds_CAI5734011.1_6338.p1, lcl|CANTFL010001211.1_cds_CAI5734018.1_6339.p1
OG0001989	XM_001585907.1.p1	lcl|CANTFL010000173.1_cds_CAI5716884.1_1807.p1
OG0001990	XM_001597971.1.p1	lcl|CANTFL010001416.1_cds_CAI5739336.1_8184.p1
OG0001991	XM_001585102.1.p1	lcl|CANTFL010001009.1_cds_CAI5729853.1_4917.p1
OG0001993	XM_001586719.1.p1	lcl|CANTFL010001490.1_cds_CAI5743463.1_9997.p1
OG0001994	XM_001596952.1.p1	lcl|CANTFL010000810.1_cds_CAI5727861.1_4406.p1
OG0001995	XM_001596687.1.p1	lcl|CANTFL010001486.1_cds_CAI5743195.1_9854.p1
OG0001996	XM_001592027.1.p1	lcl|CANTFL010000136.1_cds_CAI5714662.1_1354.p1
OG0001997	XM_001595900.1.p1	lcl|CANTFL010001342.1_cds_CAI5737624.1_7590.p1
OG0001998	XM_001590545.1.p1	lcl|CANTFL010000417.1_cds_CAI5722285.1_2988.p1
OG0001999	XM_001597790.1.p1	lcl|CANTFL010001075.1_cds_CAI5730979.1_5298.p1
OG0002000	XM_001598297.1.p1	lcl|CANTFL010001445.1_cds_CAI5740477.1_8582.p1, lcl|CANTFL010001445.1_cds_CAI5740392.1_8550.p1
OG0002001	XM_001597034.1.p1	lcl|CANTFL010000368.1_cds_CAI5721336.1_2747.p1
OG0002002	XM_001588889.1.p1	lcl|CANTFL010001449.1_cds_CAI5741409.1_8918.p1
OG0002003	XM_001590376.1.p1	lcl|CANTFL010001315.1_cds_CAI5736561.1_7222.p1
OG0002004	XM_001585279.1.p1	lcl|CANTFL010001420.1_cds_CAI5739400.1_8206.p1
OG0002005	XM_001591723.1.p1	lcl|CANTFL010001448.1_cds_CAI5741123.1_8808.p1
OG0002006	XM_001594678.1.p1	lcl|CANTFL010001216.1_cds_CAI5734264.1_6426.p1
OG0002007	XM_001588209.1.p1	lcl|CANTFL010000002.1_cds_CAI5708115.1_14.p1
OG0002008	XM_001587133.1.p1	lcl|CANTFL010000204.1_cds_CAI5718371.1_2108.p1
OG0002009	XM_001586907.1.p1	lcl|CANTFL010001095.1_cds_CAI5731330.1_5418.p1
OG0002010	XM_001592527.1.p1	lcl|CANTFL010000591.1_cds_CAI5725189.1_3724.p1
OG0002011	XM_001591489.1.p1	lcl|CANTFL010001018.1_cds_CAI5730115.1_4995.p1
OG0002012	XM_001589774.1.p1	lcl|CANTFL010001005.1_cds_CAI5729784.1_4897.p1
OG0002013	XM_001589276.1.p1	lcl|CANTFL010000861.1_cds_CAI5728250.1_4505.p1
OG0002014	XM_001591834.1.p1	lcl|CANTFL010001244.1_cds_CAI5734880.1_6635.p1
OG0002016	XM_001597788.1.p1	lcl|CANTFL010000550.1_cds_CAI5724279.1_3497.p1, lcl|CANTFL010001312.1_cds_CAI5736269.1_7122.p1
OG0002018	XM_001594980.1.p1, XM_001594979.1.p1	lcl|CANTFL010001296.1_cds_CAI5736107.1_7069.p1
OG0002019	XM_001597612.1.p1	lcl|CANTFL010001018.1_cds_CAI5730152.1_5008.p1, lcl|CANTFL010001032.1_cds_CAI5730477.1_5125.p1
OG0002020	XM_001595551.1.p1	lcl|CANTFL010001181.1_cds_CAI5732769.1_5912.p1
OG0002021	XM_001590929.1.p1	lcl|CANTFL010000610.1_cds_CAI5725692.1_3856.p1
OG0002022	XM_001588574.1.p1	lcl|CANTFL010001069.1_cds_CAI5730936.1_5284.p1
OG0002023	XM_001590816.1.p1	lcl|CANTFL010001032.1_cds_CAI5730505.1_5135.p1
OG0002024	XM_001585897.1.p1	lcl|CANTFL010001244.1_cds_CAI5734726.1_6583.p1
OG0002025	XM_001596731.1.p1	lcl|CANTFL010000080.1_cds_CAI5711080.1_631.p1
OG0002026	XM_001596602.1.p1	lcl|CANTFL010001467.1_cds_CAI5742403.1_9441.p1
OG0002027	XM_001591972.1.p1	lcl|CANTFL010001032.1_cds_CAI5730514.1_5138.p1, lcl|CANTFL010000289.1_cds_CAI5720491.1_2528.p1, lcl|CANTFL010000195.1_cds_CAI5717848.1_2004.p1
OG0002028	XM_001585390.1.p1	lcl|CANTFL010000059.1_cds_CAI5710468.1_509.p1, lcl|CANTFL010000048.1_cds_CAI5709984.1_409.p1, lcl|CANTFL010000048.1_cds_CAI5709979.1_408.p1
OG0002049	XM_001591195.1.p1	lcl|CANTFL010001181.1_cds_CAI5732800.1_5922.p1
OG0002050	XM_001598786.1.p1	lcl|CANTFL010001473.1_cds_CAI5742591.1_9539.p1
OG0002053	XM_001586551.1.p1	lcl|CANTFL010000873.1_cds_CAI5728380.1_4538.p1
OG0002054	XM_001597361.1.p1	lcl|CANTFL010000397.1_cds_CAI5721974.1_2908.p1
OG0002055	XM_001596816.1.p1	lcl|CANTFL010000289.1_cds_CAI5720484.1_2526.p1
OG0002056	XM_001594658.1.p1	lcl|CANTFL010001450.1_cds_CAI5741472.1_8949.p1
OG0002057	XM_001586017.1.p1	lcl|CANTFL010001198.1_cds_CAI5733442.1_6144.p1
OG0002058	XM_001586539.1.p1	lcl|CANTFL010001444.1_cds_CAI5740169.1_8474.p1
OG0002059	XM_001590121.1.p1	lcl|CANTFL010000138.1_cds_CAI5715087.1_1440.p1
OG0002060	XM_001597962.1.p1	lcl|CANTFL010000017.1_cds_CAI5708889.1_189.p1
OG0002061	XM_001592902.1.p1	lcl|CANTFL010000751.1_cds_CAI5727538.1_4324.p1
OG0002062	XM_001595752.1.p1	lcl|CANTFL010001327.1_cds_CAI5736773.1_7293.p1
OG0002063	XM_001598100.1.p1	lcl|CANTFL010001283.1_cds_CAI5735626.1_6893.p1
OG0002064	XM_001596820.1.p1	lcl|CANTFL010001229.1_cds_CAI5734458.1_6495.p1
OG0002065	XM_001596742.1.p1	lcl|CANTFL010000086.1_cds_CAI5711802.1_768.p1
OG0002066	XM_001596610.1.p1	lcl|CANTFL010001429.1_cds_CAI5739797.1_8348.p1
OG0002067	XM_001586877.1.p1	lcl|CANTFL010001193.1_cds_CAI5733298.1_6095.p1
OG0002068	XM_001594963.1.p1	lcl|CANTFL010000016.1_cds_CAI5708744.1_159.p1
OG0002069	XM_001587722.1.p1	lcl|CANTFL010000037.1_cds_CAI5709766.1_365.p1
OG0002070	XM_001594154.1.p1	lcl|CANTFL010000251.1_cds_CAI5719873.1_2406.p1
OG0002071	XM_001596446.1.p1	lcl|CANTFL010001135.1_cds_CAI5732125.1_5693.p1
OG0002072	XM_001585949.1.p1	lcl|CANTFL010001211.1_cds_CAI5734133.1_6383.p1
OG0002073	XM_001585276.1.p1	lcl|CANTFL010001449.1_cds_CAI5741396.1_8910.p1
OG0002075	XM_001594360.1.p1	lcl|CANTFL010000389.1_cds_CAI5721868.1_2881.p1
OG0002076	XM_001585877.1.p1	lcl|CANTFL010000195.1_cds_CAI5717851.1_2005.p1
OG0002077	XM_001589887.1.p1	lcl|CANTFL010000561.1_cds_CAI5724675.1_3596.p1, lcl|CANTFL010000561.1_cds_CAI5724671.1_3595.p1
OG0002078	XM_001591720.1.p1	lcl|CANTFL010000222.1_cds_CAI5718720.1_2176.p1
OG0002080	XM_001593699.1.p1	lcl|CANTFL010000665.1_cds_CAI5726551.1_4072.p1
OG0002081	XM_001588894.1.p1	lcl|CANTFL010000028.1_cds_CAI5709062.1_224.p1
OG0002083	XM_001593868.1.p1	lcl|CANTFL010001207.1_cds_CAI5733672.1_6225.p1
OG0002084	XM_001588553.1.p1	lcl|CANTFL010000272.1_cds_CAI5720127.1_2456.p1
OG0002085	XM_001587134.1.p1	lcl|CANTFL010000649.1_cds_CAI5726400.1_4035.p1
OG0002087	XM_001586735.1.p1	lcl|CANTFL010001465.1_cds_CAI5742288.1_9380.p1
OG0002088	XM_001586514.1.p1	lcl|CANTFL010001296.1_cds_CAI5735970.1_7011.p1
OG0002089	XM_001592270.1.p1	lcl|CANTFL010001490.1_cds_CAI5743489.1_10010.p1
OG0002090	XM_001594354.1.p1	lcl|CANTFL010000138.1_cds_CAI5715112.1_1445.p1
OG0002093	XM_001591626.1.p1	lcl|CANTFL010001420.1_cds_CAI5739434.1_8218.p1
OG0002094	XM_001587490.1.p1	lcl|CANTFL010000770.1_cds_CAI5727621.1_4344.p1
OG0002096	XM_001598383.1.p1	lcl|CANTFL010001467.1_cds_CAI5742409.1_9444.p1
OG0002097	XM_001598488.1.p1	lcl|CANTFL010001207.1_cds_CAI5733724.1_6243.p1
OG0002098	XM_001591197.1.p1	lcl|CANTFL010001373.1_cds_CAI5738450.1_7874.p1
OG0002099	XM_001597283.1.p1	lcl|CANTFL010001327.1_cds_CAI5736915.1_7351.p1
OG0002101	XM_001595627.1.p1	lcl|CANTFL010001085.1_cds_CAI5731258.1_5393.p1
OG0002102	XM_001591028.1.p1	lcl|CANTFL010001231.1_cds_CAI5734484.1_6504.p1
OG0002103	XM_001597714.1.p1	lcl|CANTFL010001453.1_cds_CAI5741873.1_9160.p1
OG0002104	XM_001595210.1.p1	lcl|CANTFL010001223.1_cds_CAI5734384.1_6467.p1
OG0002105	XM_001589834.1.p1	lcl|CANTFL010001191.1_cds_CAI5733022.1_5999.p1
OG0002106	XM_001597055.1.p1	lcl|CANTFL010001420.1_cds_CAI5739425.1_8215.p1
OG0002107	XM_001586115.1.p1	lcl|CANTFL010000740.1_cds_CAI5727133.1_4224.p1
OG0002109	XM_001596958.1.p1	lcl|CANTFL010001027.1_cds_CAI5730389.1_5089.p1
OG0002110	XM_001592487.1.p1	lcl|CANTFL010001084.1_cds_CAI5731255.1_5392.p1, lcl|CANTFL010000591.1_cds_CAI5725182.1_3722.p1, lcl|CANTFL010000502.1_cds_CAI5723756.1_3364.p1, lcl|CANTFL010001439.1_cds_CAI5739915.1_8386.p1
OG0002111	XM_001592325.1.p1	lcl|CANTFL010001406.1_cds_CAI5739063.1_8088.p1
OG0002112	XM_001587203.1.p1	lcl|CANTFL010000529.1_cds_CAI5723959.1_3416.p1, lcl|CANTFL010001244.1_cds_CAI5734743.1_6589.p1
OG0002113	XM_001594579.1.p1	lcl|CANTFL010001489.1_cds_CAI5743451.1_9990.p1
OG0002114	XM_001596821.1.p1	lcl|CANTFL010000478.1_cds_CAI5723344.1_3259.p1
OG0002115	XM_001594564.1.p1	lcl|CANTFL010001456.1_cds_CAI5741963.1_9209.p1
OG0002116	XM_001597172.1.p1	lcl|CANTFL010000608.1_cds_CAI5725630.1_3840.p1
OG0002117	XM_001597516.1.p1	lcl|CANTFL010001452.1_cds_CAI5741787.1_9111.p1
OG0002118	XM_001586126.1.p1	lcl|CANTFL010000006.1_cds_CAI5708294.1_58.p1
OG0002120	XM_001586423.1.p1	lcl|CANTFL010000138.1_cds_CAI5715092.1_1441.p1
OG0002121	XM_001594727.1.p1	lcl|CANTFL010000223.1_cds_CAI5718828.1_2197.p1
OG0002122	XM_001585609.1.p1	lcl|CANTFL010000810.1_cds_CAI5727965.1_4433.p1
