Orthogroup	Sclerotinia_sclerotiorum	Phytophthora_infestans
OG0001122	XM_001597684.1.p1	XM_002904042.1.p1, XM_002903999.1.p1, XM_002907928.1.p1
OG0001125	XM_001590150.1.p1	XM_002894898.1.p1
OG0001126	XM_001590247.1.p1	XM_002902480.1.p1, XM_002902481.1.p1
OG0001127	XM_001588428.1.p1	XM_002898677.1.p1
OG0001129	XM_001588805.1.p1	XM_002901657.1.p1, XM_002901659.1.p1, XM_002901656.1.p1
OG0001130	XM_001587646.1.p1	XM_002903182.1.p1, XM_002908831.1.p1
OG0001131	XM_001585082.1.p1	XM_002905402.1.p1
OG0001132	XM_001597904.1.p1	XM_002903063.1.p1, XM_002903064.1.p1, XM_002903071.1.p1, XM_002904580.1.p1, XM_002894964.1.p1, XM_002903879.1.p1
OG0001133	XM_001594912.1.p1	XM_002900848.1.p1
OG0001134	XM_001594924.1.p1	XM_002897742.1.p1
OG0001135	XM_001588547.1.p1	XM_002903342.1.p1
OG0001138	XM_001590497.1.p1	XM_002998651.1.p1, XM_002997444.1.p1
OG0001139	XM_001590455.1.p1	XM_002907626.1.p1
OG0001141	XM_001592670.1.p1	XM_002907170.1.p1, XM_002903595.1.p1
OG0001142	XM_001593681.1.p1	XM_002908786.1.p1, XM_002906921.1.p1, XM_002895967.1.p1
OG0001144	XM_001587708.1.p1	XM_002902242.1.p1, XM_002907853.1.p1
OG0001145	XM_001587720.1.p1, XM_001595904.1.p1	XM_002998781.1.p1
OG0001147	XM_001586843.1.p1	XM_002903073.1.p1, XM_002903074.1.p1, XM_002903080.1.p1
OG0001148	XM_001585144.1.p1	XM_002895040.1.p1, XM_002908979.1.p1
OG0001149	XM_001598817.1.p1	XM_002903712.1.p1
OG0001152	XM_001595222.1.p1	XM_002903886.1.p1
OG0001153	XM_001595209.1.p1	XM_002906576.1.p1
OG0001154	XM_001595208.1.p1	XM_002908465.1.p1
OG0001156	XM_001587350.1.p1	XM_002899647.1.p1, XM_002906615.1.p1
OG0001158	XM_001587379.1.p1	XM_002904843.1.p1, XM_002896498.1.p1, XM_002998801.1.p1
OG0001159	XM_001595420.1.p1	XM_002908504.1.p1, XM_002997656.1.p1
OG0001160	XM_001597117.1.p1	XM_002999176.1.p1, XM_002999178.1.p1, XM_002999177.1.p1, XM_002999168.1.p1
OG0001161	XM_001587391.1.p1	XM_002900595.1.p1, XM_002897778.1.p1
OG0001164	XM_001589930.1.p1	XM_002895037.1.p1, XM_002896425.1.p1
OG0001165	XM_001587127.1.p1	XM_002907201.1.p1
OG0001167	XM_001594750.1.p1	XM_002897828.1.p1
OG0001168	XM_001591207.1.p1	XM_002903784.1.p1, XM_002908621.1.p1
OG0001169	XM_001597173.1.p1	XM_002901783.1.p1, XM_002905859.1.p1, XM_002902558.1.p1
OG0001170	XM_001588927.1.p1	XM_002902949.1.p1
OG0001171	XM_001585198.1.p1	XM_002898575.1.p1
OG0001174	XM_001584880.1.p1	XM_002897704.1.p1, XM_002904681.1.p1
OG0001175	XM_001595039.1.p1	XM_002898986.1.p1
OG0001176	XM_001594975.1.p1	XM_002896661.1.p1
OG0001181	XM_001595116.1.p1	XM_002998371.1.p1
OG0001182	XM_001595138.1.p1	XM_002908964.1.p1
OG0001184	XM_001585709.1.p1	XM_002998974.1.p1, XM_002998973.1.p1
OG0001185	XM_001585725.1.p1, XM_001585726.1.p1	XM_002906296.1.p1, XM_002908562.1.p1
OG0001188	XM_001598491.1.p1	XM_002907393.1.p1, XM_002997946.1.p1
OG0001189	XM_001595220.1.p1, XM_001598482.1.p1	XM_002905386.1.p1
OG0001190	XM_001598470.1.p1	XM_002906326.1.p1
OG0001191	XM_001598457.1.p1	XM_002897666.1.p1
OG0001192	XM_001598068.1.p1	XM_002903610.1.p1, XM_002907947.1.p1
OG0001193	XM_001598005.1.p1	XM_002906855.1.p2, XM_002909746.1.p2, XM_002902803.1.p1, XM_002902801.1.p1
OG0001194	XM_001597970.1.p1	XM_002896299.1.p1, XM_002896318.1.p1, XM_002896319.1.p1, XM_002909686.1.p1
OG0001198	XM_001592201.1.p1	XM_002909425.1.p1, XM_002895732.1.p1
OG0001199	XM_001588110.1.p1	XM_002900061.1.p1
OG0001200	XM_001588126.1.p1	XM_002907223.1.p1, XM_002905019.1.p1, XM_002899881.1.p1
OG0001201	XM_001588154.1.p1	XM_002998121.1.p1, XM_002895293.1.p1, XM_002997535.1.p1
OG0001204	XM_001590638.1.p1, XM_001584687.1.p1	XM_002907186.1.p1
OG0001205	XM_001591027.1.p1	XM_002907150.1.p1, XM_002907149.1.p1
OG0001206	XM_001590990.1.p1	XM_002998583.1.p1, XM_002902029.1.p1, XM_002908870.1.p1, XM_002898295.1.p1
OG0001208	XM_001590875.1.p1	XM_002906608.1.p1
OG0001209	XM_001597359.1.p1	XM_002997704.1.p1, XM_002997706.1.p1
OG0001211	XM_001597608.1.p1	XM_002905316.1.p1, XM_002909165.1.p1
OG0001212	XM_001597573.1.p1	XM_002903753.1.p1
OG0001214	XM_001596686.1.p1	XM_002896844.1.p1, XM_002896843.1.p1, XM_002997212.1.p1
OG0001215	XM_001596669.1.p1	XM_002894947.1.p1, XM_002907495.1.p1, XM_002894807.1.p1
OG0001217	XM_001598663.1.p1	XM_002905525.1.p1
OG0001220	XM_001587111.1.p1	XM_002897211.1.p1, XM_002897212.1.p1
OG0001221	XM_001593274.1.p1	XM_002904968.1.p1
OG0001222	XM_001592923.1.p1	XM_002997644.1.p1, XM_002902220.1.p1
OG0001223	XM_001592864.1.p1	XM_002898062.1.p1, XM_002898071.1.p1
OG0001226	XM_001598333.1.p1	XM_002908797.1.p1, XM_002905789.1.p1, XM_002996839.1.p2, XM_002897722.1.p1
OG0001227	XM_001598294.1.p1	XM_002899483.1.p1, XM_002902778.1.p1
OG0001228	XM_001598290.1.p1	XM_002904996.1.p1, XM_002907956.1.p1, XM_002907955.1.p1
OG0001233	XM_001594323.1.p1	XM_002899907.1.p1, XM_002899898.1.p1
OG0001234	XM_001594235.1.p1	XM_002909581.1.p1
OG0001236	XM_001585968.1.p1	XM_002894876.1.p1, XM_002909093.1.p1
OG0001237	XM_001585966.1.p1	XM_002904169.1.p1, XM_002908743.1.p1, XM_002905170.1.p1
OG0001238	XM_001585932.1.p1	XM_002997909.1.p1, XM_002901682.1.p1, XM_002901678.1.p1
OG0001242	XM_001586018.1.p1	XM_002902199.1.p1
OG0001243	XM_001594145.1.p1	XM_002999166.1.p1, XM_002897231.1.p1
OG0001245	XM_001586052.1.p1	XM_002997762.1.p1, XM_002997764.1.p1
OG0001247	XM_001594370.1.p1	XM_002903713.1.p1, XM_002907733.1.p1
OG0001249	XM_001594589.1.p1	XM_002900698.1.p1
OG0001253	XM_001594795.1.p1	XM_002998983.1.p1
OG0001255	XM_001586190.1.p1	XM_002999087.1.p1
OG0001256	XM_001586253.1.p1	XM_002901903.1.p1, XM_002906522.1.p1, XM_002899434.1.p1
OG0001259	XM_001597233.1.p1	XM_002901985.1.p1, XM_002909474.1.p1
OG0001260	XM_001597285.1.p1	XM_002908754.1.p1
OG0001261	XM_001592167.1.p1	XM_002909615.1.p1
OG0001262	XM_001597433.1.p1	XM_002896058.1.p1, XM_002895500.1.p1, XM_002896057.1.p1, XM_002895499.1.p1
OG0001263	XM_001597570.1.p1	XM_002900986.1.p1
OG0001264	XM_001597610.1.p1	XM_002906871.1.p1
OG0001265	XM_001597345.1.p1	XM_002896195.1.p1
OG0001266	XM_001597151.1.p1, XM_001597150.1.p1	XM_002898816.1.p1
OG0001267	XM_001587863.1.p1	XM_002909868.1.p2, XM_002900187.1.p1, XM_002998963.1.p1
OG0001268	XM_001587845.1.p1	XM_002901379.1.p1, XM_002904823.1.p1
OG0001269	XM_001587764.1.p1	XM_002901343.1.p1, XM_002998390.1.p1
OG0001270	XM_001587714.1.p1	XM_002905519.1.p1
OG0001271	XM_001586788.1.p1	XM_002908507.1.p1, XM_002908503.1.p1, XM_002908506.1.p1, XM_002908492.1.p1
OG0001272	XM_001586768.1.p1	XM_002895301.1.p1, XM_002898072.1.p1, XM_002899375.1.p1
OG0001273	XM_001586761.1.p1	XM_002997067.1.p1
OG0001277	XM_001598301.1.p1	XM_002898203.1.p1, XM_002898198.1.p1, XM_002901081.1.p1
OG0001278	XM_001598227.1.p1	XM_002907875.1.p1, XM_002909768.1.p1
OG0001279	XM_001598205.1.p1	XM_002903322.1.p1, XM_002901213.1.p1
OG0001280	XM_001598174.1.p1	XM_002905532.1.p1
OG0001281	XM_001598047.1.p1	XM_002909410.1.p1, XM_002901730.1.p1
OG0001284	XM_001585770.1.p1	XM_002997432.1.p1, XM_002999103.1.p1
OG0001285	XM_001590399.1.p1	XM_002908293.1.p1, XM_002899422.1.p1
OG0001286	XM_001590377.1.p1	XM_002901694.1.p1
OG0001287	XM_001588094.1.p1, XM_001591875.1.p1	XM_002900836.1.p1
OG0001288	XM_001588040.1.p1	XM_002907531.1.p1, XM_002909929.1.p1
OG0001289	XM_001588029.1.p1	XM_002897487.1.p1
OG0001290	XM_001595800.1.p1	XM_002907704.1.p1
OG0001293	XM_001593135.1.p1	XM_002896875.1.p1, XM_002896881.1.p1, XM_002896880.1.p1
OG0001294	XM_001587203.1.p1	XM_002999189.1.p1, XM_002909535.1.p1
OG0001295	XM_001587164.1.p1	XM_002897297.1.p1
OG0001299	XM_001589690.1.p1	XM_002895520.1.p1, XM_002909470.1.p1, XM_002909469.1.p1
OG0001303	XM_001589617.1.p1	XM_002896555.1.p1, XM_002906602.1.p1
OG0001304	XM_001587939.1.p1	XM_002999076.1.p1, XM_002897282.1.p1, XM_002904136.1.p1
OG0001305	XM_001587938.1.p1	XM_002903512.1.p1
OG0001307	XM_001597739.1.p1	XM_002906416.1.p1, XM_002909209.1.p1, XM_002899450.1.p1
OG0001308	XM_001597698.1.p1	XM_002894922.1.p1, XM_002906241.1.p1, XM_002902475.1.p1
OG0001309	XM_001589278.1.p1	XM_002899863.1.p1, XM_002998899.1.p1
OG0001310	XM_001589357.1.p1	XM_002901987.1.p1, XM_002908464.1.p1, XM_002906312.1.p1
OG0001311	XM_001595987.1.p1, XM_001589111.1.p1	XM_002998274.1.p1
OG0001312	XM_001586551.1.p1	XM_002898059.1.p1
OG0001314	XM_001587291.1.p1	XM_002906903.1.p1
OG0001315	XM_001587317.1.p1	XM_002904712.1.p1, XM_002996809.1.p1
OG0001316	XM_001587423.1.p1	XM_002909739.1.p1, XM_002895763.1.p1, XM_002904175.1.p1
OG0001317	XM_001587596.1.p1	XM_002997303.1.p1, XM_002904551.1.p1, XM_002894911.1.p1
OG0001320	XM_001593404.1.p1	XM_002906226.1.p1, XM_002906287.1.p1, XM_002906286.1.p1
OG0001322	XM_001593660.1.p1	XM_002901141.1.p1, XM_002901140.1.p1
OG0001324	XM_001593888.1.p1	XM_002998527.1.p1
OG0001325	XM_001593740.1.p1	XM_002903520.1.p1
OG0001326	XM_001593775.1.p1	XM_002894970.1.p1
OG0001329	XM_001593989.1.p1	XM_002908947.1.p1, XM_002908948.1.p1, XM_002906753.1.p1
OG0001331	XM_001591895.1.p1	XM_002998495.1.p1, XM_002999089.1.p1
OG0001332	XM_001591447.1.p1	XM_002902317.1.p1
OG0001333	XM_001591468.1.p1	XM_002999004.1.p1
OG0001334	XM_001586396.1.p1	XM_002895961.1.p1
OG0001335	XM_001591587.1.p1	XM_002998859.1.p1
OG0001339	XM_001592224.1.p1	XM_002900045.1.p1, XM_002896864.1.p1
OG0001341	XM_001592420.1.p1	XM_002909406.1.p1, XM_002908574.1.p1
OG0001344	XM_001584934.1.p1	XM_002904199.1.p1
OG0001346	XM_001585129.1.p1	XM_002903531.1.p1, XM_002902450.1.p1
OG0001347	XM_001596113.1.p1	XM_002997324.1.p1
OG0001348	XM_001589766.1.p1	XM_002899622.1.p1, XM_002899618.1.p1, XM_002899496.1.p1, XM_002899497.1.p1
OG0001349	XM_001585503.1.p1	XM_002906400.1.p1, XM_002902567.1.p1, XM_002998657.1.p1
OG0001350	XM_001598735.1.p1	XM_002898482.1.p1
OG0001351	XM_001588623.1.p1	XM_002906277.1.p1, XM_002906276.1.p1, XM_002906275.1.p1
OG0001353	XM_001588807.1.p1, XM_001592334.1.p1	XM_002907683.1.p1
OG0001354	XM_001584697.1.p1	XM_002903267.1.p1, XM_002999172.1.p1, XM_002909196.1.p1
OG0001355	XM_001584665.1.p1	XM_002903646.1.p1
OG0001357	XM_001591209.1.p1	XM_002906092.1.p1, XM_002906090.1.p1, XM_002898197.1.p1, XM_002909041.1.p1, XM_002900881.1.p1, XM_002897740.1.p1
OG0001358	XM_001591114.1.p1	XM_002899396.1.p1, XM_002901731.1.p1
OG0001360	XM_001585028.1.p1	XM_002900322.1.p1
OG0001361	XM_001585014.1.p1	XM_002902226.1.p1, XM_002897004.1.p1, XM_002907493.1.p1
OG0001362	XM_001584509.1.p1	XM_002908416.1.p1
OG0001363	XM_001584517.1.p1	XM_002904253.1.p1
OG0001367	XM_001585269.1.p1	XM_002897862.1.p1, XM_002897638.1.p1
OG0001368	XM_001585273.1.p1	XM_002894967.1.p1
OG0001369	XM_001589942.1.p1	XM_002897278.1.p1, XM_002901183.1.p1
OG0001370	XM_001590062.1.p1	XM_002902976.1.p1, XM_002908167.1.p1
OG0001444	XM_001588050.1.p1	XM_002906521.1.p1
OG0001445	XM_001598687.1.p1	XM_002997547.1.p1, XM_002997553.1.p1
OG0001446	XM_001585037.1.p1	XM_002903914.1.p1
OG0001447	XM_001585286.1.p1	XM_002909848.1.p1, XM_002895641.1.p1
OG0001448	XM_001589012.1.p1	XM_002898064.1.p1
OG0001449	XM_001596453.1.p1	XM_002899319.1.p1
OG0001453	XM_001589100.1.p1	XM_002907329.1.p1
OG0001454	XM_001589263.1.p1	XM_002907474.1.p1
OG0001455	XM_001589262.1.p1	XM_002906823.1.p1
OG0001456	XM_001595628.1.p1	XM_002909565.1.p1, XM_002902407.1.p1
OG0001458	XM_001588889.1.p1	XM_002901756.1.p1, XM_002906606.1.p1
OG0001459	XM_001593996.1.p1	XM_002902572.1.p1
OG0001462	XM_001591824.1.p1	XM_002906993.1.p1, XM_002908674.1.p1
OG0001464	XM_001588867.1.p1	XM_002903795.1.p1, XM_002903796.1.p1
OG0001466	XM_001595824.1.p1	XM_002997983.1.p1, XM_002908031.1.p1
OG0001467	XM_001587882.1.p1	XM_002901870.1.p1
OG0001469	XM_001591606.1.p1	XM_002906011.1.p1
OG0001471	XM_001595372.1.p1	XM_002997407.1.p1
OG0001472	XM_001596018.1.p1	XM_002905502.1.p1
OG0001473	XM_001596012.1.p1	XM_002902708.1.p1
OG0001474	XM_001592593.1.p1	XM_002908389.1.p1
OG0001475	XM_001592132.1.p1	XM_002897084.1.p1
OG0001476	XM_001585517.1.p1	XM_002908414.1.p1
OG0001479	XM_001596742.1.p1	XM_002906321.1.p1
OG0001482	XM_001585409.1.p1	XM_002896965.1.p1, XM_002908880.1.p1
OG0001484	XM_001590329.1.p1	XM_002902501.1.p1
OG0001485	XM_001585258.1.p1	XM_002999059.1.p1
OG0001486	XM_001594424.1.p1	XM_002909118.1.p1
OG0001487	XM_001590305.1.p1	XM_002904573.1.p1
OG0001489	XM_001588718.1.p1	XM_002895642.1.p1, XM_002897950.1.p1
OG0001490	XM_001598887.1.p1	XM_002997605.1.p1, XM_002900302.1.p1
OG0001491	XM_001586882.1.p1	XM_002907162.1.p1
OG0001493	XM_001585594.1.p1	XM_002896342.1.p1, XM_002909520.1.p1
OG0001494	XM_001594510.1.p1	XM_002903677.1.p1, XM_002903678.1.p1
OG0001495	XM_001586975.1.p1	XM_002906667.1.p1, XM_002904944.1.p1
OG0001496	XM_001587002.1.p1	XM_002907332.1.p1
OG0001499	XM_001585017.1.p1	XM_002998325.1.p1
OG0001500	XM_001594183.1.p1	XM_002904018.1.p1, XM_002904019.1.p1
OG0001501	XM_001593207.1.p1	XM_002906579.1.p1
OG0001502	XM_001595351.1.p1	XM_002897897.1.p1, XM_002906374.1.p1
OG0001503	XM_001595355.1.p1	XM_002909186.1.p1, XM_002897445.1.p1
OG0001504	XM_001591398.1.p1	XM_002896465.1.p1, XM_002898414.1.p1
OG0001505	XM_001588474.1.p1	XM_002894963.1.p1, XM_002903069.1.p1
OG0001507	XM_001594425.1.p1	XM_002997026.1.p1, XM_002909817.1.p1
OG0001511	XM_001596911.1.p1	XM_002906671.1.p1, XM_002906323.1.p1
OG0001512	XM_001590220.1.p1	XM_002902746.1.p1
OG0001513	XM_001588441.1.p1	XM_002909780.1.p1, XM_002899942.1.p1, XM_002908318.1.p1
OG0001514	XM_001588440.1.p1	XM_002998165.1.p1
OG0001517	XM_001594691.1.p1	XM_002905535.1.p1
OG0001520	XM_001593843.1.p1	XM_002906283.1.p1, XM_002903027.1.p1
OG0001521	XM_001588826.1.p1	XM_002899243.1.p1
OG0001523	XM_001591120.1.p1	XM_002907078.1.p1, XM_002895871.1.p1
OG0001525	XM_001587661.1.p1	XM_002906059.1.p1
OG0001527	XM_001587608.1.p1	XM_002904753.1.p1, XM_002904754.1.p1
OG0001528	XM_001585102.1.p1	XM_002908708.1.p1
OG0001530	XM_001597912.1.p1	XM_002901627.1.p1
OG0001531	XM_001594930.1.p1	XM_002896083.1.p1
OG0001533	XM_001584666.1.p1	XM_002909139.1.p1, XM_002895406.1.p1
OG0001535	XM_001584643.1.p1	XM_002895774.1.p1, XM_002906738.1.p1
OG0001536	XM_001590534.1.p1	XM_002907381.1.p1
OG0001537	XM_001590525.1.p1	XM_002904486.1.p1
OG0001538	XM_001590495.1.p1	XM_002899320.1.p1, XM_002908752.1.p1
OG0001540	XM_001592673.1.p1	XM_002906490.1.p1
OG0001541	XM_001593680.1.p1	XM_002999141.1.p1, XM_002898874.1.p1
OG0001543	XM_001587672.1.p1	XM_002901525.1.p1
OG0001545	XM_001587075.1.p1	XM_002998992.1.p1
OG0001546	XM_001590143.1.p1, XM_001590144.1.p1	XM_002906787.1.p1
OG0001547	XM_001590139.1.p1	XM_002904166.1.p1
OG0001549	XM_001590120.1.p1	XM_002900312.1.p1
OG0001550	XM_001590106.1.p1	XM_002904115.1.p1
OG0001552	XM_001590166.1.p1	XM_002898078.1.p1
OG0001553	XM_001588060.1.p1	XM_002897962.1.p1
OG0001554	XM_001594378.1.p1	XM_002908854.1.p1, XM_002908955.1.p1
OG0001555	XM_001586815.1.p1	XM_002908801.1.p1
OG0001560	XM_001598769.1.p1	XM_002908839.1.p1
OG0001562	XM_001597634.1.p1, XM_001597635.1.p1	XM_002903057.1.p1
OG0001566	XM_001593580.1.p1	XM_002907543.1.p1
OG0001567	XM_001594103.1.p1	XM_002906463.1.p1, XM_002894999.1.p1, XM_002906462.1.p1
OG0001569	XM_001594034.1.p1	XM_002898304.1.p1, XM_002895084.1.p1
OG0001570	XM_001590027.1.p1	XM_002900512.1.p1
OG0001571	XM_001590010.1.p1	XM_002905499.1.p1
OG0001573	XM_001595166.1.p1	XM_002904089.1.p1, XM_002909555.1.p1
OG0001575	XM_001594992.1.p1	XM_002907960.1.p1
OG0001578	XM_001587283.1.p1	XM_002899667.1.p1
OG0001579	XM_001587327.1.p1	XM_002908573.1.p1
OG0001580	XM_001586680.1.p1, XM_001584591.1.p1	XM_002902619.1.p1, XM_002902620.1.p1
OG0001583	XM_001595417.1.p1	XM_002895647.1.p1, XM_002895645.1.p1
OG0001584	XM_001593378.1.p1	XM_002998383.1.p1
OG0001585	XM_001593415.1.p1	XM_002900503.1.p1, XM_002907755.1.p1
OG0001588	XM_001587842.1.p1	XM_002909029.1.p1
OG0001590	XM_001598839.1.p1, XM_001597134.1.p1	XM_002906910.1.p1
OG0001591	XM_001587402.1.p1	XM_002909556.1.p1
OG0001593	XM_001587490.1.p1	XM_002997276.1.p1
OG0001596	XM_001598836.1.p1	XM_002896670.1.p1
OG0001597	XM_001584821.1.p1	XM_002894912.1.p1, XM_002906000.1.p1
OG0001600	XM_001586244.1.p1	XM_002909112.1.p1
OG0001602	XM_001591197.1.p1	XM_002899902.1.p1
OG0001603	XM_001591201.1.p1	XM_002900688.1.p1
OG0001604	XM_001588929.1.p1	XM_002906961.1.p1
OG0001605	XM_001588928.1.p1	XM_002907128.1.p1
OG0001606	XM_001597458.1.p1	XM_002903781.1.p1, XM_002903782.1.p1
OG0001607	XM_001590855.1.p1	XM_002998035.1.p1
OG0001608	XM_001589360.1.p1	XM_002900153.1.p1, XM_002906846.1.p1
OG0001609	XM_001589352.1.p1	XM_002908125.1.p1
OG0001610	XM_001597261.1.p1, XM_001591703.1.p1	XM_002998208.1.p1
OG0001611	XM_001586739.1.p1	XM_002903601.1.p1
OG0001612	XM_001586639.1.p1	XM_002896241.1.p1
OG0001613	XM_001588098.1.p1	XM_002900583.1.p1, XM_002900584.1.p1
OG0001614	XM_001588099.1.p1	XM_002907236.1.p1
OG0001615	XM_001595580.1.p1	XM_002895399.1.p1, XM_002909127.1.p1, XM_002909126.1.p1
OG0001616	XM_001595591.1.p1	XM_002903130.1.p1
OG0001617	XM_001593852.1.p1	XM_002909277.1.p1, XM_002909280.1.p1
OG0001618	XM_001593864.1.p1	XM_002905520.1.p1
OG0001619	XM_001593868.1.p1	XM_002997693.1.p1, XM_002897088.1.p1
OG0001622	XM_001585343.1.p1, XM_001593969.1.p1	XM_002899465.1.p1
OG0001624	XM_001595088.1.p1	XM_002998321.1.p1
OG0001625	XM_001585466.1.p1	XM_002898782.1.p1, XM_002997607.1.p1
OG0001626	XM_001585532.1.p1	XM_002905313.1.p1, XM_002905314.1.p1
OG0001627	XM_001585701.1.p1	XM_002908642.1.p1
OG0001629	XM_001598499.1.p1	XM_002908331.1.p1
OG0001631	XM_001598466.1.p1	XM_002899189.1.p1, XM_002908673.1.p1, XM_002906992.1.p1
OG0001632	XM_001598458.1.p1	XM_002899873.1.p1
OG0001633	XM_001596820.1.p1	XM_002998297.1.p1, XM_002904646.1.p1
OG0001635	XM_001598035.1.p1	XM_002897328.1.p1, XM_002997887.1.p1
OG0001636	XM_001597962.1.p1	XM_002908757.1.p1
OG0001637	XM_001585829.1.p1	XM_002896915.1.p1, XM_002909940.1.p1
OG0001639	XM_001592025.1.p1	XM_002998005.1.p1, XM_002896496.1.p1
OG0001641	XM_001597438.1.p1	XM_002998880.1.p1
OG0001642	XM_001597258.1.p1	XM_002899397.1.p1
OG0001643	XM_001597283.1.p1	XM_002899447.1.p1
OG0001644	XM_001587985.1.p1	XM_002894656.1.p1, XM_002905508.1.p1
OG0001645	XM_001596610.1.p1	XM_002902399.1.p1, XM_002902396.1.p1, XM_002902395.1.p1
OG0001646	XM_001596622.1.p1	XM_002905500.1.p1
OG0001647	XM_001596566.1.p1	XM_002907597.1.p1
OG0001648	XM_001589763.1.p1	XM_002909271.1.p1, XM_002906152.1.p1
OG0001650	XM_001596199.1.p1	XM_002905482.1.p1
OG0001652	XM_001594674.1.p1	XM_002908760.1.p1, XM_002901708.1.p1
OG0001653	XM_001586167.1.p1	XM_002905733.1.p1
OG0001656	XM_001592521.1.p1	XM_002896234.1.p1, XM_002896233.1.p1
OG0001657	XM_001597336.1.p1	XM_002896950.1.p1, XM_002896949.1.p1
OG0001658	XM_001592238.1.p1	XM_002899805.1.p1
OG0001659	XM_001586609.1.p1	XM_002907000.1.p1, XM_002998672.1.p1
OG0001660	XM_001595935.1.p1	XM_002998688.1.p1, XM_002905342.1.p1
OG0001661	XM_001595936.1.p1	XM_002906605.1.p1, XM_002906610.1.p1
OG0001664	XM_001586491.1.p1	XM_002899757.1.p1, XM_002899756.1.p1
OG0001665	XM_001586500.1.p1	XM_002902713.1.p1
OG0001666	XM_001586512.1.p1	XM_002999281.1.p1, XM_002907346.1.p1
OG0001667	XM_001586514.1.p1	XM_002905111.1.p1, XM_002909273.1.p1
OG0001668	XM_001588256.1.p1	XM_002908996.1.p1
OG0001669	XM_001588279.1.p1	XM_002907188.1.p1, XM_002896740.1.p1
OG0001670	XM_001588290.1.p1	XM_002997818.1.p1, XM_002999262.1.p1
OG0001672	XM_001588307.1.p1	XM_002894960.1.p2, XM_002903283.1.p1
OG0001673	XM_001588334.1.p1	XM_002901757.1.p1
OG0001674	XM_001588389.1.p1	XM_002909042.1.p1
OG0001675	XM_001588390.1.p1	XM_002900835.1.p1
OG0001677	XM_001595491.1.p1	XM_002896168.1.p1, XM_002895672.1.p1
OG0001678	XM_001590558.1.p1	XM_002902580.1.p1
OG0001679	XM_001590666.1.p1	XM_002904695.1.p1
OG0001680	XM_001590816.1.p1	XM_002906135.1.p1
OG0001681	XM_001591018.1.p1	XM_002896376.1.p1
OG0001682	XM_001591002.1.p1	XM_002901888.1.p1, XM_002901887.1.p1
OG0001683	XM_001590966.1.p1	XM_002903573.1.p1
OG0001684	XM_001590908.1.p1	XM_002898152.1.p1, XM_002898590.1.p1
OG0001685	XM_001596947.1.p1	XM_002906974.1.p1, XM_002895347.1.p1
OG0001686	XM_001596948.1.p1	XM_002902675.1.p1
OG0001687	XM_001596951.1.p1	XM_002904081.1.p1
OG0001688	XM_001592459.1.p1	XM_002907594.1.p1, XM_002998712.1.p1
OG0001689	XM_001592403.1.p1	XM_002904325.1.p1
OG0001691	XM_001597742.1.p1	XM_002909587.1.p1
OG0001693	XM_001597772.1.p1	XM_002896589.1.p1
OG0001694	XM_001589187.1.p1	XM_002902522.1.p1
OG0001695	XM_001589202.1.p1	XM_002899848.1.p1
OG0001697	XM_001588943.1.p1	XM_002906306.1.p1
OG0001699	XM_001597367.1.p1	XM_002901004.1.p1
OG0001701	XM_001597620.1.p1	XM_002906924.1.p1, XM_002907441.1.p1
OG0001704	XM_001597547.1.p1	XM_002907230.1.p1
OG0001706	XM_001596692.1.p1	XM_002902372.1.p1
OG0001707	XM_001596664.1.p1	XM_002909928.1.p1, XM_002907530.1.p1
OG0001709	XM_001589535.1.p1	XM_002909646.1.p1, XM_002903167.1.p1
OG0001710	XM_001589622.1.p1	XM_002897393.1.p1
OG0001711	XM_001596498.1.p1	XM_002909080.1.p1, XM_002894869.1.p1
OG0001712	XM_001598414.1.p1	XM_002902627.1.p1
OG0001713	XM_001598396.1.p1	XM_002996992.1.p2, XM_002909920.1.p2
OG0001714	XM_001598586.1.p1	XM_002896082.1.p1
OG0001718	XM_001593298.1.p1	XM_002899383.1.p1, XM_002909217.1.p1
OG0001719	XM_001593313.1.p1	XM_002908640.1.p1
OG0001720	XM_001587107.1.p1	XM_002903977.1.p1, XM_002905056.1.p1
OG0001721	XM_001587146.1.p1	XM_002909099.1.p1
OG0001723	XM_001587218.1.p1	XM_002998117.1.p1, XM_002903962.1.p1
OG0001725	XM_001593175.1.p1	XM_002895136.1.p1
OG0001726	XM_001593169.1.p1	XM_002900608.1.p1, XM_002997558.1.p1
OG0001727	XM_001593130.1.p1	XM_002998935.1.p1, XM_002998937.1.p1
OG0001728	XM_001593122.1.p1	XM_002900350.1.p1
OG0001730	XM_001586312.1.p1	XM_002997828.1.p1, XM_002997826.1.p1, XM_002997822.1.p1
OG0001732	XM_001593038.1.p1	XM_002905251.1.p2, XM_002900729.1.p1
OG0001733	XM_001593034.1.p1, XM_001596869.1.p1	XM_002900552.1.p1
OG0001734	XM_001592867.1.p1	XM_002896085.1.p1
OG0001736	XM_001596364.1.p1	XM_002894708.1.p1, XM_002907312.1.p1
OG0001739	XM_001598170.1.p1	XM_002900857.1.p1
OG0001740	XM_001598116.1.p1	XM_002900918.1.p1
OG0001741	XM_001598086.1.p1	XM_002901819.1.p1
OG0001743	XM_001594857.1.p1	XM_002997711.1.p1
OG0001745	XM_001594763.1.p1	XM_002895086.1.p1, XM_002898303.1.p1
OG0001746	XM_001594188.1.p1	XM_002998725.1.p1
OG0001747	XM_001594193.1.p1	XM_002997424.1.p1
