Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Saccharomyces_cerevisiae_rna_prot
OG0001262	XM_001584906.1.p1, XM_001592747.1.p1	NM_001184335.3.p1
OG0001263	XM_001593392.1.p1	NM_001178800.1.p1, NM_001183225.3.p1, NM_001183161.1.p1
OG0001266	XM_001594795.1.p1	NM_001183313.2.p1
OG0001267	XM_001593062.1.p1	NM_001178543.1.p1, NM_001183392.2.p1
OG0001268	XM_001595596.1.p1	NM_001178906.3.p1
OG0001270	XM_001592691.1.p1	NM_001182609.1.p1, NM_001179695.2.p1
OG0001272	XM_001592903.1.p1	NM_001183688.1.p1
OG0001273	XM_001598707.1.p1	NM_001181781.1.p1
OG0001275	XM_001588945.1.p1	NM_001183498.1.p1
OG0001276	XM_001596955.1.p1	NM_001181196.4.p1
OG0001277	XM_001588770.1.p1	NM_001181534.1.p1
OG0001279	XM_001591890.1.p1	NM_001183488.1.p1
OG0001280	XM_001586262.1.p1	NM_001179590.3.p1
OG0001281	XM_001584702.1.p1	NM_001181493.3.p1
OG0001282	XM_001595958.1.p1	NM_001179576.3.p1
OG0001283	XM_001590433.1.p1, XM_001597865.1.p1	NM_001182118.1.p1
OG0001284	XM_001596034.1.p1	NM_001180434.1.p1
OG0001286	XM_001585616.1.p1	NM_001180435.1.p1
OG0001287	XM_001586319.1.p1	NM_001179768.1.p1, NM_001181724.1.p1
OG0001288	XM_001590210.1.p1	NM_001180717.3.p1, NM_001183575.1.p1
OG0001292	XM_001595039.1.p1	NM_001181530.1.p1
OG0001293	XM_001592260.1.p1	NM_001182608.1.p1
OG0001295	XM_001587939.1.p1	NM_001181045.1.p1
OG0001296	XM_001585953.1.p1	NM_001182931.3.p1
OG0001297	XM_001591937.1.p1	NM_001183865.1.p1
OG0001298	XM_001595056.1.p1	NM_001178677.1.p1
OG0001299	XM_001596175.1.p1	NM_001182248.1.p1
OG0001300	XM_001586937.1.p1	NM_001184155.1.p1, NM_001178452.3.p1
OG0001302	XM_001593610.1.p1	NM_001181298.3.p1, NM_001183321.1.p1, NM_001180095.1.p1
OG0001303	XM_001591817.1.p1	NM_001181570.1.p1, NM_001179848.1.p1
OG0001304	XM_001591192.1.p1	NM_001183433.1.p1
OG0001305	XM_001592167.1.p1	NM_001183084.1.p1
OG0001306	XM_001592155.1.p1	NM_001179044.1.p1
OG0001307	XM_001597316.1.p1	NM_001183275.1.p1
OG0001308	XM_001586167.1.p1	NM_001183314.1.p1, NM_001180081.1.p1
OG0001309	XM_001594213.1.p1	NM_001182583.1.p1, NM_001182584.1.p1, NM_001179670.1.p1
OG0001310	XM_001594188.1.p1	NM_001183158.1.p1
OG0001311	XM_001598187.1.p1	NM_001183127.1.p1, NM_001180239.1.p1, NM_001180186.1.p1
OG0001313	XM_001584723.1.p1	NM_001178187.1.p1
OG0001314	XM_001587845.1.p1	NM_001183185.1.p1
OG0001316	XM_001596129.1.p1	NM_001183437.1.p1, NM_001179987.3.p1, NM_001181197.1.p1
OG0001317	XM_001587842.1.p1	NM_001184010.1.p1
OG0001318	XM_001597396.1.p1	NM_001180417.3.p1
OG0001319	XM_001591640.1.p1	NM_001179214.1.p1
OG0001320	XM_001587379.1.p1	NM_001179436.1.p1, NM_001179009.1.p1, NM_001178329.1.p1
OG0001321	XM_001598937.1.p1, XM_001594406.1.p1, XM_001598936.1.p1	NM_001178371.1.p1
OG0001322	XM_001585388.1.p1	NM_001178637.4.p1
OG0001324	XM_001594829.1.p1	NM_001182497.1.p1
OG0001326	XM_001592619.1.p1	NM_001182107.1.p1
OG0001335	XM_001593152.1.p1	NM_001178530.3.p1, NM_001183903.1.p1
OG0001337	XM_001586758.1.p1	NM_001183452.1.p1, NM_001180571.3.p1
OG0001339	XM_001588334.1.p1	NM_001180762.1.p1
OG0001340	XM_001585646.1.p1	NM_001181252.3.p1
OG0001341	XM_001585322.1.p1	NM_001182075.1.p1, NM_001184084.1.p1
OG0001345	XM_001594772.1.p1	NM_001183040.1.p1
OG0001347	XM_001588165.1.p1	NM_001181492.1.p1
OG0001348	XM_001587711.1.p1	NM_001182272.1.p1
OG0001349	XM_001585733.1.p1	NM_001179355.1.p1
OG0001350	XM_001594034.1.p1	NM_001182884.1.p1
OG0001351	XM_001587708.1.p1	NM_001183276.2.p1
OG0001352	XM_001586665.1.p1	NM_001181903.1.p1
OG0001353	XM_001591623.1.p1	NM_001178161.1.p1
OG0001356	XM_001585187.1.p1	NM_001182733.1.p1
OG0001357	XM_001596863.1.p1	NM_001178725.1.p1
OG0001358	XM_001597450.1.p1	NM_001179458.1.p1
OG0001361	XM_001589944.1.p1	NM_001181488.1.p1
OG0001362	XM_001591944.1.p1	NM_001183303.1.p1
OG0001365	XM_001590890.1.p1	NM_001180700.1.p1
OG0001367	XM_001595176.1.p1	NM_001181734.1.p1
OG0001368	XM_001596704.1.p1	NM_001179640.1.p1
OG0001369	XM_001597173.1.p1	NM_001179206.1.p1
OG0001371	XM_001597570.1.p1	NM_001181190.1.p1
OG0001372	XM_001594988.1.p1	NM_001180748.1.p1
OG0001373	XM_001587954.1.p1	NM_001183658.6.p1
OG0001375	XM_001588248.1.p1	NM_001181588.1.p1
OG0001377	XM_001584620.1.p1	NM_001183917.1.p1
OG0001378	XM_001593740.1.p1	NM_001183489.1.p1
OG0001379	XM_001590461.1.p1	NM_001183019.2.p1
OG0001382	XM_001585252.1.p1	NM_001179042.3.p1
OG0001384	XM_001584676.1.p1, XM_001584677.1.p1	NM_001184120.1.p1
OG0001385	XM_001590507.1.p1	NM_001178777.1.p1
OG0001386	XM_001594603.1.p1	NM_001184050.1.p1
OG0001387	XM_001590581.1.p1	NM_001180480.3.p1
OG0001388	XM_001595837.1.p1	NM_001183525.1.p1, NM_001183455.1.p1
OG0001389	XM_001594385.1.p1	NM_001179601.3.p1
OG0001390	XM_001593629.1.p1	NM_001178960.1.p1
OG0001391	XM_001593760.1.p1	NM_001182964.1.p1
OG0001392	XM_001591018.1.p1	NM_001180633.1.p1
OG0001393	XM_001587430.1.p1	NM_001183027.1.p1
OG0001394	XM_001595447.1.p1	NM_001183069.1.p1, NM_001183102.1.p1
OG0001395	XM_001595940.1.p1	NM_001179715.1.p1
OG0001397	XM_001597458.1.p1	NM_001178157.1.p1
OG0001402	XM_001598084.1.p1	NM_001179647.1.p1, NM_001183862.1.p1, NM_001181330.3.p1
OG0001404	XM_001588050.1.p1	NM_001183473.1.p1, NM_001179862.1.p1, NM_001179654.1.p1
OG0001405	XM_001594368.1.p1	NM_001179242.1.p1
OG0001406	XM_001592275.1.p1	NM_001180620.3.p1, NM_001179196.1.p1
OG0001407	XM_001591124.1.p1	NM_001182860.1.p1
OG0001408	XM_001598811.1.p1	NM_001181787.2.p1
OG0001411	XM_001592806.1.p1	NM_001182094.1.p1
OG0001412	XM_001590469.1.p1	NM_001179775.1.p1
OG0001415	XM_001596226.1.p1, XM_001598472.1.p1	NM_001179197.1.p1
OG0001416	XM_001598452.1.p1	NM_001181044.3.p1
OG0001417	XM_001593177.1.p1	NM_001180005.2.p1, NM_001181095.1.p1, NM_001179818.2.p1, NM_001181531.1.p1
OG0001418	XM_001591514.1.p1	NM_001183007.1.p1
OG0001419	XM_001598681.1.p1	NM_001182979.1.p1
OG0001422	XM_001590100.1.p1	NM_001184026.1.p1, NM_001180928.4.p1
OG0001425	XM_001597305.1.p1	NM_001178287.1.p1
OG0001426	XM_001591173.1.p1	NM_001180231.1.p1
OG0001428	XM_001588090.1.p1	NM_001184108.1.p1
OG0001432	XM_001593969.1.p1, XM_001585343.1.p1	NM_001183351.1.p1
OG0001433	XM_001585693.1.p1, XM_001585692.1.p1	NM_001178244.1.p1
OG0001435	XM_001591027.1.p1	NM_001178886.1.p1, NM_001180238.1.p1
OG0001436	XM_001594967.1.p1	NM_001180574.3.p1
OG0001437	XM_001595220.1.p1, XM_001598482.1.p1	NM_001182560.1.p1
OG0001441	XM_001591502.1.p1	NM_001184225.1.p1
OG0001444	XM_001598154.1.p1	NM_001180580.3.p1, NM_001183459.1.p1
OG0001447	XM_001590454.1.p1	NM_001181796.2.p1
OG0001449	XM_001584927.1.p1	NM_001182909.3.p1
OG0001450	XM_001594323.1.p1	NM_001182599.1.p1
OG0001451	XM_001590785.1.p1	NM_001184027.1.p1
OG0001452	XM_001586975.1.p1	NM_001179347.3.p1, NM_001182320.3.p1, NM_001182414.1.p1
OG0001453	XM_001585709.1.p1	NM_001181447.3.p1, NM_001181317.3.p1
OG0001454	XM_001598339.1.p1	NM_001179778.1.p1
OG0001455	XM_001596308.1.p1	NM_001180839.3.p1
OG0001456	XM_001594827.1.p1	NM_001178200.1.p1
OG0001457	XM_001590966.1.p1	NM_001180406.4.p1, NM_001179064.3.p1
OG0001458	XM_001597544.1.p1	NM_001182415.1.p1, NM_001182321.1.p1
OG0001459	XM_001586602.1.p1	NM_001181399.1.p1
OG0001460	XM_001585269.1.p1	NM_001180588.1.p1
OG0001461	XM_001597434.1.p1	NM_001178577.3.p1
OG0001463	XM_001587116.1.p1	NM_001182552.1.p1, NM_001183689.3.p1
OG0001464	XM_001587145.1.p1	NM_001178428.3.p1
OG0001465	XM_001584616.1.p1	NM_001181018.3.p1
OG0001466	XM_001596624.1.p1, XM_001588938.1.p1	NM_001178944.3.p1
OG0001467	XM_001593377.1.p1	NM_001180877.1.p1
OG0001470	XM_001598483.1.p1	NM_001180591.3.p1
OG0001471	XM_001597927.1.p1	NM_001183662.1.p1
OG0001472	XM_001588144.1.p1	NM_001179010.3.p1, NM_001184321.1.p1
OG0001473	XM_001588083.1.p1	NM_001182140.1.p1
OG0001489	XM_001594695.1.p1	NM_001179983.1.p1
OG0001490	XM_001590455.1.p1	NM_001179580.3.p1
OG0001494	XM_001590871.1.p1	NM_001182014.1.p1
OG0001495	XM_001591501.1.p1	NM_001182657.1.p1
OG0001496	XM_001590486.1.p1	NM_001183930.1.p1
OG0001497	XM_001586720.1.p1	NM_001183347.1.p1
OG0001498	XM_001586789.1.p1	NM_001184286.1.p1
OG0001500	XM_001591000.1.p1, XM_001590999.1.p1	NM_001180335.1.p1
OG0001501	XM_001585424.1.p1	NM_001180224.1.p1
OG0001504	XM_001598066.1.p1	NM_001179838.1.p1
OG0001505	XM_001590355.1.p1	NM_001178846.3.p1
OG0001506	XM_001595083.1.p1	NM_001178690.1.p1
OG0001509	XM_001589211.1.p1	NM_001180797.3.p1
OG0001511	XM_001598741.1.p1	NM_001183080.1.p1
OG0001513	XM_001592873.1.p1	NM_001182291.1.p1
OG0001514	XM_001585948.1.p1	NM_001183039.1.p1
OG0001515	XM_001594183.1.p1	NM_001182082.1.p1
OG0001518	XM_001588256.1.p1	NM_001178529.3.p1
OG0001519	XM_001587131.1.p1	NM_001181935.1.p1, NM_001181343.1.p1
OG0001520	XM_001590166.1.p1	NM_001181230.1.p1
OG0001521	XM_001596692.1.p1	NM_001184077.1.p1
OG0001522	XM_001596697.1.p1	NM_001180989.2.p1
OG0001523	XM_001587383.1.p1	NM_001181790.2.p1
OG0001524	XM_001594990.1.p1	NM_001182356.1.p1
OG0001525	XM_001587317.1.p1	NM_001179605.1.p1, NM_001179097.1.p1
OG0001526	XM_001591706.1.p1	NM_001183896.1.p1
OG0001527	XM_001597417.1.p1	NM_001179707.1.p1, NM_001182618.1.p1
OG0001529	XM_001597439.1.p1	NM_001183085.1.p1
OG0001530	XM_001584603.1.p1	NM_001179285.1.p1
OG0001532	XM_001585492.1.p1	NM_001183454.1.p1
OG0001533	XM_001585528.1.p1	NM_001182738.1.p1
OG0001534	XM_001587067.1.p1	NM_001180490.1.p1
OG0001537	XM_001586965.1.p1	NM_001182068.1.p1
OG0001539	XM_001594194.1.p1, XM_001594193.1.p1	NM_001182862.1.p1
OG0001541	XM_001598499.1.p1	NM_001184178.1.p1, NM_001178469.2.p1
OG0001544	XM_001595965.1.p1, XM_001595966.1.p1	NM_001178959.3.p1
OG0001545	XM_001591563.1.p1	NM_001182590.1.p1
OG0001546	XM_001584892.1.p1	NM_001179814.1.p1
OG0001547	XM_001592560.1.p1	NM_001180175.1.p1
OG0001548	XM_001592711.1.p1	NM_001183939.1.p1
OG0001550	XM_001590263.1.p1	NM_001182626.1.p1
OG0001551	XM_001591912.1.p1, XM_001591910.1.p1	NM_001183095.1.p1, NM_001179286.1.p1
OG0001552	XM_001591114.1.p1	NM_001181626.1.p1, NM_001183727.1.p1
OG0001553	XM_001585770.1.p1	NM_001180110.1.p1
OG0001554	XM_001588826.1.p1	NM_001184132.2.p1
OG0001555	XM_001588932.1.p1	NM_001184449.1.p1, NM_001178713.1.p1
OG0001556	XM_001586500.1.p1	NM_001182930.1.p1
OG0001557	XM_001598314.1.p1	NM_001183598.1.p1, NM_001182164.1.p1
OG0001558	XM_001586489.1.p1	NM_001183690.1.p1
OG0001559	XM_001595680.1.p1	NM_001180867.1.p1, NM_001180033.1.p1, NM_001179240.1.p1
OG0001560	XM_001584921.1.p1	NM_001180673.1.p1
OG0001563	XM_001586244.1.p1	NM_001182621.1.p1, NM_001181915.1.p1
OG0001564	XM_001597736.1.p1	NM_001179059.1.p1, NM_001180404.1.p1
OG0001565	XM_001586785.1.p1	NM_001182888.1.p1, NM_001179457.3.p1
OG0001566	XM_001587857.1.p1	NM_001182002.1.p1
OG0001567	XM_001585586.1.p1	NM_001179755.1.p1
OG0001568	XM_001588032.1.p1	NM_001178406.1.p1
OG0001570	XM_001598009.1.p1	NM_001179113.1.p1
OG0001571	XM_001586005.1.p1	NM_001179777.1.p1
OG0001572	XM_001597978.1.p1	NM_001178857.1.p1
OG0001573	XM_001598381.1.p1	NM_001183859.1.p1
OG0001574	XM_001592452.1.p1	NM_001181520.1.p1
OG0001575	XM_001586034.1.p1	NM_001181241.1.p1
OG0001579	XM_001596911.1.p1	NM_001182336.1.p1, NM_001182432.1.p1
OG0001581	XM_001592716.1.p1	NM_001180749.3.p1, NM_001182380.1.p1
OG0001582	XM_001585389.1.p1, XM_001585619.1.p1	NM_001180409.1.p1
OG0001583	XM_001590383.1.p1	NM_001178211.1.p1
OG0001584	XM_001592184.1.p1	NM_001182605.1.p1, NM_001179693.1.p1
OG0001585	XM_001591668.1.p1	NM_001178907.1.p1
OG0001588	XM_001598638.1.p1	NM_001178401.1.p1
OG0001590	XM_001586317.1.p1	NM_001180529.3.p1
OG0001591	XM_001588337.1.p1	NM_001182845.3.p1
OG0001592	XM_001591465.1.p1	NM_001183299.1.p1, NM_001178162.2.p1
OG0001593	XM_001589357.1.p1	NM_001182814.1.p1
OG0001594	XM_001597642.1.p1	NM_001183920.1.p1, NM_001178517.1.p1
OG0001596	XM_001597634.1.p1	NM_001178870.1.p1
OG0001598	XM_001593169.1.p1	NM_001183625.3.p1
OG0001599	XM_001595351.1.p1	NM_001181460.1.p1
OG0001600	XM_001590984.1.p1	NM_001181600.1.p1
OG0001601	XM_001592341.1.p1	NM_001179103.1.p1
OG0001602	XM_001584934.1.p1	NM_001180736.3.p1
OG0001603	XM_001584607.1.p1	NM_001182466.1.p1
OG0001604	XM_001587107.1.p1	NM_001181300.1.p1
OG0001605	XM_001585121.1.p1	NM_001178383.1.p1
OG0001607	XM_001597097.1.p1	NM_001180693.1.p1
OG0001609	XM_001590202.1.p1	NM_001180294.1.p1
OG0001610	XM_001593541.1.p1	NM_001179275.1.p1
OG0001611	XM_001587790.1.p1	NM_001180230.1.p1
OG0001613	XM_001587935.1.p1, XM_001587936.1.p1	NM_001181007.1.p1
OG0001614	XM_001585306.1.p1	NM_001182317.1.p1
OG0001615	XM_001584605.1.p1	NM_001181797.3.p1
OG0001616	XM_001594984.1.p1	NM_001182736.1.p1
OG0001617	XM_001597285.1.p1	NM_001179102.1.p1
OG0001618	XM_001589352.1.p1	NM_001178905.1.p1
OG0001619	XM_001587176.1.p1	NM_001180609.1.p1
OG0001620	XM_001597684.1.p1	NM_001182926.3.p1
OG0001622	XM_001585761.1.p1	NM_001178732.1.p1
OG0001623	XM_001597189.1.p1	NM_001180087.2.p1
OG0001624	XM_001584840.1.p1	NM_001179666.1.p1
OG0001625	XM_001597024.1.p1	NM_001180176.1.p1
OG0001628	XM_001590916.1.p1	NM_001182000.1.p1
OG0001629	XM_001596143.1.p1	NM_001183401.1.p1
OG0001632	XM_001588154.1.p1	NM_001179462.3.p1, NM_001182894.1.p1
OG0001633	XM_001597348.1.p1	NM_001180536.3.p1
OG0001634	XM_001590949.1.p1	NM_001179555.1.p1, NM_001179586.1.p1
OG0001635	XM_001594583.1.p1	NM_001179944.2.p1
OG0001636	XM_001591692.1.p1	NM_001181377.3.p1, NM_001179294.1.p1, NM_001178815.1.p1, NM_001183211.3.p1
OG0001638	XM_001593822.1.p1	NM_001182809.1.p1
OG0001639	XM_001589214.1.p1	NM_001182533.1.p1
OG0001641	XM_001597680.1.p1	NM_001178503.1.p1
OG0001642	XM_001595175.1.p1	NM_001181352.1.p1
OG0001643	XM_001594880.1.p1	NM_001182538.1.p1
OG0001644	XM_001592354.1.p1	NM_001182529.1.p1
OG0001645	XM_001591061.1.p1	NM_001180300.2.p1
OG0001646	XM_001595519.1.p1	NM_001179301.1.p1
OG0001648	XM_001589622.1.p1	NM_001179431.2.p1
OG0001649	XM_001589054.1.p1	NM_001183898.1.p1
OG0001651	XM_001587633.1.p1	NM_001182307.3.p1
OG0001653	XM_001588927.1.p1	NM_001181396.1.p1
OG0001656	XM_001593479.1.p1, XM_001590149.1.p1	NM_001178790.1.p1
OG0001657	XM_001585417.1.p1	NM_001184237.1.p1
OG0001658	XM_001589660.1.p1	NM_001181367.3.p1, NM_001179289.1.p1
OG0001659	XM_001594992.1.p1	NM_001183055.1.p1
OG0001660	XM_001588943.1.p1	NM_001179068.3.p1
OG0001661	XM_001593670.1.p1	NM_001180436.3.p1
OG0001662	XM_001588324.1.p1, XM_001584854.1.p1	NM_001179833.1.p1
OG0001663	XM_001595755.1.p1	NM_001178432.1.p1, NM_001181333.3.p1
OG0001664	XM_001595822.1.p1	NM_001179148.1.p1
OG0001665	XM_001586803.1.p1	NM_001183420.1.p1
OG0001666	XM_001598872.1.p1	NM_001181586.1.p1
OG0001667	XM_001592467.1.p1	NM_001184133.1.p1
OG0001668	XM_001593029.1.p1	NM_001183755.3.p1
OG0001669	XM_001585162.1.p1, XM_001585163.1.p1	NM_001178662.1.p1
OG0001670	XM_001588398.1.p1	NM_001179503.1.p1
OG0001671	XM_001598414.1.p1	NM_001182589.1.p1, NM_001178908.1.p1
OG0001672	XM_001597380.1.p1	NM_001182748.1.p1
OG0001673	XM_001597675.1.p1	NM_001180681.3.p1
OG0001674	XM_001592252.1.p1	NM_001183840.1.p1, NM_001180555.1.p1
OG0001675	XM_001596085.1.p1	NM_001179000.1.p1
OG0001676	XM_001592934.1.p1	NM_001181741.1.p1
OG0001678	XM_001587393.1.p1	NM_001179411.1.p1
OG0001679	XM_001588168.1.p1	NM_001181465.1.p1
OG0001680	XM_001586872.1.p1	NM_001182819.1.p1
OG0001681	XM_001593299.1.p1	NM_001181984.1.p1
OG0001682	XM_001586639.1.p1	NM_001184129.1.p1, NM_001178346.2.p1
OG0001683	XM_001595338.1.p1	NM_001182695.1.p1
OG0001686	XM_001585532.1.p1	NM_001183510.1.p1
OG0001687	XM_001598229.1.p1	NM_001181006.1.p1
OG0001690	XM_001585778.1.p1	NM_001181518.1.p1
OG0001691	XM_001588440.1.p1	NM_001178961.1.p1, NM_001179416.3.p1
OG0001692	XM_001584910.1.p1	NM_001181750.1.p1
OG0001693	XM_001591043.1.p1	NM_001180766.1.p1, NM_001182391.1.p1
OG0001694	XM_001596686.1.p1	NM_001184207.1.p1
OG0001695	XM_001594204.1.p1	NM_001178248.2.p1, NM_001183457.1.p1
OG0001696	XM_001593962.1.p1	NM_001179247.1.p1, NM_001182959.3.p1
OG0001697	XM_001589617.1.p1	NM_001182298.1.p1
OG0001698	XM_001597629.1.p1	NM_001180792.1.p1
OG0001699	XM_001589149.1.p1	NM_001182511.1.p1
OG0001700	XM_001598246.1.p1	NM_001183679.1.p1
OG0001701	XM_001591929.1.p1	NM_001183267.1.p1
OG0001703	XM_001595758.1.p1	NM_001181631.1.p1, NM_001178751.1.p1, NM_001183190.3.p1
OG0001704	XM_001591634.1.p1	NM_001179958.1.p1
OG0001705	XM_001595225.1.p1	NM_001179600.1.p1
OG0001721	XM_001597065.1.p1, XM_001589322.1.p1	NM_001178683.1.p1
OG0001722	XM_001586788.1.p1	NM_001179529.3.p1
OG0001724	XM_001590840.1.p1	NM_001180970.1.p1
OG0001726	XM_001589936.1.p1	NM_001183532.3.p1
OG0001727	XM_001591137.1.p1, XM_001593237.1.p1	NM_001179766.1.p1, NM_001181719.1.p1
OG0001729	XM_001587382.1.p1	NM_001179008.1.p1
OG0001731	XM_001591843.1.p1	NM_001181323.3.p1
OG0001732	XM_001585968.1.p1	NM_001181665.1.p1
OG0001733	XM_001596326.1.p1	NM_001184145.1.p1
OG0001734	XM_001589885.1.p1	NM_001181442.2.p1
OG0001735	XM_001589025.1.p1	NM_001178279.1.p1, NM_001181761.4.p1
OG0001738	XM_001587146.1.p1	NM_001179965.1.p1
OG0001739	XM_001593621.1.p1	NM_001178973.1.p1
OG0001740	XM_001591824.1.p1	NM_001184032.1.p1
OG0001741	XM_001587709.1.p1	NM_001181219.3.p1
OG0001743	XM_001586642.1.p1	NM_001182559.1.p1
OG0001744	XM_001594510.1.p1	NM_001178991.3.p1
OG0001745	XM_001592516.1.p1	NM_001184280.1.p1
OG0001746	XM_001596949.1.p1	NM_001184146.1.p1
OG0001747	XM_001590666.1.p1	NM_001183493.1.p1
OG0001748	XM_001589278.1.p1	NM_001183579.1.p1
OG0001749	XM_001597157.1.p1	NM_001178379.1.p1
OG0001750	XM_001587513.1.p1	NM_001179738.1.p1
OG0001751	XM_001590998.1.p1	NM_001182161.1.p1
OG0001752	XM_001597420.1.p1	NM_001179417.1.p1
OG0001753	XM_001598799.1.p1	NM_001178664.1.p1
OG0001754	XM_001590525.1.p1	NM_001183150.1.p1
OG0001755	XM_001593055.1.p1	NM_001183076.1.p1
OG0001756	XM_001592679.1.p1	NM_001178756.1.p1
OG0001757	XM_001593107.1.p1	NM_001178706.1.p1
OG0001758	XM_001586211.1.p1	NM_001178566.1.p1, NM_001180927.1.p1
OG0001760	XM_001594527.1.p1	NM_001181861.1.p1
OG0001762	XM_001598181.1.p1	NM_001182452.1.p1
OG0001764	XM_001596364.1.p1	NM_001179757.1.p1
OG0001765	XM_001590590.1.p1	NM_001183189.1.p1
OG0001766	XM_001590857.1.p1	NM_001179150.1.p1
OG0001767	XM_001586584.1.p1	NM_001182878.3.p1
OG0001768	XM_001597883.1.p1	NM_001181102.1.p1
OG0001769	XM_001591520.1.p1	NM_001183399.2.p1
OG0001770	XM_001590010.1.p1	NM_001180466.3.p1
OG0001771	XM_001590930.1.p1	NM_001184101.1.p1
OG0001772	XM_001590921.1.p1	NM_001180951.3.p1
OG0001773	XM_001596015.1.p1	NM_001179887.3.p1
OG0001774	XM_001592132.1.p1	NM_001183538.3.p1
OG0001775	XM_001598459.1.p1	NM_001179368.1.p1
OG0001776	XM_001591629.1.p1	NM_001180016.3.p1
OG0001777	XM_001584821.1.p1	NM_001182371.1.p1, NM_001180150.1.p1
OG0001778	XM_001588150.1.p1	NM_001180124.1.p1
OG0001779	XM_001595681.1.p1	NM_001181131.1.p1
OG0001780	XM_001588152.1.p1	NM_001184242.1.p1, NM_001181253.1.p1
OG0001781	XM_001590832.1.p1	NM_001179930.1.p1
OG0001782	XM_001591472.1.p1	NM_001183529.1.p1, NM_001182946.1.p1
OG0001783	XM_001598837.1.p1	NM_001182426.1.p1
OG0001784	XM_001598923.1.p1	NM_001178894.1.p1
OG0001785	XM_001598934.1.p1	NM_001180088.1.p1
OG0001786	XM_001595140.1.p1	NM_001184230.1.p1
OG0001787	XM_001597366.1.p1	NM_001184232.1.p1
OG0001788	XM_001590194.1.p1	NM_001183899.1.p1
OG0001789	XM_001588695.1.p1	NM_001179244.1.p1
OG0001790	XM_001587883.1.p1	NM_001179679.1.p1
OG0001791	XM_001593540.1.p1	NM_001179302.1.p1
OG0001792	XM_001594609.1.p1	NM_001180201.1.p1
OG0001795	XM_001594334.1.p1, XM_001596894.1.p1	NM_001184183.1.p1
OG0001796	XM_001592592.1.p1	NM_001183641.1.p1, NM_001183948.1.p1
OG0001797	XM_001594930.1.p1	NM_001183192.1.p1
OG0001798	XM_001588684.1.p1	NM_001182240.1.p1
OG0001799	XM_001597442.1.p1	NM_001179717.1.p1
OG0001800	XM_001596717.1.p1	NM_001180639.1.p1
OG0001802	XM_001590920.1.p1	NM_001181175.3.p1
OG0001803	XM_001593200.1.p1	NM_001182050.1.p1
OG0001804	XM_001595592.1.p1	NM_001181060.3.p1
OG0001805	XM_001587985.1.p1	NM_001183925.1.p1
OG0001806	XM_001596616.1.p1	NM_001181187.2.p1
OG0001807	XM_001597030.1.p1	NM_001181436.3.p1
OG0001808	XM_001586117.1.p1	NM_001178337.2.p1
OG0001809	XM_001594291.1.p1	NM_001181021.1.p1
OG0001811	XM_001588110.1.p1	NM_001181912.1.p1
OG0001812	XM_001591191.1.p1	NM_001180776.3.p1
OG0001813	XM_001592623.1.p1	NM_001182424.1.p1, NM_001182330.3.p1
OG0001815	XM_001586248.1.p1	NM_001181214.1.p1
OG0001816	XM_001585130.1.p1	NM_001182524.1.p1
OG0001817	XM_001589814.1.p1	NM_001179986.1.p1
OG0001818	XM_001597638.1.p1	NM_001184057.1.p1
OG0001820	XM_001595800.1.p1	NM_001180250.2.p1
OG0001821	XM_001595579.1.p1	NM_001182055.1.p1, NM_001180493.1.p1
OG0001825	XM_001595217.1.p1	NM_001183810.1.p1
OG0001828	XM_001585103.1.p1	NM_001178996.1.p1, NM_001178319.1.p1
OG0001830	XM_001585900.1.p1	NM_001179204.1.p1
OG0001831	XM_001592314.1.p1	NM_001182457.1.p1
OG0001832	XM_001597841.1.p1	NM_001182146.1.p1
OG0001833	XM_001594152.1.p1	NM_001183981.1.p1
OG0001834	XM_001589838.1.p1	NM_001179163.1.p1, NM_001180608.3.p1
OG0001835	XM_001591194.1.p1	NM_001178471.3.p1
OG0001836	XM_001597475.1.p1	NM_001182742.1.p1
OG0001837	XM_001587327.1.p1	NM_001182266.3.p1
OG0001838	XM_001589014.1.p1	NM_001178324.2.p1
OG0001839	XM_001585061.1.p1	NM_001181356.2.p1
OG0001842	XM_001594666.1.p1	NM_001182181.1.p1, NM_001183604.1.p1
OG0001844	XM_001590509.1.p1	NM_001183163.1.p1
OG0001845	XM_001589982.1.p1	NM_001181209.3.p1
OG0001846	XM_001596454.1.p1	NM_001183115.1.p1
OG0001847	XM_001594103.1.p1	NM_001182955.1.p1, NM_001179553.3.p1
OG0001848	XM_001593509.1.p1	NM_001184169.1.p1, NM_001179388.3.p1
OG0001850	XM_001586794.1.p1	NM_001180757.1.p1
OG0001851	XM_001586923.1.p1	NM_001180388.3.p1
OG0001852	XM_001586886.1.p1	NM_001178300.1.p1
OG0001853	XM_001585928.1.p1	NM_001179762.1.p1
OG0001854	XM_001590829.1.p1	NM_001178867.1.p1
OG0001855	XM_001589062.1.p1	NM_001180737.1.p1
OG0001856	XM_001588810.1.p1	NM_001184051.1.p1
OG0001857	XM_001597917.1.p1	NM_001183606.1.p1
OG0001858	XM_001595648.1.p1	NM_001180287.1.p1, NM_001180245.1.p1
OG0001859	XM_001592548.1.p1	NM_001178585.1.p1
OG0001860	XM_001596630.1.p1	NM_001182083.1.p1
OG0001861	XM_001594433.1.p1	NM_001183564.1.p1
OG0001862	XM_001598227.1.p1	NM_001179055.1.p1
OG0001863	XM_001590791.1.p1	NM_001180724.1.p1
