Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Alternaria_alternata_rna_prot
OG0002598	XM_001586531.1.p1	XM_018523954.1.p1
OG0002599	XM_001593603.1.p1	XM_018524009.1.p1
OG0002600	XM_001598504.1.p1	XM_018524067.1.p1
OG0002601	XM_001589535.1.p1	XM_018524105.1.p1
OG0002602	XM_001596786.1.p1	XM_018524145.1.p1
OG0002603	XM_001588678.1.p1	XM_018524159.1.p1
OG0002604	XM_001590395.1.p1	XM_018524174.1.p1
OG0002605	XM_001597028.1.p1	XM_018524177.1.p1, XM_018531419.1.p1
OG0002606	XM_001587684.1.p1	XM_018524238.1.p1
OG0002607	XM_001593297.1.p1	XM_018524248.1.p1
OG0002608	XM_001587700.1.p1	XM_018524249.1.p1
OG0002609	XM_001586795.1.p1	XM_018524271.1.p1
OG0002610	XM_001597107.1.p1	XM_018524277.1.p1
OG0002611	XM_001591893.1.p1	XM_018524281.1.p1
OG0002612	XM_001587672.1.p1	XM_018524291.1.p1
OG0002613	XM_001584872.1.p1	XM_018524306.1.p1
OG0002614	XM_001597337.1.p1	XM_018524363.1.p1
OG0002615	XM_001585739.1.p1	XM_018524394.1.p1
OG0002616	XM_001594762.1.p1	XM_018524401.1.p1
OG0002617	XM_001585080.1.p1	XM_018524413.1.p1
OG0002618	XM_001586277.1.p1	XM_018524423.1.p1
OG0002619	XM_001597104.1.p1	XM_018524460.1.p1
OG0002620	XM_001586208.1.p1	XM_018524466.1.p1
OG0002620	XM_001584659.1.p1	XM_018535455.1.p1
OG0002621	XM_001593947.1.p1	XM_018524483.1.p1
OG0002622	XM_001593922.1.p1	XM_018524489.1.p1
OG0002623	XM_001591749.1.p1	XM_018524500.1.p1
OG0002624	XM_001591906.1.p1	XM_018524503.1.p1
OG0002625	XM_001597913.1.p1	XM_018524512.1.p1
OG0002626	XM_001595354.1.p1	XM_018524516.1.p1
OG0002627	XM_001588690.1.p1	XM_018524527.1.p1
OG0002628	XM_001595460.1.p1	XM_018524582.1.p1
OG0002629	XM_001592160.1.p1	XM_018524621.1.p1
OG0002630	XM_001589219.1.p1	XM_018524638.1.p1
OG0002631	XM_001597438.1.p1	XM_018524698.1.p1
OG0002632	XM_001593738.1.p1	XM_018524709.1.p1
OG0002633	XM_001598308.1.p1	XM_018524720.1.p1
OG0002634	XM_001592433.1.p1	XM_018524734.1.p1
OG0002635	XM_001586078.1.p1	XM_018524738.1.p1
OG0002636	XM_001585168.1.p1	XM_018524742.1.p1
OG0002637	XM_001592446.1.p1	XM_018524758.1.p1
OG0002638	XM_001596110.1.p1	XM_018524774.1.p1
OG0002639	XM_001594797.1.p1	XM_018524794.1.p1
OG0002640	XM_001598833.1.p1	XM_018524800.1.p1
OG0002641	XM_001584763.1.p1	XM_018524818.1.p1
OG0002642	XM_001587073.1.p1	XM_018524836.1.p1
OG0002643	XM_001594208.1.p1	XM_018524849.1.p1
OG0002644	XM_001594573.1.p1	XM_018524853.1.p1
OG0002645	XM_001597161.1.p1	XM_018524859.1.p1
OG0002646	XM_001597191.1.p1	XM_018524861.1.p1
OG0002647	XM_001594553.1.p1	XM_018524898.1.p1
OG0002648	XM_001586247.1.p1	XM_018524901.1.p1
OG0002649	XM_001586296.1.p1	XM_018524932.1.p1
OG0002650	XM_001594523.1.p1	XM_018524938.1.p1
OG0002651	XM_001592010.1.p1	XM_018524941.1.p1
OG0002652	XM_001594191.1.p1	XM_018524954.1.p1
OG0002653	XM_001593079.1.p1	XM_018524961.1.p1
OG0002655	XM_001587608.1.p1	XM_018525051.1.p1
OG0002656	XM_001587330.1.p1	XM_018525063.1.p1
OG0002657	XM_001590457.1.p1	XM_018525073.1.p1
OG0002659	XM_001590725.1.p1	XM_018525102.1.p1
OG0002660	XM_001590575.1.p1	XM_018525103.1.p1
OG0002661	XM_001590698.1.p1	XM_018525117.1.p1
OG0002662	XM_001590600.1.p1	XM_018525119.1.p1
OG0002663	XM_001590220.1.p1	XM_018525122.1.p1
OG0002665	XM_001590556.1.p1	XM_018525130.1.p1
OG0002666	XM_001590273.1.p1	XM_018525157.1.p1
OG0002667	XM_001587612.1.p1	XM_018525159.1.p1
OG0002668	XM_001587002.1.p1	XM_018525170.1.p1
OG0002669	XM_001591017.1.p1	XM_018525175.1.p1
OG0002670	XM_001598059.1.p1	XM_018525212.1.p1
OG0002671	XM_001598074.1.p1	XM_018525230.1.p1
OG0002672	XM_001596013.1.p1	XM_018525329.1.p1
OG0002674	XM_001598457.1.p1	XM_018525386.1.p1
OG0002675	XM_001595818.1.p1	XM_018525441.1.p1
OG0002677	XM_001595753.1.p1	XM_018525461.1.p1
OG0002678	XM_001588076.1.p1	XM_018525497.1.p1
OG0002679	XM_001585181.1.p1	XM_018525517.1.p1
OG0002680	XM_001590223.1.p1	XM_018525579.1.p1
OG0002681	XM_001591118.1.p1	XM_018525589.1.p1
OG0002682	XM_001590941.1.p1	XM_018525617.1.p1
OG0002683	XM_001584712.1.p1	XM_018525677.1.p1
OG0002684	XM_001595173.1.p1	XM_018525706.1.p1
OG0002685	XM_001593412.1.p1	XM_018525731.1.p1
OG0002686	XM_001596507.1.p1	XM_018525752.1.p1
OG0002687	XM_001586733.1.p1	XM_018525766.1.p1
OG0002688	XM_001595177.1.p1	XM_018525788.1.p1
OG0002689	XM_001592281.1.p1	XM_018525801.1.p1
OG0002690	XM_001598236.1.p1	XM_018525828.1.p1
OG0002691	XM_001586060.1.p1	XM_018525846.1.p1
OG0002692	XM_001591095.1.p1	XM_018525864.1.p1
OG0002693	XM_001594364.1.p1	XM_018525867.1.p1
OG0002694	XM_001589333.1.p1	XM_018525885.1.p1
OG0002695	XM_001587167.1.p1	XM_018525887.1.p1
OG0002696	XM_001598191.1.p1	XM_018525913.1.p1
OG0002697	XM_001598772.1.p1	XM_018525943.1.p1
OG0002698	XM_001593787.1.p1	XM_018525955.1.p1
OG0002699	XM_001587155.1.p1	XM_018525986.1.p1
OG0002700	XM_001587259.1.p1	XM_018526002.1.p1
OG0002701	XM_001593758.1.p1	XM_018526010.1.p1
OG0002702	XM_001591302.1.p1	XM_018526017.1.p1
OG0002703	XM_001591239.1.p1	XM_018526030.1.p1
OG0002704	XM_001597465.1.p1	XM_018526043.1.p1
OG0002706	XM_001587159.1.p1	XM_018526056.1.p1
OG0002707	XM_001586132.1.p1	XM_018526058.1.p1
OG0002708	XM_001597128.1.p1	XM_018526073.1.p1
OG0002709	XM_001587858.1.p1	XM_018526078.1.p1
OG0002710	XM_001595676.1.p1	XM_018526081.1.p1
OG0002711	XM_001588265.1.p1	XM_018526091.1.p1
OG0002712	XM_001586007.1.p1	XM_018526114.1.p1
OG0002713	XM_001594857.1.p1	XM_018526134.1.p1
OG0002714	XM_001591816.1.p1	XM_018526135.1.p1
OG0002716	XM_001590028.1.p1	XM_018526179.1.p1
OG0002717	XM_001590137.1.p1	XM_018526189.1.p1
OG0002718	XM_001586171.1.p1	XM_018526230.1.p1
OG0002720	XM_001591468.1.p1	XM_018526279.1.p1
OG0002721	XM_001586997.1.p1	XM_018534793.1.p1
OG0002722	XM_001593780.1.p1	XM_018526391.1.p1
OG0002723	XM_001597554.1.p1, XM_001584789.1.p1	XM_018526408.1.p1
OG0002724	XM_001586934.1.p1	XM_018526438.1.p1
OG0002725	XM_001591245.1.p1	XM_018526440.1.p1
OG0002726	XM_001594793.1.p1	XM_018526557.1.p1
OG0002727	XM_001596199.1.p1	XM_018526566.1.p1
OG0002728	XM_001592197.1.p1	XM_018526571.1.p1
OG0002729	XM_001589317.1.p1	XM_018526588.1.p1
OG0002730	XM_001591400.1.p1	XM_018526594.1.p1
OG0002731	XM_001590601.1.p1	XM_018526665.1.p1
OG0002732	XM_001598116.1.p1	XM_018526695.1.p1
OG0002733	XM_001588057.1.p1	XM_018526769.1.p1
OG0002734	XM_001588718.1.p1	XM_018526789.1.p1
OG0002735	XM_001590234.1.p1	XM_018526795.1.p1
OG0002736	XM_001596736.1.p1	XM_018526841.1.p1
OG0002737	XM_001587661.1.p1	XM_018526892.1.p1
OG0002738	XM_001597580.1.p1	XM_018526924.1.p1
OG0002739	XM_001593077.1.p1	XM_018533775.1.p1, XM_018528766.1.p1
OG0002740	XM_001596378.1.p1	XM_018527026.1.p1
OG0002741	XM_001596447.1.p1	XM_018527032.1.p1
OG0002742	XM_001592800.1.p1	XM_018527108.1.p1
OG0002743	XM_001589287.1.p1	XM_018527114.1.p1
OG0002744	XM_001591464.1.p1	XM_018527125.1.p1
OG0002746	XM_001591002.1.p1	XM_018527150.1.p1
OG0002747	XM_001592910.1.p1	XM_018527202.1.p1
OG0002748	XM_001588490.1.p1	XM_018527254.1.p1
OG0002749	XM_001587250.1.p1	XM_018527340.1.p1
OG0002750	XM_001585487.1.p1	XM_018527390.1.p1
OG0002751	XM_001586019.1.p1	XM_018527410.1.p1
OG0002752	XM_001587862.1.p1	XM_018527476.1.p1
OG0002754	XM_001595580.1.p1	XM_018527505.1.p1
OG0002755	XM_001597916.1.p1	XM_018527513.1.p1
OG0002756	XM_001595353.1.p1	XM_018527524.1.p1
OG0002757	XM_001589360.1.p1	XM_018527534.1.p1
OG0002758	XM_001588928.1.p1	XM_018527543.1.p1
OG0002759	XM_001597470.1.p1	XM_018527567.1.p1
OG0002760	XM_001595952.1.p1	XM_018527616.1.p1
OG0002761	XM_001585199.1.p1	XM_018527657.1.p1
OG0002762	XM_001589225.1.p1	XM_018527673.1.p1
OG0002763	XM_001587011.1.p1	XM_018527711.1.p1
OG0002764	XM_001589776.1.p1	XM_018527766.1.p1
OG0002765	XM_001587839.1.p1	XM_018527803.1.p1
OG0002767	XM_001592938.1.p1	XM_018527901.1.p1
OG0002768	XM_001596338.1.p1	XM_018527924.1.p1
OG0002769	XM_001588242.1.p1	XM_018527936.1.p1
OG0002770	XM_001584690.1.p1	XM_018527956.1.p1
OG0002771	XM_001591056.1.p1	XM_018528107.1.p1
OG0002772	XM_001584501.1.p1	XM_018528132.1.p1
OG0002773	XM_001584842.1.p1	XM_018528163.1.p1
OG0002774	XM_001593500.1.p1	XM_018528165.1.p1
OG0002776	XM_001593796.1.p1	XM_018528293.1.p1
OG0002777	XM_001593216.1.p1	XM_018528328.1.p1
OG0002778	XM_001588821.1.p1	XM_018528396.1.p1
OG0002779	XM_001592438.1.p1	XM_018528460.1.p1
OG0002780	XM_001595052.1.p1	XM_018528473.1.p1
OG0002781	XM_001591527.1.p1	XM_018528478.1.p1
OG0002782	XM_001586441.1.p1	XM_018528522.1.p1
OG0002783	XM_001589787.1.p1	XM_018528619.1.p1
OG0002784	XM_001592447.1.p1	XM_018528663.1.p1
OG0002785	XM_001598758.1.p1	XM_018528681.1.p1
OG0002788	XM_001591693.1.p1	XM_018528940.1.p1
OG0002789	XM_001590972.1.p1	XM_018528954.1.p1
OG0002790	XM_001592863.1.p1	XM_018528964.1.p1
OG0002791	XM_001595077.1.p1	XM_018529087.1.p1
OG0002792	XM_001590027.1.p1	XM_018529155.1.p1
OG0002793	XM_001596517.1.p1	XM_018529176.1.p1
OG0002794	XM_001584823.1.p1	XM_018529183.1.p1
OG0002795	XM_001590912.1.p1	XM_018529222.1.p1
OG0002796	XM_001586660.1.p1	XM_018529335.1.p1
OG0002797	XM_001585123.1.p1	XM_018529376.1.p1
OG0002798	XM_001594499.1.p1	XM_018529518.1.p1
OG0002799	XM_001588159.1.p1	XM_018529537.1.p1
OG0002800	XM_001591143.1.p1	XM_018529653.1.p1
OG0002801	XM_001597534.1.p1	XM_018529667.1.p1
OG0002802	XM_001596953.1.p1	XM_018529681.1.p1
OG0002803	XM_001592401.1.p1	XM_018529683.1.p1
OG0002804	XM_001585530.1.p1	XM_018529693.1.p1
OG0002805	XM_001586067.1.p1	XM_018529701.1.p1
OG0002806	XM_001597447.1.p1	XM_018529715.1.p1
OG0002807	XM_001596809.1.p1	XM_018529739.1.p1
OG0002808	XM_001590544.1.p1	XM_018529772.1.p1
OG0002809	XM_001593313.1.p1	XM_018529788.1.p1
OG0002810	XM_001598004.1.p1	XM_018529843.1.p1
OG0002812	XM_001589205.1.p1	XM_018529918.1.p1
OG0002813	XM_001592772.1.p1	XM_018529923.1.p1
OG0002814	XM_001594949.1.p1	XM_018529945.1.p1
OG0002815	XM_001596198.1.p1	XM_018529972.1.p1
OG0002816	XM_001591067.1.p1	XM_018530005.1.p1
OG0002817	XM_001595513.1.p1	XM_018530070.1.p1, XM_018535931.1.p1
OG0002818	XM_001586374.1.p1	XM_018530205.1.p1
OG0002819	XM_001591973.1.p1	XM_018530223.1.p1
OG0002820	XM_001597886.1.p1	XM_018530224.1.p1
OG0002821	XM_001598454.1.p1	XM_018530243.1.p1
OG0002822	XM_001597859.1.p1	XM_018530278.1.p1
OG0002823	XM_001590009.1.p1	XM_018530285.1.p1
OG0002824	XM_001590910.1.p1	XM_018530300.1.p1
OG0002825	XM_001595492.1.p1	XM_018530303.1.p1
OG0002826	XM_001597079.1.p1	XM_018530337.1.p1
OG0002827	XM_001585194.1.p1	XM_018530363.1.p1
OG0002828	XM_001590125.1.p1	XM_018530464.1.p1
OG0002829	XM_001588300.1.p1	XM_018530508.1.p1
OG0002830	XM_001589002.1.p1	XM_018530519.1.p1
OG0002831	XM_001594342.1.p1	XM_018532025.1.p1, XM_018530522.1.p1
OG0002832	XM_001598333.1.p1	XM_018530525.1.p1
OG0002833	XM_001595290.1.p1	XM_018530529.1.p1
OG0002834	XM_001598690.1.p1	XM_018530566.1.p1
OG0002835	XM_001595662.1.p1	XM_018530652.1.p1
OG0002836	XM_001595817.1.p1	XM_018530659.1.p1
OG0002838	XM_001588615.1.p1	XM_018530693.1.p1
OG0002839	XM_001595816.1.p1	XM_018534736.1.p1
OG0002840	XM_001588045.1.p1	XM_018530743.1.p1
OG0002841	XM_001588074.1.p1	XM_018530757.1.p1
OG0002843	XM_001596231.1.p1	XM_018530965.1.p1
OG0002844	XM_001593045.1.p1	XM_018530967.1.p1
OG0002845	XM_001592867.1.p1	XM_018531003.1.p1
OG0002846	XM_001586963.1.p1	XM_018531030.1.p1
OG0002847	XM_001593772.1.p1	XM_018531083.1.p1
OG0002849	XM_001588773.1.p1	XM_018531154.1.p1
OG0002850	XM_001593497.1.p1	XM_018531198.1.p1
OG0002851	XM_001588039.1.p1	XM_018531238.1.p1
OG0002853	XM_001593876.1.p1	XM_018531265.1.p1
OG0002855	XM_001595705.1.p1	XM_018531300.1.p1
OG0002856	XM_001584674.1.p1	XM_018531306.1.p1
OG0002857	XM_001587907.1.p1	XM_018531345.1.p1
OG0002858	XM_001587913.1.p1	XM_018531380.1.p1
OG0002859	XM_001587414.1.p1	XM_018531505.1.p1
OG0002860	XM_001592365.1.p1	XM_018531571.1.p1
OG0002861	XM_001592809.1.p1	XM_018531600.1.p1
OG0002862	XM_001594362.1.p1	XM_018531608.1.p1
OG0002863	XM_001593273.1.p1	XM_018531653.1.p1
OG0002864	XM_001592933.1.p1	XM_018531763.1.p1
OG0002865	XM_001592893.1.p1	XM_018531788.1.p1
OG0002866	XM_001591304.1.p1	XM_018531836.1.p1
OG0002867	XM_001591252.1.p1	XM_018531952.1.p1
OG0002868	XM_001594750.1.p1	XM_018532004.1.p1
OG0002869	XM_001594714.1.p1	XM_018532057.1.p1
OG0002870	XM_001591055.1.p1	XM_018532083.1.p1
OG0002871	XM_001589839.1.p1	XM_018532085.1.p1
OG0002872	XM_001598431.1.p1	XM_018532095.1.p1
OG0002873	XM_001587391.1.p1	XM_018532355.1.p1
OG0002874	XM_001592659.1.p1	XM_018532370.1.p1
OG0002875	XM_001595937.1.p1	XM_018532393.1.p1
OG0002876	XM_001589719.1.p1	XM_018532423.1.p1
OG0002877	XM_001586947.1.p1	XM_018532575.1.p1
OG0002878	XM_001586207.1.p1	XM_018532621.1.p1
OG0002879	XM_001586490.1.p1	XM_018532635.1.p1
OG0002880	XM_001590651.1.p1	XM_018532737.1.p1
OG0002881	XM_001588307.1.p1	XM_018532743.1.p1
OG0002882	XM_001595117.1.p1	XM_018532788.1.p1
OG0002883	XM_001588923.1.p1	XM_018532816.1.p1
OG0002884	XM_001587320.1.p1	XM_018532840.1.p1
OG0002886	XM_001596133.1.p1, XM_001591543.1.p1, XM_001590439.1.p1	XM_018532956.1.p1
OG0002887	XM_001592730.1.p1	XM_018532964.1.p1
OG0002888	XM_001585340.1.p1	XM_018532985.1.p1
OG0002889	XM_001596947.1.p1	XM_018533113.1.p1
OG0002890	XM_001585491.1.p1	XM_018533188.1.p1
OG0002891	XM_001584905.1.p1	XM_018533227.1.p1
OG0002892	XM_001593193.1.p1	XM_018533265.1.p1
OG0002893	XM_001584778.1.p1	XM_018533291.1.p1
OG0002894	XM_001584777.1.p1	XM_018533294.1.p1
OG0002895	XM_001596822.1.p1	XM_018533312.1.p1
OG0002896	XM_001589778.1.p1	XM_018533341.1.p1
OG0002897	XM_001596797.1.p1	XM_018533397.1.p1
OG0002898	XM_001594548.1.p1	XM_018533416.1.p1
OG0002899	XM_001598500.1.p1	XM_018533436.1.p1
OG0002900	XM_001594304.1.p1	XM_018533470.1.p1
OG0002901	XM_001592908.1.p1	XM_018533506.1.p1
OG0002902	XM_001587141.1.p1	XM_018533507.1.p1
OG0002904	XM_001590117.1.p1	XM_018533754.1.p1
OG0002905	XM_001595167.1.p1	XM_018533779.1.p1
OG0002906	XM_001585980.1.p1	XM_018533780.1.p1
OG0002907	XM_001589508.1.p1	XM_018533809.1.p1
OG0002908	XM_001585681.1.p1	XM_018533838.1.p1
OG0002909	XM_001589650.1.p1	XM_018533867.1.p1
OG0002910	XM_001584756.1.p1	XM_018533987.1.p1
OG0002911	XM_001587671.1.p1	XM_018533990.1.p1
OG0002913	XM_001589087.1.p1	XM_018534002.1.p1
OG0002914	XM_001586648.1.p1	XM_018534015.1.p1
OG0002915	XM_001586655.1.p1	XM_018534021.1.p1
OG0002916	XM_001595332.1.p1	XM_018534032.1.p1
OG0002917	XM_001593156.1.p1	XM_018534059.1.p1
OG0002918	XM_001584751.1.p1	XM_018534082.1.p1
OG0002919	XM_001595131.1.p1	XM_018534085.1.p1
OG0002920	XM_001594348.1.p1	XM_018534109.1.p1
OG0002921	XM_001586580.1.p1	XM_018534110.1.p1
OG0002922	XM_001598928.1.p1	XM_018534212.1.p1
OG0002923	XM_001589939.1.p1	XM_018534216.1.p1
OG0002924	XM_001598426.1.p1	XM_018534242.1.p1
OG0002925	XM_001592397.1.p1	XM_018534252.1.p1
OG0002927	XM_001592441.1.p1	XM_018534272.1.p1
OG0002928	XM_001594792.1.p1	XM_018534287.1.p1
OG0002929	XM_001594925.1.p1	XM_018534343.1.p1
OG0002931	XM_001596637.1.p1	XM_018534374.1.p1
OG0002932	XM_001584521.1.p1	XM_018534397.1.p1
OG0002933	XM_001598436.1.p1	XM_018534403.1.p1
OG0002934	XM_001596902.1.p1	XM_018534496.1.p1
OG0002935	XM_001597087.1.p1	XM_018534614.1.p1
OG0002936	XM_001585645.1.p1	XM_018534627.1.p1
OG0002937	XM_001592062.1.p1	XM_018534674.1.p1
OG0002938	XM_001595996.1.p1	XM_018534692.1.p1
OG0002939	XM_001588064.1.p1	XM_018534739.1.p1
OG0002940	XM_001584945.1.p1	XM_018534782.1.p1
OG0002941	XM_001598911.1.p1	XM_018534794.1.p1
OG0002942	XM_001598387.1.p1	XM_018534802.1.p1
OG0002944	XM_001595601.1.p1	XM_018534850.1.p1
OG0002945	XM_001596835.1.p1	XM_018534882.1.p1
OG0002946	XM_001598340.1.p1	XM_018534969.1.p1
OG0002947	XM_001594879.1.p1	XM_018534979.1.p1
OG0002948	XM_001598017.1.p1	XM_018535055.1.p1
OG0002949	XM_001596664.1.p1	XM_018535062.1.p1
OG0002950	XM_001596766.1.p1	XM_018535125.1.p1
OG0002951	XM_001587972.1.p1	XM_018535168.1.p1
OG0002952	XM_001594674.1.p1	XM_018535209.1.p1
OG0002953	XM_001590736.1.p1	XM_018535230.1.p1
OG0002954	XM_001594218.1.p1	XM_018535294.1.p1
OG0002955	XM_001585257.1.p1	XM_018535304.1.p1
OG0002956	XM_001589716.1.p1	XM_018535320.1.p1
OG0002957	XM_001597979.1.p1	XM_018535355.1.p1
OG0002958	XM_001596285.1.p1	XM_018535391.1.p1
OG0002960	XM_001591838.1.p1	XM_018535405.1.p1
OG0002961	XM_001589391.1.p1	XM_018535425.1.p1
OG0002962	XM_001588125.1.p1	XM_018535462.1.p1
OG0002963	XM_001590664.1.p1	XM_018535464.1.p1
OG0002964	XM_001589841.1.p1	XM_018535488.1.p1
OG0002965	XM_001594731.1.p1	XM_018535495.1.p1
OG0002966	XM_001591517.1.p1	XM_018535528.1.p1
OG0002967	XM_001592383.1.p1	XM_018535580.1.p1
OG0002968	XM_001590687.1.p1	XM_018535593.1.p1
OG0002970	XM_001584779.1.p1	XM_018535621.1.p1
OG0002971	XM_001593218.1.p1	XM_018535650.1.p1
OG0002972	XM_001586583.1.p1	XM_018535681.1.p1
OG0002973	XM_001597296.1.p1	XM_018535705.1.p1
OG0002974	XM_001598292.1.p1	XM_018535708.1.p1
OG0002975	XM_001597082.1.p1	XM_018535709.1.p1
OG0002976	XM_001585763.1.p1	XM_018535712.1.p1
OG0002977	XM_001595717.1.p1	XM_018535726.1.p1
OG0002978	XM_001590727.1.p1	XM_018535768.1.p1
OG0002979	XM_001590171.1.p1	XM_018535778.1.p1
OG0002980	XM_001595614.1.p1	XM_018535782.1.p1
OG0002981	XM_001588086.1.p1	XM_018535826.1.p1
OG0002982	XM_001592352.1.p1	XM_018535841.1.p1
OG0002983	XM_001597473.1.p1	XM_018535853.1.p1
OG0002984	XM_001585466.1.p1	XM_018535865.1.p1
OG0002985	XM_001585569.1.p1	XM_018535867.1.p1
OG0002986	XM_001595969.1.p1	XM_018535868.1.p1
OG0002987	XM_001589442.1.p1	XM_018535958.1.p1
OG0002988	XM_001589623.1.p1	XM_018535981.1.p1
OG0002989	XM_001586520.1.p1	XM_018536024.1.p1
OG0002990	XM_001591809.1.p1	XM_018536037.1.p1
OG0002991	XM_001593792.1.p1	XM_018536050.1.p1
OG0002992	XM_001588178.1.p1	XM_018536059.1.p1
OG0002993	XM_001588043.1.p1	XM_018536063.1.p1
OG0002994	XM_001586777.1.p1	XM_018536082.1.p1
OG0002995	XM_001587761.1.p1	XM_018536083.1.p1
OG0002996	XM_001587815.1.p1	XM_018536088.1.p1
OG0002997	XM_001591052.1.p1	XM_018536097.1.p1
OG0002998	XM_001587294.1.p1	XM_018536111.1.p1
OG0002999	XM_001587735.1.p1	XM_018536119.1.p1
OG0003000	XM_001597103.1.p1	XM_018536135.1.p1
OG0003001	XM_001584517.1.p1	XM_018536140.1.p1
OG0003002	XM_001591859.1.p1	XM_018536152.1.p1
OG0003003	XM_001591033.1.p1	XM_018536178.1.p1
OG0003004	XM_001597280.1.p1	XM_018536179.1.p1
OG0003005	XM_001597771.1.p1	XM_018536189.1.p1
OG0003006	XM_001594575.1.p1	XM_018536239.1.p1
OG0003007	XM_001587364.1.p1	XM_018536249.1.p1
OG0003008	XM_001598051.1.p1	XM_018536273.1.p1
OG0003009	XM_001595951.1.p1	XM_018536285.1.p1
OG0003010	XM_001590494.1.p1	XM_018536289.1.p1
OG0003011	XM_001590780.1.p1	XM_018536301.1.p1
OG0003012	XM_001595070.1.p1	XM_018536311.1.p1
OG0003013	XM_001592305.1.p1	XM_018536385.1.p1
OG0003014	XM_001589192.1.p1	XM_018536386.1.p1
OG0003015	XM_001596725.1.p1	XM_018536389.1.p1
OG0003016	XM_001590554.1.p1	XM_018536440.1.p1
OG0003017	XM_001590557.1.p1	XM_018536459.1.p1
OG0003018	XM_001598650.1.p1	XM_018536471.1.p1
OG0003019	XM_001590895.1.p1	XM_018536486.1.p1
OG0003020	XM_001589194.1.p1	XM_018536487.1.p1
OG0003021	XM_001595968.1.p1	XM_018536546.1.p1
OG0003051	XM_001589188.1.p1	XM_018523128.1.p1
OG0003052	XM_001585822.1.p1	XM_018529942.1.p1
OG0003053	XM_001596467.1.p1	XM_018523178.1.p1
OG0003054	XM_001595087.1.p1	XM_018523180.1.p1
OG0003056	XM_001591810.1.p1	XM_018523234.1.p1
OG0003057	XM_001585366.1.p1	XM_018523240.1.p1
OG0003059	XM_001586749.1.p1	XM_018523338.1.p1
OG0003062	XM_001592550.1.p1	XM_018523494.1.p1
OG0003063	XM_001588930.1.p1	XM_018523564.1.p1
OG0003064	XM_001591537.1.p1	XM_018523591.1.p1
OG0003065	XM_001598008.1.p1	XM_018523635.1.p1
OG0003066	XM_001598307.1.p1	XM_018523655.1.p1
OG0003067	XM_001588972.1.p1	XM_018531444.1.p1, XM_018531063.1.p1, XM_018534951.1.p1, XM_018525761.1.p1, XM_018528775.1.p1, XM_018523727.1.p1
OG0003070	XM_001585280.1.p1	XM_018524027.1.p1
OG0003071	XM_001595413.1.p1	XM_018524029.1.p1
OG0003072	XM_001585286.1.p1	XM_018524041.1.p1
OG0003073	XM_001585418.1.p1	XM_018524042.1.p1
OG0003074	XM_001585942.1.p1	XM_018524056.1.p1
OG0003075	XM_001596323.1.p1	XM_018524089.1.p1
OG0003076	XM_001596385.1.p1	XM_018524112.1.p1
OG0003077	XM_001593929.1.p1	XM_018524158.1.p1
OG0003078	XM_001593880.1.p1	XM_018524213.1.p1
OG0003079	XM_001593867.1.p1	XM_018524215.1.p1
OG0003080	XM_001597105.1.p1	XM_018524276.1.p1
OG0003081	XM_001585098.1.p1	XM_018524393.1.p1
OG0003082	XM_001587691.1.p1	XM_018524434.1.p1
OG0003083	XM_001585084.1.p1	XM_018524454.1.p1
OG0003084	XM_001597399.1.p1	XM_018524474.1.p1
OG0003085	XM_001586447.1.p1	XM_018524479.1.p1
OG0003086	XM_001593449.1.p1	XM_018524504.1.p1
OG0003087	XM_001591458.1.p1	XM_018524574.1.p1
OG0003088	XM_001595084.1.p1	XM_018524584.1.p1
OG0003089	XM_001597507.1.p1	XM_018524622.1.p1
OG0003090	XM_001598219.1.p1	XM_018524650.1.p1
OG0003091	XM_001595628.1.p1	XM_018524653.1.p1
OG0003092	XM_001592145.1.p1	XM_018524661.1.p1
OG0003093	XM_001595110.1.p1	XM_018524685.1.p1
OG0003094	XM_001598396.1.p1	XM_018524724.1.p1
OG0003095	XM_001584965.1.p1	XM_018524735.1.p1
OG0003096	XM_001584584.1.p1	XM_018524769.1.p1
OG0003097	XM_001596861.1.p1	XM_018524785.1.p1
OG0003098	XM_001591064.1.p1	XM_018524812.1.p1
OG0003099	XM_001584720.1.p1	XM_018524831.1.p1
OG0003100	XM_001591398.1.p1	XM_018524841.1.p2
OG0003101	XM_001587162.1.p1	XM_018524876.1.p1
OG0003102	XM_001594211.1.p1	XM_018524896.1.p1
OG0003103	XM_001593013.1.p1	XM_018524911.1.p1
OG0003105	XM_001594297.1.p1	XM_018524982.1.p1
OG0003106	XM_001589783.1.p1	XM_018525061.1.p1
OG0003107	XM_001592963.1.p1	XM_018525065.1.p1
OG0003108	XM_001590679.1.p1	XM_018525068.1.p1
OG0003109	XM_001595512.1.p1	XM_018525090.1.p1
OG0003110	XM_001590598.1.p1	XM_018525092.1.p1
OG0003111	XM_001590591.1.p1	XM_018525105.1.p1
OG0003112	XM_001590553.1.p1	XM_018525127.1.p1
OG0003113	XM_001590855.1.p1	XM_018525144.1.p1
OG0003114	XM_001593285.1.p1	XM_018525169.1.p1
OG0003115	XM_001597789.1.p1	XM_018525192.1.p1
OG0003116	XM_001592011.1.p1	XM_018525218.1.p1
OG0003117	XM_001590014.1.p1	XM_018525222.1.p1
OG0003118	XM_001590931.1.p1	XM_018525273.1.p1
OG0003119	XM_001597626.1.p1	XM_018525288.1.p1
OG0003120	XM_001593852.1.p1	XM_018525341.1.p1
