Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Pythium_ultimum_cds_prot
OG0001763	XM_001595731.1.p1	lcl|BBXB02000039.1_cds_GLE00880.1_9401.p1
OG0001764	XM_001596364.1.p1	lcl|BBXB02000274.1_cds_GLE08037.1_16558.p1, lcl|BBXB02000007.1_cds_GLD94235.1_2757.p1
OG0001765	XM_001590590.1.p1	lcl|BBXB02000026.1_cds_GLD98731.1_7253.p1
OG0001766	XM_001590857.1.p1	lcl|BBXB02000017.1_cds_GLD96850.1_5372.p1
OG0001767	XM_001586584.1.p1	lcl|BBXB02000027.1_cds_GLD98806.1_7328.p1, lcl|BBXB02000507.1_cds_GLE10047.1_18568.p1
OG0001768	XM_001597883.1.p1	lcl|BBXB02000027.1_cds_GLD98934.1_7456.p1
OG0001769	XM_001591520.1.p1	lcl|BBXB02000001.1_cds_GLD91646.1_168.p1
OG0001770	XM_001590010.1.p1	lcl|BBXB02000008.1_cds_GLD94560.1_3082.p1
OG0001771	XM_001590930.1.p1	lcl|BBXB02000046.1_cds_GLE01782.1_10303.p1
OG0001772	XM_001590921.1.p1	lcl|BBXB02000004.1_cds_GLD93300.1_1822.p1
OG0001773	XM_001596015.1.p1	lcl|BBXB02000056.1_cds_GLE02989.1_11510.p1, lcl|BBXB02000012.1_cds_GLD95547.1_4069.p1
OG0001774	XM_001592132.1.p1	lcl|BBXB02000024.1_cds_GLD98360.1_6882.p1, lcl|BBXB02000014.1_cds_GLD96067.1_4589.p1
OG0001775	XM_001598459.1.p1	lcl|BBXB02000078.1_cds_GLE05064.1_13585.p1
OG0001776	XM_001591629.1.p1	lcl|BBXB02000020.1_cds_GLD97565.1_6087.p1
OG0001778	XM_001588150.1.p1	lcl|BBXB02000005.1_cds_GLD93492.1_2014.p1
OG0001779	XM_001595681.1.p1	lcl|BBXB02000043.1_cds_GLE01453.1_9974.p1
OG0001780	XM_001588152.1.p1	lcl|BBXB02000074.1_cds_GLE04674.1_13195.p1
OG0001781	XM_001590832.1.p1	lcl|BBXB02000002.1_cds_GLD92299.1_821.p1
OG0001784	XM_001598923.1.p1	lcl|BBXB02000293.1_cds_GLE08173.1_16694.p1
OG0001785	XM_001598934.1.p1	lcl|BBXB02000018.1_cds_GLD97193.1_5715.p1
OG0001786	XM_001595140.1.p1	lcl|BBXB02000050.1_cds_GLE02372.1_10893.p1
OG0001787	XM_001597366.1.p1	lcl|BBXB02000048.1_cds_GLE02144.1_10665.p1
OG0001788	XM_001590194.1.p1	lcl|BBXB02000015.1_cds_GLD96445.1_4967.p1
OG0001790	XM_001587883.1.p1	lcl|BBXB02000010.1_cds_GLD94948.1_3470.p1
OG0001791	XM_001593540.1.p1	lcl|BBXB02000016.1_cds_GLD96778.1_5300.p1
OG0001792	XM_001594609.1.p1	lcl|BBXB02000026.1_cds_GLD98588.1_7110.p1
OG0001795	XM_001594334.1.p1, XM_001596894.1.p1	lcl|BBXB02000048.1_cds_GLE02126.1_10647.p1
OG0001797	XM_001594930.1.p1	lcl|BBXB02000108.1_cds_GLE06263.1_14784.p1, lcl|BBXB02000092.1_cds_GLE05697.1_14218.p1
OG0001798	XM_001588684.1.p1	lcl|BBXB02000004.1_cds_GLD93217.1_1739.p1
OG0001799	XM_001597442.1.p1	lcl|BBXB02000007.1_cds_GLD93997.1_2519.p1
OG0001800	XM_001596717.1.p1	lcl|BBXB02000557.1_cds_GLE10482.1_19003.p1
OG0001802	XM_001590920.1.p1	lcl|BBXB02000048.1_cds_GLE02071.1_10592.p1
OG0001803	XM_001593200.1.p1	lcl|BBXB02000008.1_cds_GLD94421.1_2943.p1, lcl|BBXB02000030.1_cds_GLD99472.1_7994.p1
OG0001804	XM_001595592.1.p1	lcl|BBXB02000004.1_cds_GLD92999.1_1521.p1
OG0001805	XM_001587985.1.p1	lcl|BBXB02000008.1_cds_GLD94484.1_3006.p1
OG0001807	XM_001597030.1.p1	lcl|BBXB02000070.1_cds_GLE04377.1_12898.p1
OG0001808	XM_001586117.1.p1	lcl|BBXB02000499.1_cds_GLE09974.1_18495.p1, lcl|BBXB02000011.1_cds_GLD95437.1_3959.p1
OG0001811	XM_001588110.1.p1	lcl|BBXB02000046.1_cds_GLE01865.1_10386.p1
OG0001812	XM_001591191.1.p1	lcl|BBXB02000020.1_cds_GLD97709.1_6231.p1, lcl|BBXB02000106.1_cds_GLE06206.1_14727.p1
OG0001813	XM_001592623.1.p1	lcl|BBXB02000010.1_cds_GLD94880.1_3402.p1
OG0001815	XM_001586248.1.p1	lcl|BBXB02000043.1_cds_GLE01463.1_9984.p1
OG0001816	XM_001585130.1.p1	lcl|BBXB02000031.1_cds_GLD99666.1_8188.p1
OG0001817	XM_001589814.1.p1	lcl|BBXB02000005.1_cds_GLD93604.1_2126.p1
OG0001818	XM_001597638.1.p1	lcl|BBXB02000069.1_cds_GLE04321.1_12842.p1
OG0001819	XM_001591447.1.p1	lcl|BBXB02000044.1_cds_GLE01590.1_10111.p1, lcl|BBXB02000002.1_cds_GLD92107.1_629.p1
OG0001820	XM_001595800.1.p1	lcl|BBXB02000364.1_cds_GLE08765.1_17286.p1
OG0001821	XM_001595579.1.p1	lcl|BBXB02000006.1_cds_GLD93662.1_2184.p1
OG0001825	XM_001595217.1.p1	lcl|BBXB02000015.1_cds_GLD96298.1_4820.p1
OG0001828	XM_001585103.1.p1	lcl|BBXB02000003.1_cds_GLD92557.1_1079.p1
OG0001830	XM_001585900.1.p1	lcl|BBXB02000004.1_cds_GLD93237.1_1759.p1
OG0001831	XM_001592314.1.p1	lcl|BBXB02000002.1_cds_GLD92090.1_612.p1, lcl|BBXB02000046.1_cds_GLE01830.1_10351.p1
OG0001832	XM_001597841.1.p1	lcl|BBXB02000018.1_cds_GLD97094.1_5616.p1
OG0001833	XM_001594152.1.p1	lcl|BBXB02000005.1_cds_GLD93414.1_1936.p1
OG0001834	XM_001589838.1.p1	lcl|BBXB02000026.1_cds_GLD98774.1_7296.p1, lcl|BBXB02000016.1_cds_GLD96636.1_5158.p1
OG0001835	XM_001591194.1.p1	lcl|BBXB02000002.1_cds_GLD92421.1_943.p1
OG0001836	XM_001597475.1.p1	lcl|BBXB02000001.1_cds_GLD91591.1_113.p1
OG0001837	XM_001587327.1.p1	lcl|BBXB02000015.1_cds_GLD96335.1_4857.p1
OG0001838	XM_001589014.1.p1	lcl|BBXB02000001.1_cds_GLD91623.1_145.p1
OG0001839	XM_001585061.1.p1	lcl|BBXB02000001.1_cds_GLD91789.1_311.p1
OG0001840	XM_001589942.1.p1	lcl|BBXB02000049.1_cds_GLE02316.1_10837.p1
OG0001841	XM_001584880.1.p1	lcl|BBXB02000003.1_cds_GLD92602.1_1124.p1
OG0001842	XM_001594666.1.p1	lcl|BBXB02000011.1_cds_GLD95401.1_3923.p1, lcl|BBXB02000034.1_cds_GLE00117.1_8638.p1
OG0001843	XM_001596348.1.p1	lcl|BBXB02000039.1_cds_GLE00850.1_9371.p1
OG0001844	XM_001590509.1.p1	lcl|BBXB02000003.1_cds_GLD92775.1_1297.p1
OG0001845	XM_001589982.1.p1	lcl|BBXB02000015.1_cds_GLD96422.1_4944.p1
OG0001846	XM_001596454.1.p1	lcl|BBXB02000002.1_cds_GLD92208.1_730.p1
OG0001847	XM_001594103.1.p1	lcl|BBXB02000033.1_cds_GLD99916.1_8438.p1
OG0001848	XM_001593509.1.p1	lcl|BBXB02000033.1_cds_GLD99898.1_8420.p1
OG0001850	XM_001586794.1.p1	lcl|BBXB02000076.1_cds_GLE04765.1_13286.p1
OG0001851	XM_001586923.1.p1	lcl|BBXB02000048.1_cds_GLE02109.1_10630.p1
OG0001853	XM_001585928.1.p1	lcl|BBXB02000032.1_cds_GLD99783.1_8305.p1
OG0001854	XM_001590829.1.p1	lcl|BBXB02000035.1_cds_GLE00268.1_8789.p1
OG0001855	XM_001589062.1.p1	lcl|BBXB02000011.1_cds_GLD95399.1_3921.p1
OG0001856	XM_001588810.1.p1	lcl|BBXB02000048.1_cds_GLE02181.1_10702.p1
OG0001857	XM_001597917.1.p1	lcl|BBXB02000009.1_cds_GLD94681.1_3203.p1
OG0001858	XM_001595648.1.p1	lcl|BBXB02000058.1_cds_GLE03228.1_11749.p1
OG0001859	XM_001592548.1.p1	lcl|BBXB02000008.1_cds_GLD94599.1_3121.p1
OG0001860	XM_001596630.1.p1	lcl|BBXB02000014.1_cds_GLD96244.1_4766.p1, lcl|BBXB02000264.1_cds_GLE07976.1_16497.p1
OG0001861	XM_001594433.1.p1	lcl|BBXB02000068.1_cds_GLE04216.1_12737.p1
OG0001862	XM_001598227.1.p1	lcl|BBXB02000011.1_cds_GLD95430.1_3952.p1
OG0001863	XM_001590791.1.p1	lcl|BBXB02000056.1_cds_GLE03016.1_11537.p1
OG0001864	XM_001591521.1.p1	lcl|BBXB02000040.1_cds_GLE01009.1_9530.p1
OG0001865	XM_001584801.1.p1	lcl|BBXB02000011.1_cds_GLD95376.1_3898.p1
OG0001866	XM_001585049.1.p1	lcl|BBXB02000002.1_cds_GLD92063.1_585.p1
OG0001869	XM_001585799.1.p1	lcl|BBXB02000007.1_cds_GLD94016.1_2538.p1
OG0001871	XM_001593531.1.p1	lcl|BBXB02000057.1_cds_GLE03085.1_11606.p1
OG0001872	XM_001598490.1.p1	lcl|BBXB02000001.1_cds_GLD91797.1_319.p1
OG0001873	XM_001592991.1.p1	lcl|BBXB02000107.1_cds_GLE06250.1_14771.p1, lcl|BBXB02000107.1_cds_GLE06252.1_14773.p1
OG0001876	XM_001592238.1.p1	lcl|BBXB02000033.1_cds_GLD99912.1_8434.p1, lcl|BBXB02000064.1_cds_GLE03879.1_12400.p1
OG0001877	XM_001594162.1.p1	lcl|BBXB02000004.1_cds_GLD93251.1_1773.p1
OG0001878	XM_001590659.1.p1	lcl|BBXB02000003.1_cds_GLD92750.1_1272.p1, lcl|BBXB02000010.1_cds_GLD94965.1_3487.p1
OG0001879	XM_001589618.1.p1	lcl|BBXB02000013.1_cds_GLD95882.1_4404.p1
OG0001880	XM_001595660.1.p1	lcl|BBXB02000088.1_cds_GLE05538.1_14059.p1
OG0001881	XM_001593122.1.p1	lcl|BBXB02000016.1_cds_GLD96801.1_5323.p1
OG0001883	XM_001589201.1.p1	lcl|BBXB02000013.1_cds_GLD95922.1_4444.p1
OG0001884	XM_001596916.1.p1	lcl|BBXB02000038.1_cds_GLE00759.1_9280.p1
OG0001885	XM_001597820.1.p1	lcl|BBXB02000192.1_cds_GLE07309.1_15830.p1
OG0001886	XM_001598473.1.p1	lcl|BBXB02000019.1_cds_GLD97489.1_6011.p1, lcl|BBXB02000011.1_cds_GLD95403.1_3925.p1
OG0001887	XM_001590264.1.p1	lcl|BBXB02000056.1_cds_GLE02968.1_11489.p1, lcl|BBXB02000511.1_cds_GLE10108.1_18629.p1
OG0001888	XM_001596012.1.p1	lcl|BBXB02000023.1_cds_GLD98078.1_6600.p1
OG0001889	XM_001595935.1.p1	lcl|BBXB02000147.1_cds_GLE06840.1_15361.p1, lcl|BBXB02000492.1_cds_GLE09922.1_18443.p1
OG0001890	XM_001588390.1.p1	lcl|BBXB02000026.1_cds_GLD98615.1_7137.p1
OG0001891	XM_001593041.1.p1	lcl|BBXB02000023.1_cds_GLD98209.1_6731.p1
OG0001893	XM_001587267.1.p1	lcl|BBXB02000038.1_cds_GLE00662.1_9183.p1, lcl|BBXB02000107.1_cds_GLE06233.1_14754.p1
OG0001894	XM_001588986.1.p1	lcl|BBXB02000015.1_cds_GLD96503.1_5025.p1, lcl|BBXB02000025.1_cds_GLD98466.1_6988.p1
OG0001895	XM_001590911.1.p1	lcl|BBXB02000036.1_cds_GLE00344.1_8865.p1, lcl|BBXB02000036.1_cds_GLE00345.1_8866.p1
OG0001896	XM_001597392.1.p1	lcl|BBXB02000036.1_cds_GLE00405.1_8926.p1
OG0001898	XM_001593311.1.p1	lcl|BBXB02000015.1_cds_GLD96400.1_4922.p1
OG0001900	XM_001593680.1.p1	lcl|BBXB02000002.1_cds_GLD92453.1_975.p1, lcl|BBXB02000004.1_cds_GLD93201.1_1723.p1, lcl|BBXB02000005.1_cds_GLD93498.1_2020.p1
OG0001901	XM_001587741.1.p1	lcl|BBXB02000026.1_cds_GLD98619.1_7141.p1
OG0001903	XM_001592059.1.p1	lcl|BBXB02000034.1_cds_GLE00136.1_8657.p1
OG0001904	XM_001596167.1.p1	lcl|BBXB02000065.1_cds_GLE03957.1_12478.p1
OG0001905	XM_001592700.1.p1	lcl|BBXB02000514.1_cds_GLE10140.1_18661.p1
OG0001906	XM_001589662.1.p1	lcl|BBXB02000004.1_cds_GLD93241.1_1763.p1, lcl|BBXB02000004.1_cds_GLD93244.1_1766.p1
OG0001907	XM_001593996.1.p1	lcl|BBXB02000152.1_cds_GLE06893.1_15414.p1, lcl|BBXB02000130.1_cds_GLE06685.1_15206.p1
OG0001908	XM_001593415.1.p1	lcl|BBXB02000055.1_cds_GLE02870.1_11391.p1, lcl|BBXB02000025.1_cds_GLD98521.1_7043.p1
OG0001909	XM_001593623.1.p1	lcl|BBXB02000801.1_cds_GLE11793.1_20314.p1, lcl|BBXB02000035.1_cds_GLE00331.1_8852.p1
OG0001911	XM_001589314.1.p1	lcl|BBXB02000025.1_cds_GLD98534.1_7056.p1
OG0001912	XM_001586839.1.p1	lcl|BBXB02000041.1_cds_GLE01135.1_9656.p1
OG0001913	XM_001587731.1.p1	lcl|BBXB02000067.1_cds_GLE04109.1_12630.p1, lcl|BBXB02000012.1_cds_GLD95584.1_4106.p1, lcl|BBXB02000030.1_cds_GLD99420.1_7942.p1
OG0001914	XM_001593298.1.p1	lcl|BBXB02000029.1_cds_GLD99217.1_7739.p1, lcl|BBXB02000006.1_cds_GLD93764.1_2286.p1
OG0001915	XM_001587673.1.p1	lcl|BBXB02000010.1_cds_GLD95113.1_3635.p1
OG0001916	XM_001586854.1.p1	lcl|BBXB02000088.1_cds_GLE05549.1_14070.p1, lcl|BBXB02000088.1_cds_GLE05547.1_14068.p1
OG0001917	XM_001590908.1.p1	lcl|BBXB02000009.1_cds_GLD94835.1_3357.p1
OG0001918	XM_001590387.1.p1	lcl|BBXB02000036.1_cds_GLE00440.1_8961.p1
OG0001919	XM_001590115.1.p1	lcl|BBXB02000003.1_cds_GLD92698.1_1220.p1
OG0001920	XM_001591029.1.p1	lcl|BBXB02000023.1_cds_GLD98095.1_6617.p1
OG0001921	XM_001595343.1.p1	lcl|BBXB02000022.1_cds_GLD97978.1_6500.p1
OG0001922	XM_001586175.1.p1	lcl|BBXB02000041.1_cds_GLE01142.1_9663.p1
OG0001924	XM_001584617.1.p1	lcl|BBXB02000004.1_cds_GLD93191.1_1713.p1
OG0001925	XM_001589406.1.p1	lcl|BBXB02000031.1_cds_GLD99683.1_8205.p1, lcl|BBXB02000016.1_cds_GLD96734.1_5256.p1
OG0001926	XM_001584509.1.p1	lcl|BBXB02000015.1_cds_GLD96492.1_5014.p1, lcl|BBXB02000737.1_cds_GLE11619.1_20140.p1
OG0001927	XM_001586446.1.p1	lcl|BBXB02000003.1_cds_GLD92883.1_1405.p1, lcl|BBXB02000059.1_cds_GLE03342.1_11863.p1
OG0001929	XM_001591408.1.p1	lcl|BBXB02000005.1_cds_GLD93582.1_2104.p1
OG0001930	XM_001591632.1.p1	lcl|BBXB02000042.1_cds_GLE01304.1_9825.p1
OG0001931	XM_001592168.1.p1	lcl|BBXB02000002.1_cds_GLD92300.1_822.p1
OG0001933	XM_001597286.1.p1	lcl|BBXB02000066.1_cds_GLE04062.1_12583.p1, lcl|BBXB02000066.1_cds_GLE04061.1_12582.p1
OG0001934	XM_001596926.1.p1	lcl|BBXB02000035.1_cds_GLE00221.1_8742.p1, lcl|BBXB02000002.1_cds_GLD92308.1_830.p1, lcl|BBXB02000014.1_cds_GLD96225.1_4747.p1
OG0001935	XM_001592593.1.p1	lcl|BBXB02000015.1_cds_GLD96522.1_5044.p1
OG0001936	XM_001587296.1.p1, XM_001594563.1.p1	lcl|BBXB02000053.1_cds_GLE02790.1_11311.p1, lcl|BBXB02000003.1_cds_GLD92810.1_1332.p1
OG0001939	XM_001593108.1.p1	lcl|BBXB02000020.1_cds_GLD97590.1_6112.p1, lcl|BBXB02000020.1_cds_GLD97589.1_6111.p1
OG0001940	XM_001594951.1.p1	lcl|BBXB02000059.1_cds_GLE03320.1_11841.p1, lcl|BBXB02000059.1_cds_GLE03319.1_11840.p1
OG0001942	XM_001589457.1.p1	lcl|BBXB02000015.1_cds_GLD96477.1_4999.p1
OG0001943	XM_001590718.1.p1	lcl|BBXB02000111.1_cds_GLE06348.1_14869.p1, lcl|BBXB02000491.1_cds_GLE09905.1_18426.p1
OG0001944	XM_001589563.1.p1	lcl|BBXB02000059.1_cds_GLE03308.1_11829.p1
OG0001945	XM_001591844.1.p1	lcl|BBXB02000457.1_cds_GLE09649.1_18170.p1, lcl|BBXB02000021.1_cds_GLD97851.1_6373.p1
OG0001946	XM_001590101.1.p1	lcl|BBXB02000236.1_cds_GLE07681.1_16202.p1, lcl|BBXB02000033.1_cds_GLD99852.1_8374.p1
OG0001947	XM_001584666.1.p1	lcl|BBXB02000503.1_cds_GLE10018.1_18539.p1, lcl|BBXB02000006.1_cds_GLD93792.1_2314.p1
OG0001948	XM_001593863.1.p1	lcl|BBXB02000017.1_cds_GLD96993.1_5515.p1
OG0001949	XM_001589052.1.p1	lcl|BBXB02000002.1_cds_GLD92217.1_739.p1
OG0001950	XM_001589070.1.p1	lcl|BBXB02000001.1_cds_GLD91902.1_424.p1
OG0001952	XM_001596948.1.p1	lcl|BBXB02000012.1_cds_GLD95580.1_4102.p1
OG0001953	XM_001598721.1.p1	lcl|BBXB02000009.1_cds_GLD94765.1_3287.p1
OG0001954	XM_001592673.1.p1	lcl|BBXB02000033.1_cds_GLD99928.1_8450.p1
OG0001955	XM_001589327.1.p1	lcl|BBXB02000089.1_cds_GLE05617.1_14138.p1
OG0001957	XM_001595336.1.p1	lcl|BBXB02000005.1_cds_GLD93442.1_1964.p1
OG0001958	XM_001598033.1.p1	lcl|BBXB02000014.1_cds_GLD96197.1_4719.p1
OG0001959	XM_001587462.1.p1	lcl|BBXB02000084.1_cds_GLE05294.1_13815.p1
OG0001960	XM_001590817.1.p1	lcl|BBXB02000011.1_cds_GLD95411.1_3933.p1
OG0001961	XM_001590618.1.p1	lcl|BBXB02000008.1_cds_GLD94358.1_2880.p1
OG0001964	XM_001597866.1.p1	lcl|BBXB02000018.1_cds_GLD97114.1_5636.p1
OG0001965	XM_001595936.1.p1	lcl|BBXB02000010.1_cds_GLD94910.1_3432.p1
OG0001966	XM_001591474.1.p1	lcl|BBXB02000039.1_cds_GLE00971.1_9492.p1
OG0001967	XM_001586605.1.p1	lcl|BBXB02000061.1_cds_GLE03489.1_12010.p1
OG0001968	XM_001591512.1.p1	lcl|BBXB02000064.1_cds_GLE03910.1_12431.p1
OG0001969	XM_001589930.1.p1	lcl|BBXB02000013.1_cds_GLD95958.1_4480.p1, lcl|BBXB02000241.1_cds_GLE07741.1_16262.p1
OG0001970	XM_001593043.1.p1	lcl|BBXB02000056.1_cds_GLE02986.1_11507.p1, lcl|BBXB02000031.1_cds_GLD99528.1_8050.p1
OG0001971	XM_001596203.1.p1	lcl|BBXB02000006.1_cds_GLD93883.1_2405.p1
OG0001972	XM_001597359.1.p1	lcl|BBXB02000065.1_cds_GLE03936.1_12457.p1
OG0001973	XM_001596622.1.p1	lcl|BBXB02000008.1_cds_GLD94558.1_3080.p1
OG0001974	XM_001588784.1.p1	lcl|BBXB02000006.1_cds_GLD93891.1_2413.p1
OG0001975	XM_001593765.1.p1	lcl|BBXB02000608.1_cds_GLE10897.1_19418.p1, lcl|BBXB02000078.1_cds_GLE05014.1_13535.p1
OG0001977	XM_001589100.1.p1	lcl|BBXB02000007.1_cds_GLD94218.1_2740.p1
OG0001979	XM_001587346.1.p1	lcl|BBXB02000100.1_cds_GLE05964.1_14485.p1
OG0001981	XM_001586295.1.p1	lcl|BBXB02000061.1_cds_GLE03504.1_12025.p1, lcl|BBXB02000018.1_cds_GLD97190.1_5712.p1, lcl|BBXB02000018.1_cds_GLD97191.1_5713.p1
OG0001982	XM_001585489.1.p1	lcl|BBXB02000079.1_cds_GLE05086.1_13607.p1, lcl|BBXB02000200.1_cds_GLE07361.1_15882.p1
OG0001983	XM_001587797.1.p1	lcl|BBXB02000028.1_cds_GLD99048.1_7570.p1
OG0001984	XM_001596302.1.p1	lcl|BBXB02000066.1_cds_GLE04055.1_12576.p1
OG0001986	XM_001585852.1.p1	lcl|BBXB02000095.1_cds_GLE05815.1_14336.p1, lcl|BBXB02000095.1_cds_GLE05814.1_14335.p1
OG0001987	XM_001586943.1.p1	lcl|BBXB02000047.1_cds_GLE02041.1_10562.p1
OG0001988	XM_001591278.1.p1	lcl|BBXB02000076.1_cds_GLE04777.1_13298.p1
OG0001989	XM_001585907.1.p1	lcl|BBXB02000006.1_cds_GLD93713.1_2235.p1
OG0001990	XM_001597971.1.p1	lcl|BBXB02000010.1_cds_GLD95090.1_3612.p1, lcl|BBXB02000010.1_cds_GLD95088.1_3610.p1
OG0001991	XM_001585102.1.p1	lcl|BBXB02000042.1_cds_GLE01345.1_9866.p1
OG0001993	XM_001586719.1.p1	lcl|BBXB02000005.1_cds_GLD93390.1_1912.p1, lcl|BBXB02000041.1_cds_GLE01121.1_9642.p1
OG0001994	XM_001596952.1.p1	lcl|BBXB02000079.1_cds_GLE05093.1_13614.p1
OG0001995	XM_001596687.1.p1	lcl|BBXB02000037.1_cds_GLE00617.1_9138.p1
OG0001996	XM_001592027.1.p1	lcl|BBXB02000007.1_cds_GLD94248.1_2770.p1, lcl|BBXB02000443.1_cds_GLE09496.1_18017.p1
OG0001997	XM_001595900.1.p1	lcl|BBXB02000009.1_cds_GLD94818.1_3340.p1
OG0001998	XM_001590545.1.p1	lcl|BBXB02000048.1_cds_GLE02090.1_10611.p1, lcl|BBXB02000564.1_cds_GLE10560.1_19081.p1
OG0001999	XM_001597790.1.p1	lcl|BBXB02000005.1_cds_GLD93571.1_2093.p1
OG0002000	XM_001598297.1.p1	lcl|BBXB02000043.1_cds_GLE01442.1_9963.p1
OG0002001	XM_001597034.1.p1	lcl|BBXB02000081.1_cds_GLE05162.1_13683.p1
OG0002002	XM_001588889.1.p1	lcl|BBXB02000010.1_cds_GLD94914.1_3436.p1
OG0002003	XM_001590376.1.p1	lcl|BBXB02000048.1_cds_GLE02132.1_10653.p1
OG0002004	XM_001585279.1.p1	lcl|BBXB02000013.1_cds_GLD95875.1_4397.p1
OG0002005	XM_001591723.1.p1	lcl|BBXB02000004.1_cds_GLD92981.1_1503.p1
OG0002006	XM_001594678.1.p1	lcl|BBXB02000471.1_cds_GLE09746.1_18267.p1, lcl|BBXB02000034.1_cds_GLE00103.1_8624.p1
OG0002007	XM_001588209.1.p1	lcl|BBXB02000027.1_cds_GLD98854.1_7376.p1
OG0002008	XM_001587133.1.p1	lcl|BBXB02000025.1_cds_GLD98434.1_6956.p1
OG0002009	XM_001586907.1.p1	lcl|BBXB02000056.1_cds_GLE02951.1_11472.p1
OG0002010	XM_001592527.1.p1	lcl|BBXB02000016.1_cds_GLD96808.1_5330.p1, lcl|BBXB02000137.1_cds_GLE06737.1_15258.p1
OG0002011	XM_001591489.1.p1	lcl|BBXB02000015.1_cds_GLD96395.1_4917.p1
OG0002013	XM_001589276.1.p1	lcl|BBXB02000102.1_cds_GLE06041.1_14562.p1
OG0002014	XM_001591834.1.p1	lcl|BBXB02000097.1_cds_GLE05862.1_14383.p1
OG0002016	XM_001597788.1.p1	lcl|BBXB02000221.1_cds_GLE07523.1_16044.p1, lcl|BBXB02000049.1_cds_GLE02225.1_10746.p1
OG0002017	XM_001595237.1.p1, XM_001595236.1.p1	lcl|BBXB02000003.1_cds_GLD92734.1_1256.p1
OG0002018	XM_001594980.1.p1, XM_001594979.1.p1	lcl|BBXB02000006.1_cds_GLD93750.1_2272.p1
OG0002019	XM_001597612.1.p1	lcl|BBXB02000015.1_cds_GLD96341.1_4863.p1
OG0002020	XM_001595551.1.p1	lcl|BBXB02000109.1_cds_GLE06273.1_14794.p1
OG0002021	XM_001590929.1.p1	lcl|BBXB02000022.1_cds_GLD97914.1_6436.p1
OG0002022	XM_001588574.1.p1	lcl|BBXB02000038.1_cds_GLE00729.1_9250.p1
OG0002023	XM_001590816.1.p1	lcl|BBXB02000001.1_cds_GLD91480.1_2.p1
OG0002024	XM_001585897.1.p1	lcl|BBXB02000045.1_cds_GLE01639.1_10160.p1
OG0002025	XM_001596731.1.p1	lcl|BBXB02000014.1_cds_GLD96043.1_4565.p1, lcl|BBXB02000014.1_cds_GLD96045.1_4567.p1, lcl|BBXB02000014.1_cds_GLD96044.1_4566.p1
OG0002026	XM_001596602.1.p1	lcl|BBXB02000050.1_cds_GLE02407.1_10928.p1
OG0002027	XM_001591972.1.p1	lcl|BBXB02000001.1_cds_GLD91505.1_27.p1, lcl|BBXB02000010.1_cds_GLD95148.1_3670.p1, lcl|BBXB02000635.1_cds_GLE11073.1_19594.p1
OG0002028	XM_001585390.1.p1	lcl|BBXB02000192.1_cds_GLE07316.1_15837.p1, lcl|BBXB02000063.1_cds_GLE03730.1_12251.p1
OG0002049	XM_001591195.1.p1	lcl|BBXB02000110.1_cds_GLE06318.1_14839.p1
OG0002050	XM_001598786.1.p1	lcl|BBXB02000070.1_cds_GLE04376.1_12897.p1
OG0002053	XM_001586551.1.p1	lcl|BBXB02000001.1_cds_GLD91981.1_503.p1
OG0002054	XM_001597361.1.p1	lcl|BBXB02000008.1_cds_GLD94491.1_3013.p1
OG0002055	XM_001596816.1.p1	lcl|BBXB02000010.1_cds_GLD95152.1_3674.p1, lcl|BBXB02000010.1_cds_GLD95153.1_3675.p1
OG0002056	XM_001594658.1.p1	lcl|BBXB02000003.1_cds_GLD92843.1_1365.p1, lcl|BBXB02000017.1_cds_GLD96924.1_5446.p1, lcl|BBXB02000017.1_cds_GLD96923.1_5445.p1
OG0002057	XM_001586017.1.p1	lcl|BBXB02000053.1_cds_GLE02695.1_11216.p1
OG0002058	XM_001586539.1.p1	lcl|BBXB02000006.1_cds_GLD93829.1_2351.p1
OG0002059	XM_001590121.1.p1	lcl|BBXB02000007.1_cds_GLD94057.1_2579.p1
OG0002060	XM_001597962.1.p1	lcl|BBXB02000026.1_cds_GLD98745.1_7267.p1
OG0002061	XM_001592902.1.p1	lcl|BBXB02000002.1_cds_GLD92225.1_747.p1
OG0002062	XM_001595752.1.p1	lcl|BBXB02000063.1_cds_GLE03705.1_12226.p1
OG0002063	XM_001598100.1.p1	lcl|BBXB02000023.1_cds_GLD98169.1_6691.p1
OG0002064	XM_001596820.1.p1	lcl|BBXB02000052.1_cds_GLE02671.1_11192.p1
OG0002065	XM_001596742.1.p1	lcl|BBXB02000001.1_cds_GLD91593.1_115.p1, lcl|BBXB02000001.1_cds_GLD91592.1_114.p1
OG0002066	XM_001596610.1.p1	lcl|BBXB02000057.1_cds_GLE03052.1_11573.p1, lcl|BBXB02000057.1_cds_GLE03058.1_11579.p1
OG0002067	XM_001586877.1.p1	lcl|BBXB02000003.1_cds_GLD92641.1_1163.p1
OG0002068	XM_001594963.1.p1	lcl|BBXB02000024.1_cds_GLD98410.1_6932.p1
OG0002069	XM_001587722.1.p1	lcl|BBXB02000035.1_cds_GLE00229.1_8750.p1
OG0002070	XM_001594154.1.p1	lcl|BBXB02000084.1_cds_GLE05307.1_13828.p1
OG0002071	XM_001596446.1.p1	lcl|BBXB02000057.1_cds_GLE03142.1_11663.p1
OG0002072	XM_001585949.1.p1	lcl|BBXB02000071.1_cds_GLE04459.1_12980.p1
