Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Laccaria_bicolor_rna_prot
OG0000733	XM_001590502.1.p1	XM_001884256.1.p1
OG0000733	XM_001590497.1.p1	XM_001873884.1.p1
OG0000735	XM_001592013.1.p1	XM_001882019.1.p1, XM_001877900.1.p1, XM_001877901.1.p1, XM_001877444.1.p1, XM_001876013.1.p1, XM_001888264.1.p1
OG0000736	XM_001586755.1.p1	XM_001879672.1.p1
OG0000738	XM_001589763.1.p1	XM_001889618.1.p1, XM_001884598.1.p1, XM_001884508.1.p1
OG0000739	XM_001591620.1.p1	XM_001874562.1.p1
OG0000740	XM_001585632.1.p1, XM_001594516.1.p1, XM_001587354.1.p1	XM_001882274.1.p1, XM_001889056.1.p1, XM_001887507.1.p1
OG0000741	XM_001597032.1.p1, XM_001585910.1.p1	XM_001886047.1.p1
OG0000742	XM_001597193.1.p1, XM_001598237.1.p1	XM_001877330.1.p1
OG0000743	XM_001591205.1.p1	XM_001882519.1.p1
OG0000751	XM_001589822.1.p1, XM_001596945.1.p1	XM_001880309.1.p1
OG0000753	XM_001587676.1.p1	XM_001880211.1.p1
OG0000753	XM_001591506.1.p1	XM_001880178.1.p1
OG0000758	XM_001590577.1.p1	XM_001878605.1.p1
OG0000759	XM_001593983.1.p1, XM_001584997.1.p1	XM_001886214.1.p1
OG0000761	XM_001592729.1.p1	XM_001873120.1.p1
OG0000762	XM_001594392.1.p1, XM_001585091.1.p1, XM_001590564.1.p1	XM_001888122.1.p1
OG0000763	XM_001590106.1.p1, XM_001591452.1.p1	XM_001889619.1.p1
OG0000764	XM_001590789.1.p1	XM_001882707.1.p1
OG0000767	XM_001594777.1.p1, XM_001596669.1.p1	XM_001874120.1.p1
OG0000768	XM_001590429.1.p1, XM_001593431.1.p1	XM_001889142.1.p1
OG0000769	XM_001591980.1.p1	XM_001889754.1.p1
OG0000773	XM_001589152.1.p1, XM_001585787.1.p1	XM_001877500.1.p1
OG0000775	XM_001588040.1.p1	XM_001876728.1.p1
OG0000776	XM_001587360.1.p1, XM_001587558.1.p1	XM_001880114.1.p1
OG0000777	XM_001589734.1.p1	XM_001881487.1.p1, XM_001881501.1.p1, XM_001881496.1.p1, XM_001878208.1.p1
OG0000779	XM_001596814.1.p1	XM_001880174.1.p1
OG0000781	XM_001591637.1.p1	XM_001874966.1.p1
OG0000782	XM_001592743.1.p1	XM_001881020.1.p1
OG0000787	XM_001590076.1.p1, XM_001592534.1.p1, XM_001592535.1.p1	XM_001878406.1.p1
OG0000788	XM_001593948.1.p1	XM_001873782.1.p1
OG0000789	XM_001595138.1.p1	XM_001874218.1.p1
OG0000790	XM_001588713.1.p1, XM_001588711.1.p1	XM_001875342.1.p1
OG0000792	XM_001590492.1.p1, XM_001593640.1.p1, XM_001592943.1.p1	XM_001886017.1.p1, XM_001883309.1.p1, XM_001889467.1.p1
OG0000793	XM_001588947.1.p1, XM_001588068.1.p1, XM_001588367.1.p1, XM_001595542.1.p1	XM_001878204.1.p1
OG0000794	XM_001589028.1.p1	XM_001875361.1.p1
OG0000795	XM_001596838.1.p1	XM_001876188.1.p1
OG0000797	XM_001586761.1.p1	XM_001877866.1.p1
OG0000798	XM_001591069.1.p1	XM_001874974.1.p1
OG0000800	XM_001586023.1.p1, XM_001592009.1.p1	XM_001873363.1.p1
OG0000801	XM_001595009.1.p1, XM_001592333.1.p1	XM_001885069.1.p1, XM_001889476.1.p1, XM_001879926.1.p1
OG0000806	XM_001589187.1.p1	XM_001880050.1.p1
OG0000807	XM_001587026.1.p1, XM_001597524.1.p1	XM_001888729.1.p1
OG0000809	XM_001598101.1.p1	XM_001880409.1.p1
OG0000810	XM_001592962.1.p1	XM_001876046.1.p1
OG0000811	XM_001589102.1.p1	XM_001886777.1.p1
OG0000811	XM_001594369.1.p1	XM_001886776.1.p1
OG0000813	XM_001592242.1.p1	XM_001884949.1.p1, XM_001884950.1.p1
OG0000814	XM_001591234.1.p1	XM_001888425.1.p1
OG0000815	XM_001590827.1.p1	XM_001876742.1.p1
OG0000820	XM_001592386.1.p1, XM_001596118.1.p1	XM_001885350.1.p1
OG0000824	XM_001596316.1.p1	XM_001885441.1.p1
OG0000833	XM_001585066.1.p1	XM_001873467.1.p1
OG0000835	XM_001590315.1.p1	XM_001884368.1.p1
OG0000835	XM_001594972.1.p1	XM_001887854.1.p1, XM_001877865.1.p1, XM_001881846.1.p1
OG0000837	XM_001589349.1.p1	XM_001876106.1.p1
OG0000840	XM_001590356.1.p1, XM_001598433.1.p1, XM_001591761.1.p1	XM_001885854.1.p1
OG0000842	XM_001590686.1.p1, XM_001590759.1.p1	XM_001888722.1.p1
OG0000843	XM_001595926.1.p1	XM_001887154.1.p1
OG0000846	XM_001590812.1.p1	XM_001875773.1.p1
OG0000848	XM_001596923.1.p1, XM_001593063.1.p1	XM_001887329.1.p1
OG0000849	XM_001598887.1.p1	XM_001880845.1.p1
OG0000850	XM_001590302.1.p1, XM_001591407.1.p1, XM_001598854.1.p1, XM_001592294.1.p1	XM_001875852.1.p1
OG0000851	XM_001598336.1.p1, XM_001589806.1.p1	XM_001874261.1.p1
OG0000853	XM_001591040.1.p1	XM_001877555.1.p1
OG0000855	XM_001591217.1.p1	XM_001883167.1.p1, XM_001887468.1.p1, XM_001883949.1.p1, XM_001887713.1.p1, XM_001890474.1.p1, XM_001883979.1.p1, XM_001883899.1.p1
OG0000856	XM_001593053.1.p1, XM_001592531.1.p1	XM_001878563.1.p1
OG0000858	XM_001595785.1.p1	XM_001875042.1.p1
OG0000860	XM_001597972.1.p1	XM_001889406.1.p1, XM_001880383.1.p1, XM_001891185.1.p1, XM_001889404.1.p1
OG0000862	XM_001597870.1.p1	XM_001874157.1.p1
OG0000863	XM_001597318.1.p1, XM_001596881.1.p1	XM_001878945.1.p1
OG0000864	XM_001593637.1.p1	XM_001873446.1.p1
OG0000865	XM_001593989.1.p1	XM_001873988.1.p1
OG0000868	XM_001596445.1.p1	XM_001885967.1.p1, XM_001885968.1.p1, XM_001879148.1.p1, XM_001879391.1.p1
OG0000869	XM_001586557.1.p1	XM_001881285.1.p1
OG0000870	XM_001589082.1.p1	XM_001882167.1.p1
OG0000872	XM_001598410.1.p1	XM_001876203.1.p1
OG0000873	XM_001584833.1.p1, XM_001587510.1.p1, XM_001585855.1.p1, XM_001585718.1.p1, XM_001595219.1.p1, XM_001594231.1.p1	XM_001886056.1.p1
OG0000879	XM_001589058.1.p1, XM_001592081.1.p1	XM_001875569.1.p1, XM_001880176.1.p1
OG0000880	XM_001594610.1.p1	XM_001881261.1.p1
OG0000881	XM_001598078.1.p1	XM_001884386.1.p1
OG0000882	XM_001591123.1.p1	XM_001879680.1.p1, XM_001887335.1.p1, XM_001879681.1.p1
OG0000883	XM_001592684.1.p1	XM_001875071.1.p1
OG0000884	XM_001590418.1.p1, XM_001598607.1.p1	XM_001884204.1.p1, XM_001874818.1.p1
OG0000888	XM_001588156.1.p1	XM_001873398.1.p1
OG0000889	XM_001595904.1.p1, XM_001587720.1.p1	XM_001873741.1.p1
OG0000890	XM_001595595.1.p1	XM_001887089.1.p1, XM_001882792.1.p1
OG0000891	XM_001596381.1.p1	XM_001879738.1.p1
OG0000892	XM_001589455.1.p1, XM_001589124.1.p1	XM_001873187.1.p1
OG0000893	XM_001593810.1.p1	XM_001884768.1.p1
OG0000896	XM_001598113.1.p1, XM_001588385.1.p1, XM_001597532.1.p1, XM_001595246.1.p1, XM_001585538.1.p1	XM_001878611.1.p1, XM_001888595.1.p1, XM_001888596.1.p1
OG0000898	XM_001594950.1.p1	XM_001873272.1.p1
OG0000899	XM_001590448.1.p1	XM_001879031.1.p1
OG0000900	XM_001587345.1.p1	XM_001880893.1.p1
OG0000901	XM_001594946.1.p1	XM_001887218.1.p1, XM_001874982.1.p1
OG0000906	XM_001593572.1.p1	XM_001887182.1.p1, XM_001878187.1.p1
OG0000908	XM_001594258.1.p1	XM_001881869.1.p1
OG0000910	XM_001591606.1.p1	XM_001876541.1.p1
OG0000911	XM_001586116.1.p1	XM_001880922.1.p1
OG0000912	XM_001596337.1.p1	XM_001880167.1.p1
OG0000914	XM_001585726.1.p1, XM_001585725.1.p1	XM_001888657.1.p1
OG0000915	XM_001594710.1.p1	XM_001874210.1.p1
OG0000917	XM_001591777.1.p1, XM_001594442.1.p1, XM_001594441.1.p1	XM_001877149.1.p1
OG0000919	XM_001591846.1.p1	XM_001885784.1.p1, XM_001890200.1.p1, XM_001885785.1.p1, XM_001890142.1.p1, XM_001890139.1.p1, XM_001890312.1.p1, XM_001885711.1.p1
OG0000920	XM_001587710.1.p1	XM_001881292.1.p1
OG0000921	XM_001594655.1.p1	XM_001888659.1.p1, XM_001874133.1.p1, XM_001874138.1.p1
OG0000935	XM_001596262.1.p1	XM_001873413.1.p1
OG0000938	XM_001587290.1.p1	XM_001889818.1.p1, XM_001876956.1.p1
OG0000940	XM_001588094.1.p1, XM_001591875.1.p1	XM_001874512.1.p1
OG0000944	XM_001598065.1.p1	XM_001880095.1.p1
OG0000945	XM_001598342.1.p1	XM_001874683.1.p1
OG0000946	XM_001595577.1.p1	XM_001888619.1.p1
OG0000947	XM_001591181.1.p1	XM_001873611.1.p1
OG0000948	XM_001598011.1.p1	XM_001887083.1.p1
OG0000949	XM_001592941.1.p1, XM_001593643.1.p1, XM_001593492.1.p1	XM_001889503.1.p1, XM_001886103.1.p1, XM_001883216.1.p1
OG0000954	XM_001592026.1.p1	XM_001873726.1.p1
OG0000957	XM_001585602.1.p1	XM_001873926.1.p1
OG0000959	XM_001593888.1.p1	XM_001875888.1.p1, XM_001875887.1.p1, XM_001877065.1.p1
OG0000960	XM_001598732.1.p1, XM_001587310.1.p1	XM_001880886.1.p1
OG0000964	XM_001593840.1.p1, XM_001598313.1.p1	XM_001874574.1.p1
OG0000965	XM_001585357.1.p1	XM_001888719.1.p1
OG0000966	XM_001585978.1.p1	XM_001875344.1.p1
OG0000968	XM_001586768.1.p1	XM_001880654.1.p1
OG0000969	XM_001592200.1.p1	XM_001880736.1.p1
OG0000970	XM_001587938.1.p1	XM_001879908.1.p1
OG0000971	XM_001585772.1.p1	XM_001876071.1.p1
OG0000974	XM_001594163.1.p1	XM_001874375.1.p1
OG0000974	XM_001594159.1.p1	XM_001878176.1.p1
OG0000983	XM_001587127.1.p1	XM_001880926.1.p1
OG0000986	XM_001589957.1.p1	XM_001874795.1.p1
OG0000987	XM_001586400.1.p1	XM_001874604.1.p1
OG0000990	XM_001587667.1.p1	XM_001878708.1.p1
OG0000991	XM_001584614.1.p1, XM_001588147.1.p1	XM_001874488.1.p1, XM_001887987.1.p1, XM_001887980.1.p1
OG0000993	XM_001592118.1.p1	XM_001879996.1.p1, XM_001888470.1.p1
OG0000996	XM_001585239.1.p1	XM_001882988.1.p1
OG0000998	XM_001586122.1.p1	XM_001887156.1.p1
OG0001000	XM_001588995.1.p1	XM_001875805.1.p1
OG0001002	XM_001591895.1.p1	XM_001878229.1.p1, XM_001877080.1.p1
OG0001003	XM_001586491.1.p1	XM_001875061.1.p1
OG0001007	XM_001584998.1.p1, XM_001597153.1.p1	XM_001873160.1.p1
OG0001008	XM_001587492.1.p1	XM_001889506.1.p1
OG0001010	XM_001587714.1.p1	XM_001885510.1.p1
OG0001013	XM_001595593.1.p1	XM_001873212.1.p1
OG0001014	XM_001598170.1.p1	XM_001873330.1.p1
OG0001019	XM_001593936.1.p1	XM_001888765.1.p1, XM_001886943.1.p1
OG0001020	XM_001587899.1.p1, XM_001598910.1.p1	XM_001873740.1.p1
OG0001021	XM_001596254.1.p1	XM_001890185.1.p1
OG0001022	XM_001584957.1.p1, XM_001592881.1.p1	XM_001888887.1.p1
OG0001023	XM_001589690.1.p1	XM_001888745.1.p1
OG0001024	XM_001590102.1.p1	XM_001874497.1.p1
OG0001025	XM_001597615.1.p1	XM_001874981.1.p1
OG0001028	XM_001595420.1.p1	XM_001879904.1.p1
OG0001029	XM_001597029.1.p1	XM_001878852.1.p1
OG0001030	XM_001590150.1.p1	XM_001880892.1.p1
OG0001031	XM_001598290.1.p1	XM_001884261.1.p1
OG0001032	XM_001592750.1.p1	XM_001877821.1.p1
OG0001033	XM_001593019.1.p1	XM_001876526.1.p1
OG0001034	XM_001589286.1.p1	XM_001876875.1.p1, XM_001876404.1.p1, XM_001875150.1.p1
OG0001035	XM_001591201.1.p1	XM_001877742.1.p1, XM_001877726.1.p1
OG0001039	XM_001589840.1.p1	XM_001876114.1.p1
OG0001040	XM_001585509.1.p1	XM_001883938.1.p1, XM_001877265.1.p1, XM_001880513.1.p1, XM_001877266.1.p1, XM_001883934.1.p1
OG0001041	XM_001595956.1.p1	XM_001874684.1.p1
OG0001043	XM_001588858.1.p1	XM_001873404.1.p1, XM_001873465.1.p1, XM_001879775.1.p1, XM_001879387.1.p1, XM_001880231.1.p1, XM_001875319.1.p1
OG0001044	XM_001594810.1.p1, XM_001585034.1.p1	XM_001879465.1.p1, XM_001879201.1.p1
OG0001061	XM_001598663.1.p1	XM_001881319.1.p1, XM_001873137.1.p1
OG0001063	XM_001594182.1.p1	XM_001875790.1.p1, XM_001879460.1.p1
OG0001064	XM_001585284.1.p1	XM_001888789.1.p1
OG0001065	XM_001596255.1.p1	XM_001878497.1.p1, XM_001890609.1.p1, XM_001887060.1.p1
OG0001069	XM_001592162.1.p1	XM_001878877.1.p1
OG0001070	XM_001587376.1.p1	XM_001873466.1.p1
OG0001071	XM_001592045.1.p1	XM_001883633.1.p1
OG0001072	XM_001594382.1.p1	XM_001876291.1.p1
OG0001075	XM_001598429.1.p1	XM_001879728.1.p1
OG0001076	XM_001598603.1.p1	XM_001878950.1.p1
OG0001077	XM_001595998.1.p1	XM_001881166.1.p1
OG0001078	XM_001590375.1.p1	XM_001877316.1.p1
OG0001079	XM_001598602.1.p1	XM_001880666.1.p1
OG0001081	XM_001593141.1.p1, XM_001588384.1.p1	XM_001883600.1.p1, XM_001887343.1.p1
OG0001082	XM_001597171.1.p1	XM_001874535.1.p1
OG0001083	XM_001584635.1.p1	XM_001873448.1.p1, XM_001879171.1.p1
OG0001084	XM_001589263.1.p1	XM_001880641.1.p1
OG0001085	XM_001591188.1.p1	XM_001879046.1.p1, XM_001875847.1.p1
OG0001086	XM_001593619.1.p1	XM_001886029.1.p1, XM_001887525.1.p1
OG0001088	XM_001598916.1.p1	XM_001875136.1.p1, XM_001873462.1.p1
OG0001090	XM_001587887.1.p1	XM_001875449.1.p1, XM_001874924.1.p1
OG0001091	XM_001584643.1.p1	XM_001880622.1.p1
OG0001093	XM_001593447.1.p1	XM_001878734.1.p1
OG0001099	XM_001587319.1.p1	XM_001873387.1.p1
OG0001101	XM_001592758.1.p1	XM_001873764.1.p1
OG0001103	XM_001592955.1.p1, XM_001588227.1.p1	XM_001878151.1.p1
OG0001105	XM_001592782.1.p1	XM_001878044.1.p1, XM_001878043.1.p1
OG0001107	XM_001593873.1.p1	XM_001886496.1.p1
OG0001108	XM_001585014.1.p1, XM_001591202.1.p1	XM_001879897.1.p1
OG0001109	XM_001593892.1.p1	XM_001877980.1.p1
OG0001112	XM_001595541.1.p1	XM_001874586.1.p1
OG0001113	XM_001596509.1.p1	XM_001888043.1.p1, XM_001881985.1.p1
OG0001114	XM_001588042.1.p1, XM_001594347.1.p1	XM_001881509.1.p1
OG0001115	XM_001593943.1.p1, XM_001588637.1.p1	XM_001876163.1.p1
OG0001117	XM_001587235.1.p1, XM_001589260.1.p1	XM_001880024.1.p1
OG0001118	XM_001590650.1.p1	XM_001878504.1.p1
OG0001119	XM_001587563.1.p1	XM_001881242.1.p1
OG0001120	XM_001591426.1.p1, XM_001593250.1.p1	XM_001880173.1.p1
OG0001121	XM_001593046.1.p1	XM_001879158.1.p1
OG0001122	XM_001594924.1.p1	XM_001873925.1.p1
OG0001124	XM_001598830.1.p1	XM_001876444.1.p1
OG0001125	XM_001588623.1.p1	XM_001873866.1.p1
OG0001126	XM_001590062.1.p1	XM_001874881.1.p1
OG0001127	XM_001590729.1.p1	XM_001880392.1.p1, XM_001875816.1.p1
OG0001128	XM_001594215.1.p1	XM_001874103.1.p1
OG0001129	XM_001595650.1.p1	XM_001881136.1.p1
OG0001130	XM_001590691.1.p1	XM_001878263.1.p1
OG0001131	XM_001591289.1.p1, XM_001597050.1.p1	XM_001884761.1.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	XM_001874835.1.p1
OG0001133	XM_001584780.1.p1	XM_001882681.1.p1, XM_001881874.1.p1
OG0001135	XM_001592071.1.p1	XM_001876352.1.p1
OG0001146	XM_001587854.1.p1	XM_001875879.1.p1
OG0001147	XM_001589207.1.p1	XM_001888836.1.p1
OG0001150	XM_001585637.1.p1, XM_001586145.1.p1	XM_001886281.1.p1
OG0001151	XM_001586398.1.p1	XM_001880365.1.p1
OG0001152	XM_001585966.1.p1	XM_001877709.1.p1
OG0001154	XM_001596258.1.p1	XM_001874537.1.p1
OG0001155	XM_001593807.1.p1	XM_001885673.1.p1, XM_001881299.1.p1, XM_001881324.1.p1, XM_001876096.1.p1
OG0001156	XM_001587763.1.p1	XM_001878123.1.p1
OG0001157	XM_001585113.1.p1	XM_001873696.1.p1
OG0001158	XM_001597265.1.p1	XM_001876780.1.p1
OG0001160	XM_001597233.1.p1	XM_001876959.1.p1
OG0001161	XM_001597319.1.p1	XM_001877014.1.p1, XM_001873876.1.p1
OG0001162	XM_001592594.1.p1	XM_001884473.1.p1, XM_001874266.1.p1
OG0001163	XM_001595298.1.p1, XM_001594217.1.p1, XM_001590240.1.p1	XM_001876223.1.p1
OG0001165	XM_001590535.1.p1	XM_001879397.1.p1
OG0001166	XM_001590617.1.p1	XM_001875696.1.p1
OG0001168	XM_001589673.1.p1, XM_001595545.1.p1	XM_001881848.1.p1
OG0001170	XM_001592705.1.p1, XM_001598862.1.p1, XM_001586853.1.p1	XM_001873240.1.p1
OG0001171	XM_001597826.1.p1	XM_001876027.1.p1, XM_001879247.1.p1, XM_001874884.1.p1
OG0001174	XM_001586495.1.p1	XM_001875196.1.p1
OG0001176	XM_001594407.1.p1, XM_001586945.1.p1	XM_001885976.1.p1
OG0001177	XM_001594947.1.p1	XM_001880580.1.p1
OG0001178	XM_001589035.1.p1	XM_001875258.1.p1
OG0001179	XM_001593660.1.p1	XM_001876965.1.p1
OG0001180	XM_001596694.1.p1	XM_001876662.1.p1
OG0001181	XM_001593576.1.p1	XM_001881678.1.p1
OG0001182	XM_001594846.1.p1	XM_001876602.1.p1
OG0001183	XM_001590324.1.p1	XM_001874741.1.p1
OG0001184	XM_001594370.1.p1	XM_001884229.1.p1
OG0001185	XM_001586426.1.p1	XM_001879739.1.p1, XM_001873381.1.p1
OG0001187	XM_001586559.1.p1	XM_001881585.1.p1, XM_001874953.1.p1
OG0001188	XM_001596042.1.p1, XM_001597194.1.p1	XM_001873619.1.p1
OG0001190	XM_001593245.1.p1	XM_001887328.1.p1, XM_001879806.1.p1, XM_001879804.1.p1, XM_001874019.1.p1
OG0001191	XM_001585271.1.p1, XM_001592100.1.p1	XM_001878220.1.p1
OG0001195	XM_001593570.1.p1, XM_001593678.1.p1	XM_001886200.1.p1
OG0001196	XM_001588984.1.p1	XM_001886928.1.p1
OG0001197	XM_001590968.1.p1	XM_001874994.1.p1
OG0001198	XM_001589197.1.p1, XM_001597467.1.p1	XM_001875063.1.p1
OG0001199	XM_001586739.1.p1	XM_001881447.1.p1, XM_001877098.1.p1
OG0001202	XM_001592262.1.p1, XM_001590037.1.p1	XM_001873922.1.p1
OG0001203	XM_001595223.1.p1	XM_001888349.1.p1
OG0001204	XM_001587531.1.p1	XM_001873994.1.p1
OG0001205	XM_001597608.1.p1	XM_001874402.1.p1
OG0001206	XM_001590495.1.p1	XM_001879513.1.p1
OG0001207	XM_001598174.1.p1	XM_001877553.1.p1, XM_001889335.1.p1
OG0001208	XM_001585675.1.p1	XM_001887281.1.p1
OG0001209	XM_001584711.1.p1	XM_001877342.1.p1
OG0001210	XM_001593130.1.p1	XM_001883467.1.p1, XM_001882861.1.p1
OG0001212	XM_001587505.1.p1	XM_001882163.1.p1
OG0001213	XM_001586026.1.p1	XM_001874812.1.p1
OG0001214	XM_001594629.1.p1	XM_001877022.1.p1
OG0001215	XM_001598435.1.p1	XM_001888318.1.p1
OG0001216	XM_001587846.1.p1	XM_001890143.1.p1, XM_001885783.1.p1, XM_001890311.1.p1
OG0001217	XM_001584573.1.p1	XM_001883290.1.p1, XM_001890362.1.p1, XM_001889288.1.p1, XM_001885909.1.p1, XM_001885913.1.p1
OG0001219	XM_001598205.1.p1	XM_001876506.1.p1, XM_001881244.1.p1
OG0001220	XM_001598294.1.p1, XM_001590652.1.p1	XM_001883704.1.p1
OG0001221	XM_001587099.1.p1	XM_001884501.1.p1
OG0001223	XM_001596735.1.p1	XM_001879798.1.p1
OG0001224	XM_001591829.1.p1	XM_001876726.1.p1
OG0001229	XM_001591967.1.p1	XM_001886543.1.p1, XM_001888574.1.p1, XM_001888575.1.p1
OG0001245	XM_001598019.1.p1	XM_001873599.1.p1, XM_001874227.1.p1
OG0001246	XM_001596306.1.p1	XM_001873508.1.p1
OG0001247	XM_001595279.1.p1	XM_001878294.1.p1
OG0001248	XM_001597052.1.p1	XM_001873966.1.p1
OG0001249	XM_001590861.1.p1	XM_001875087.1.p1, XM_001880932.1.p1
OG0001250	XM_001585219.1.p1	XM_001875455.1.p1
OG0001251	XM_001597911.1.p1	XM_001879410.1.p1, XM_001873865.1.p1
OG0001252	XM_001589710.1.p1	XM_001885314.1.p1
OG0001253	XM_001594361.1.p1	XM_001876854.1.p1
OG0001255	XM_001585594.1.p1	XM_001880801.1.p1
OG0001256	XM_001597117.1.p1	XM_001878601.1.p1
OG0001258	XM_001592670.1.p1	XM_001876608.1.p1
OG0001259	XM_001587500.1.p1, XM_001595026.1.p1	XM_001880615.1.p1
OG0001260	XM_001591210.1.p1	XM_001874571.1.p1
OG0001261	XM_001592688.1.p1	XM_001887548.1.p1
OG0001262	XM_001584906.1.p1, XM_001592747.1.p1	XM_001877424.1.p1
OG0001263	XM_001593392.1.p1	XM_001878617.1.p1
OG0001264	XM_001594448.1.p1, XM_001589375.1.p1	XM_001877407.1.p1
OG0001266	XM_001594795.1.p1	XM_001883632.1.p1
OG0001267	XM_001593062.1.p1	XM_001878910.1.p1
OG0001268	XM_001595596.1.p1	XM_001878591.1.p1
OG0001270	XM_001592691.1.p1	XM_001874002.1.p1
OG0001271	XM_001587646.1.p1	XM_001876630.1.p1, XM_001876631.1.p1
OG0001273	XM_001598707.1.p1	XM_001877685.1.p1
OG0001275	XM_001588945.1.p1	XM_001876233.1.p1
OG0001276	XM_001596955.1.p1	XM_001885901.1.p1
OG0001277	XM_001588770.1.p1	XM_001877718.1.p1
OG0001278	XM_001597610.1.p1	XM_001883723.1.p1
OG0001280	XM_001586262.1.p1	XM_001875459.1.p1
OG0001281	XM_001584702.1.p1	XM_001877150.1.p1
OG0001282	XM_001595958.1.p1	XM_001874563.1.p1
OG0001283	XM_001590433.1.p1, XM_001597865.1.p1	XM_001875321.1.p1
OG0001286	XM_001585616.1.p1	XM_001879537.1.p1
OG0001288	XM_001590210.1.p1	XM_001873136.1.p1
OG0001290	XM_001588613.1.p1	XM_001880735.1.p1
OG0001293	XM_001592260.1.p1	XM_001886089.1.p1
OG0001295	XM_001587939.1.p1	XM_001885055.1.p1
OG0001297	XM_001591937.1.p1	XM_001877780.1.p1
OG0001298	XM_001595056.1.p1	XM_001875159.1.p1
OG0001299	XM_001596175.1.p1	XM_001879928.1.p1
OG0001300	XM_001586937.1.p1	XM_001877419.1.p1
OG0001302	XM_001593610.1.p1	XM_001889836.1.p1
OG0001303	XM_001591817.1.p1	XM_001873348.1.p1
OG0001304	XM_001591192.1.p1	XM_001874789.1.p1
OG0001305	XM_001592167.1.p1	XM_001873592.1.p1
OG0001306	XM_001592155.1.p1	XM_001879669.1.p1
OG0001307	XM_001597316.1.p1	XM_001878956.1.p1
OG0001309	XM_001594213.1.p1	XM_001881289.1.p1
OG0001310	XM_001594188.1.p1	XM_001886635.1.p1, XM_001882993.1.p1
OG0001311	XM_001598187.1.p1	XM_001886007.1.p1, XM_001884399.1.p1
OG0001312	XM_001587817.1.p1, XM_001593839.1.p1	XM_001873257.1.p1, XM_001879758.1.p1, XM_001873271.1.p1
OG0001313	XM_001584723.1.p1	XM_001876154.1.p1
OG0001314	XM_001587845.1.p1	XM_001877395.2.p1
OG0001315	XM_001585518.1.p1	XM_001889673.1.p1, XM_001889671.1.p1, XM_001889672.1.p1, XM_001881673.1.p1, XM_001879365.1.p1
OG0001316	XM_001596129.1.p1	XM_001877485.1.p1
OG0001317	XM_001587842.1.p1	XM_001886229.1.p1
OG0001318	XM_001597396.1.p1	XM_001884381.1.p1
OG0001319	XM_001591640.1.p1	XM_001886165.1.p1
OG0001320	XM_001587379.1.p1	XM_001874544.1.p1
OG0001321	XM_001598937.1.p1	XM_001877272.1.p1
OG0001321	XM_001594406.1.p1, XM_001598936.1.p1	XM_001874121.1.p1
OG0001322	XM_001585388.1.p1	XM_001878942.1.p1
OG0001323	XM_001596853.1.p1	XM_001873578.1.p1
OG0001324	XM_001594829.1.p1	XM_001890687.1.p1, XM_001876311.1.p1, XM_001885680.1.p1
OG0001325	XM_001594327.1.p1	XM_001876057.1.p1
OG0001326	XM_001592619.1.p1	XM_001878902.1.p1
OG0001327	XM_001584707.1.p1, XM_001588824.1.p1, XM_001589583.1.p1, XM_001590244.1.p1	XM_001884538.1.p1
OG0001335	XM_001593152.1.p1	XM_001877492.1.p1, XM_001883209.1.p1, XM_001887077.1.p1, XM_001883294.1.p1
OG0001336	XM_001596324.1.p1	XM_001877172.1.p1
OG0001337	XM_001586758.1.p1	XM_001881291.1.p1
OG0001339	XM_001588334.1.p1	XM_001875206.1.p1
OG0001341	XM_001585322.1.p1	XM_001880133.1.p1
OG0001343	XM_001585832.1.p1	XM_001885226.1.p1
OG0001345	XM_001594772.1.p1	XM_001883045.1.p1
OG0001346	XM_001594790.1.p1	XM_001885647.1.p1, XM_001876393.1.p1
OG0001347	XM_001588165.1.p1	XM_001878758.1.p1, XM_001878751.1.p1
OG0001348	XM_001587711.1.p1	XM_001885452.1.p1, XM_001885458.1.p1, XM_001885451.1.p1, XM_001883939.1.p1, XM_001885450.1.p1
OG0001349	XM_001585733.1.p1	XM_001884291.1.p1
OG0001350	XM_001594034.1.p1	XM_001886808.1.p1
OG0001351	XM_001587708.1.p1	XM_001883711.1.p1
OG0001352	XM_001586665.1.p1	XM_001875760.1.p1
OG0001353	XM_001591623.1.p1	XM_001873164.1.p1
OG0001354	XM_001592719.1.p1	XM_001873601.1.p1, XM_001878654.1.p1
OG0001356	XM_001585187.1.p1	XM_001875349.1.p1
OG0001357	XM_001596863.1.p1	XM_001878296.1.p1
OG0001358	XM_001597450.1.p1	XM_001879817.1.p1
OG0001359	XM_001587161.1.p1	XM_001874225.1.p1
OG0001363	XM_001598194.1.p1	XM_001874815.1.p1
OG0001365	XM_001590890.1.p1	XM_001876455.1.p1
OG0001366	XM_001596179.1.p1, XM_001589539.1.p1, XM_001595151.1.p1	XM_001875408.1.p1
OG0001367	XM_001595176.1.p1	XM_001877779.1.p1, XM_001873853.1.p1
OG0001368	XM_001596704.1.p1	XM_001875203.1.p1
OG0001369	XM_001597173.1.p1	XM_001874817.1.p1
OG0001371	XM_001597570.1.p1	XM_001889682.1.p1
OG0001372	XM_001594988.1.p1	XM_001874279.1.p1
OG0001373	XM_001587954.1.p1	XM_001874466.1.p1
OG0001374	XM_001585514.1.p1, XM_001591826.1.p1	XM_001883761.1.p1
OG0001375	XM_001588248.1.p1	XM_001888343.1.p1
